project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
Accelerapp,20260629_215655,d2c2a9d507cf3a3182420dfa6a4cbd21254a5108,1759446518,"Implement complete Accelerapp foundation with generators, agents, and CLI",False,original,14,0,0,0,0,0,0.109,92.98,original,0.0,0.0,0.2800180912017822,0.0,0.2800180912017822,,,,,,,,,,,1212
Accelerapp,20260629_215655,d2c2a9d507cf3a3182420dfa6a4cbd21254a5108,1759446518,"Implement complete Accelerapp foundation with generators, agents, and CLI",False,pymop,13,1,0,0,0,0,0.131,92.98,pymop,0.6888182163238525,0.3058195114135742,1.0561490058898926,0.0,2.0507867336273193,0.0,,0.0,,,,47.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18<>UnsafeListIterator=5<>UnsafeDictIterator=11,276.0,BuiltinAllAnalysis=violation=33<>ComparisonBehaviorAnalysis=eq_end=13<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=13<>NonFinitesAnalysis=non_finite_op=33<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=34<>WrongTypeAddedAnalysis=check_insert=34<>WrongTypeAddedAnalysis=check_extend=34<>WrongTypeAddedAnalysis=check_add=34<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>UnsafeListIterator=createList=6<>UnsafeDictIterator=createDict=13,1212
Accelerapp,20260629_215655,d2c2a9d507cf3a3182420dfa6a4cbd21254a5108,1759446518,"Implement complete Accelerapp foundation with generators, agents, and CLI",False,pymop_libs,14,0,0,0,0,0,2.016,92.98,pymop_libs,4.790772199630737,0.2755203247070312,4.855661153793335,0.0,9.921953678131104,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},2278.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1530<>UnsafeDictIterator=693<>ArgParse_Parent=1<>FileClosedAnalysis=18<>faulthandler_disableBeforeClose=1,372203.0,BuiltinAllAnalysis=violation=57216<>ComparisonBehaviorAnalysis=ne_end=369<>ComparisonBehaviorAnalysis=eq_end=3312<>InPlaceSortAnalysis=list_used=8181<>InPlaceSortAnalysis=list_sorted=25<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3671<>NonFinitesAnalysis=non_finite_op=57117<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2248<>StringStripAnalysis=strip=42<>WrongTypeAddedAnalysis=check_append=57436<>WrongTypeAddedAnalysis=check_insert=57436<>WrongTypeAddedAnalysis=check_extend=57436<>WrongTypeAddedAnalysis=check_add=57436<>WrongTypeAddedAnalysis=check_add_assign=2248<>UnsafeListIterator=createList=4378<>UnsafeDictIterator=createDict=779<>UnsafeDictIterator=updateDict=2818<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1212
Accelerapp,20260629_215655,d2c2a9d507cf3a3182420dfa6a4cbd21254a5108,1759446518,"Implement complete Accelerapp foundation with generators, agents, and CLI",False,dylin,14,0,0,0,0,0,2.37,92.98,dylin,4.196194887161255,0.0,3.5123043060302734,0.1634860038757324,7.871985197067261,0.0,,0.0,,,,,,,,1212
Accelerapp,20260629_215655,a4cc861e3a26acfb5ee26973fd9af01d85556e22,1760117889,Phase 1: Complete local LLM integration module,False,original,34,0,0,0,0,0,0.166,96.91,original,0.0,0.0,0.3407893180847168,0.0,0.3407893180847168,,,,,,,,,,,2031
Accelerapp,20260629_215655,a4cc861e3a26acfb5ee26973fd9af01d85556e22,1760117889,Phase 1: Complete local LLM integration module,False,pymop,33,1,0,0,0,0,0.232,96.91,pymop,0.694704532623291,0.2901899814605713,1.190885305404663,0.0,2.1757798194885254,0.0,,0.0,,,,75.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=42<>UnsafeListIterator=5<>UnsafeDictIterator=15,697.0,BuiltinAllAnalysis=violation=91<>ComparisonBehaviorAnalysis=eq_end=30<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=30<>NonFinitesAnalysis=non_finite_op=91<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=92<>WrongTypeAddedAnalysis=check_insert=92<>WrongTypeAddedAnalysis=check_extend=92<>WrongTypeAddedAnalysis=check_add=92<>FileClosedAnalysis=open=22<>FileClosedAnalysis=close=21<>FileClosedAnalysis=end=20<>UnsafeListIterator=createList=6<>UnsafeDictIterator=createDict=16,2031
Accelerapp,20260629_215655,a4cc861e3a26acfb5ee26973fd9af01d85556e22,1760117889,Phase 1: Complete local LLM integration module,False,pymop_libs,34,0,0,0,0,0,3.163,96.91,pymop_libs,4.901232004165649,0.2721378803253174,6.090867280960083,0.0,11.26423716545105,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},3307.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2184<>UnsafeDictIterator=1044<>ArgParse_Parent=1<>FileClosedAnalysis=42<>faulthandler_disableBeforeClose=1,551494.0,BuiltinAllAnalysis=violation=84073<>ComparisonBehaviorAnalysis=ne_end=520<>ComparisonBehaviorAnalysis=eq_end=4977<>InPlaceSortAnalysis=list_used=13977<>InPlaceSortAnalysis=list_sorted=45<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5487<>NonFinitesAnalysis=non_finite_op=83974<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3270<>StringStripAnalysis=strip=102<>WrongTypeAddedAnalysis=check_append=84806<>WrongTypeAddedAnalysis=check_insert=84806<>WrongTypeAddedAnalysis=check_extend=84806<>WrongTypeAddedAnalysis=check_add=84806<>WrongTypeAddedAnalysis=check_add_assign=3270<>UnsafeListIterator=createList=7485<>UnsafeDictIterator=createDict=1294<>UnsafeDictIterator=updateDict=3705<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=22<>FileClosedAnalysis=close=21<>FileClosedAnalysis=end=20<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,2031
Accelerapp,20260629_215655,a4cc861e3a26acfb5ee26973fd9af01d85556e22,1760117889,Phase 1: Complete local LLM integration module,False,dylin,34,0,0,0,0,0,2.491,96.91,dylin,4.412368059158325,0.0,3.707249641418457,0.1824908256530761,8.302108526229858,0.0,,0.0,,,,,,,,2031
Accelerapp,20260629_215655,5fe84af94e04adac7d573383fca83f98fdffadda,1760118213,Phase 2: Complete agent-to-agent communication protocols,False,original,58,0,0,0,0,0,0.41,97.67,original,0.0,0.0,0.5818943977355957,0.0,0.5818943977355957,,,,,,,,,,,2770
Accelerapp,20260629_215655,5fe84af94e04adac7d573383fca83f98fdffadda,1760118213,Phase 2: Complete agent-to-agent communication protocols,False,pymop,57,1,0,0,0,0,0.431,97.67,pymop,0.6393606662750244,0.2979178428649902,1.312511920928955,0.0,2.2497904300689697,0.0,,0.0,,,,91.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=44<>UnsafeListIterator=13<>UnsafeDictIterator=21,1180.0,BuiltinAllAnalysis=violation=158<>ComparisonBehaviorAnalysis=eq_end=59<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=59<>NonFinitesAnalysis=non_finite_op=158<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=159<>WrongTypeAddedAnalysis=check_insert=159<>WrongTypeAddedAnalysis=check_extend=159<>WrongTypeAddedAnalysis=check_add=159<>FileClosedAnalysis=open=23<>FileClosedAnalysis=close=22<>FileClosedAnalysis=end=21<>UnsafeListIterator=createList=15<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=24,2770
