project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
DDNS,20260629_220403,1ff0f087f7cbe8a21e7873c793bf63894a948444,1465559482,获取本机IP和更新DNS,True,original,0,0,0,0,0,0,0.044,0.0,original,0.0,0.0,0.5063512325286865,0.0,0.5063512325286865,,,,,,,,,,,
DDNS,20260629_220403,1ff0f087f7cbe8a21e7873c793bf63894a948444,1465559482,获取本机IP和更新DNS,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,1.8886663913726809,0.9814250469207764,2.260425329208374,0.0,5.130516767501831,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
DDNS,20260629_220403,1ff0f087f7cbe8a21e7873c793bf63894a948444,1465559482,获取本机IP和更新DNS,True,pymop_libs,0,0,0,0,0,0,0.415,0.0,pymop_libs,9.999130964279177,0.6159267425537109,5.876577854156494,0.0,16.49163556098938,0.0,,0.0,,,,1073.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=691<>UnsafeDictIterator=335<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,176848.0,BuiltinAllAnalysis=violation=28163<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=829<>InPlaceSortAnalysis=list_used=2003<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=962<>NonFinitesAnalysis=non_finite_op=28064<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27930<>WrongTypeAddedAnalysis=check_insert=27930<>WrongTypeAddedAnalysis=check_extend=27930<>WrongTypeAddedAnalysis=check_add=27930<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
DDNS,20260629_220403,1ff0f087f7cbe8a21e7873c793bf63894a948444,1465559482,获取本机IP和更新DNS,True,dylin,0,0,0,0,0,0,0.009,0.0,dylin,9.111839771270752,0.0,0.3240761756896972,0.4994268417358398,9.935342788696287,0.0,,0.0,,,,,,,,
DDNS,20260629_220403,09fc45a33541ac327fc4d7b18faa12954b5dd1c9,1465574055,获取内网IP,True,original,0,0,0,0,0,0,0.037,0.0,original,0.0,0.0,0.4976937770843506,0.0,0.4976937770843506,,,,,,,,,,,
DDNS,20260629_220403,09fc45a33541ac327fc4d7b18faa12954b5dd1c9,1465574055,获取内网IP,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,1.926403522491455,0.8911206722259521,1.936783790588379,0.0,4.754307985305786,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
DDNS,20260629_220403,09fc45a33541ac327fc4d7b18faa12954b5dd1c9,1465574055,获取内网IP,True,pymop_libs,0,0,0,0,0,0,0.416,0.0,pymop_libs,9.48176622390747,0.7403130531311035,5.81778621673584,0.0,16.039865493774414,0.0,,0.0,,,,1057.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=671<>UnsafeDictIterator=339<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,176848.0,BuiltinAllAnalysis=violation=28163<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=829<>InPlaceSortAnalysis=list_used=2003<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=962<>NonFinitesAnalysis=non_finite_op=28064<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27930<>WrongTypeAddedAnalysis=check_insert=27930<>WrongTypeAddedAnalysis=check_extend=27930<>WrongTypeAddedAnalysis=check_add=27930<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
DDNS,20260629_220403,09fc45a33541ac327fc4d7b18faa12954b5dd1c9,1465574055,获取内网IP,True,dylin,0,0,0,0,0,0,0.012,0.0,dylin,8.604809045791626,0.0,0.3281981945037842,0.4940719604492187,9.427079200744627,0.0,,0.0,,,,,,,,
DDNS,20260629_220403,da0fc0844a007fcda04053a65ce660d46901d25a,1465575374,ipv4 判断,True,original,0,0,0,0,0,0,0.037,0.0,original,0.0,0.0,0.4922225475311279,0.0,0.4922225475311279,,,,,,,,,,,
DDNS,20260629_220403,da0fc0844a007fcda04053a65ce660d46901d25a,1465575374,ipv4 判断,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,1.4418582916259766,0.8049936294555664,2.2424018383026123,0.0,4.489253759384155,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
