project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
Digital-Template-to-XBRL-Converter,20260629_215150,ec28cd9bbec5839df9d684e98dbaf8f52eea1714,1778752172,Make sure all warnings appear in the log,True,original,363,0,25,0,0,0,15.155,94.7,original,0.0,0.0,16.234599828720093,0.0,16.234599828720093,,,,,,,,,,,
Digital-Template-to-XBRL-Converter,20260629_215150,ec28cd9bbec5839df9d684e98dbaf8f52eea1714,1778752172,Make sure all warnings appear in the log,True,pymop,363,0,25,0,0,0,616.214,94.7,pymop,2.8694519996643066,0.6025116443634033,622.0370123386383,0.0,625.508975982666,0.0,,0.0,,,,1066.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=468<>UnsafeListIterator=346<>UnsafeDictIterator=178<>UnsafeArrayIterator=59<>PyDocs_UnsafeIterUseAfterTee=2,816793.0,BuiltinAllAnalysis=violation=135439<>ComparisonBehaviorAnalysis=eq_end=970<>ComparisonBehaviorAnalysis=ne_end=4<>InPlaceSortAnalysis=list_used=185<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=974<>NonFinitesAnalysis=non_finite_op=135439<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=254<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=135459<>WrongTypeAddedAnalysis=check_insert=135459<>WrongTypeAddedAnalysis=check_extend=135459<>WrongTypeAddedAnalysis=check_add=135459<>WrongTypeAddedAnalysis=check_add_assign=254<>FileClosedAnalysis=open=235<>FileClosedAnalysis=close=234<>FileClosedAnalysis=end=233<>UnsafeListIterator=createList=445<>UnsafeDictIterator=createDict=190<>UnsafeDictIterator=updateDict=9<>UnsafeArrayIterator=createArray=59<>UnsafeArrayIterator=updateArray=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
Digital-Template-to-XBRL-Converter,20260629_215150,ec28cd9bbec5839df9d684e98dbaf8f52eea1714,1778752172,Make sure all warnings appear in the log,True,pymop_libs,363,0,25,0,0,0,616.214,94.7,pymop_libs,x,x,x,0.0,x,0.0,,0.0,,,,1066.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=468<>UnsafeListIterator=346<>UnsafeDictIterator=178<>UnsafeArrayIterator=59<>PyDocs_UnsafeIterUseAfterTee=2,816793.0,BuiltinAllAnalysis=violation=135439<>ComparisonBehaviorAnalysis=eq_end=970<>ComparisonBehaviorAnalysis=ne_end=4<>InPlaceSortAnalysis=list_used=185<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=974<>NonFinitesAnalysis=non_finite_op=135439<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=254<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=135459<>WrongTypeAddedAnalysis=check_insert=135459<>WrongTypeAddedAnalysis=check_extend=135459<>WrongTypeAddedAnalysis=check_add=135459<>WrongTypeAddedAnalysis=check_add_assign=254<>FileClosedAnalysis=open=235<>FileClosedAnalysis=close=234<>FileClosedAnalysis=end=233<>UnsafeListIterator=createList=445<>UnsafeDictIterator=createDict=190<>UnsafeDictIterator=updateDict=9<>UnsafeArrayIterator=createArray=59<>UnsafeArrayIterator=updateArray=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
Digital-Template-to-XBRL-Converter,20260629_215150,ec28cd9bbec5839df9d684e98dbaf8f52eea1714,1778752172,Make sure all warnings appear in the log,True,dylin,362,1,25,0,0,0,44.753,94.7,dylin,19.25444483757019,0.0,51.019527196884155,0.2956254482269287,70.56959748268127,0.0,,0.0,,,,,,,,
Digital-Template-to-XBRL-Converter,20260629_215150,c3e982dadbc34d774a24cb4a72126d1b396c4fde,1778758085,Support custom theme colour as well as predefined colours,True,original,365,0,25,0,0,0,14.404,94.77,original,0.0,0.0,15.474057674407959,0.0,15.474057674407959,,,,,,,,,,,
Digital-Template-to-XBRL-Converter,20260629_215150,c3e982dadbc34d774a24cb4a72126d1b396c4fde,1778758085,Support custom theme colour as well as predefined colours,True,pymop,365,0,25,0,0,0,601.731,94.77,pymop,2.722749710083008,0.6685888767242432,607.2248578071594,0.0,610.6161963939667,0.0,,0.0,,,,1046.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=468<>UnsafeListIterator=343<>UnsafeDictIterator=161<>UnsafeArrayIterator=59<>PyDocs_UnsafeIterUseAfterTee=2,820805.0,BuiltinAllAnalysis=violation=136108<>ComparisonBehaviorAnalysis=eq_end=970<>ComparisonBehaviorAnalysis=ne_end=4<>InPlaceSortAnalysis=list_used=185<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=974<>NonFinitesAnalysis=non_finite_op=136108<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=256<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=136130<>WrongTypeAddedAnalysis=check_insert=136130<>WrongTypeAddedAnalysis=check_extend=136130<>WrongTypeAddedAnalysis=check_add=136130<>WrongTypeAddedAnalysis=check_add_assign=256<>FileClosedAnalysis=open=235<>FileClosedAnalysis=close=234<>FileClosedAnalysis=end=233<>UnsafeListIterator=createList=445<>UnsafeDictIterator=createDict=176<>UnsafeDictIterator=updateDict=9<>UnsafeArrayIterator=createArray=59<>UnsafeArrayIterator=updateArray=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
Digital-Template-to-XBRL-Converter,20260629_215150,c3e982dadbc34d774a24cb4a72126d1b396c4fde,1778758085,Support custom theme colour as well as predefined colours,True,pymop_libs,365,0,25,0,0,0,601.731,94.77,pymop_libs,x,x,x,0.0,x,0.0,,0.0,,,,1046.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=468<>UnsafeListIterator=343<>UnsafeDictIterator=161<>UnsafeArrayIterator=59<>PyDocs_UnsafeIterUseAfterTee=2,820805.0,BuiltinAllAnalysis=violation=136108<>ComparisonBehaviorAnalysis=eq_end=970<>ComparisonBehaviorAnalysis=ne_end=4<>InPlaceSortAnalysis=list_used=185<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=974<>NonFinitesAnalysis=non_finite_op=136108<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=256<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=136130<>WrongTypeAddedAnalysis=check_insert=136130<>WrongTypeAddedAnalysis=check_extend=136130<>WrongTypeAddedAnalysis=check_add=136130<>WrongTypeAddedAnalysis=check_add_assign=256<>FileClosedAnalysis=open=235<>FileClosedAnalysis=close=234<>FileClosedAnalysis=end=233<>UnsafeListIterator=createList=445<>UnsafeDictIterator=createDict=176<>UnsafeDictIterator=updateDict=9<>UnsafeArrayIterator=createArray=59<>UnsafeArrayIterator=updateArray=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
Digital-Template-to-XBRL-Converter,20260629_215150,c3e982dadbc34d774a24cb4a72126d1b396c4fde,1778758085,Support custom theme colour as well as predefined colours,True,dylin,364,1,25,0,0,0,47.652,94.77,dylin,19.769711017608643,0.0,54.9518027305603,0.3158066272735595,75.0373203754425,0.0,,0.0,,,,,,,,
Digital-Template-to-XBRL-Converter,20260629_215150,27189399e0b4ea643567e8fefaa3e22b13b51a4e,1778759008,Tidy up webapp code and simplify/centralise string parsing,True,original,368,0,25,0,0,0,15.182,94.79,original,0.0,0.0,16.12048363685608,0.0,16.12048363685608,,,,,,,,,,,
Digital-Template-to-XBRL-Converter,20260629_215150,27189399e0b4ea643567e8fefaa3e22b13b51a4e,1778759008,Tidy up webapp code and simplify/centralise string parsing,True,pymop,368,0,25,0,0,0,652.486,94.79,pymop,2.949800491333008,0.6820700168609619,658.3698575496674,0.0,662.0017280578613,0.0,,0.0,,,,1051.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=468<>UnsafeListIterator=354<>UnsafeDictIterator=155<>UnsafeArrayIterator=59<>PyDocs_UnsafeIterUseAfterTee=2,821543.0,BuiltinAllAnalysis=violation=136230<>ComparisonBehaviorAnalysis=eq_end=973<>ComparisonBehaviorAnalysis=ne_end=4<>InPlaceSortAnalysis=list_used=185<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=977<>NonFinitesAnalysis=non_finite_op=136230<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=256<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=136252<>WrongTypeAddedAnalysis=check_insert=136252<>WrongTypeAddedAnalysis=check_extend=136252<>WrongTypeAddedAnalysis=check_add=136252<>WrongTypeAddedAnalysis=check_add_assign=256<>FileClosedAnalysis=open=235<>FileClosedAnalysis=close=234<>FileClosedAnalysis=end=233<>UnsafeListIterator=createList=445<>UnsafeDictIterator=createDict=176<>UnsafeDictIterator=updateDict=9<>UnsafeArrayIterator=createArray=59<>UnsafeArrayIterator=updateArray=28<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
