project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
DomainConnectApplyZone,20260629_220215,6a899c860c4c9bca2ee6fb7439ee698216bd87a7,1550050621,Create DomainConnect.py,True,original,0,0,0,0,0,0,0.047,0.0,original,0.0,0.0,0.4527583122253418,0.0,0.4527583122253418,,,,,,,,,,,
DomainConnectApplyZone,20260629_220215,6a899c860c4c9bca2ee6fb7439ee698216bd87a7,1550050621,Create DomainConnect.py,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,2.024918556213379,0.908153772354126,2.1339643001556396,0.0,5.0670366287231445,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
DomainConnectApplyZone,20260629_220215,6a899c860c4c9bca2ee6fb7439ee698216bd87a7,1550050621,Create DomainConnect.py,True,pymop_libs,0,0,0,0,0,0,0.356,0.0,pymop_libs,9.295789957046509,0.5819008350372314,5.68900728225708,0.0,15.56669807434082,0.0,,0.0,,,,1079.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=694<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,175988.0,BuiltinAllAnalysis=violation=28028<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=823<>InPlaceSortAnalysis=list_used=1981<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=956<>NonFinitesAnalysis=non_finite_op=27929<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27791<>WrongTypeAddedAnalysis=check_insert=27791<>WrongTypeAddedAnalysis=check_extend=27791<>WrongTypeAddedAnalysis=check_add=27791<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
DomainConnectApplyZone,20260629_220215,6a899c860c4c9bca2ee6fb7439ee698216bd87a7,1550050621,Create DomainConnect.py,True,dylin,0,0,0,0,0,0,0.007,0.0,dylin,6.936547040939331,0.0,0.3067123889923095,0.3722445964813232,7.615504026412964,0.0,,0.0,,,,,,,,
DomainConnectApplyZone,20260629_220215,9d1df85c870e3ebd9da77ec85278d3bb73009c17,1550050645,Create Test.py,True,original,0,0,0,0,0,0,0.04,0.0,original,0.0,0.0,0.4198522567749023,0.0,0.4198522567749023,,,,,,,,,,,
DomainConnectApplyZone,20260629_220215,9d1df85c870e3ebd9da77ec85278d3bb73009c17,1550050645,Create Test.py,True,pymop,0,0,0,0,0,0,0.019,0.0,pymop,1.903801202774048,0.8531410694122314,1.993924856185913,0.0,4.750867128372192,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
DomainConnectApplyZone,20260629_220215,9d1df85c870e3ebd9da77ec85278d3bb73009c17,1550050645,Create Test.py,True,pymop_libs,0,0,0,0,0,0,0.363,0.0,pymop_libs,9.57028341293335,0.6968002319335938,5.7522711753845215,0.0,16.019354820251465,0.0,,0.0,,,,1069.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=686<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,176433.0,BuiltinAllAnalysis=violation=28098<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=826<>InPlaceSortAnalysis=list_used=1992<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=959<>NonFinitesAnalysis=non_finite_op=27999<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27863<>WrongTypeAddedAnalysis=check_insert=27863<>WrongTypeAddedAnalysis=check_extend=27863<>WrongTypeAddedAnalysis=check_add=27863<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
DomainConnectApplyZone,20260629_220215,9d1df85c870e3ebd9da77ec85278d3bb73009c17,1550050645,Create Test.py,True,dylin,0,0,0,0,0,0,0.007,0.0,dylin,8.664378881454468,0.0,0.2973752021789551,0.4723882675170898,9.434142351150513,0.0,,0.0,,,,,,,,
DomainConnectApplyZone,20260629_220215,9a4fb488669d1ea32459654f5d378e6af1c48c81,1551801831,Added signature code. Added prompting. Added GD Specific tests. Reworked to a class,True,original,0,0,0,0,0,0,0.055,0.0,original,0.0,0.0,0.4400787353515625,0.0,0.4400787353515625,,,,,,,,,,,
DomainConnectApplyZone,20260629_220215,9a4fb488669d1ea32459654f5d378e6af1c48c81,1551801831,Added signature code. Added prompting. Added GD Specific tests. Reworked to a class,True,pymop,0,0,0,0,0,0,0.014,0.0,pymop,1.338630437850952,0.706141471862793,2.126492738723755,0.0,4.1712646484375,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
DomainConnectApplyZone,20260629_220215,9a4fb488669d1ea32459654f5d378e6af1c48c81,1551801831,Added signature code. Added prompting. Added GD Specific tests. Reworked to a class,True,pymop_libs,0,0,0,0,0,0,0.406,0.0,pymop_libs,8.136658430099487,0.7002253532409668,5.225330114364624,0.0,14.062213897705078,0.0,,0.0,,,,1089.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=703<>UnsafeDictIterator=339<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,180506.0,BuiltinAllAnalysis=violation=28736<>ComparisonBehaviorAnalysis=ne_end=144<>ComparisonBehaviorAnalysis=eq_end=850<>InPlaceSortAnalysis=list_used=2098<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=984<>NonFinitesAnalysis=non_finite_op=28637<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28517<>WrongTypeAddedAnalysis=check_insert=28517<>WrongTypeAddedAnalysis=check_extend=28517<>WrongTypeAddedAnalysis=check_add=28517<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
DomainConnectApplyZone,20260629_220215,9a4fb488669d1ea32459654f5d378e6af1c48c81,1551801831,Added signature code. Added prompting. Added GD Specific tests. Reworked to a class,True,dylin,0,0,0,0,0,0,0.013,0.0,dylin,7.804354906082153,0.0,0.3063502311706543,0.3516805171966553,8.462385654449463,0.0,,0.0,,,,,,,,
DomainConnectApplyZone,20260629_220215,0833c536fe277a0bb676ccfdbbe88d0c1dd0f563,1551884556,Added more tests. Added NS record processing.,True,original,0,0,0,0,0,0,0.081,0.0,original,0.0,0.0,0.5716390609741211,0.0,0.5716390609741211,,,,,,,,,,,
