project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
Driftklar,20260629_220312,b2a04717fd920ebac6233451637c8990cf80ac04,1752501465,Add core components of the project,True,original,0,0,0,0,0,0,0.184,0.0,original,0.0,0.0,0.6609673500061035,0.0,0.6609673500061035,,,,,,,,,,,
Driftklar,20260629_220312,b2a04717fd920ebac6233451637c8990cf80ac04,1752501465,Add core components of the project,True,pymop,0,0,0,0,0,0,0.042,0.0,pymop,2.3254194259643555,0.9507315158843994,2.185713052749634,0.0,5.461863994598389,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
Driftklar,20260629_220312,b2a04717fd920ebac6233451637c8990cf80ac04,1752501465,Add core components of the project,True,pymop_libs,0,0,0,0,0,0,0.85,0.0,pymop_libs,10.563750505447388,0.700676679611206,6.607506990432739,0.0,17.871934175491333,0.0,,0.0,,,,1273.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=842<>UnsafeDictIterator=384<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,227633.0,BuiltinAllAnalysis=violation=36139<>ComparisonBehaviorAnalysis=ne_end=196<>ComparisonBehaviorAnalysis=eq_end=1079<>InPlaceSortAnalysis=list_used=3266<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1263<>NonFinitesAnalysis=non_finite_op=36029<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=609<>WrongTypeAddedAnalysis=check_append=36026<>WrongTypeAddedAnalysis=check_insert=36026<>WrongTypeAddedAnalysis=check_extend=36026<>WrongTypeAddedAnalysis=check_add=36026<>WrongTypeAddedAnalysis=check_add_assign=609<>UnsafeListIterator=createList=1845<>UnsafeDictIterator=createDict=389<>UnsafeDictIterator=updateDict=2058<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
Driftklar,20260629_220312,b2a04717fd920ebac6233451637c8990cf80ac04,1752501465,Add core components of the project,True,dylin,0,0,0,0,0,0,0.019,0.0,dylin,9.99490761756897,0.0,0.2690033912658691,0.3938174247741699,10.657728433609009,0.0,,0.0,,,,,,,,
Driftklar,20260629_220312,1b55ff4f23ede8da248f7cce0a11219eaec39a09,1752501562,"Add tests, docs, and examples",False,original,6,0,0,0,0,0,0.835,28.87,original,0.0,0.0,1.2326080799102783,0.0,1.2326080799102783,,,,,,,,,,,1168
Driftklar,20260629_220312,1b55ff4f23ede8da248f7cce0a11219eaec39a09,1752501562,"Add tests, docs, and examples",False,pymop,6,0,0,0,0,0,2.824,28.87,pymop,2.5012385845184326,0.930840015411377,4.872509002685547,0.0,8.304587602615356,1.0,Pydocs_MustShutdownBeforeCloseSocket=1,1.0,Pydocs_MustShutdownBeforeCloseSocket=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18={'tests/test_helpers.py::test_find_free_port_returns_valid_port'},313.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=190<>UnsafeDictIterator=56<>UnsafeListIterator=21<>Pydocs_MustCloseSocket=30<>Pydocs_MustShutdownBeforeCloseSocket=1<>PyDocs_UnsafeIterUseAfterTee=2,7765.0,BuiltinAllAnalysis=violation=1175<>ComparisonBehaviorAnalysis=eq_end=116<>InPlaceSortAnalysis=list_used=22<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=116<>NonFinitesAnalysis=non_finite_op=1175<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1175<>WrongTypeAddedAnalysis=check_insert=1175<>WrongTypeAddedAnalysis=check_extend=1175<>WrongTypeAddedAnalysis=check_add=1175<>FileClosedAnalysis=open=96<>FileClosedAnalysis=close=95<>FileClosedAnalysis=end=94<>UnsafeDictIterator=createDict=56<>UnsafeDictIterator=updateDict=12<>UnsafeListIterator=createList=21<>UnsafeListIterator=updateList=51<>Pydocs_MustCloseSocket=init=15<>Pydocs_MustCloseSocket=close=1<>Pydocs_MustCloseSocket=end=15<>Pydocs_MustShutdownBeforeCloseSocket=close=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,1168
Driftklar,20260629_220312,1b55ff4f23ede8da248f7cce0a11219eaec39a09,1752501562,"Add tests, docs, and examples",False,pymop_libs,6,0,0,0,0,0,21.589,28.87,pymop_libs,8.926843404769897,0.8446259498596191,27.20021891593933,0.0,36.97168827056885,4.0,RandomMustUseSeed=1;InvalidComparisonAnalysis=2;Pydocs_MustShutdownBeforeCloseSocket=1,3.0,RandomMustUseSeed=1;InvalidComparisonAnalysis=1;Pydocs_MustShutdownBeforeCloseSocket=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18={'tests/test_helpers.py::test_find_free_port_returns_valid_port'},6190.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4578<>UnsafeDictIterator=1299<>ArgParse_Parent=1<>FileClosedAnalysis=192<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Pydocs_MustReleaseLock=50<>Pydocs_MustCloseSocket=30<>Pydocs_MustShutdownBeforeCloseSocket=1<>PyDocs_UnsafeIterUseAfterTee=2,1723024.0,BuiltinAllAnalysis=violation=252157<>ComparisonBehaviorAnalysis=ne_end=5136<>ComparisonBehaviorAnalysis=eq_end=45038<>InPlaceSortAnalysis=list_used=29371<>InPlaceSortAnalysis=list_sorted=473<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=50162<>NonFinitesAnalysis=non_finite_op=252047<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=26076<>StringStripAnalysis=strip=207<>WrongTypeAddedAnalysis=check_append=253848<>WrongTypeAddedAnalysis=check_insert=253848<>WrongTypeAddedAnalysis=check_extend=253848<>WrongTypeAddedAnalysis=check_add=253848<>WrongTypeAddedAnalysis=check_add_assign=26076<>UnsafeListIterator=createList=13020<>UnsafeListIterator=updateList=51<>UnsafeListIterator=createIter=408<>UnsafeListIterator=next=415<>UnsafeDictIterator=createDict=1507<>UnsafeDictIterator=updateDict=4900<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=97<>FileClosedAnalysis=close=96<>FileClosedAnalysis=end=95<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Pydocs_MustReleaseLock=acquire=106<>Pydocs_MustReleaseLock=release=106<>Pydocs_MustReleaseLock=end=25<>Pydocs_MustCloseSocket=init=15<>Pydocs_MustCloseSocket=close=1<>Pydocs_MustCloseSocket=end=15<>Pydocs_MustShutdownBeforeCloseSocket=close=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,1168
Driftklar,20260629_220312,1b55ff4f23ede8da248f7cce0a11219eaec39a09,1752501562,"Add tests, docs, and examples",False,dylin,6,0,0,0,0,0,4.303,28.87,dylin,9.852341651916504,0.0,5.854593515396118,0.4693472385406494,16.17628240585327,0.0,,0.0,,,,,,,,1168
Driftklar,20260629_220312,90c48939ba63db13fc21f876b8729c6f57b9fc0c,1755751560,feat: Implement comprehensive plugin system for unlimited service support,False,original,6,0,0,0,0,0,0.983,10.86,original,0.0,0.0,1.453749179840088,0.0,1.453749179840088,,,,,,,,,,,2987
Driftklar,20260629_220312,90c48939ba63db13fc21f876b8729c6f57b9fc0c,1755751560,feat: Implement comprehensive plugin system for unlimited service support,False,pymop,6,0,0,0,0,0,2.995,10.86,pymop,2.5151357650756836,0.7773125171661377,5.210377216339111,0.0,8.502825498580933,1.0,Pydocs_MustShutdownBeforeCloseSocket=1,1.0,Pydocs_MustShutdownBeforeCloseSocket=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18=1,Pydocs_MustShutdownBeforeCloseSocket:/tests/test_helpers.py:18={'tests/test_helpers.py::test_find_free_port_returns_valid_port'},313.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=190<>UnsafeDictIterator=56<>UnsafeListIterator=21<>Pydocs_MustCloseSocket=30<>Pydocs_MustShutdownBeforeCloseSocket=1<>PyDocs_UnsafeIterUseAfterTee=2,7765.0,BuiltinAllAnalysis=violation=1175<>ComparisonBehaviorAnalysis=eq_end=116<>InPlaceSortAnalysis=list_used=22<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=116<>NonFinitesAnalysis=non_finite_op=1175<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1175<>WrongTypeAddedAnalysis=check_insert=1175<>WrongTypeAddedAnalysis=check_extend=1175<>WrongTypeAddedAnalysis=check_add=1175<>FileClosedAnalysis=open=96<>FileClosedAnalysis=close=95<>FileClosedAnalysis=end=94<>UnsafeDictIterator=createDict=56<>UnsafeDictIterator=updateDict=12<>UnsafeListIterator=createList=21<>UnsafeListIterator=updateList=51<>Pydocs_MustCloseSocket=init=15<>Pydocs_MustCloseSocket=close=1<>Pydocs_MustCloseSocket=end=15<>Pydocs_MustShutdownBeforeCloseSocket=close=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2987
