project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
HeatExchangerMonitor,20260629_220601,592bc13aa2a4dc834e41494087ec293083c9bb59,1760707921,Implement temperature collector for heat exchanger monitoring,False,original,10,0,0,0,0,0,0.092,71.02000000000001,original,0.0,0.0,0.3532600402832031,0.0,0.3532600402832031,,,,,,,,,,,431
HeatExchangerMonitor,20260629_220601,592bc13aa2a4dc834e41494087ec293083c9bb59,1760707921,Implement temperature collector for heat exchanger monitoring,False,pymop,10,0,0,0,0,0,0.082,71.02000000000001,pymop,0.7136397361755371,0.3141477108001709,1.6953730583190918,0.0,2.7231605052948,9.0,RandomMustUseSeed=9,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76=1;RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61=1,"RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76={'tests/test_temperature_collector.py::test_read_all_temperatures', 'tests/test_temperature_collector.py::test_mock_sensor_functionality', 'tests/test_temperature_collector.py::test_temperature_consistency_cold', 'tests/test_temperature_collector.py::test_temperature_consistency_hot', 'tests/test_temperature_collector.py::test_read_single_temperature'};RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61={'tests/test_temperature_collector.py::test_mock_sensor_functionality'}",97.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeListIterator=5<>UnsafeDictIterator=21<>RandomMustUseSeed=2,3355.0,BuiltinAllAnalysis=violation=519<>ComparisonBehaviorAnalysis=eq_end=22<>InPlaceSortAnalysis=list_used=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=22<>NonFinitesAnalysis=non_finite_op=519<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=8<>StringStripAnalysis=strip=8<>WrongTypeAddedAnalysis=check_append=519<>WrongTypeAddedAnalysis=check_insert=519<>WrongTypeAddedAnalysis=check_extend=519<>WrongTypeAddedAnalysis=check_add=519<>WrongTypeAddedAnalysis=check_add_assign=8<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeListIterator=createList=5<>UnsafeDictIterator=createDict=25<>UnsafeDictIterator=updateDict=44<>RandomMustUseSeed=all=9,431
HeatExchangerMonitor,20260629_220601,592bc13aa2a4dc834e41494087ec293083c9bb59,1760707921,Implement temperature collector for heat exchanger monitoring,False,pymop_libs,10,0,0,0,0,0,1.628,71.02000000000001,pymop_libs,5.250317335128784,0.2584524154663086,6.674911737442017,0.0,12.18368148803711,9.0,RandomMustUseSeed=9,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76=1;RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61=1,"RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76={'tests/test_temperature_collector.py::test_read_all_temperatures', 'tests/test_temperature_collector.py::test_mock_sensor_functionality', 'tests/test_temperature_collector.py::test_temperature_consistency_cold', 'tests/test_temperature_collector.py::test_temperature_consistency_hot', 'tests/test_temperature_collector.py::test_read_single_temperature'};RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61={'tests/test_temperature_collector.py::test_mock_sensor_functionality'}",3763.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2636<>UnsafeDictIterator=1032<>ArgParse_Parent=1<>FileClosedAnalysis=56<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2,479902.0,BuiltinAllAnalysis=violation=73881<>ComparisonBehaviorAnalysis=ne_end=441<>ComparisonBehaviorAnalysis=eq_end=3658<>InPlaceSortAnalysis=list_used=11245<>InPlaceSortAnalysis=list_sorted=57<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4089<>NonFinitesAnalysis=non_finite_op=73782<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2487<>StringStripAnalysis=strip=112<>WrongTypeAddedAnalysis=check_append=74133<>WrongTypeAddedAnalysis=check_insert=74133<>WrongTypeAddedAnalysis=check_extend=74133<>WrongTypeAddedAnalysis=check_add=74133<>WrongTypeAddedAnalysis=check_add_assign=2487<>UnsafeListIterator=createList=6050<>UnsafeDictIterator=createDict=1278<>UnsafeDictIterator=updateDict=3682<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=9,431
HeatExchangerMonitor,20260629_220601,592bc13aa2a4dc834e41494087ec293083c9bb59,1760707921,Implement temperature collector for heat exchanger monitoring,False,dylin,10,0,0,0,0,0,2.553,71.02000000000001,dylin,4.120366096496582,0.0,4.000086069107056,0.1774566173553466,8.297908782958984,0.0,,0.0,,,,,,,,431
HeatExchangerMonitor,20260629_220601,9c8339cbe647440800ab68e48f1427315a34e8b9,1761492323,Add temperature_publisher.py file for temperature data publishing functionality,False,original,10,0,0,0,0,0,0.09,71.07,original,0.0,0.0,0.349318265914917,0.0,0.349318265914917,,,,,,,,,,,436
HeatExchangerMonitor,20260629_220601,9c8339cbe647440800ab68e48f1427315a34e8b9,1761492323,Add temperature_publisher.py file for temperature data publishing functionality,False,pymop,10,0,0,0,0,0,0.089,71.07,pymop,0.729799747467041,0.3201253414154053,1.730700969696045,0.0,2.780626058578491,9.0,RandomMustUseSeed=9,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76=1;RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61=1,"RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76={'tests/test_temperature_collector.py::test_read_all_temperatures', 'tests/test_temperature_collector.py::test_mock_sensor_functionality', 'tests/test_temperature_collector.py::test_temperature_consistency_cold', 'tests/test_temperature_collector.py::test_temperature_consistency_hot', 'tests/test_temperature_collector.py::test_read_single_temperature'};RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61={'tests/test_temperature_collector.py::test_mock_sensor_functionality'}",98.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeListIterator=5<>UnsafeDictIterator=22<>RandomMustUseSeed=2,3595.0,BuiltinAllAnalysis=violation=559<>ComparisonBehaviorAnalysis=eq_end=22<>InPlaceSortAnalysis=list_used=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=22<>NonFinitesAnalysis=non_finite_op=559<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=8<>StringStripAnalysis=strip=8<>WrongTypeAddedAnalysis=check_append=559<>WrongTypeAddedAnalysis=check_insert=559<>WrongTypeAddedAnalysis=check_extend=559<>WrongTypeAddedAnalysis=check_add=559<>WrongTypeAddedAnalysis=check_add_assign=8<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeListIterator=createList=5<>UnsafeDictIterator=createDict=25<>UnsafeDictIterator=updateDict=44<>RandomMustUseSeed=all=9,436
HeatExchangerMonitor,20260629_220601,9c8339cbe647440800ab68e48f1427315a34e8b9,1761492323,Add temperature_publisher.py file for temperature data publishing functionality,False,pymop_libs,10,0,0,0,0,0,1.646,71.07,pymop_libs,4.873407602310181,0.2585058212280273,6.944097518920898,0.0,12.076010942459106,9.0,RandomMustUseSeed=9,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76=1;RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61=1,"RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76={'tests/test_temperature_collector.py::test_read_all_temperatures', 'tests/test_temperature_collector.py::test_mock_sensor_functionality', 'tests/test_temperature_collector.py::test_temperature_consistency_cold', 'tests/test_temperature_collector.py::test_temperature_consistency_hot', 'tests/test_temperature_collector.py::test_read_single_temperature'};RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61={'tests/test_temperature_collector.py::test_mock_sensor_functionality'}",3723.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2583<>UnsafeDictIterator=1045<>ArgParse_Parent=1<>FileClosedAnalysis=56<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2,479798.0,BuiltinAllAnalysis=violation=73870<>ComparisonBehaviorAnalysis=ne_end=442<>ComparisonBehaviorAnalysis=eq_end=3651<>InPlaceSortAnalysis=list_used=11225<>InPlaceSortAnalysis=list_sorted=57<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4083<>NonFinitesAnalysis=non_finite_op=73771<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2485<>StringStripAnalysis=strip=112<>WrongTypeAddedAnalysis=check_append=74121<>WrongTypeAddedAnalysis=check_insert=74121<>WrongTypeAddedAnalysis=check_extend=74121<>WrongTypeAddedAnalysis=check_add=74121<>WrongTypeAddedAnalysis=check_add_assign=2485<>UnsafeListIterator=createList=6050<>UnsafeDictIterator=createDict=1280<>UnsafeDictIterator=updateDict=3682<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=9,436
HeatExchangerMonitor,20260629_220601,9c8339cbe647440800ab68e48f1427315a34e8b9,1761492323,Add temperature_publisher.py file for temperature data publishing functionality,False,dylin,10,0,0,0,0,0,2.528,71.07,dylin,4.132303237915039,0.0,3.8192780017852783,0.1719119548797607,8.123493194580078,0.0,,0.0,,,,,,,,436
HeatExchangerMonitor,20260629_220602,1871ab2e83b3fda92e482db4e208516cdc22bb70,1761502821,Implement temperature publishing functionality with Azure Web PubSub integration,False,original,10,0,0,0,0,0,0.094,60.709999999999994,original,0.0,0.0,0.3510010242462158,0.0,0.3510010242462158,,,,,,,,,,,516
HeatExchangerMonitor,20260629_220602,1871ab2e83b3fda92e482db4e208516cdc22bb70,1761502821,Implement temperature publishing functionality with Azure Web PubSub integration,False,pymop,10,0,0,0,0,0,0.089,60.709999999999994,pymop,0.6945593357086182,0.3314800262451172,1.757776975631714,0.0,2.783816337585449,9.0,RandomMustUseSeed=9,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76=1;RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61=1,"RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:76={'tests/test_temperature_collector.py::test_read_all_temperatures', 'tests/test_temperature_collector.py::test_mock_sensor_functionality', 'tests/test_temperature_collector.py::test_temperature_consistency_cold', 'tests/test_temperature_collector.py::test_temperature_consistency_hot', 'tests/test_temperature_collector.py::test_read_single_temperature'};RandomMustUseSeed:/tests/../therm/mock_w1thermsensor.py:61={'tests/test_temperature_collector.py::test_mock_sensor_functionality'}",100.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeListIterator=5<>UnsafeDictIterator=24<>RandomMustUseSeed=2,3601.0,BuiltinAllAnalysis=violation=560<>ComparisonBehaviorAnalysis=eq_end=22<>InPlaceSortAnalysis=list_used=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=22<>NonFinitesAnalysis=non_finite_op=560<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=8<>StringStripAnalysis=strip=8<>WrongTypeAddedAnalysis=check_append=560<>WrongTypeAddedAnalysis=check_insert=560<>WrongTypeAddedAnalysis=check_extend=560<>WrongTypeAddedAnalysis=check_add=560<>WrongTypeAddedAnalysis=check_add_assign=8<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeListIterator=createList=5<>UnsafeDictIterator=createDict=25<>UnsafeDictIterator=updateDict=44<>RandomMustUseSeed=all=9,516
