project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
IMDBKit,20260629_215830,8c4ce4d5cc52fc271bd442cc2909697faec9deb3,1769173306,Create __init__.py,True,original,0,0,0,0,0,0,0.038,0.0,original,0.0,0.0,0.4538619518280029,0.0,0.4538619518280029,,,,,,,,,,,
IMDBKit,20260629_215830,8c4ce4d5cc52fc271bd442cc2909697faec9deb3,1769173306,Create __init__.py,True,pymop,0,0,0,0,0,0,0.015,0.0,pymop,2.3153493404388428,0.5592634677886963,1.7915384769439695,0.0,4.666151285171509,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
IMDBKit,20260629_215830,8c4ce4d5cc52fc271bd442cc2909697faec9deb3,1769173306,Create __init__.py,True,pymop_libs,0,0,0,0,0,0,0.425,0.0,pymop_libs,8.236474990844727,0.4522931575775146,4.960605144500732,0.0,13.649373292922974,0.0,,0.0,,,,1082.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=692<>UnsafeDictIterator=343<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,182718.0,BuiltinAllAnalysis=violation=29074<>ComparisonBehaviorAnalysis=ne_end=157<>ComparisonBehaviorAnalysis=eq_end=875<>InPlaceSortAnalysis=list_used=2147<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1022<>NonFinitesAnalysis=non_finite_op=28975<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=591<>WrongTypeAddedAnalysis=check_append=28863<>WrongTypeAddedAnalysis=check_insert=28863<>WrongTypeAddedAnalysis=check_extend=28863<>WrongTypeAddedAnalysis=check_add=28863<>WrongTypeAddedAnalysis=check_add_assign=591<>UnsafeListIterator=createList=1444<>UnsafeDictIterator=createDict=348<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
IMDBKit,20260629_215830,8c4ce4d5cc52fc271bd442cc2909697faec9deb3,1769173306,Create __init__.py,True,dylin,0,0,0,0,0,0,0.01,0.0,dylin,6.124510765075684,0.0,0.2918460369110107,0.4123303890228271,6.8286871910095215,0.0,,0.0,,,,,,,,
IMDBKit,20260629_215830,ab2b5b8be6c54529837401bad3023a3df26027fc,1769173387,Create api.py,True,original,0,0,0,0,0,0,0.065,0.0,original,0.0,0.0,0.4569094181060791,0.0,0.4569094181060791,,,,,,,,,,,
IMDBKit,20260629_215830,ab2b5b8be6c54529837401bad3023a3df26027fc,1769173387,Create api.py,True,pymop,0,0,0,0,0,0,0.015,0.0,pymop,2.4083266258239746,0.622957706451416,2.0143837928771973,0.0,5.045668125152588,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
IMDBKit,20260629_215830,ab2b5b8be6c54529837401bad3023a3df26027fc,1769173387,Create api.py,True,pymop_libs,0,0,0,0,0,0,0.425,0.0,pymop_libs,8.31604266166687,0.4798047542572021,4.967543601989746,0.0,13.763391017913818,0.0,,0.0,,,,1085.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=695<>UnsafeDictIterator=343<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,183165.0,BuiltinAllAnalysis=violation=29144<>ComparisonBehaviorAnalysis=ne_end=158<>ComparisonBehaviorAnalysis=eq_end=878<>InPlaceSortAnalysis=list_used=2158<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1026<>NonFinitesAnalysis=non_finite_op=29045<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=591<>WrongTypeAddedAnalysis=check_append=28935<>WrongTypeAddedAnalysis=check_insert=28935<>WrongTypeAddedAnalysis=check_extend=28935<>WrongTypeAddedAnalysis=check_add=28935<>WrongTypeAddedAnalysis=check_add_assign=591<>UnsafeListIterator=createList=1444<>UnsafeDictIterator=createDict=348<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
IMDBKit,20260629_215830,ab2b5b8be6c54529837401bad3023a3df26027fc,1769173387,Create api.py,True,dylin,0,0,0,0,0,0,0.007,0.0,dylin,6.487129211425781,0.0,0.2671570777893066,0.3901376724243164,7.144423961639404,0.0,,0.0,,,,,,,,
IMDBKit,20260629_215830,44cf4816947f5c6d531d1bc45a35222c6afcdc0d,1769173425,Create challenge_solver.py,True,original,0,0,0,0,0,0,0.058,0.0,original,0.0,0.0,0.4276418685913086,0.0,0.4276418685913086,,,,,,,,,,,
IMDBKit,20260629_215830,44cf4816947f5c6d531d1bc45a35222c6afcdc0d,1769173425,Create challenge_solver.py,True,pymop,0,0,0,0,0,0,0.015,0.0,pymop,2.5133533477783203,0.6008498668670654,2.0043716430664062,0.0,5.118574857711792,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
