project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
NextMCP,20260629_220444,c74afb6ce73e1615f646f493eeab00c502fb40fe,1762198749,Initial commit: Complete SecureMCP boilerplate,False,original,21,0,0,0,0,0,0.198,56.120000000000005,original,0.0,0.0,0.5184640884399414,0.0,0.5184640884399414,,,,,,,,,,,1111
NextMCP,20260629_220444,c74afb6ce73e1615f646f493eeab00c502fb40fe,1762198749,Initial commit: Complete SecureMCP boilerplate,False,pymop,21,0,0,0,0,0,0.174,56.120000000000005,pymop,0.950103521347046,0.3175587654113769,3.0043811798095703,0.0,4.272043466567993,0.0,,0.0,,,,144.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=90<>UnsafeDictIterator=27<>UnsafeListIterator=14,1748.0,BuiltinAllAnalysis=violation=228<>ComparisonBehaviorAnalysis=eq_end=39<>ComparisonBehaviorAnalysis=ne_end=6<>InPlaceSortAnalysis=list_used=17<>InPlaceSortAnalysis=list_sorted=3<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=45<>NonFinitesAnalysis=non_finite_op=228<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=7<>WrongTypeAddedAnalysis=check_append=234<>WrongTypeAddedAnalysis=check_insert=234<>WrongTypeAddedAnalysis=check_extend=234<>WrongTypeAddedAnalysis=check_add=234<>WrongTypeAddedAnalysis=check_add_assign=7<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>UnsafeDictIterator=createDict=31<>UnsafeDictIterator=updateDict=29<>UnsafeListIterator=createList=17<>UnsafeListIterator=updateList=18,1111
NextMCP,20260629_220444,c74afb6ce73e1615f646f493eeab00c502fb40fe,1762198749,Initial commit: Complete SecureMCP boilerplate,False,pymop_libs,21,0,0,0,0,0,2.863,56.120000000000005,pymop_libs,5.910923004150391,0.2800366878509521,8.698427200317383,0.0,14.889386892318726,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},2818.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1833<>UnsafeDictIterator=858<>ArgParse_Parent=1<>FileClosedAnalysis=90<>faulthandler_disableBeforeClose=1,475093.0,BuiltinAllAnalysis=violation=73488<>ComparisonBehaviorAnalysis=ne_end=675<>ComparisonBehaviorAnalysis=eq_end=3880<>InPlaceSortAnalysis=list_used=9368<>InPlaceSortAnalysis=list_sorted=30<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4543<>NonFinitesAnalysis=non_finite_op=73378<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2031<>StringStripAnalysis=strip=63<>WrongTypeAddedAnalysis=check_append=73898<>WrongTypeAddedAnalysis=check_insert=73898<>WrongTypeAddedAnalysis=check_extend=73898<>WrongTypeAddedAnalysis=check_add=73898<>WrongTypeAddedAnalysis=check_add_assign=2031<>UnsafeListIterator=createList=5349<>UnsafeListIterator=updateList=18<>UnsafeDictIterator=createDict=1012<>UnsafeDictIterator=updateDict=3472<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=46<>FileClosedAnalysis=close=45<>FileClosedAnalysis=end=44<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1111
NextMCP,20260629_220444,c74afb6ce73e1615f646f493eeab00c502fb40fe,1762198749,Initial commit: Complete SecureMCP boilerplate,False,dylin,21,0,0,0,0,0,2.641,56.120000000000005,dylin,4.628150701522827,0.0,4.113656044006348,0.1813957691192627,8.923202514648438,0.0,,0.0,,,,,,,,1111
NextMCP,20260629_220444,015d7b692ffa82860bfd75aa07951f38047a19f7,1762199723,Add comprehensive async/await support to SecureMCP,False,original,39,0,0,0,0,0,1.831,68.47,original,0.0,0.0,2.131739854812622,0.0,2.131739854812622,,,,,,,,,,,1623
NextMCP,20260629_220444,015d7b692ffa82860bfd75aa07951f38047a19f7,1762199723,Add comprehensive async/await support to SecureMCP,False,pymop,39,0,0,0,0,0,1.815,68.47,pymop,0.8640518188476562,0.3207337856292724,4.616935968399048,0.0,5.801721572875977,0.0,,0.0,,,,184.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=45<>UnsafeListIterator=34,3777.0,BuiltinAllAnalysis=violation=536<>ComparisonBehaviorAnalysis=eq_end=58<>ComparisonBehaviorAnalysis=ne_end=6<>InPlaceSortAnalysis=list_used=43<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=64<>NonFinitesAnalysis=non_finite_op=536<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=14<>WrongTypeAddedAnalysis=check_append=542<>WrongTypeAddedAnalysis=check_insert=542<>WrongTypeAddedAnalysis=check_extend=542<>WrongTypeAddedAnalysis=check_add=542<>WrongTypeAddedAnalysis=check_add_assign=14<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=56<>UnsafeDictIterator=updateDict=58<>UnsafeListIterator=createList=45<>UnsafeListIterator=updateList=33,1623
NextMCP,20260629_220444,015d7b692ffa82860bfd75aa07951f38047a19f7,1762199723,Add comprehensive async/await support to SecureMCP,False,pymop_libs,39,0,0,0,0,0,5.553,68.47,pymop_libs,5.4828901290893555,0.2699677944183349,10.92358374595642,0.0,16.67644166946411,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},4050.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2608<>UnsafeDictIterator=1313<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1,705494.0,BuiltinAllAnalysis=violation=108393<>ComparisonBehaviorAnalysis=ne_end=863<>ComparisonBehaviorAnalysis=eq_end=5866<>InPlaceSortAnalysis=list_used=16085<>InPlaceSortAnalysis=list_sorted=51<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6717<>NonFinitesAnalysis=non_finite_op=108283<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2954<>StringStripAnalysis=strip=129<>WrongTypeAddedAnalysis=check_append=109449<>WrongTypeAddedAnalysis=check_insert=109449<>WrongTypeAddedAnalysis=check_extend=109449<>WrongTypeAddedAnalysis=check_add=109449<>WrongTypeAddedAnalysis=check_add_assign=2954<>UnsafeListIterator=createList=9023<>UnsafeListIterator=updateList=33<>UnsafeDictIterator=createDict=1564<>UnsafeDictIterator=updateDict=4617<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1623
NextMCP,20260629_220444,015d7b692ffa82860bfd75aa07951f38047a19f7,1762199723,Add comprehensive async/await support to SecureMCP,False,dylin,39,0,0,0,0,0,4.454,68.47,dylin,4.749868392944336,0.0,5.8465940952301025,0.1703214645385742,10.766783952713013,0.0,,0.0,,,,,,,,1623
NextMCP,20260629_220444,756c6ff433cb53e6b2324d38b2124521be0704c5,1762200371,Add WebSocket transport support to SecureMCP,False,original,57,0,0,0,0,0,4.861,73.3,original,0.0,0.0,5.174352407455444,0.0,5.174352407455444,,,,,,,,,,,2409
NextMCP,20260629_220444,756c6ff433cb53e6b2324d38b2124521be0704c5,1762200371,Add WebSocket transport support to SecureMCP,False,pymop,57,0,0,0,0,0,4.869,73.3,pymop,0.8780503273010254,0.3414349555969238,7.699131965637207,0.0,8.918617248535156,0.0,,0.0,,,,305.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=94<>UnsafeDictIterator=114<>UnsafeListIterator=84,11811.0,BuiltinAllAnalysis=violation=1818<>ComparisonBehaviorAnalysis=eq_end=105<>ComparisonBehaviorAnalysis=ne_end=6<>InPlaceSortAnalysis=list_used=79<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=111<>NonFinitesAnalysis=non_finite_op=1818<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=15<>WrongTypeAddedAnalysis=check_append=1825<>WrongTypeAddedAnalysis=check_insert=1825<>WrongTypeAddedAnalysis=check_extend=1825<>WrongTypeAddedAnalysis=check_add=1825<>WrongTypeAddedAnalysis=check_add_assign=15<>FileClosedAnalysis=open=48<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=46<>UnsafeDictIterator=createDict=144<>UnsafeDictIterator=updateDict=118<>UnsafeListIterator=createList=98<>UnsafeListIterator=updateList=35,2409
