project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
OpenDoor,20260629_215659,7b7f34006c69e2fc2080513bc8d00f96929260c3,1468034215,[ADD] Basic structure,True,original,0,0,0,0,0,0,0.017,100.0,original,0.0,0.0,0.1959521770477295,0.0,0.1959521770477295,,,,,,,,,,,
OpenDoor,20260629_215659,7b7f34006c69e2fc2080513bc8d00f96929260c3,1468034215,[ADD] Basic structure,True,pymop,0,0,0,0,0,0,0.008,100.0,pymop,0.6839375495910645,0.2995920181274414,0.8607032299041748,0.0,1.8442327976226809,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
OpenDoor,20260629_215659,7b7f34006c69e2fc2080513bc8d00f96929260c3,1468034215,[ADD] Basic structure,True,pymop_libs,0,0,0,0,0,0,0.195,100.0,pymop_libs,4.412497043609619,0.2338905334472656,2.694709539413452,0.0,7.341097116470337,0.0,,0.0,,,,1063.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=674<>UnsafeDictIterator=342<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,182090.0,BuiltinAllAnalysis=violation=28983<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=851<>InPlaceSortAnalysis=list_used=2134<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=987<>NonFinitesAnalysis=non_finite_op=28884<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=589<>WrongTypeAddedAnalysis=check_append=28766<>WrongTypeAddedAnalysis=check_insert=28766<>WrongTypeAddedAnalysis=check_extend=28766<>WrongTypeAddedAnalysis=check_add=28766<>WrongTypeAddedAnalysis=check_add_assign=589<>UnsafeListIterator=createList=1469<>UnsafeDictIterator=createDict=349<>UnsafeDictIterator=updateDict=1998<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
OpenDoor,20260629_215659,7b7f34006c69e2fc2080513bc8d00f96929260c3,1468034215,[ADD] Basic structure,True,dylin,0,0,0,0,0,0,0.003,100.0,dylin,3.377718687057495,0.0,0.1036810874938964,0.1474034786224365,3.628803253173828,0.0,,0.0,,,,,,,,
OpenDoor,20260629_215659,543e3c3a173bf62ff77a8c0b51115cdb58ed2811,1468170028,[ADD] Library autoloader,True,original,0,0,0,0,0,0,0.019,0.0,original,0.0,0.0,0.1937592029571533,0.0,0.1937592029571533,,,,,,,,,,,
OpenDoor,20260629_215659,543e3c3a173bf62ff77a8c0b51115cdb58ed2811,1468170028,[ADD] Library autoloader,True,pymop,0,0,0,0,0,0,0.009,0.0,pymop,0.7773036956787109,0.2994532585144043,0.986691951751709,0.0,2.063448905944824,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
OpenDoor,20260629_215659,543e3c3a173bf62ff77a8c0b51115cdb58ed2811,1468170028,[ADD] Library autoloader,True,pymop_libs,0,0,0,0,0,0,0.239,0.0,pymop_libs,6.048920631408691,0.2853367328643799,3.465426206588745,0.0,9.799683570861816,0.0,,0.0,,,,1096.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=710<>UnsafeDictIterator=339<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,183846.0,BuiltinAllAnalysis=violation=29256<>ComparisonBehaviorAnalysis=ne_end=150<>ComparisonBehaviorAnalysis=eq_end=865<>InPlaceSortAnalysis=list_used=2184<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1005<>NonFinitesAnalysis=non_finite_op=29157<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=589<>WrongTypeAddedAnalysis=check_append=29047<>WrongTypeAddedAnalysis=check_insert=29047<>WrongTypeAddedAnalysis=check_extend=29047<>WrongTypeAddedAnalysis=check_add=29047<>WrongTypeAddedAnalysis=check_add_assign=589<>UnsafeListIterator=createList=1469<>UnsafeDictIterator=createDict=349<>UnsafeDictIterator=updateDict=1998<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
OpenDoor,20260629_215659,543e3c3a173bf62ff77a8c0b51115cdb58ed2811,1468170028,[ADD] Library autoloader,True,dylin,0,0,0,0,0,0,0.004,0.0,dylin,4.438189506530762,0.0,0.1232519149780273,0.1825754642486572,4.744016885757446,0.0,,0.0,,,,,,,,
OpenDoor,20260629_215659,4deba0bbe44c9a412e769367274c5cb2ae6753ca,1468187805,"[ADD] Versioneer, Color",True,original,0,0,0,0,0,0,0.06,0.0,original,0.0,0.0,0.245084524154663,0.0,0.245084524154663,,,,,,,,,,,
OpenDoor,20260629_215659,4deba0bbe44c9a412e769367274c5cb2ae6753ca,1468187805,"[ADD] Versioneer, Color",True,pymop,0,0,0,0,0,0,0.009,0.0,pymop,0.9467175006866456,0.3516831398010254,0.975910186767578,0.0,2.274310827255249,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,20.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
