project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
PIIDigger,20260629_215727,2cd69111ab4ce2a1ec5340225cfaba2f6fa8ef7d,1710540183,v1.0.0 Release,True,original,0,0,0,0,0,4,0.078,16.36,original,0.0,0.0,0.4185423851013183,0.0,0.4185423851013183,,,,,,,,,,,
PIIDigger,20260629_215727,2cd69111ab4ce2a1ec5340225cfaba2f6fa8ef7d,1710540183,v1.0.0 Release,True,pymop,0,0,0,0,0,4,0.274,16.36,pymop,2.1984474658966064,0.5213150978088379,1.8305552005767824,0.0,4.550317764282227,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8,
PIIDigger,20260629_215727,2cd69111ab4ce2a1ec5340225cfaba2f6fa8ef7d,1710540183,v1.0.0 Release,True,pymop_libs,0,0,0,0,0,4,4.811,16.36,pymop_libs,7.765793323516846,0.4601192474365234,9.093892812728882,0.0,17.31980538368225,0.0,,0.0,,,,1416.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=983<>UnsafeDictIterator=378<>ArgParse_Parent=1<>FileClosedAnalysis=18<>faulthandler_disableBeforeClose=1,997233.0,BuiltinAllAnalysis=violation=163988<>ComparisonBehaviorAnalysis=ne_end=246<>ComparisonBehaviorAnalysis=eq_end=1369<>InPlaceSortAnalysis=list_used=3891<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1605<>NonFinitesAnalysis=non_finite_op=163889<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=916<>StringStripAnalysis=strip=44<>WrongTypeAddedAnalysis=check_append=163990<>WrongTypeAddedAnalysis=check_insert=163990<>WrongTypeAddedAnalysis=check_extend=163990<>WrongTypeAddedAnalysis=check_add=163990<>WrongTypeAddedAnalysis=check_add_assign=916<>UnsafeListIterator=createList=1919<>UnsafeDictIterator=createDict=387<>UnsafeDictIterator=updateDict=2044<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
PIIDigger,20260629_215727,2cd69111ab4ce2a1ec5340225cfaba2f6fa8ef7d,1710540183,v1.0.0 Release,True,dylin,0,0,0,0,0,4,4.125,16.36,dylin,8.121852159500122,0.0,5.43634033203125,0.30959153175354,13.867784023284912,0.0,,0.0,,,,,,,,
PIIDigger,20260629_215727,0a547a3b7498b3fe21e8d1e09ddb9845086005ec,1712671570,V1.1.0 (#11),False,original,46,17,0,0,0,0,1.044,59.51,original,0.0,0.0,1.40545916557312,0.0,1.40545916557312,,,,,,,,,,,1922
PIIDigger,20260629_215727,0a547a3b7498b3fe21e8d1e09ddb9845086005ec,1712671570,V1.1.0 (#11),False,pymop,46,17,0,0,0,0,4.382,59.51,pymop,2.1687262058258057,0.626084566116333,6.138526916503906,0.0,8.933337688446045,3053.0,InvalidComparisonAnalysis=3053,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78=1,"InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78={'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-2sheet-10row-table.xls-expected_result5]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1cell.xls-expected_result2]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1row.xls-expected_result3]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/random-data-table.xls-expected_result1]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-10row-table.xls-expected_result4]'}",416.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeListIterator=130<>UnsafeDictIterator=111<>UnsafeArrayIterator=106,479306.0,BuiltinAllAnalysis=violation=68672<>ComparisonBehaviorAnalysis=eq_end=11983<>InPlaceSortAnalysis=list_used=24<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11983<>NonFinitesAnalysis=non_finite_op=68672<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=17247<>StringStripAnalysis=strip=2797<>WrongTypeAddedAnalysis=check_append=69979<>WrongTypeAddedAnalysis=check_insert=69979<>WrongTypeAddedAnalysis=check_extend=69979<>WrongTypeAddedAnalysis=check_add=69979<>WrongTypeAddedAnalysis=check_add_assign=17247<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeListIterator=createList=140<>UnsafeListIterator=updateList=103<>UnsafeDictIterator=createDict=134<>UnsafeDictIterator=updateDict=21<>UnsafeArrayIterator=createArray=106<>UnsafeArrayIterator=updateArray=175,1922
PIIDigger,20260629_215727,0a547a3b7498b3fe21e8d1e09ddb9845086005ec,1712671570,V1.1.0 (#11),False,pymop_libs,46,17,0,0,0,0,57.844,59.51,pymop_libs,8.041924238204956,0.4526305198669433,65.30668139457703,0.0,73.80123615264893,3299.0,WrongTypeAddedAnalysis=20;InvalidComparisonAnalysis=3279,4.0,WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/openpyxl/descriptors/base.py:138=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/openpyxl/descriptors/serialisable.py:174=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/openpyxl/descriptors/base.py:138={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78={'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-2sheet-10row-table.xls-expected_result5]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1cell.xls-expected_result2]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1row.xls-expected_result3]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/random-data-table.xls-expected_result1]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-10row-table.xls-expected_result4]'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/openpyxl/descriptors/serialisable.py:174={'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/test-1sheet-1cell-carriage-return.xlsx-expected_result3]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/test-1sheet-10row-table.xlsx-expected_result5]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/test-1sheet-1cell.xlsx-expected_result2]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/empty-file.xlsx-expected_result0]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/test-2sheet-10row-table.xlsx-expected_result6]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/random-data-table.xlsx-expected_result1]', 'tests/test_read_xlsx_file.py::test_read_xlsx_file[testdata/xlsx/test-1sheet-1row.xlsx-expected_result4]'}",18820.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=12322<>UnsafeDictIterator=6287<>ArgParse_Parent=1<>FileClosedAnalysis=56<>faulthandler_disableBeforeClose=1<>UnsafeArrayIterator=106<>Pydocs_MustFlushMmap=12,6454593.0,BuiltinAllAnalysis=violation=932021<>ComparisonBehaviorAnalysis=ne_end=3145<>ComparisonBehaviorAnalysis=eq_end=168571<>InPlaceSortAnalysis=list_used=88274<>InPlaceSortAnalysis=list_sorted=2421<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=171706<>NonFinitesAnalysis=non_finite_op=931922<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=134812<>StringStripAnalysis=strip=3151<>WrongTypeAddedAnalysis=check_append=937522<>WrongTypeAddedAnalysis=check_insert=937522<>WrongTypeAddedAnalysis=check_extend=937522<>WrongTypeAddedAnalysis=check_add=937522<>WrongTypeAddedAnalysis=check_add_assign=134812<>UnsafeListIterator=createList=62889<>UnsafeListIterator=createIter=9<>UnsafeListIterator=next=9<>UnsafeListIterator=updateList=103<>UnsafeDictIterator=createDict=23970<>UnsafeDictIterator=updateDict=46285<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>UnsafeArrayIterator=createArray=106<>UnsafeArrayIterator=updateArray=175<>Pydocs_MustFlushMmap=init=6<>Pydocs_MustFlushMmap=end=6,1922
PIIDigger,20260629_215727,0a547a3b7498b3fe21e8d1e09ddb9845086005ec,1712671570,V1.1.0 (#11),False,dylin,46,17,0,0,0,0,13.586,59.51,dylin,8.26522707939148,0.0,15.07905626296997,0.2885215282440185,23.63280487060547,3.0,InvalidComparisonAnalysis=3,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78=1,InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:78={'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/random-data-table.xls-expected_result1] (call)'},,,,,1922
PIIDigger,20260629_215727,c26785bdca0c0365f5fd88d81a82b964ff03c794,1714490382,Implemented ContentHandler (#13),False,original,46,17,0,0,0,0,1.072,60.08,original,0.0,0.0,1.4575355052947998,0.0,1.4575355052947998,,,,,,,,,,,1928
PIIDigger,20260629_215727,c26785bdca0c0365f5fd88d81a82b964ff03c794,1714490382,Implemented ContentHandler (#13),False,pymop,46,17,0,0,0,0,5.896,60.08,pymop,2.1766762733459473,0.52115797996521,7.552242040634155,0.0,10.250076293945312,3053.0,InvalidComparisonAnalysis=3053,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:76=1,"InvalidComparisonAnalysis:/src/piidigger/filehandlers/xls.py:76={'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-2sheet-10row-table.xls-expected_result5]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1cell.xls-expected_result2]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-1row.xls-expected_result3]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/random-data-table.xls-expected_result1]', 'tests/test_read_xls_file.py::test_read_xls_file[testdata/xls/test-1sheet-10row-table.xls-expected_result4]'}",484.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeListIterator=195<>UnsafeDictIterator=114<>UnsafeArrayIterator=106,621366.0,BuiltinAllAnalysis=violation=78419<>ComparisonBehaviorAnalysis=eq_end=11983<>InPlaceSortAnalysis=list_used=77<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11983<>NonFinitesAnalysis=non_finite_op=78419<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=58413<>StringStripAnalysis=strip=1343<>WrongTypeAddedAnalysis=check_append=78464<>WrongTypeAddedAnalysis=check_insert=78464<>WrongTypeAddedAnalysis=check_extend=78464<>WrongTypeAddedAnalysis=check_add=78464<>WrongTypeAddedAnalysis=check_add_assign=58413<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeListIterator=createList=217<>UnsafeListIterator=updateList=7721<>UnsafeDictIterator=createDict=134<>UnsafeDictIterator=updateDict=21<>UnsafeArrayIterator=createArray=106<>UnsafeArrayIterator=updateArray=175,1928
