project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
PersonalDockerizedSite,20260629_220432,9639b19590afa2603bd9c0039ad8b6b8b525f20b,1761356816,Initial commit: Flask app with Docker and testing setup,False,original,35,5,0,0,0,0,0.41,93.48,original,0.0,0.0,0.6086585521697998,0.0,0.6086585521697998,,,,,,,,,,,413
PersonalDockerizedSite,20260629_220432,9639b19590afa2603bd9c0039ad8b6b8b525f20b,1761356816,Initial commit: Flask app with Docker and testing setup,False,pymop,35,5,0,0,0,0,0.25,93.48,pymop,1.0120837688446045,0.3184146881103515,1.4096784591674805,0.0,2.7401769161224365,0.0,,0.0,,,,121.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=46<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=25<>UnsafeDictIterator=35,4073.0,BuiltinAllAnalysis=violation=603<>ComparisonBehaviorAnalysis=eq_end=70<>InPlaceSortAnalysis=list_used=28<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=70<>NonFinitesAnalysis=non_finite_op=603<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=66<>WrongTypeAddedAnalysis=check_append=603<>WrongTypeAddedAnalysis=check_insert=603<>WrongTypeAddedAnalysis=check_extend=603<>WrongTypeAddedAnalysis=check_add=603<>FileClosedAnalysis=open=24<>FileClosedAnalysis=close=23<>FileClosedAnalysis=end=22<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=87<>UnsafeListIterator=createList=26<>UnsafeDictIterator=createDict=36,413
PersonalDockerizedSite,20260629_220432,9639b19590afa2603bd9c0039ad8b6b8b525f20b,1761356816,Initial commit: Flask app with Docker and testing setup,False,pymop_libs,35,5,0,0,0,0,15.611,93.48,pymop_libs,6.775380849838257,0.3301329612731933,22.52981948852539,0.0,29.63533329963684,5.0,Flask_NoModifyAfterServe=5,4.0,Flask_NoModifyAfterServe=4,Flask_NoModifyAfterServe:/test_app.py:18=1;Flask_NoModifyAfterServe:/test_app.py:19=1;Flask_NoModifyAfterServe:/test_app.py:20=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,Flask_NoModifyAfterServe:/test_app.py:18={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/test_app.py:19={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/test_app.py:20={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'test_app.py::test_about_route'},28000.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5675<>UnsafeDictIterator=22238<>ArgParse_Parent=1<>FileClosedAnalysis=46<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=1<>Flask_NoOptionsChangeAfterEnvCreate=1,1915167.0,BuiltinAllAnalysis=violation=284244<>ComparisonBehaviorAnalysis=ne_end=2336<>ComparisonBehaviorAnalysis=eq_end=27511<>InPlaceSortAnalysis=list_used=29713<>InPlaceSortAnalysis=list_sorted=171<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=29831<>NonFinitesAnalysis=non_finite_op=284091<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6686<>StringStripAnalysis=strip=525<>WrongTypeAddedAnalysis=check_append=292581<>WrongTypeAddedAnalysis=check_insert=292581<>WrongTypeAddedAnalysis=check_extend=292581<>WrongTypeAddedAnalysis=check_add=292581<>WrongTypeAddedAnalysis=check_add_assign=6686<>UnsafeListIterator=createList=18349<>UnsafeListIterator=createIter=364<>UnsafeListIterator=updateList=124<>UnsafeListIterator=next=592<>UnsafeDictIterator=createDict=3592<>UnsafeDictIterator=updateDict=10034<>UnsafeDictIterator=createIter=19787<>UnsafeDictIterator=next=19787<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=24<>FileClosedAnalysis=close=23<>FileClosedAnalysis=end=22<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=185<>Flask_NoModifyAfterServe=got_request=96<>Flask_UnsafeFilePath=got_request=40<>Flask_NoOptionsChangeAfterEnvCreate=env_accessed=1,413
PersonalDockerizedSite,20260629_220432,9639b19590afa2603bd9c0039ad8b6b8b525f20b,1761356816,Initial commit: Flask app with Docker and testing setup,False,dylin,35,5,0,0,0,0,2.805,93.48,dylin,4.289083480834961,0.0,4.2484776973724365,0.1765327453613281,8.714093923568726,0.0,,0.0,,,,,,,,413
PersonalDockerizedSite,20260629_220432,04106a42edd7fbcf37f21968bb71d16ee330cc15,1761357046,Dockerized Flask site with tests,False,original,36,4,0,0,0,0,0.421,93.48,original,0.0,0.0,0.6206731796264648,0.0,0.6206731796264648,,,,,,,,,,,413
PersonalDockerizedSite,20260629_220432,04106a42edd7fbcf37f21968bb71d16ee330cc15,1761357046,Dockerized Flask site with tests,False,pymop,36,4,0,0,0,0,0.235,93.48,pymop,0.8476288318634033,0.3272292613983154,1.4329047203063965,0.0,2.6077628135681152,0.0,,0.0,,,,119.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=46<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=25<>UnsafeDictIterator=33,4073.0,BuiltinAllAnalysis=violation=603<>ComparisonBehaviorAnalysis=eq_end=70<>InPlaceSortAnalysis=list_used=28<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=70<>NonFinitesAnalysis=non_finite_op=603<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=66<>WrongTypeAddedAnalysis=check_append=603<>WrongTypeAddedAnalysis=check_insert=603<>WrongTypeAddedAnalysis=check_extend=603<>WrongTypeAddedAnalysis=check_add=603<>FileClosedAnalysis=open=24<>FileClosedAnalysis=close=23<>FileClosedAnalysis=end=22<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=87<>UnsafeListIterator=createList=26<>UnsafeDictIterator=createDict=36,413
PersonalDockerizedSite,20260629_220432,04106a42edd7fbcf37f21968bb71d16ee330cc15,1761357046,Dockerized Flask site with tests,False,pymop_libs,36,4,0,0,0,0,15.177,93.48,pymop_libs,6.110645294189453,0.2773008346557617,22.03171133995056,0.0,28.419657468795776,5.0,Flask_NoModifyAfterServe=5,4.0,Flask_NoModifyAfterServe=4,Flask_NoModifyAfterServe:/test_app.py:18=1;Flask_NoModifyAfterServe:/test_app.py:19=1;Flask_NoModifyAfterServe:/test_app.py:20=1;Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,Flask_NoModifyAfterServe:/test_app.py:18={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/test_app.py:19={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/test_app.py:20={'test_app.py::test_index_route'};Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'test_app.py::test_about_route'},27731.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5582<>UnsafeDictIterator=22062<>ArgParse_Parent=1<>FileClosedAnalysis=46<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=1<>Flask_NoOptionsChangeAfterEnvCreate=1,1899652.0,BuiltinAllAnalysis=violation=281832<>ComparisonBehaviorAnalysis=ne_end=2306<>ComparisonBehaviorAnalysis=eq_end=27360<>InPlaceSortAnalysis=list_used=29629<>InPlaceSortAnalysis=list_sorted=171<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=29650<>NonFinitesAnalysis=non_finite_op=281679<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6572<>StringStripAnalysis=strip=523<>WrongTypeAddedAnalysis=check_append=290141<>WrongTypeAddedAnalysis=check_insert=290141<>WrongTypeAddedAnalysis=check_extend=290141<>WrongTypeAddedAnalysis=check_add=290141<>WrongTypeAddedAnalysis=check_add_assign=6572<>UnsafeListIterator=createList=18484<>UnsafeListIterator=createIter=364<>UnsafeListIterator=updateList=123<>UnsafeListIterator=next=592<>UnsafeDictIterator=createDict=3601<>UnsafeDictIterator=updateDict=9948<>UnsafeDictIterator=createIter=19631<>UnsafeDictIterator=next=19631<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=24<>FileClosedAnalysis=close=23<>FileClosedAnalysis=end=22<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=185<>Flask_NoModifyAfterServe=got_request=96<>Flask_UnsafeFilePath=got_request=40<>Flask_NoOptionsChangeAfterEnvCreate=env_accessed=1,413
PersonalDockerizedSite,20260629_220432,04106a42edd7fbcf37f21968bb71d16ee330cc15,1761357046,Dockerized Flask site with tests,False,dylin,36,4,0,0,0,0,2.787,93.48,dylin,4.3708176612854,0.0,4.212876319885254,0.1852102279663086,8.768904209136963,0.0,,0.0,,,,,,,,413
PersonalDockerizedSite,20260629_220432,e43a04db586f5a39c0f80a038082d6facf4e2551,1761359296,Fix Python test failures,False,original,40,0,0,0,0,0,0.397,95.48,original,0.0,0.0,0.5959780216217041,0.0,0.5959780216217041,,,,,,,,,,,423
PersonalDockerizedSite,20260629_220432,e43a04db586f5a39c0f80a038082d6facf4e2551,1761359296,Fix Python test failures,False,pymop,40,0,0,0,0,0,0.262,95.48,pymop,0.8413276672363281,0.3463997840881347,1.4269263744354248,0.0,2.6146538257598877,0.0,,0.0,,,,119.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=46<>Flask_NoModifyAfterServe=2<>UnsafeListIterator=26<>UnsafeDictIterator=32,4227.0,BuiltinAllAnalysis=violation=626<>ComparisonBehaviorAnalysis=eq_end=73<>InPlaceSortAnalysis=list_used=32<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=73<>NonFinitesAnalysis=non_finite_op=626<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1<>StringStripAnalysis=strip=66<>WrongTypeAddedAnalysis=check_append=626<>WrongTypeAddedAnalysis=check_insert=626<>WrongTypeAddedAnalysis=check_extend=626<>WrongTypeAddedAnalysis=check_add=626<>WrongTypeAddedAnalysis=check_add_assign=1<>FileClosedAnalysis=open=24<>FileClosedAnalysis=close=23<>FileClosedAnalysis=end=22<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=91<>UnsafeListIterator=createList=29<>UnsafeDictIterator=createDict=33,423
