project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
PiFinder,20260629_220544,608432f8ab036f4c0479239613d571d658893cc8,1705619265,patch 3.9 bug for real now,True,original,0,0,0,0,0,1,0.145,25.0,original,0.0,0.0,0.4561755657196045,0.0,0.4561755657196045,,,,,,,,,,,
PiFinder,20260629_220544,608432f8ab036f4c0479239613d571d658893cc8,1705619265,patch 3.9 bug for real now,True,pymop,0,0,0,0,0,1,0.167,25.0,pymop,2.192239284515381,0.5811271667480469,1.7029743194580078,0.0,4.4763407707214355,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,26.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
PiFinder,20260629_220544,608432f8ab036f4c0479239613d571d658893cc8,1705619265,patch 3.9 bug for real now,True,pymop_libs,0,0,0,0,0,1,4.189,25.0,pymop_libs,7.957176208496094,0.43619561195373535,8.501434564590454,0.0,16.894806385040283,0.0,,0.0,,,,1557.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1070<>UnsafeDictIterator=438<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,776366.0,BuiltinAllAnalysis=violation=123807<>ComparisonBehaviorAnalysis=ne_end=302<>ComparisonBehaviorAnalysis=eq_end=3555<>InPlaceSortAnalysis=list_used=13262<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3847<>NonFinitesAnalysis=non_finite_op=123708<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=752<>StringStripAnalysis=strip=14<>WrongTypeAddedAnalysis=check_append=125338<>WrongTypeAddedAnalysis=check_insert=125338<>WrongTypeAddedAnalysis=check_extend=125338<>WrongTypeAddedAnalysis=check_add=125338<>WrongTypeAddedAnalysis=check_add_assign=752<>UnsafeListIterator=createList=2385<>UnsafeDictIterator=createDict=443<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
PiFinder,20260629_220544,608432f8ab036f4c0479239613d571d658893cc8,1705619265,patch 3.9 bug for real now,True,dylin,0,0,0,0,0,1,3.791,25.0,dylin,13.76085376739502,0.0,5.049215078353882,0.347585916519165,19.157654762268066,0.0,,0.0,,,,,,,,
PiFinder,20260629_220544,78986d5d6aa8142567dba63272853df76f6aa29e,1705621187,make black happy,True,original,0,0,0,0,0,1,0.144,25.0,original,0.0,0.0,0.49838876724243164,0.0,0.49838876724243164,,,,,,,,,,,
PiFinder,20260629_220544,78986d5d6aa8142567dba63272853df76f6aa29e,1705621187,make black happy,True,pymop,0,0,0,0,0,1,0.165,25.0,pymop,2.2022006511688232,0.5723755359649658,1.7296786308288574,0.0,4.5042548179626465,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,26.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
PiFinder,20260629_220544,78986d5d6aa8142567dba63272853df76f6aa29e,1705621187,make black happy,True,pymop_libs,0,0,0,0,0,1,4.18,25.0,pymop_libs,7.886847257614136,0.41327619552612305,8.465741634368896,0.0,16.765865087509155,0.0,,0.0,,,,1577.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1089<>UnsafeDictIterator=439<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,776366.0,BuiltinAllAnalysis=violation=123807<>ComparisonBehaviorAnalysis=ne_end=302<>ComparisonBehaviorAnalysis=eq_end=3555<>InPlaceSortAnalysis=list_used=13262<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3847<>NonFinitesAnalysis=non_finite_op=123708<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=752<>StringStripAnalysis=strip=14<>WrongTypeAddedAnalysis=check_append=125338<>WrongTypeAddedAnalysis=check_insert=125338<>WrongTypeAddedAnalysis=check_extend=125338<>WrongTypeAddedAnalysis=check_add=125338<>WrongTypeAddedAnalysis=check_add_assign=752<>UnsafeListIterator=createList=2385<>UnsafeDictIterator=createDict=443<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
PiFinder,20260629_220544,78986d5d6aa8142567dba63272853df76f6aa29e,1705621187,make black happy,True,dylin,0,0,0,0,0,1,3.796,25.0,dylin,13.07580304145813,0.0,5.028679370880127,0.3504745960235595,18.454957008361816,0.0,,0.0,,,,,,,,
PiFinder,20260629_220544,9072ee6a53aa594f475e9af0ab1042eedac9abdf,1705688082,first draft,True,original,0,0,0,0,0,1,0.14,25.0,original,0.0,0.0,0.46909189224243164,0.0,0.46909189224243164,,,,,,,,,,,
PiFinder,20260629_220544,9072ee6a53aa594f475e9af0ab1042eedac9abdf,1705688082,first draft,True,pymop,0,0,0,0,0,1,0.166,25.0,pymop,2.253905773162842,0.5431046485900879,1.6727001667022705,0.0,4.4697105884552,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,26.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
