project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
Sports-Odds-Calulation,20260629_215123,51b3eab8561f04af13b10a4a136f4ae6466a3772,1750715581,Initial commit - Sports Betting Bot,False,original,10,0,0,0,0,0,1.402,19.81,original,0.0,0.0,1.831115245819092,0.0,1.831115245819092,,,,,,,,,,,2720
Sports-Odds-Calulation,20260629_215123,51b3eab8561f04af13b10a4a136f4ae6466a3772,1750715581,Initial commit - Sports Betting Bot,False,pymop,10,0,0,0,0,0,0.228,19.81,pymop,3.658011913299561,0.6720516681671143,1.9436776638031008,0.0,6.273741245269775,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/real_wnba_analyzer.py:163=1;RandomMustUseSeed:/real_wnba_analyzer.py:199=1,RandomMustUseSeed:/real_wnba_analyzer.py:163={'comprehensive_test.py::test_confidence_scores'};RandomMustUseSeed:/real_wnba_analyzer.py:199={'comprehensive_test.py::test_confidence_scores'},74.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=14<>UnsafeDictIterator=26<>Flask_NoModifyAfterServe=1<>Requests_MustCloseSession=4<>RandomMustUseSeed=2,1221.0,BuiltinAllAnalysis=violation=182<>ComparisonBehaviorAnalysis=eq_end=10<>ComparisonBehaviorAnalysis=ne_end=1<>InPlaceSortAnalysis=list_used=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11<>NonFinitesAnalysis=non_finite_op=182<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=4<>WrongTypeAddedAnalysis=check_append=183<>WrongTypeAddedAnalysis=check_insert=183<>WrongTypeAddedAnalysis=check_extend=183<>WrongTypeAddedAnalysis=check_add=183<>WrongTypeAddedAnalysis=check_add_assign=4<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=14<>UnsafeListIterator=updateList=4<>UnsafeDictIterator=createDict=26<>UnsafeDictIterator=updateDict=6<>Flask_NoModifyAfterServe=create_app=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=end=2<>RandomMustUseSeed=all=2,2720
Sports-Odds-Calulation,20260629_215123,51b3eab8561f04af13b10a4a136f4ae6466a3772,1750715581,Initial commit - Sports Betting Bot,False,pymop_libs,10,0,0,0,0,0,2.123,19.81,pymop_libs,11.305742740631104,0.5642690658569336,6.750826358795166,0.0,18.620838165283203,3.0,Flask_NoModifyAfterServe=1;RandomMustUseSeed=2,3.0,Flask_NoModifyAfterServe=1;RandomMustUseSeed=2,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;RandomMustUseSeed:/real_wnba_analyzer.py:163=1;RandomMustUseSeed:/real_wnba_analyzer.py:199=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'comprehensive_test.py::test_web_components'};RandomMustUseSeed:/real_wnba_analyzer.py:163={'comprehensive_test.py::test_confidence_scores'};RandomMustUseSeed:/real_wnba_analyzer.py:199={'comprehensive_test.py::test_confidence_scores'},2236.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1471<>UnsafeDictIterator=706<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=1<>Flask_UnsafeFilePath=1<>Requests_MustCloseSession=4<>RandomMustUseSeed=2,325374.0,BuiltinAllAnalysis=violation=50731<>ComparisonBehaviorAnalysis=ne_end=257<>ComparisonBehaviorAnalysis=eq_end=2058<>InPlaceSortAnalysis=list_used=5915<>InPlaceSortAnalysis=list_sorted=17<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2297<>NonFinitesAnalysis=non_finite_op=50567<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1311<>StringStripAnalysis=strip=37<>WrongTypeAddedAnalysis=check_append=50928<>WrongTypeAddedAnalysis=check_insert=50928<>WrongTypeAddedAnalysis=check_extend=50928<>WrongTypeAddedAnalysis=check_add=50928<>WrongTypeAddedAnalysis=check_add_assign=1311<>UnsafeListIterator=createList=3697<>UnsafeListIterator=createIter=15<>UnsafeListIterator=next=30<>UnsafeListIterator=updateList=4<>UnsafeDictIterator=createDict=778<>UnsafeDictIterator=updateDict=2573<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=4<>Flask_NoModifyAfterServe=got_request=2<>Flask_UnsafeFilePath=got_request=2<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=end=2<>RandomMustUseSeed=all=2,2720
Sports-Odds-Calulation,20260629_215123,51b3eab8561f04af13b10a4a136f4ae6466a3772,1750715581,Initial commit - Sports Betting Bot,False,dylin,10,0,0,0,0,0,3.981,19.81,dylin,10.524469375610352,0.0,5.439005613327026,0.3086459636688232,16.2721209526062,0.0,,0.0,,,,,,,,2720
Sports-Odds-Calulation,20260629_215123,dedb6ff7589827012157a7507d38ae66d6b721d2,1750718348,Fixed production deployment - Python path detection,False,original,10,0,0,0,0,0,1.478,19.9,original,0.0,0.0,1.9601845741271973,0.0,1.9601845741271973,,,,,,,,,,,2728
Sports-Odds-Calulation,20260629_215123,dedb6ff7589827012157a7507d38ae66d6b721d2,1750718348,Fixed production deployment - Python path detection,False,pymop,10,0,0,0,0,0,4.969,19.9,pymop,3.6003782749176025,0.6446456909179688,6.68056583404541,0.0,10.92558979988098,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/real_wnba_analyzer.py:163=1;RandomMustUseSeed:/real_wnba_analyzer.py:199=1,RandomMustUseSeed:/real_wnba_analyzer.py:163={'comprehensive_test.py::test_confidence_scores'};RandomMustUseSeed:/real_wnba_analyzer.py:199={'comprehensive_test.py::test_confidence_scores'},74.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=14<>UnsafeDictIterator=26<>Flask_NoModifyAfterServe=1<>Requests_MustCloseSession=4<>RandomMustUseSeed=2,1233.0,BuiltinAllAnalysis=violation=184<>ComparisonBehaviorAnalysis=eq_end=11<>ComparisonBehaviorAnalysis=ne_end=1<>InPlaceSortAnalysis=list_used=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=12<>NonFinitesAnalysis=non_finite_op=184<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=3<>WrongTypeAddedAnalysis=check_append=185<>WrongTypeAddedAnalysis=check_insert=185<>WrongTypeAddedAnalysis=check_extend=185<>WrongTypeAddedAnalysis=check_add=185<>WrongTypeAddedAnalysis=check_add_assign=3<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=14<>UnsafeListIterator=updateList=4<>UnsafeDictIterator=createDict=26<>UnsafeDictIterator=updateDict=6<>Flask_NoModifyAfterServe=create_app=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=end=2<>RandomMustUseSeed=all=2,2728
Sports-Odds-Calulation,20260629_215123,dedb6ff7589827012157a7507d38ae66d6b721d2,1750718348,Fixed production deployment - Python path detection,False,pymop_libs,10,0,0,0,0,0,16.469,19.9,pymop_libs,11.323808193206789,0.5524530410766602,20.9818913936615,0.0,32.858152627944946,3.0,Flask_NoModifyAfterServe=1;RandomMustUseSeed=2,3.0,Flask_NoModifyAfterServe=1;RandomMustUseSeed=2,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1;RandomMustUseSeed:/real_wnba_analyzer.py:163=1;RandomMustUseSeed:/real_wnba_analyzer.py:199=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'comprehensive_test.py::test_web_components'};RandomMustUseSeed:/real_wnba_analyzer.py:163={'comprehensive_test.py::test_confidence_scores'};RandomMustUseSeed:/real_wnba_analyzer.py:199={'comprehensive_test.py::test_confidence_scores'},2184.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1417<>UnsafeDictIterator=708<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=1<>Flask_UnsafeFilePath=1<>Requests_MustCloseSession=4<>RandomMustUseSeed=2,325399.0,BuiltinAllAnalysis=violation=50733<>ComparisonBehaviorAnalysis=ne_end=257<>ComparisonBehaviorAnalysis=eq_end=2059<>InPlaceSortAnalysis=list_used=5915<>InPlaceSortAnalysis=list_sorted=17<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2298<>NonFinitesAnalysis=non_finite_op=50569<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1309<>StringStripAnalysis=strip=37<>WrongTypeAddedAnalysis=check_append=50929<>WrongTypeAddedAnalysis=check_insert=50929<>WrongTypeAddedAnalysis=check_extend=50929<>WrongTypeAddedAnalysis=check_add=50929<>WrongTypeAddedAnalysis=check_add_assign=1309<>UnsafeListIterator=createList=3716<>UnsafeListIterator=createIter=15<>UnsafeListIterator=next=30<>UnsafeListIterator=updateList=4<>UnsafeDictIterator=createDict=778<>UnsafeDictIterator=updateDict=2573<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=1<>Flask_NoModifyAfterServe=modified_app=4<>Flask_NoModifyAfterServe=got_request=2<>Flask_UnsafeFilePath=got_request=2<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=end=2<>RandomMustUseSeed=all=2,2728
Sports-Odds-Calulation,20260629_215123,dedb6ff7589827012157a7507d38ae66d6b721d2,1750718348,Fixed production deployment - Python path detection,False,dylin,10,0,0,0,0,0,8.682,19.9,dylin,10.99906063079834,0.0,10.085460424423218,0.3389055728912353,21.423426628112793,0.0,,0.0,,,,,,,,2728
Sports-Odds-Calulation,20260629_215123,22200a842c9d05b09cee4fca093178c069c4c7b3,1750718844,Fixed production environment detection - ready for deployment,False,original,10,0,0,0,0,0,1.74,19.8,original,0.0,0.0,2.2057344913482666,0.0,2.2057344913482666,,,,,,,,,,,2744
Sports-Odds-Calulation,20260629_215123,22200a842c9d05b09cee4fca093178c069c4c7b3,1750718844,Fixed production environment detection - ready for deployment,False,pymop,10,0,0,0,0,0,9.92,19.8,pymop,3.3909366130828857,0.6577761173248291,11.730825185775757,0.0,15.779537916183472,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/real_wnba_analyzer.py:163=1;RandomMustUseSeed:/real_wnba_analyzer.py:199=1,RandomMustUseSeed:/real_wnba_analyzer.py:163={'comprehensive_test.py::test_confidence_scores'};RandomMustUseSeed:/real_wnba_analyzer.py:199={'comprehensive_test.py::test_confidence_scores'},74.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=14<>UnsafeDictIterator=26<>Flask_NoModifyAfterServe=1<>Requests_MustCloseSession=4<>RandomMustUseSeed=2,1233.0,BuiltinAllAnalysis=violation=184<>ComparisonBehaviorAnalysis=eq_end=11<>ComparisonBehaviorAnalysis=ne_end=1<>InPlaceSortAnalysis=list_used=15<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=12<>NonFinitesAnalysis=non_finite_op=184<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=3<>WrongTypeAddedAnalysis=check_append=185<>WrongTypeAddedAnalysis=check_insert=185<>WrongTypeAddedAnalysis=check_extend=185<>WrongTypeAddedAnalysis=check_add=185<>WrongTypeAddedAnalysis=check_add_assign=3<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=14<>UnsafeListIterator=updateList=4<>UnsafeDictIterator=createDict=26<>UnsafeDictIterator=updateDict=6<>Flask_NoModifyAfterServe=create_app=1<>Requests_MustCloseSession=init=2<>Requests_MustCloseSession=end=2<>RandomMustUseSeed=all=2,2744
