project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
Viby,20260629_220320,a6d4da21eb6acd202321106c1c3c5393dbec09a5,1746083485,init,True,original,0,0,0,0,0,0,0.072,0.0,original,0.0,0.0,0.5206167697906494,0.0,0.5206167697906494,,,,,,,,,,,
Viby,20260629_220320,a6d4da21eb6acd202321106c1c3c5393dbec09a5,1746083485,init,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,2.9365806579589844,0.6181058883666992,1.962817668914795,0.0,5.5175042152404785,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
Viby,20260629_220320,a6d4da21eb6acd202321106c1c3c5393dbec09a5,1746083485,init,True,pymop_libs,0,0,0,0,0,0,0.431,0.0,pymop_libs,10.352457046508787,0.553600549697876,4.780401229858398,0.0,15.686458826065063,0.0,,0.0,,,,1113.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=721<>UnsafeDictIterator=345<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,194435.0,BuiltinAllAnalysis=violation=30946<>ComparisonBehaviorAnalysis=ne_end=175<>ComparisonBehaviorAnalysis=eq_end=926<>InPlaceSortAnalysis=list_used=2420<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1089<>NonFinitesAnalysis=non_finite_op=30836<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=595<>WrongTypeAddedAnalysis=check_append=30731<>WrongTypeAddedAnalysis=check_insert=30731<>WrongTypeAddedAnalysis=check_extend=30731<>WrongTypeAddedAnalysis=check_add=30731<>WrongTypeAddedAnalysis=check_add_assign=595<>UnsafeListIterator=createList=1519<>UnsafeDictIterator=createDict=356<>UnsafeDictIterator=updateDict=2007<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
Viby,20260629_220320,a6d4da21eb6acd202321106c1c3c5393dbec09a5,1746083485,init,True,dylin,0,0,0,0,0,0,0.021,0.0,dylin,11.722738981246948,0.0,0.2594819068908691,0.2989544868469238,12.28117537498474,0.0,,0.0,,,,,,,,
Viby,20260629_220320,12d5f8593b5a409210309cb2ae2d1c86942905a4,1746092547,Refactor stream handling and text processing into utils.formatting,True,original,0,0,0,0,0,0,0.086,0.0,original,0.0,0.0,0.7394406795501709,0.0,0.7394406795501709,,,,,,,,,,,
Viby,20260629_220320,12d5f8593b5a409210309cb2ae2d1c86942905a4,1746092547,Refactor stream handling and text processing into utils.formatting,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,3.4034624099731445,0.6265876293182373,5.089067220687866,0.0,9.119117259979248,0.0,,0.0,,,,93.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80,122.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39,
Viby,20260629_220320,12d5f8593b5a409210309cb2ae2d1c86942905a4,1746092547,Refactor stream handling and text processing into utils.formatting,True,pymop_libs,0,0,0,0,0,0,0.456,0.0,pymop_libs,9.583874702453612,0.4787783622741699,9.116225481033323,0.0,19.17887854576111,0.0,,0.0,,,,1290.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=811<>UnsafeDictIterator=362<>ArgParse_Parent=1<>FileClosedAnalysis=80<>faulthandler_disableBeforeClose=1,221969.0,BuiltinAllAnalysis=violation=35284<>ComparisonBehaviorAnalysis=ne_end=288<>ComparisonBehaviorAnalysis=eq_end=1135<>InPlaceSortAnalysis=list_used=2775<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1411<>NonFinitesAnalysis=non_finite_op=35174<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=666<>WrongTypeAddedAnalysis=check_append=35073<>WrongTypeAddedAnalysis=check_insert=35073<>WrongTypeAddedAnalysis=check_extend=35073<>WrongTypeAddedAnalysis=check_add=35073<>WrongTypeAddedAnalysis=check_add_assign=666<>UnsafeListIterator=createList=1648<>UnsafeDictIterator=createDict=371<>UnsafeDictIterator=updateDict=2107<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
Viby,20260629_220320,12d5f8593b5a409210309cb2ae2d1c86942905a4,1746092547,Refactor stream handling and text processing into utils.formatting,True,dylin,0,0,0,0,0,0,0.01,0.0,dylin,11.461193323135376,0.0,0.4638628959655761,0.3321528434753418,12.257209062576294,0.0,,0.0,,,,,,,,
Viby,20260629_220320,ed742678b2cc389e66672303fb90a34d6cea9bc3,1746095762,add markdown print,True,original,0,0,0,0,0,0,0.076,0.0,original,0.0,0.0,0.5987842082977295,0.0,0.5987842082977295,,,,,,,,,,,
Viby,20260629_220320,ed742678b2cc389e66672303fb90a34d6cea9bc3,1746095762,add markdown print,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,3.1286463737487793,0.7336347103118896,5.189043283462524,0.0,9.051324367523192,0.0,,0.0,,,,93.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80,122.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39,
