project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
WiseYoda,20260629_215853,ec99a0d0515509fe1e02415fafdcf71201643221,1672799179,Initial commit,False,original,3,0,0,0,0,0,0.131,56.00000000000001,original,0.0,0.0,0.5748331546783447,0.0,0.5748331546783447,,,,,,,,,,,152
WiseYoda,20260629_215853,ec99a0d0515509fe1e02415fafdcf71201643221,1672799179,Initial commit,False,pymop,3,0,0,0,0,0,0.085,56.00000000000001,pymop,2.3528382778167725,0.5514061450958252,2.6455094814300537,0.0,5.549753904342651,0.0,,0.0,,,,55.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=38<>UnsafeDictIterator=3<>UnsafeListIterator=1,171.0,BuiltinAllAnalysis=violation=13<>ComparisonBehaviorAnalysis=eq_end=14<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=14<>NonFinitesAnalysis=non_finite_op=13<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=13<>WrongTypeAddedAnalysis=check_insert=13<>WrongTypeAddedAnalysis=check_extend=13<>WrongTypeAddedAnalysis=check_add=13<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18<>UnsafeDictIterator=createDict=3<>UnsafeListIterator=createList=1,152
WiseYoda,20260629_215853,ec99a0d0515509fe1e02415fafdcf71201643221,1672799179,Initial commit,False,pymop_libs,3,0,0,0,0,0,1.354,56.00000000000001,pymop_libs,8.352634906768799,0.5208096504211426,7.055653095245361,0.0,15.929097652435305,0.0,,0.0,,,,1620.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=982<>UnsafeDictIterator=563<>ArgParse_Parent=1<>FileClosedAnalysis=38<>faulthandler_disableBeforeClose=1,246941.0,BuiltinAllAnalysis=violation=38907<>ComparisonBehaviorAnalysis=ne_end=302<>ComparisonBehaviorAnalysis=eq_end=1368<>InPlaceSortAnalysis=list_used=3722<>InPlaceSortAnalysis=list_sorted=9<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1660<>NonFinitesAnalysis=non_finite_op=38808<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=831<>StringStripAnalysis=strip=9<>WrongTypeAddedAnalysis=check_append=38800<>WrongTypeAddedAnalysis=check_insert=38800<>WrongTypeAddedAnalysis=check_extend=38800<>WrongTypeAddedAnalysis=check_add=38800<>WrongTypeAddedAnalysis=check_add_assign=831<>UnsafeListIterator=createList=2255<>UnsafeDictIterator=createDict=630<>UnsafeDictIterator=updateDict=2324<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,152
WiseYoda,20260629_215853,ec99a0d0515509fe1e02415fafdcf71201643221,1672799179,Initial commit,False,dylin,3,0,0,0,0,0,0.07,56.00000000000001,dylin,11.23000979423523,0.0,6.756436586380005,0.3174827098846435,18.30392909049988,0.0,,0.0,,,,,,,,152
WiseYoda,20260629_215853,87dc49a7724f8a1b5de18b00a1abaaa0c33e86cc,1672801698,update all,False,original,3,0,0,0,0,0,0.135,56.00000000000001,original,0.0,0.0,0.5337271690368652,0.0,0.5337271690368652,,,,,,,,,,,166
WiseYoda,20260629_215853,87dc49a7724f8a1b5de18b00a1abaaa0c33e86cc,1672801698,update all,False,pymop,3,0,0,0,0,0,0.086,56.00000000000001,pymop,2.461155891418457,0.720649242401123,2.734557867050171,0.0,5.916363000869751,0.0,,0.0,,,,55.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=38<>UnsafeDictIterator=3<>UnsafeListIterator=1,171.0,BuiltinAllAnalysis=violation=13<>ComparisonBehaviorAnalysis=eq_end=14<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=14<>NonFinitesAnalysis=non_finite_op=13<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=13<>WrongTypeAddedAnalysis=check_insert=13<>WrongTypeAddedAnalysis=check_extend=13<>WrongTypeAddedAnalysis=check_add=13<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18<>UnsafeDictIterator=createDict=3<>UnsafeListIterator=createList=1,166
WiseYoda,20260629_215853,87dc49a7724f8a1b5de18b00a1abaaa0c33e86cc,1672801698,update all,False,pymop_libs,3,0,0,0,0,0,1.489,56.00000000000001,pymop_libs,8.19520092010498,0.6533095836639404,7.717775344848633,0.0,16.566285848617554,0.0,,0.0,,,,1650.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1016<>UnsafeDictIterator=559<>ArgParse_Parent=1<>FileClosedAnalysis=38<>faulthandler_disableBeforeClose=1,246941.0,BuiltinAllAnalysis=violation=38907<>ComparisonBehaviorAnalysis=ne_end=302<>ComparisonBehaviorAnalysis=eq_end=1368<>InPlaceSortAnalysis=list_used=3722<>InPlaceSortAnalysis=list_sorted=9<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1660<>NonFinitesAnalysis=non_finite_op=38808<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=831<>StringStripAnalysis=strip=9<>WrongTypeAddedAnalysis=check_append=38800<>WrongTypeAddedAnalysis=check_insert=38800<>WrongTypeAddedAnalysis=check_extend=38800<>WrongTypeAddedAnalysis=check_add=38800<>WrongTypeAddedAnalysis=check_add_assign=831<>UnsafeListIterator=createList=2255<>UnsafeDictIterator=createDict=630<>UnsafeDictIterator=updateDict=2324<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=20<>FileClosedAnalysis=close=19<>FileClosedAnalysis=end=18<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,166
WiseYoda,20260629_215853,87dc49a7724f8a1b5de18b00a1abaaa0c33e86cc,1672801698,update all,False,dylin,3,0,0,0,0,0,0.076,56.00000000000001,dylin,10.297327518463137,0.0,6.532190799713135,0.3629012107849121,17.19241952896118,0.0,,0.0,,,,,,,,166
WiseYoda,20260629_215853,2ca782f43306466ae59d0d1277fd8715b6657246,1774741831,modernize and animate w/ ascii art,False,original,27,0,1,0,0,0,1.179,61.629999999999995,original,0.0,0.0,1.7292659282684326,0.0,1.7292659282684326,,,,,,,,,,,985
WiseYoda,20260629_215853,2ca782f43306466ae59d0d1277fd8715b6657246,1774741831,modernize and animate w/ ascii art,False,pymop,27,0,1,0,0,0,2.786,61.629999999999995,pymop,2.3621127605438232,0.5585291385650635,7.634072303771973,0.0,10.55471420288086,2.0,RandomMustUseSeed=2,1.0,RandomMustUseSeed=1,RandomMustUseSeed:/wise_yoda/wisdom.py:87=1,"RandomMustUseSeed:/wise_yoda/wisdom.py:87={'tests/test_remind_cli.py::test_remind_random_includes_notification_commands', 'tests/test_wisdom_store.py::test_random_is_stable_pool'}",219.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=144<>UnsafeListIterator=46<>UnsafeDictIterator=12<>RandomMustUseSeed=2<>PyDocs_UnsafeIterUseAfterTee=2,17240.0,BuiltinAllAnalysis=violation=2596<>ComparisonBehaviorAnalysis=eq_end=56<>ComparisonBehaviorAnalysis=ne_end=11<>InPlaceSortAnalysis=list_used=147<>InPlaceSortAnalysis=list_sorted=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=67<>NonFinitesAnalysis=non_finite_op=2596<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=135<>StringStripAnalysis=strip=34<>WrongTypeAddedAnalysis=check_append=2599<>WrongTypeAddedAnalysis=check_insert=2599<>WrongTypeAddedAnalysis=check_extend=2599<>WrongTypeAddedAnalysis=check_add=2599<>WrongTypeAddedAnalysis=check_add_assign=135<>FileClosedAnalysis=open=73<>FileClosedAnalysis=close=72<>FileClosedAnalysis=end=71<>UnsafeListIterator=createList=156<>UnsafeListIterator=updateList=543<>UnsafeDictIterator=createDict=12<>UnsafeDictIterator=updateDict=133<>RandomMustUseSeed=all=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,985
