project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
ape-fantom,20260629_215448,c31eec351f8cec203f10d87867f3364b3d259f91,1717182471,feat!: Ape 0.8 target (#25),False,original,13,0,0,0,0,0,3.072,92.37,original,0.0,0.0,4.196512460708618,0.0,4.196512460708618,,,,,,,,,,,226
ape-fantom,20260629_215448,c31eec351f8cec203f10d87867f3364b3d259f91,1717182471,feat!: Ape 0.8 target (#25),False,pymop,13,0,0,0,0,0,26.536,92.37,pymop,0.3503484725952148,0.3360650539398193,39.23015761375427,0.0,39.91657114028931,7.0,ItemInList=7,1.0,ItemInList=1,ItemInList:/tests/test_integration.py:44=1,ItemInList:/tests/test_integration.py:44={'tests/test_integration.py::test_networks'},518.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=488<>UnsafeDictIterator=8<>UnsafeListIterator=6<>ItemInList=1<>UnsafeArrayIterator=2,12153.0,BuiltinAllAnalysis=violation=1806<>ComparisonBehaviorAnalysis=eq_end=15<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=15<>NonFinitesAnalysis=non_finite_op=1806<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=522<>WrongTypeAddedAnalysis=check_append=1806<>WrongTypeAddedAnalysis=check_insert=1806<>WrongTypeAddedAnalysis=check_extend=1806<>WrongTypeAddedAnalysis=check_add=1806<>FileClosedAnalysis=open=245<>FileClosedAnalysis=close=244<>FileClosedAnalysis=end=243<>UnsafeDictIterator=createDict=8<>UnsafeListIterator=createList=6<>ItemInList=list_contains=7<>UnsafeArrayIterator=createArray=2,226
ape-fantom,20260629_215448,c31eec351f8cec203f10d87867f3364b3d259f91,1717182471,feat!: Ape 0.8 target (#25),False,pymop_libs,13,0,0,0,0,0,2524.413,92.37,pymop_libs,5.4551262855529785,0.2766096591949463,2808.2195494174957,0.0,2813.9512853622437,4878.0,WrongTypeAddedAnalysis=65;ItemInList=4754;InvalidComparisonAnalysis=56;RandomMustUseSeed=1;StringConcatAnalysis=1;InPlaceSortAnalysis=1,12.0,WrongTypeAddedAnalysis=2;ItemInList=3;InvalidComparisonAnalysis=4;RandomMustUseSeed=1;StringConcatAnalysis=1;InPlaceSortAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/pycparser/c_parser.py:2347=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rlp/codec.py:247=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;ItemInList:/lib/python3.12/site-packages/eth_account/hdaccount/mnemonic.py:261=1;ItemInList:/tests/test_integration.py:44=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/base58.py:20=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/ape/api/config.py:556=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/hypothesis/internal/conjecture/floats.py:92=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/pycparser/c_parser.py:2347={None, 'tests/test_ecosystem.py::test_gas_limit'};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rlp/codec.py:247={'tests/test_ecosystem.py::test_create_transaction[None]', 'tests/test_provider.py::test_use_provider'};ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359={None, 'tests/test_ecosystem.py::test_create_transaction[None]', 'tests/test_ecosystem.py::test_encode_transaction[2]', 'tests/test_config.py::test_gas_limit', 'tests/test_provider.py::test_use_provider', 'tests/test_ecosystem.py::test_gas_limit', 'tests/test_ecosystem.py::test_encode_transaction[0]', 'tests/test_ecosystem.py::test_create_transaction[2]', 'tests/test_integration.py::test_networks', 'tests/test_config.py::test_custom_network', 'tests/test_ecosystem.py::test_create_transaction[0x2]'};ItemInList:/lib/python3.12/site-packages/eth_account/hdaccount/mnemonic.py:261={'tests/test_ecosystem.py::test_create_transaction[None]'};ItemInList:/tests/test_integration.py:44={'tests/test_integration.py::test_networks'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/base58.py:20={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/ape/api/config.py:556={None, 'tests/test_config.py::test_gas_limit', 'tests/test_integration.py::test_networks', 'tests/test_ecosystem.py::test_gas_limit'};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253={None};InPlaceSortAnalysis:/lib/python3.12/site-packages/hypothesis/internal/conjecture/floats.py:92={'tests/test_provider.py::test_use_provider'}",1282096.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=55183<>UnsafeDictIterator=1225088<>ArgParse_Parent=6<>FileClosedAnalysis=470<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>ItemInList=1306<>RandomMustUseSeed=1<>Requests_MustCloseSession=2<>UnsafeArrayIterator=2,42144767.0,BuiltinAllAnalysis=violation=5696902<>ComparisonBehaviorAnalysis=ne_end=44993<>ComparisonBehaviorAnalysis=eq_end=651099<>InPlaceSortAnalysis=list_used=1731880<>InPlaceSortAnalysis=list_sorted=1802<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=696080<>NonFinitesAnalysis=non_finite_op=5696792<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3728229<>StringStripAnalysis=strip=21002<>WrongTypeAddedAnalysis=check_append=4357576<>WrongTypeAddedAnalysis=check_insert=4357576<>WrongTypeAddedAnalysis=check_extend=4357576<>WrongTypeAddedAnalysis=check_add=4357576<>WrongTypeAddedAnalysis=check_add_assign=3728229<>UnsafeListIterator=createList=185950<>UnsafeListIterator=createIter=3293<>UnsafeListIterator=next=5266<>UnsafeDictIterator=createDict=72325<>UnsafeDictIterator=updateDict=61524<>UnsafeDictIterator=createIter=1189947<>UnsafeDictIterator=next=1189975<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=236<>FileClosedAnalysis=close=235<>FileClosedAnalysis=end=234<>Pydocs_MustReleaseLock=acquire=1836<>Pydocs_MustReleaseLock=release=1836<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>ItemInList=list_contains=4754<>RandomMustUseSeed=all=1<>Requests_MustCloseSession=init=1<>Requests_MustCloseSession=end=1<>UnsafeArrayIterator=createArray=2,226
ape-fantom,20260629_215448,c31eec351f8cec203f10d87867f3364b3d259f91,1717182471,feat!: Ape 0.8 target (#25),False,dylin,13,0,0,0,0,0,2.928,92.37,dylin,4.402933120727539,0.0,10.54974889755249,0.1667957305908203,15.11947774887085,1.0,ItemInListAnalysis=1,1.0,ItemInListAnalysis=1,ItemInListAnalysis:/tests/test_integration.py:44=1,ItemInListAnalysis:/tests/test_integration.py:44={'tests/test_integration.py::test_networks (call)'},,,,,226
ape-fantom,20260629_215448,c61d1c53d1e3bedf5738fc48b50afa4c0ebdfa49,1731078069,feat: declare opera as a mainnet network (#28),False,original,14,0,0,0,0,0,3.071,92.56,original,0.0,0.0,4.216801881790161,0.0,4.216801881790161,,,,,,,,,,,231
ape-fantom,20260629_215448,c61d1c53d1e3bedf5738fc48b50afa4c0ebdfa49,1731078069,feat: declare opera as a mainnet network (#28),False,pymop,14,0,0,0,0,0,26.548,92.56,pymop,0.3475258350372314,0.337717056274414,39.485026121139526,0.0,40.17026901245117,7.0,ItemInList=7,1.0,ItemInList=1,ItemInList:/tests/test_integration.py:44=1,ItemInList:/tests/test_integration.py:44={'tests/test_integration.py::test_networks'},517.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=488<>UnsafeDictIterator=8<>UnsafeListIterator=5<>ItemInList=1<>UnsafeArrayIterator=2,12177.0,BuiltinAllAnalysis=violation=1810<>ComparisonBehaviorAnalysis=eq_end=15<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=15<>NonFinitesAnalysis=non_finite_op=1810<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=522<>WrongTypeAddedAnalysis=check_append=1810<>WrongTypeAddedAnalysis=check_insert=1810<>WrongTypeAddedAnalysis=check_extend=1810<>WrongTypeAddedAnalysis=check_add=1810<>FileClosedAnalysis=open=245<>FileClosedAnalysis=close=244<>FileClosedAnalysis=end=243<>UnsafeDictIterator=createDict=8<>UnsafeListIterator=createList=6<>ItemInList=list_contains=7<>UnsafeArrayIterator=createArray=2,231
ape-fantom,20260629_215448,c61d1c53d1e3bedf5738fc48b50afa4c0ebdfa49,1731078069,feat: declare opera as a mainnet network (#28),False,pymop_libs,14,0,0,0,0,0,2552.003,92.56,pymop_libs,5.618386745452881,0.3255650997161865,2838.295341491699,0.0,2844.2392933368683,5099.0,WrongTypeAddedAnalysis=65;InvalidComparisonAnalysis=56;RandomMustUseSeed=1;StringConcatAnalysis=1;ItemInList=4975;InPlaceSortAnalysis=1,12.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=4;RandomMustUseSeed=1;StringConcatAnalysis=1;ItemInList=3;InPlaceSortAnalysis=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/pycparser/c_parser.py:2347=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rlp/codec.py:247=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/base58.py:20=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/ape/api/config.py:556=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;ItemInList:/lib/python3.12/site-packages/eth_account/hdaccount/mnemonic.py:261=1;ItemInList:/tests/test_integration.py:44=1;InPlaceSortAnalysis:/lib/python3.12/site-packages/hypothesis/internal/conjecture/floats.py:92=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/pycparser/c_parser.py:2347={None, 'tests/test_ecosystem.py::test_gas_limit'};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/rlp/codec.py:247={'tests/test_ecosystem.py::test_create_transaction[None]', 'tests/test_provider.py::test_use_provider'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/base58.py:20={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/ape/api/config.py:556={None, 'tests/test_config.py::test_gas_limit', 'tests/test_integration.py::test_networks', 'tests/test_ecosystem.py::test_gas_limit'};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253={None};ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359={None, 'tests/test_ecosystem.py::test_create_transaction[None]', 'tests/test_ecosystem.py::test_encode_transaction[2]', 'tests/test_config.py::test_gas_limit', 'tests/test_provider.py::test_use_provider', 'tests/test_ecosystem.py::test_create_transaction[0x2]', 'tests/test_ecosystem.py::test_gas_limit', 'tests/test_ecosystem.py::test_encode_transaction[0]', 'tests/test_ecosystem.py::test_create_transaction[2]', 'tests/test_integration.py::test_networks', 'tests/test_config.py::test_custom_network', 'tests/test_config.py::test_opera_fork_configured'};ItemInList:/lib/python3.12/site-packages/eth_account/hdaccount/mnemonic.py:261={'tests/test_ecosystem.py::test_create_transaction[None]'};ItemInList:/tests/test_integration.py:44={'tests/test_integration.py::test_networks'};InPlaceSortAnalysis:/lib/python3.12/site-packages/hypothesis/internal/conjecture/floats.py:92={'tests/test_provider.py::test_use_provider'}",1291107.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=55537<>UnsafeDictIterator=1233736<>ArgParse_Parent=6<>FileClosedAnalysis=470<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1<>Requests_MustCloseSession=2<>ItemInList=1315<>UnsafeArrayIterator=2,42178275.0,BuiltinAllAnalysis=violation=5701329<>ComparisonBehaviorAnalysis=ne_end=45041<>ComparisonBehaviorAnalysis=eq_end=651109<>InPlaceSortAnalysis=list_used=1732263<>InPlaceSortAnalysis=list_sorted=1802<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=696138<>NonFinitesAnalysis=non_finite_op=5701219<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=3728034<>StringStripAnalysis=strip=21046<>WrongTypeAddedAnalysis=check_append=4359259<>WrongTypeAddedAnalysis=check_insert=4359259<>WrongTypeAddedAnalysis=check_extend=4359259<>WrongTypeAddedAnalysis=check_add=4359259<>WrongTypeAddedAnalysis=check_add_assign=3728034<>UnsafeListIterator=createList=185658<>UnsafeListIterator=createIter=3304<>UnsafeListIterator=next=5274<>UnsafeDictIterator=createDict=72229<>UnsafeDictIterator=updateDict=62627<>UnsafeDictIterator=createIter=1198352<>UnsafeDictIterator=next=1198380<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=236<>FileClosedAnalysis=close=235<>FileClosedAnalysis=end=234<>Pydocs_MustReleaseLock=acquire=1838<>Pydocs_MustReleaseLock=release=1838<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1<>Requests_MustCloseSession=init=1<>Requests_MustCloseSession=end=1<>ItemInList=list_contains=4975<>UnsafeArrayIterator=createArray=2,231
ape-fantom,20260629_215448,c61d1c53d1e3bedf5738fc48b50afa4c0ebdfa49,1731078069,feat: declare opera as a mainnet network (#28),False,dylin,14,0,0,0,0,0,2.93,92.56,dylin,4.588654279708862,0.0,10.914950132369995,0.1825823783874511,15.686186790466309,1.0,ItemInListAnalysis=1,1.0,ItemInListAnalysis=1,ItemInListAnalysis:/tests/test_integration.py:44=1,ItemInListAnalysis:/tests/test_integration.py:44={'tests/test_integration.py::test_networks (call)'},,,,,231
ape-fantom,20260629_215448,1c99d213ab8c01adaa85b357a1772a757b268a54,1731080238,perf: faster plugin load (#29),False,original,14,0,0,0,0,0,2.964,92.8,original,0.0,0.0,4.020575523376465,0.0,4.020575523376465,,,,,,,,,,,240
ape-fantom,20260629_215448,1c99d213ab8c01adaa85b357a1772a757b268a54,1731080238,perf: faster plugin load (#29),False,pymop,14,0,0,0,0,0,23.013,92.8,pymop,0.3416132926940918,0.3403034210205078,35.29017877578735,0.0,35.97209548950195,7.0,ItemInList=7,1.0,ItemInList=1,ItemInList:/tests/test_integration.py:44=1,ItemInList:/tests/test_integration.py:44={'tests/test_integration.py::test_networks'},518.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=488<>UnsafeDictIterator=8<>UnsafeListIterator=6<>ItemInList=1<>UnsafeArrayIterator=2,12177.0,BuiltinAllAnalysis=violation=1810<>ComparisonBehaviorAnalysis=eq_end=15<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=15<>NonFinitesAnalysis=non_finite_op=1810<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=522<>WrongTypeAddedAnalysis=check_append=1810<>WrongTypeAddedAnalysis=check_insert=1810<>WrongTypeAddedAnalysis=check_extend=1810<>WrongTypeAddedAnalysis=check_add=1810<>FileClosedAnalysis=open=245<>FileClosedAnalysis=close=244<>FileClosedAnalysis=end=243<>UnsafeDictIterator=createDict=8<>UnsafeListIterator=createList=6<>ItemInList=list_contains=7<>UnsafeArrayIterator=createArray=2,240
