project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
asciidoc-linter,20260629_220243,72079d3295b2da0d3d6c78e2887fd34cae78e12a,1732629234,first rules,False,original,10,0,0,0,0,0,0.115,46.0,original,0.0,0.0,0.3012938499450683,0.0,0.3012938499450683,,,,,,,,,,,600
asciidoc-linter,20260629_220243,72079d3295b2da0d3d6c78e2887fd34cae78e12a,1732629234,first rules,False,pymop,10,0,0,0,0,0,0.053,46.0,pymop,0.7206435203552246,0.2884089946746826,0.990769863128662,0.0,1.9998223781585691,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12<>UnsafeListIterator=11,1456.0,BuiltinAllAnalysis=violation=178<>ComparisonBehaviorAnalysis=eq_end=38<>ComparisonBehaviorAnalysis=ne_end=61<>InPlaceSortAnalysis=list_used=20<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=99<>NonFinitesAnalysis=non_finite_op=178<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=43<>StringStripAnalysis=strip=44<>WrongTypeAddedAnalysis=check_append=178<>WrongTypeAddedAnalysis=check_insert=178<>WrongTypeAddedAnalysis=check_extend=178<>WrongTypeAddedAnalysis=check_add=178<>WrongTypeAddedAnalysis=check_add_assign=43<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>UnsafeListIterator=createList=13<>UnsafeListIterator=updateList=7,600
asciidoc-linter,20260629_220243,72079d3295b2da0d3d6c78e2887fd34cae78e12a,1732629234,first rules,False,pymop_libs,10,0,0,0,0,0,0.909,46.0,pymop_libs,5.06095027923584,0.2758402824401855,3.7650763988494873,0.0,9.101866960525513,0.0,,0.0,,,,1639.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1107<>UnsafeDictIterator=483<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,304330.0,BuiltinAllAnalysis=violation=47464<>ComparisonBehaviorAnalysis=ne_end=326<>ComparisonBehaviorAnalysis=eq_end=1949<>InPlaceSortAnalysis=list_used=5737<>InPlaceSortAnalysis=list_sorted=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2265<>NonFinitesAnalysis=non_finite_op=47365<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1230<>StringStripAnalysis=strip=74<>WrongTypeAddedAnalysis=check_append=47584<>WrongTypeAddedAnalysis=check_insert=47584<>WrongTypeAddedAnalysis=check_extend=47584<>WrongTypeAddedAnalysis=check_add=47584<>WrongTypeAddedAnalysis=check_add_assign=1230<>UnsafeListIterator=createList=3211<>UnsafeListIterator=updateList=7<>UnsafeDictIterator=createDict=535<>UnsafeDictIterator=updateDict=2541<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,600
asciidoc-linter,20260629_220243,72079d3295b2da0d3d6c78e2887fd34cae78e12a,1732629234,first rules,False,dylin,10,0,0,0,0,0,2.635,46.0,dylin,4.558527946472168,0.0,3.9613847732543945,0.1755473613739013,8.695460081100464,0.0,,0.0,,,,,,,,600
asciidoc-linter,20260629_220243,ba842c5d696f45d5b0a89947bc486ff7d6a7fe4d,1732639282,added arc42,False,original,10,0,0,0,0,0,0.079,46.0,original,0.0,0.0,0.2625391483306885,0.0,0.2625391483306885,,,,,,,,,,,600
asciidoc-linter,20260629_220243,ba842c5d696f45d5b0a89947bc486ff7d6a7fe4d,1732639282,added arc42,False,pymop,10,0,0,0,0,0,0.063,46.0,pymop,0.7426884174346924,0.3247659206390381,0.9846806526184082,0.0,2.0521349906921387,0.0,,0.0,,,,35.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12<>UnsafeListIterator=10,1456.0,BuiltinAllAnalysis=violation=178<>ComparisonBehaviorAnalysis=eq_end=38<>ComparisonBehaviorAnalysis=ne_end=61<>InPlaceSortAnalysis=list_used=20<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=99<>NonFinitesAnalysis=non_finite_op=178<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=43<>StringStripAnalysis=strip=44<>WrongTypeAddedAnalysis=check_append=178<>WrongTypeAddedAnalysis=check_insert=178<>WrongTypeAddedAnalysis=check_extend=178<>WrongTypeAddedAnalysis=check_add=178<>WrongTypeAddedAnalysis=check_add_assign=43<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>UnsafeListIterator=createList=13<>UnsafeListIterator=updateList=7,600
asciidoc-linter,20260629_220243,ba842c5d696f45d5b0a89947bc486ff7d6a7fe4d,1732639282,added arc42,False,pymop_libs,10,0,0,0,0,0,0.997,46.0,pymop_libs,5.197387218475342,0.3037445545196533,3.95400071144104,0.0,9.455132484436035,0.0,,0.0,,,,1712.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1168<>UnsafeDictIterator=495<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,319802.0,BuiltinAllAnalysis=violation=49883<>ComparisonBehaviorAnalysis=ne_end=324<>ComparisonBehaviorAnalysis=eq_end=2050<>InPlaceSortAnalysis=list_used=6167<>InPlaceSortAnalysis=list_sorted=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2364<>NonFinitesAnalysis=non_finite_op=49784<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1232<>StringStripAnalysis=strip=74<>WrongTypeAddedAnalysis=check_append=50073<>WrongTypeAddedAnalysis=check_insert=50073<>WrongTypeAddedAnalysis=check_extend=50073<>WrongTypeAddedAnalysis=check_add=50073<>WrongTypeAddedAnalysis=check_add_assign=1232<>UnsafeListIterator=createList=3247<>UnsafeListIterator=updateList=7<>UnsafeDictIterator=createDict=539<>UnsafeDictIterator=updateDict=2547<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,600
asciidoc-linter,20260629_220243,ba842c5d696f45d5b0a89947bc486ff7d6a7fe4d,1732639282,added arc42,False,dylin,10,0,0,0,0,0,2.64,46.0,dylin,4.496581315994263,0.0,3.961634397506714,0.1777667999267578,8.635982513427734,0.0,,0.0,,,,,,,,600
asciidoc-linter,20260629_220243,a286be1427f4514f644fad9835bea7163b0e743f,1732702907,BLOCK001 & BLOCK002,False,original,17,0,0,0,0,0,0.109,60.41,original,0.0,0.0,0.2881343364715576,0.0,0.2881343364715576,,,,,,,,,,,857
asciidoc-linter,20260629_220243,a286be1427f4514f644fad9835bea7163b0e743f,1732702907,BLOCK001 & BLOCK002,False,pymop,17,0,0,0,0,0,0.476,60.41,pymop,0.6978070735931396,0.2848951816558838,1.540562868118286,0.0,2.5232651233673096,0.0,,0.0,,,,159.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=94<>UnsafeDictIterator=10<>UnsafeListIterator=42,2789.0,BuiltinAllAnalysis=violation=327<>ComparisonBehaviorAnalysis=eq_end=54<>ComparisonBehaviorAnalysis=ne_end=61<>InPlaceSortAnalysis=list_used=55<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=115<>NonFinitesAnalysis=non_finite_op=327<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=66<>StringStripAnalysis=strip=112<>WrongTypeAddedAnalysis=check_append=327<>WrongTypeAddedAnalysis=check_insert=327<>WrongTypeAddedAnalysis=check_extend=327<>WrongTypeAddedAnalysis=check_add=327<>WrongTypeAddedAnalysis=check_add_assign=66<>FileClosedAnalysis=open=48<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=46<>UnsafeDictIterator=createDict=11<>UnsafeDictIterator=updateDict=16<>UnsafeListIterator=createList=72<>UnsafeListIterator=updateList=56,857
