project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
babelvec,20260629_215713,00106e00a4e6d29f67cfa9eb30b6826bd6bbaf42,1766346661,Initial release,False,original,68,0,0,0,0,0,5.28,84.56,original,0.0,0.0,5.824586629867554,0.0,5.824586629867554,,,,,,,,,,,2638
babelvec,20260629_215713,00106e00a4e6d29f67cfa9eb30b6826bd6bbaf42,1766346661,Initial release,False,pymop,68,0,0,0,0,0,3.998,84.56,pymop,3.5856170654296875,0.5340969562530518,6.526365280151367,0.0,10.646079301834106,0.0,,0.0,,,,259.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=28<>UnsafeListIterator=138<>UnsafeDictIterator=78<>PyDocs_UnsafeIterUseAfterTee=2,69462.0,BuiltinAllAnalysis=violation=10145<>ComparisonBehaviorAnalysis=eq_end=398<>ComparisonBehaviorAnalysis=ne_end=36<>InPlaceSortAnalysis=list_used=195<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=434<>NonFinitesAnalysis=non_finite_op=10145<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=3216<>StringStripAnalysis=strip=15<>WrongTypeAddedAnalysis=check_append=10149<>WrongTypeAddedAnalysis=check_insert=10149<>WrongTypeAddedAnalysis=check_extend=10149<>WrongTypeAddedAnalysis=check_add=10149<>WrongTypeAddedAnalysis=check_add_assign=3216<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>UnsafeListIterator=createList=255<>UnsafeListIterator=updateList=638<>UnsafeDictIterator=createDict=91<>UnsafeDictIterator=updateDict=36<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2638
babelvec,20260629_215713,00106e00a4e6d29f67cfa9eb30b6826bd6bbaf42,1766346661,Initial release,False,pymop_libs,68,0,0,0,0,0,11.341,84.56,pymop_libs,9.312318325042725,0.530449628829956,24.856788873672485,0.0,34.699556827545166,9.0,InvalidComparisonAnalysis=7;ComparisonBehaviorAnalysis=2,3.0,InvalidComparisonAnalysis=2;ComparisonBehaviorAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/numeric.py:2498=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/fasttext/FastText.py:422=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/scipy/linalg/lapack.py:1068=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/numeric.py:2498={'tests/test_integration/test_end_to_end.py::TestEncoderIntegration::test_all_encoding_methods', 'tests/test_core/test_sentence_encoder.py::TestSentenceEncoder::test_encode_with_normalization'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/fasttext/FastText.py:422={'tests/test_integration/test_training.py::TestActualTraining::test_save_and_load', 'tests/test_integration/test_training.py::TestActualTraining::test_most_similar', 'tests/test_integration/test_training.py::TestActualTraining::test_position_aware_sentence_vectors', 'tests/test_integration/test_training.py::TestActualTraining::test_train_monolingual'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/scipy/linalg/lapack.py:1068={'tests/test_integration/test_end_to_end.py::TestAlignmentIntegration::test_alignment_improves_similarity'}",5586.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3642<>UnsafeDictIterator=1877<>ArgParse_Parent=1<>FileClosedAnalysis=28<>faulthandler_disableBeforeClose=1<>PyDocs_UnsafeIterUseAfterTee=2,1073036.0,BuiltinAllAnalysis=violation=162810<>ComparisonBehaviorAnalysis=ne_end=1053<>ComparisonBehaviorAnalysis=eq_end=8087<>InPlaceSortAnalysis=list_used=25424<>InPlaceSortAnalysis=list_sorted=74<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9130<>NonFinitesAnalysis=non_finite_op=162711<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=11694<>StringStripAnalysis=strip=255<>WrongTypeAddedAnalysis=check_append=164431<>WrongTypeAddedAnalysis=check_insert=164431<>WrongTypeAddedAnalysis=check_extend=164431<>WrongTypeAddedAnalysis=check_add=164431<>WrongTypeAddedAnalysis=check_add_assign=11694<>UnsafeListIterator=createList=13802<>UnsafeListIterator=updateList=638<>UnsafeDictIterator=createDict=2387<>UnsafeDictIterator=updateDict=5481<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2638
babelvec,20260629_215713,00106e00a4e6d29f67cfa9eb30b6826bd6bbaf42,1766346661,Initial release,False,dylin,67,1,0,0,0,0,4.514,84.56,dylin,8.472881317138672,0.0,9.8628568649292,0.2930612564086914,18.62879943847656,0.0,,0.0,,,,,,,,2638
babelvec,20260629_215713,4ab21abc513aaf16de47a0bb3317b7ee07e14737,1766350424,Bump version,False,original,68,0,0,0,0,0,4.543,84.56,original,0.0,0.0,5.091856956481934,0.0,5.091856956481934,,,,,,,,,,,2638
babelvec,20260629_215713,4ab21abc513aaf16de47a0bb3317b7ee07e14737,1766350424,Bump version,False,pymop,68,0,0,0,0,0,3.285,84.56,pymop,3.4012157917022705,0.6833310127258301,5.943922996520996,0.0,10.028469800949097,0.0,,0.0,,,,253.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=28<>UnsafeListIterator=134<>UnsafeDictIterator=76<>PyDocs_UnsafeIterUseAfterTee=2,69462.0,BuiltinAllAnalysis=violation=10145<>ComparisonBehaviorAnalysis=eq_end=398<>ComparisonBehaviorAnalysis=ne_end=36<>InPlaceSortAnalysis=list_used=195<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=434<>NonFinitesAnalysis=non_finite_op=10145<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=3216<>StringStripAnalysis=strip=15<>WrongTypeAddedAnalysis=check_append=10149<>WrongTypeAddedAnalysis=check_insert=10149<>WrongTypeAddedAnalysis=check_extend=10149<>WrongTypeAddedAnalysis=check_add=10149<>WrongTypeAddedAnalysis=check_add_assign=3216<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>UnsafeListIterator=createList=255<>UnsafeListIterator=updateList=638<>UnsafeDictIterator=createDict=91<>UnsafeDictIterator=updateDict=36<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2638
babelvec,20260629_215713,4ab21abc513aaf16de47a0bb3317b7ee07e14737,1766350424,Bump version,False,pymop_libs,68,0,0,0,0,0,10.825,84.56,pymop_libs,9.186488628387451,0.5145366191864014,24.046754598617554,0.0,33.747779846191406,8.0,InvalidComparisonAnalysis=6;ComparisonBehaviorAnalysis=2,3.0,InvalidComparisonAnalysis=2;ComparisonBehaviorAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/numeric.py:2498=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/fasttext/FastText.py:422=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/scipy/linalg/lapack.py:1068=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/numpy/_core/numeric.py:2498={'tests/test_integration/test_end_to_end.py::TestEncoderIntegration::test_all_encoding_methods'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/fasttext/FastText.py:422={'tests/test_integration/test_training.py::TestActualTraining::test_save_and_load', 'tests/test_integration/test_training.py::TestActualTraining::test_most_similar', 'tests/test_integration/test_training.py::TestActualTraining::test_position_aware_sentence_vectors', 'tests/test_integration/test_training.py::TestActualTraining::test_train_monolingual'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/scipy/linalg/lapack.py:1068={'tests/test_integration/test_end_to_end.py::TestAlignmentIntegration::test_alignment_improves_similarity'}",5390.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3452<>UnsafeDictIterator=1871<>ArgParse_Parent=1<>FileClosedAnalysis=28<>faulthandler_disableBeforeClose=1<>PyDocs_UnsafeIterUseAfterTee=2,1073036.0,BuiltinAllAnalysis=violation=162810<>ComparisonBehaviorAnalysis=ne_end=1053<>ComparisonBehaviorAnalysis=eq_end=8087<>InPlaceSortAnalysis=list_used=25424<>InPlaceSortAnalysis=list_sorted=74<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9130<>NonFinitesAnalysis=non_finite_op=162711<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=11694<>StringStripAnalysis=strip=255<>WrongTypeAddedAnalysis=check_append=164431<>WrongTypeAddedAnalysis=check_insert=164431<>WrongTypeAddedAnalysis=check_extend=164431<>WrongTypeAddedAnalysis=check_add=164431<>WrongTypeAddedAnalysis=check_add_assign=11694<>UnsafeListIterator=createList=13802<>UnsafeListIterator=updateList=638<>UnsafeDictIterator=createDict=2387<>UnsafeDictIterator=updateDict=5481<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=15<>FileClosedAnalysis=close=14<>FileClosedAnalysis=end=13<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2638
babelvec,20260629_215713,4ab21abc513aaf16de47a0bb3317b7ee07e14737,1766350424,Bump version,False,dylin,67,1,0,0,0,0,3.56,84.56,dylin,8.551088333129883,0.0,9.214012145996094,0.333906888961792,18.09900736808777,0.0,,0.0,,,,,,,,2638
babelvec,20260629_215713,c5fbbf3230eb9c6480d58f796775c2b21fb34f09,1766455321,Save projection matrices,False,original,68,0,0,0,0,0,4.844,84.48,original,0.0,0.0,5.370250940322876,0.0,5.370250940322876,,,,,,,,,,,2662
babelvec,20260629_215713,c5fbbf3230eb9c6480d58f796775c2b21fb34f09,1766455321,Save projection matrices,False,pymop,68,0,0,0,0,0,3.51,84.48,pymop,3.7538750171661377,0.6447746753692627,5.863039255142212,0.0,10.261688947677612,0.0,,0.0,,,,277.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=32<>UnsafeListIterator=155<>UnsafeDictIterator=75<>PyDocs_UnsafeIterUseAfterTee=2,69542.0,BuiltinAllAnalysis=violation=10157<>ComparisonBehaviorAnalysis=eq_end=398<>ComparisonBehaviorAnalysis=ne_end=36<>InPlaceSortAnalysis=list_used=195<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=434<>NonFinitesAnalysis=non_finite_op=10157<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=3216<>StringStripAnalysis=strip=15<>WrongTypeAddedAnalysis=check_append=10161<>WrongTypeAddedAnalysis=check_insert=10161<>WrongTypeAddedAnalysis=check_extend=10161<>WrongTypeAddedAnalysis=check_add=10161<>WrongTypeAddedAnalysis=check_add_assign=3216<>FileClosedAnalysis=open=17<>FileClosedAnalysis=close=16<>FileClosedAnalysis=end=15<>UnsafeListIterator=createList=255<>UnsafeListIterator=updateList=638<>UnsafeDictIterator=createDict=93<>UnsafeDictIterator=updateDict=36<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2662
