project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
bazoola,20260629_220604,d2ffb3f1d7383d08935ab42ecafcad109572ffa1,1752483969,Create a proper package,False,original,14,61,0,0,0,0,1.968,90.12,original,0.0,0.0,2.2977983951568604,0.0,2.2977983951568604,,,,,,,,,,,1349
bazoola,20260629_220604,d2ffb3f1d7383d08935ab42ecafcad109572ffa1,1752483969,Create a proper package,False,pymop,14,61,0,0,0,0,7.802,90.12,pymop,2.401174783706665,0.5300884246826172,9.971083641052246,0.0,12.902346849441528,0.0,,0.0,,,,1858.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=848<>UnsafeListIterator=556<>UnsafeDictIterator=441,208711.0,BuiltinAllAnalysis=violation=31513<>ComparisonBehaviorAnalysis=eq_end=3735<>InPlaceSortAnalysis=list_used=2756<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3735<>NonFinitesAnalysis=non_finite_op=31513<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2985<>WrongTypeAddedAnalysis=check_append=31649<>WrongTypeAddedAnalysis=check_insert=31649<>WrongTypeAddedAnalysis=check_extend=31649<>WrongTypeAddedAnalysis=check_add=31649<>WrongTypeAddedAnalysis=check_add_assign=2985<>FileClosedAnalysis=open=425<>FileClosedAnalysis=close=424<>FileClosedAnalysis=end=423<>UnsafeListIterator=createList=654<>UnsafeListIterator=updateList=458<>UnsafeDictIterator=createDict=505<>UnsafeDictIterator=updateDict=2,1349
bazoola,20260629_220604,d2ffb3f1d7383d08935ab42ecafcad109572ffa1,1752483969,Create a proper package,False,pymop_libs,5,70,0,0,0,0,62.058,90.12,pymop_libs,7.885225534439087,0.4244074821472168,70.5316698551178,0.0,78.8413028717041,8.0,FileClosedAnalysis=8,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/bazoola/db.py:180=1,FileClosedAnalysis:/bazoola/db.py:180={'tests/test_main.py::test_find_by_cond_int_nullable[cond3-expected3-tables0]'},11589.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=8171<>UnsafeDictIterator=2579<>ArgParse_Parent=1<>FileClosedAnalysis=802<>faulthandler_disableBeforeClose=1,10227289.0,BuiltinAllAnalysis=violation=1665621<>ComparisonBehaviorAnalysis=ne_end=4547<>ComparisonBehaviorAnalysis=eq_end=34156<>InPlaceSortAnalysis=list_used=46632<>InPlaceSortAnalysis=list_sorted=57<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=38693<>NonFinitesAnalysis=non_finite_op=1665522<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=30967<>StringStripAnalysis=strip=825<>WrongTypeAddedAnalysis=check_append=1668709<>WrongTypeAddedAnalysis=check_insert=1668709<>WrongTypeAddedAnalysis=check_extend=1668709<>WrongTypeAddedAnalysis=check_add=1668709<>WrongTypeAddedAnalysis=check_add_assign=30967<>UnsafeListIterator=createList=22195<>UnsafeListIterator=updateList=475<>UnsafeDictIterator=createDict=3053<>UnsafeDictIterator=updateDict=7520<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=402<>FileClosedAnalysis=close=393<>FileClosedAnalysis=end=400<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1349
bazoola,20260629_220604,d2ffb3f1d7383d08935ab42ecafcad109572ffa1,1752483969,Create a proper package,False,dylin,14,61,0,0,0,0,7.354,90.12,dylin,7.427667856216431,0.0,12.927824020385742,0.3229124546051025,20.678404331207275,0.0,,0.0,,,,,,,,1349
bazoola,20260629_220604,74d4d0b04ead3e3f4447d9db330040a7d50c2af5,1752503785,[package] Make it compatible with 3.10+,False,original,14,61,0,0,0,0,1.996,90.12,original,0.0,0.0,2.355245590209961,0.0,2.355245590209961,,,,,,,,,,,1349
bazoola,20260629_220604,74d4d0b04ead3e3f4447d9db330040a7d50c2af5,1752503785,[package] Make it compatible with 3.10+,False,pymop,14,61,0,0,0,0,7.696,90.12,pymop,2.149494886398315,0.6506826877593994,9.920578002929688,0.0,12.720755577087402,0.0,,0.0,,,,1888.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=848<>UnsafeListIterator=576<>UnsafeDictIterator=451,208711.0,BuiltinAllAnalysis=violation=31513<>ComparisonBehaviorAnalysis=eq_end=3735<>InPlaceSortAnalysis=list_used=2756<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3735<>NonFinitesAnalysis=non_finite_op=31513<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2985<>WrongTypeAddedAnalysis=check_append=31649<>WrongTypeAddedAnalysis=check_insert=31649<>WrongTypeAddedAnalysis=check_extend=31649<>WrongTypeAddedAnalysis=check_add=31649<>WrongTypeAddedAnalysis=check_add_assign=2985<>FileClosedAnalysis=open=425<>FileClosedAnalysis=close=424<>FileClosedAnalysis=end=423<>UnsafeListIterator=createList=654<>UnsafeListIterator=updateList=458<>UnsafeDictIterator=createDict=505<>UnsafeDictIterator=updateDict=2,1349
bazoola,20260629_220604,74d4d0b04ead3e3f4447d9db330040a7d50c2af5,1752503785,[package] Make it compatible with 3.10+,False,pymop_libs,5,70,0,0,0,0,63.312,90.12,pymop_libs,8.266592025756836,0.4697723388671875,72.39545273780823,0.0,81.13181710243225,8.0,FileClosedAnalysis=8,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/bazoola/db.py:180=1,FileClosedAnalysis:/bazoola/db.py:180={'tests/test_main.py::test_find_by_cond_int_nullable[cond3-expected3-tables0]'},11634.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=8222<>UnsafeDictIterator=2573<>ArgParse_Parent=1<>FileClosedAnalysis=802<>faulthandler_disableBeforeClose=1,10223425.0,BuiltinAllAnalysis=violation=1664977<>ComparisonBehaviorAnalysis=ne_end=4547<>ComparisonBehaviorAnalysis=eq_end=34156<>InPlaceSortAnalysis=list_used=46632<>InPlaceSortAnalysis=list_sorted=57<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=38693<>NonFinitesAnalysis=non_finite_op=1664878<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=30967<>StringStripAnalysis=strip=825<>WrongTypeAddedAnalysis=check_append=1668065<>WrongTypeAddedAnalysis=check_insert=1668065<>WrongTypeAddedAnalysis=check_extend=1668065<>WrongTypeAddedAnalysis=check_add=1668065<>WrongTypeAddedAnalysis=check_add_assign=30967<>UnsafeListIterator=createList=22195<>UnsafeListIterator=updateList=475<>UnsafeDictIterator=createDict=3053<>UnsafeDictIterator=updateDict=7520<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=402<>FileClosedAnalysis=close=393<>FileClosedAnalysis=end=400<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1349
bazoola,20260629_220604,74d4d0b04ead3e3f4447d9db330040a7d50c2af5,1752503785,[package] Make it compatible with 3.10+,False,dylin,14,61,0,0,0,0,7.316,90.12,dylin,8.111488580703735,0.0,13.16634464263916,0.3174824714660644,21.59531569480896,0.0,,0.0,,,,,,,,1349
bazoola,20260629_220604,684bdbbf00255537af86a7397f4c08cdc8898a5c,1752506541,Add base_dir parameter instead of TEST_BASE_DIR env,False,original,75,0,0,0,0,0,0.325,96.3,original,0.0,0.0,0.6815519332885742,0.0,0.6815519332885742,,,,,,,,,,,1359
bazoola,20260629_220604,684bdbbf00255537af86a7397f4c08cdc8898a5c,1752506541,Add base_dir parameter instead of TEST_BASE_DIR env,False,pymop,75,0,0,0,0,0,8.769,96.3,pymop,2.197951555252075,0.5362644195556641,10.980767726898192,0.0,13.714983701705933,0.0,,0.0,,,,2736.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=1592<>UnsafeListIterator=624<>UnsafeDictIterator=507,189194.0,BuiltinAllAnalysis=violation=28854<>ComparisonBehaviorAnalysis=eq_end=2173<>InPlaceSortAnalysis=list_used=2081<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2173<>NonFinitesAnalysis=non_finite_op=28854<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1863<>WrongTypeAddedAnalysis=check_append=29271<>WrongTypeAddedAnalysis=check_insert=29271<>WrongTypeAddedAnalysis=check_extend=29271<>WrongTypeAddedAnalysis=check_add=29271<>WrongTypeAddedAnalysis=check_add_assign=1863<>FileClosedAnalysis=open=797<>FileClosedAnalysis=close=796<>FileClosedAnalysis=end=795<>UnsafeListIterator=createList=754<>UnsafeListIterator=updateList=516<>UnsafeDictIterator=createDict=587<>UnsafeDictIterator=updateDict=2,1359
