project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
bot-core,20260629_215849,574be7da67c52294f4ddff38a40951a20a6f6d99,1636060964,Setup attempt,True,original,0,0,0,0,0,0,0.017,0.0,original,0.0,0.0,0.1867635250091552,0.0,0.1867635250091552,,,,,,,,,,,
bot-core,20260629_215849,574be7da67c52294f4ddff38a40951a20a6f6d99,1636060964,Setup attempt,True,pymop,0,0,0,0,0,0,0.008,0.0,pymop,0.7115426063537598,0.3214359283447265,0.8880386352539062,0.0,1.9210171699523928,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
bot-core,20260629_215849,574be7da67c52294f4ddff38a40951a20a6f6d99,1636060964,Setup attempt,True,pymop_libs,0,0,0,0,0,0,0.238,0.0,pymop_libs,4.9451868534088135,0.2601501941680908,3.05819034576416,0.0,8.263527393341064,0.0,,0.0,,,,1132.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=742<>UnsafeDictIterator=343<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,183869.0,BuiltinAllAnalysis=violation=29260<>ComparisonBehaviorAnalysis=ne_end=147<>ComparisonBehaviorAnalysis=eq_end=867<>InPlaceSortAnalysis=list_used=2176<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1004<>NonFinitesAnalysis=non_finite_op=29161<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=592<>WrongTypeAddedAnalysis=check_append=29053<>WrongTypeAddedAnalysis=check_insert=29053<>WrongTypeAddedAnalysis=check_extend=29053<>WrongTypeAddedAnalysis=check_add=29053<>WrongTypeAddedAnalysis=check_add_assign=592<>UnsafeListIterator=createList=1463<>UnsafeDictIterator=createDict=350<>UnsafeDictIterator=updateDict=1998<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
bot-core,20260629_215849,574be7da67c52294f4ddff38a40951a20a6f6d99,1636060964,Setup attempt,True,dylin,0,0,0,0,0,0,0.004,0.0,dylin,4.005324602127075,0.0,0.1170797348022461,0.167954683303833,4.290359020233154,0.0,,0.0,,,,,,,,
bot-core,20260629_215849,204322d7ec6af69889caa8b216530848067af492,1636189279,Ignore .idea and .vscode folders.,True,original,0,0,0,0,0,0,0.017,100.0,original,0.0,0.0,0.1918563842773437,0.0,0.1918563842773437,,,,,,,,,,,
bot-core,20260629_215849,204322d7ec6af69889caa8b216530848067af492,1636189279,Ignore .idea and .vscode folders.,True,pymop,0,0,0,0,0,0,0.008,100.0,pymop,0.7444829940795898,0.2859120368957519,0.9493331909179688,0.0,1.9797282218933103,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
bot-core,20260629_215849,204322d7ec6af69889caa8b216530848067af492,1636189279,Ignore .idea and .vscode folders.,True,pymop_libs,0,0,0,0,0,0,0.236,100.0,pymop_libs,4.965630292892456,0.2684352397918701,3.105703592300415,0.0,8.339769124984741,0.0,,0.0,,,,1101.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=710<>UnsafeDictIterator=344<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,183424.0,BuiltinAllAnalysis=violation=29190<>ComparisonBehaviorAnalysis=ne_end=147<>ComparisonBehaviorAnalysis=eq_end=864<>InPlaceSortAnalysis=list_used=2165<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1001<>NonFinitesAnalysis=non_finite_op=29091<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=592<>WrongTypeAddedAnalysis=check_append=28981<>WrongTypeAddedAnalysis=check_insert=28981<>WrongTypeAddedAnalysis=check_extend=28981<>WrongTypeAddedAnalysis=check_add=28981<>WrongTypeAddedAnalysis=check_add_assign=592<>UnsafeListIterator=createList=1463<>UnsafeDictIterator=createDict=350<>UnsafeDictIterator=updateDict=1998<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
bot-core,20260629_215849,204322d7ec6af69889caa8b216530848067af492,1636189279,Ignore .idea and .vscode folders.,True,dylin,0,0,0,0,0,0,0.004,100.0,dylin,4.924894332885742,0.0,0.1238629817962646,0.1772172451019287,5.2259745597839355,0.0,,0.0,,,,,,,,
bot-core,20260629_215849,026ceb214a92e01a4c812319a658eef19e5c9531,1636189329,Use pyproject.toml as a replacement for setup.py,True,original,0,0,0,0,0,0,0.016,100.0,original,0.0,0.0,0.1868166923522949,0.0,0.1868166923522949,,,,,,,,,,,
bot-core,20260629_215849,026ceb214a92e01a4c812319a658eef19e5c9531,1636189329,Use pyproject.toml as a replacement for setup.py,True,pymop,0,0,0,0,0,0,0.008,100.0,pymop,0.7307412624359131,0.3089911937713623,0.9200453758239746,0.0,1.95977783203125,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
