project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
charm-cinder-backup,20260629_220542,199440c0df4aa0942c5eff72841b4a4c4439e178,1443715919,First commit of cinder-backup subordinate charm,True,original,0,0,0,0,0,3,0.292,0.7692,original,0.0,0.0,0.5857434272766113,0.0,0.5857434272766113,,,,,,,,,,,
charm-cinder-backup,20260629_220542,199440c0df4aa0942c5eff72841b4a4c4439e178,1443715919,First commit of cinder-backup subordinate charm,True,pymop,0,0,0,0,0,3,0.43,0.7692,pymop,2.093269109725952,0.5675067901611328,2.082275390625,0.0,4.743051290512085,0.0,,0.0,,,,34.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=1,45.0,BuiltinAllAnalysis=violation=1<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=1,
charm-cinder-backup,20260629_220542,199440c0df4aa0942c5eff72841b4a4c4439e178,1443715919,First commit of cinder-backup subordinate charm,True,pymop_libs,0,0,0,0,0,3,4.732,0.7692,pymop_libs,7.850118160247803,0.564033031463623,9.00417709350586,0.0,17.418328285217285,0.0,,0.0,,,,1458.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1009<>UnsafeDictIterator=392<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,955337.0,BuiltinAllAnalysis=violation=156610<>ComparisonBehaviorAnalysis=ne_end=377<>ComparisonBehaviorAnalysis=eq_end=1547<>InPlaceSortAnalysis=list_used=4410<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1914<>NonFinitesAnalysis=non_finite_op=156511<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1308<>StringStripAnalysis=strip=77<>WrongTypeAddedAnalysis=check_append=156647<>WrongTypeAddedAnalysis=check_insert=156647<>WrongTypeAddedAnalysis=check_extend=156647<>WrongTypeAddedAnalysis=check_add=156647<>WrongTypeAddedAnalysis=check_add_assign=1308<>UnsafeListIterator=createList=2141<>UnsafeDictIterator=createDict=401<>UnsafeDictIterator=updateDict=2083<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
charm-cinder-backup,20260629_220542,199440c0df4aa0942c5eff72841b4a4c4439e178,1443715919,First commit of cinder-backup subordinate charm,True,dylin,0,0,0,0,0,3,305.93,0.7692,dylin,10.243015050888062,0.0,307.4404408931732,0.3168396949768066,318.0002956390381,0.0,,0.0,,,,,,,,
charm-cinder-backup,20260629_220542,418b2721aaae6aba432bbe6ac4ef32a7c6bece2a,1453651199,"[hopem,r=]",True,original,0,0,0,0,0,3,0.325,0.7692,original,0.0,0.0,0.626840353012085,0.0,0.626840353012085,,,,,,,,,,,
charm-cinder-backup,20260629_220542,418b2721aaae6aba432bbe6ac4ef32a7c6bece2a,1453651199,"[hopem,r=]",True,pymop,0,0,0,0,0,3,0.427,0.7692,pymop,2.429063320159912,0.6036641597747803,2.144321918487549,0.0,5.177049398422241,0.0,,0.0,,,,34.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=1,45.0,BuiltinAllAnalysis=violation=1<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=1,
charm-cinder-backup,20260629_220542,418b2721aaae6aba432bbe6ac4ef32a7c6bece2a,1453651199,"[hopem,r=]",True,pymop_libs,0,0,0,0,0,3,4.915,0.7692,pymop_libs,7.675990104675293,0.5269238948822021,9.146204948425291,0.0,17.349118947982788,0.0,,0.0,,,,1507.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1044<>UnsafeDictIterator=406<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,973056.0,BuiltinAllAnalysis=violation=159383<>ComparisonBehaviorAnalysis=ne_end=396<>ComparisonBehaviorAnalysis=eq_end=1643<>InPlaceSortAnalysis=list_used=4853<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2029<>NonFinitesAnalysis=non_finite_op=159284<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1314<>StringStripAnalysis=strip=77<>WrongTypeAddedAnalysis=check_append=159484<>WrongTypeAddedAnalysis=check_insert=159484<>WrongTypeAddedAnalysis=check_extend=159484<>WrongTypeAddedAnalysis=check_add=159484<>WrongTypeAddedAnalysis=check_add_assign=1314<>UnsafeListIterator=createList=2251<>UnsafeDictIterator=createDict=413<>UnsafeDictIterator=updateDict=2101<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
charm-cinder-backup,20260629_220542,418b2721aaae6aba432bbe6ac4ef32a7c6bece2a,1453651199,"[hopem,r=]",True,dylin,0,0,0,0,0,3,305.738,0.7692,dylin,10.332108736038208,0.0,306.97575068473816,0.3097555637359619,317.61761498451233,0.0,,0.0,,,,,,,,
charm-cinder-backup,20260629_220542,78c204ec13ac387fcb9f19b737102c01afa84a71,1454664778,[trivial] make charm set stateless=true in rel with cinder,True,original,0,0,0,0,0,3,0.248,0.7634,original,0.0,0.0,0.566727876663208,0.0,0.566727876663208,,,,,,,,,,,
charm-cinder-backup,20260629_220542,78c204ec13ac387fcb9f19b737102c01afa84a71,1454664778,[trivial] make charm set stateless=true in rel with cinder,True,pymop,0,0,0,0,0,3,0.415,0.7634,pymop,2.3118410110473633,0.5937774181365967,2.136319637298584,0.0,5.041938066482544,0.0,,0.0,,,,34.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=1,45.0,BuiltinAllAnalysis=violation=1<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=1,
