project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
cloud-orchestrator,20260629_215505,cc461961e21f6501e9ba6814c726c04a6b32f1c6,1769102711,feat: implement Vast.ai GPU sourcing integration,True,original,0,0,0,0,0,0,0.312,0.0,original,0.0,0.0,0.925234079360962,0.0,0.925234079360962,,,,,,,,,,,
cloud-orchestrator,20260629_215505,cc461961e21f6501e9ba6814c726c04a6b32f1c6,1769102711,feat: implement Vast.ai GPU sourcing integration,True,pymop,0,0,0,0,0,0,0.035,0.0,pymop,2.4791128635406494,0.8825588226318359,6.666781902313232,0.0,10.028453588485718,0.0,,0.0,,,,93.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80,122.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39,
cloud-orchestrator,20260629_215505,cc461961e21f6501e9ba6814c726c04a6b32f1c6,1769102711,feat: implement Vast.ai GPU sourcing integration,True,pymop_libs,0,0,0,0,0,0,0.699,0.0,pymop_libs,11.18349266052246,0.8437833786010742,11.622559309005736,0.0,23.649835348129272,0.0,,0.0,,,,1339.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=844<>UnsafeDictIterator=378<>ArgParse_Parent=1<>FileClosedAnalysis=80<>faulthandler_disableBeforeClose=1,237967.0,BuiltinAllAnalysis=violation=37752<>ComparisonBehaviorAnalysis=ne_end=341<>ComparisonBehaviorAnalysis=eq_end=1280<>InPlaceSortAnalysis=list_used=3148<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1609<>NonFinitesAnalysis=non_finite_op=37642<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=713<>WrongTypeAddedAnalysis=check_append=37597<>WrongTypeAddedAnalysis=check_insert=37597<>WrongTypeAddedAnalysis=check_extend=37597<>WrongTypeAddedAnalysis=check_add=37597<>WrongTypeAddedAnalysis=check_add_assign=713<>UnsafeListIterator=createList=1729<>UnsafeDictIterator=createDict=379<>UnsafeDictIterator=updateDict=2119<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
cloud-orchestrator,20260629_215505,cc461961e21f6501e9ba6814c726c04a6b32f1c6,1769102711,feat: implement Vast.ai GPU sourcing integration,True,dylin,0,0,0,0,0,0,0.028,0.0,dylin,10.49360966682434,0.0,0.588383674621582,0.4106588363647461,11.492652177810667,0.0,,0.0,,,,,,,,
cloud-orchestrator,20260629_215505,737a4341225c83e1793849747bbd1fd03c3396d6,1769110770,feat: implement multi-provider GPU aggregation with failover,False,original,49,0,0,0,0,0,3.782,53.64,original,0.0,0.0,6.9376959800720215,0.0,6.9376959800720215,,,,,,,,,,,6833
cloud-orchestrator,20260629_215505,737a4341225c83e1793849747bbd1fd03c3396d6,1769110770,feat: implement multi-provider GPU aggregation with failover,False,pymop,49,0,0,0,0,0,4.295,53.64,pymop,2.4166646003723145,0.9811906814575196,12.459611177444458,0.0,15.857466459274292,13.0,RandomMustUseSeed=13,3.0,RandomMustUseSeed=3,RandomMustUseSeed:/brain/adapters/runpod/mock.py:240=1;RandomMustUseSeed:/brain/adapters/runpod/mock.py:241=1;RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291=1,"RandomMustUseSeed:/brain/adapters/runpod/mock.py:240={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/runpod/mock.py:241={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291={'tests/adapters/test_vast_ai.py::TestVastAiClient::test_terminate_instance_removes_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_get_instance_returns_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_create_instance_returns_instance'}",922.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=94<>UnsafeListIterator=269<>UnsafeDictIterator=478<>PyDocs_MustSortBeforeGroupBy=65<>RandomMustUseSeed=3,62787.0,BuiltinAllAnalysis=violation=9059<>ComparisonBehaviorAnalysis=eq_end=1899<>InPlaceSortAnalysis=list_used=697<>InPlaceSortAnalysis=list_sorted=3<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1899<>NonFinitesAnalysis=non_finite_op=9059<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=162<>WrongTypeAddedAnalysis=check_append=9059<>WrongTypeAddedAnalysis=check_insert=9059<>WrongTypeAddedAnalysis=check_extend=9059<>WrongTypeAddedAnalysis=check_add=9059<>WrongTypeAddedAnalysis=check_add_assign=162<>FileClosedAnalysis=open=48<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=46<>UnsafeListIterator=createList=355<>UnsafeListIterator=updateList=1475<>UnsafeDictIterator=createDict=1191<>UnsafeDictIterator=updateDict=129<>PyDocs_MustSortBeforeGroupBy=sort=72<>PyDocs_MustSortBeforeGroupBy=modify=233<>RandomMustUseSeed=all=13,6833
cloud-orchestrator,20260629_215505,737a4341225c83e1793849747bbd1fd03c3396d6,1769110770,feat: implement multi-provider GPU aggregation with failover,False,pymop_libs,49,0,0,0,0,0,32.159,53.64,pymop_libs,10.297098875045776,0.6849141120910645,157.66273379325867,0.0,168.6447467803955,15.0,InvalidComparisonAnalysis=2;RandomMustUseSeed=13,5.0,InvalidComparisonAnalysis=2;RandomMustUseSeed=3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;RandomMustUseSeed:/brain/adapters/runpod/mock.py:240=1;RandomMustUseSeed:/brain/adapters/runpod/mock.py:241=1;RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};RandomMustUseSeed:/brain/adapters/runpod/mock.py:240={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/runpod/mock.py:241={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291={'tests/adapters/test_vast_ai.py::TestVastAiClient::test_terminate_instance_removes_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_get_instance_returns_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_create_instance_returns_instance'}",31004.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=19274<>UnsafeDictIterator=11525<>ArgParse_Parent=1<>FileClosedAnalysis=94<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>PyDocs_MustSortBeforeGroupBy=69<>RandomMustUseSeed=3,5472459.0,BuiltinAllAnalysis=violation=869293<>ComparisonBehaviorAnalysis=ne_end=4668<>ComparisonBehaviorAnalysis=eq_end=178925<>InPlaceSortAnalysis=list_used=86703<>InPlaceSortAnalysis=list_sorted=267<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=183581<>NonFinitesAnalysis=non_finite_op=869183<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=20023<>StringStripAnalysis=strip=3442<>WrongTypeAddedAnalysis=check_append=788591<>WrongTypeAddedAnalysis=check_insert=788591<>WrongTypeAddedAnalysis=check_extend=788591<>WrongTypeAddedAnalysis=check_add=788591<>WrongTypeAddedAnalysis=check_add_assign=20023<>UnsafeListIterator=createList=45088<>UnsafeListIterator=createIter=270<>UnsafeListIterator=next=324<>UnsafeListIterator=updateList=1475<>UnsafeDictIterator=createDict=17012<>UnsafeDictIterator=updateDict=17367<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=48<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=46<>Pydocs_MustReleaseLock=acquire=47<>Pydocs_MustReleaseLock=release=47<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustSortBeforeGroupBy=sort=72<>PyDocs_MustSortBeforeGroupBy=modify=102<>RandomMustUseSeed=all=13,6833
cloud-orchestrator,20260629_215505,737a4341225c83e1793849747bbd1fd03c3396d6,1769110770,feat: implement multi-provider GPU aggregation with failover,False,dylin,49,0,0,0,0,0,4.256,53.64,dylin,14.035434484481812,0.0,11.239518642425535,0.4780406951904297,25.75299382209778,0.0,,0.0,,,,,,,,6833
cloud-orchestrator,20260629_215505,8828d556e854f44901d28cf676428a3f3ac047f8,1769113238,feat: implement GPU platform expansion (Phase 2),False,original,49,0,0,0,0,0,4.107,49.84,original,0.0,0.0,7.384418964385986,0.0,7.384418964385986,,,,,,,,,,,9593
cloud-orchestrator,20260629_215505,8828d556e854f44901d28cf676428a3f3ac047f8,1769113238,feat: implement GPU platform expansion (Phase 2),False,pymop,49,0,0,0,0,0,4.593,49.84,pymop,2.340482711791992,0.8634927272796631,13.55906629562378,0.0,16.763041734695435,13.0,RandomMustUseSeed=13,3.0,RandomMustUseSeed=3,RandomMustUseSeed:/brain/adapters/runpod/mock.py:240=1;RandomMustUseSeed:/brain/adapters/runpod/mock.py:241=1;RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291=1,"RandomMustUseSeed:/brain/adapters/runpod/mock.py:240={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/runpod/mock.py:241={'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_prefers_specified_providers', 'tests/adapters/test_runpod.py::TestRunPodClient::test_get_instance_returns_instance', 'tests/services/test_multi_provider.py::TestMultiProviderFailover::test_create_instance_with_failover', 'tests/adapters/test_runpod.py::TestRunPodClient::test_terminate_instance_removes_instance', 'tests/adapters/test_runpod.py::TestRunPodClient::test_create_instance_returns_instance'};RandomMustUseSeed:/brain/adapters/vast_ai/mock.py:291={'tests/adapters/test_vast_ai.py::TestVastAiClient::test_terminate_instance_removes_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_get_instance_returns_instance', 'tests/adapters/test_vast_ai.py::TestVastAiClient::test_create_instance_returns_instance'}",954.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=94<>UnsafeListIterator=284<>UnsafeDictIterator=495<>PyDocs_MustSortBeforeGroupBy=65<>RandomMustUseSeed=3,64353.0,BuiltinAllAnalysis=violation=9325<>ComparisonBehaviorAnalysis=eq_end=1899<>InPlaceSortAnalysis=list_used=697<>InPlaceSortAnalysis=list_sorted=3<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1899<>NonFinitesAnalysis=non_finite_op=9325<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=162<>WrongTypeAddedAnalysis=check_append=9325<>WrongTypeAddedAnalysis=check_insert=9325<>WrongTypeAddedAnalysis=check_extend=9325<>WrongTypeAddedAnalysis=check_add=9325<>WrongTypeAddedAnalysis=check_add_assign=162<>FileClosedAnalysis=open=48<>FileClosedAnalysis=close=47<>FileClosedAnalysis=end=46<>UnsafeListIterator=createList=358<>UnsafeListIterator=updateList=1475<>UnsafeDictIterator=createDict=1191<>UnsafeDictIterator=updateDict=129<>PyDocs_MustSortBeforeGroupBy=sort=72<>PyDocs_MustSortBeforeGroupBy=modify=200<>RandomMustUseSeed=all=13,9593
