project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
dicomsorter,20260629_215457,59ccf44a83768ab1551df5c8dad38ab2bdd2b352,1514046021,Add setup.py and main module,True,original,0,0,0,0,0,0,0.029,0.0,original,0.0,0.0,0.3945682048797607,0.0,0.3945682048797607,,,,,,,,,,,
dicomsorter,20260629_215457,59ccf44a83768ab1551df5c8dad38ab2bdd2b352,1514046021,Add setup.py and main module,True,pymop,0,0,0,0,0,0,0.02,0.0,pymop,1.9169552326202393,0.8078083992004395,2.1229355335235596,0.0,4.847699165344238,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
dicomsorter,20260629_215457,59ccf44a83768ab1551df5c8dad38ab2bdd2b352,1514046021,Add setup.py and main module,True,pymop_libs,0,0,0,0,0,0,0.41,0.0,pymop_libs,9.65250039100647,0.6227529048919678,5.92972207069397,0.0,16.204975366592407,0.0,,0.0,,,,1059.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=676<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181036.0,BuiltinAllAnalysis=violation=28817<>ComparisonBehaviorAnalysis=ne_end=145<>ComparisonBehaviorAnalysis=eq_end=851<>InPlaceSortAnalysis=list_used=2112<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=986<>NonFinitesAnalysis=non_finite_op=28718<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28600<>WrongTypeAddedAnalysis=check_insert=28600<>WrongTypeAddedAnalysis=check_extend=28600<>WrongTypeAddedAnalysis=check_add=28600<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1443<>UnsafeDictIterator=createDict=346<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
dicomsorter,20260629_215457,59ccf44a83768ab1551df5c8dad38ab2bdd2b352,1514046021,Add setup.py and main module,True,dylin,0,0,0,0,0,0,0.008,0.0,dylin,8.694681406021118,0.0,0.2946245670318603,0.4840366840362549,9.473342657089232,0.0,,0.0,,,,,,,,
dicomsorter,20260629_215457,25cba837dd9dffacedbba18afddfc5abda753487,1514046535,Move version number into dicomsorter module,True,original,0,0,0,0,0,0,0.04,0.0,original,0.0,0.0,0.4769928455352783,0.0,0.4769928455352783,,,,,,,,,,,
dicomsorter,20260629_215457,25cba837dd9dffacedbba18afddfc5abda753487,1514046535,Move version number into dicomsorter module,True,pymop,0,0,0,0,0,0,0.02,0.0,pymop,1.4798786640167236,0.6918470859527588,2.0564706325531006,0.0,4.228196382522583,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
dicomsorter,20260629_215457,25cba837dd9dffacedbba18afddfc5abda753487,1514046535,Move version number into dicomsorter module,True,pymop_libs,0,0,0,0,0,0,0.451,0.0,pymop_libs,8.934244871139526,0.6221673488616943,6.481688499450684,0.0,16.038100719451904,0.0,,0.0,,,,1079.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=690<>UnsafeDictIterator=342<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181146.0,BuiltinAllAnalysis=violation=28834<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=852<>InPlaceSortAnalysis=list_used=2116<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=988<>NonFinitesAnalysis=non_finite_op=28735<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28617<>WrongTypeAddedAnalysis=check_insert=28617<>WrongTypeAddedAnalysis=check_extend=28617<>WrongTypeAddedAnalysis=check_add=28617<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1443<>UnsafeDictIterator=createDict=346<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
dicomsorter,20260629_215457,25cba837dd9dffacedbba18afddfc5abda753487,1514046535,Move version number into dicomsorter module,True,dylin,0,0,0,0,0,0,0.008,0.0,dylin,7.819791793823242,0.0,0.3232119083404541,0.4608349800109863,8.603838682174683,0.0,,0.0,,,,,,,,
dicomsorter,20260629_215457,171c6d331084ab173eb038985fc1bc34c94d55bc,1514221784,Initial commit of dicomsorter utils,True,original,0,0,0,0,0,0,0.032,0.0,original,0.0,0.0,0.3766260147094726,0.0,0.3766260147094726,,,,,,,,,,,
dicomsorter,20260629_215457,171c6d331084ab173eb038985fc1bc34c94d55bc,1514221784,Initial commit of dicomsorter utils,True,pymop,0,0,0,0,0,0,0.02,0.0,pymop,2.2143919467926025,0.9478151798248292,2.1502203941345215,0.0,5.312427520751953,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
