project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
dotzen,20260629_215209,38e5f966f8a5ad77f0374dc9a1319e7ddf551fd2,1765720841,Initialized project structure,True,original,0,0,0,0,0,0,0.068,100.0,original,0.0,0.0,0.5325095653533936,0.0,0.5325095653533936,,,,,,,,,,,
dotzen,20260629_215209,38e5f966f8a5ad77f0374dc9a1319e7ddf551fd2,1765720841,Initialized project structure,True,pymop,0,0,0,0,0,0,0.092,100.0,pymop,1.4916369915008545,0.8214099407196045,2.050901174545288,0.0,4.363948106765747,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
dotzen,20260629_215209,38e5f966f8a5ad77f0374dc9a1319e7ddf551fd2,1765720841,Initialized project structure,True,pymop_libs,0,0,0,0,0,0,0.641,100.0,pymop_libs,10.076668500900269,0.6525938510894775,7.07915472984314,0.0,17.808417081832886,0.0,,0.0,,,,1123.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=722<>UnsafeDictIterator=350<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,189280.0,BuiltinAllAnalysis=violation=30104<>ComparisonBehaviorAnalysis=ne_end=163<>ComparisonBehaviorAnalysis=eq_end=899<>InPlaceSortAnalysis=list_used=2293<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1052<>NonFinitesAnalysis=non_finite_op=30005<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=594<>WrongTypeAddedAnalysis=check_append=29905<>WrongTypeAddedAnalysis=check_insert=29905<>WrongTypeAddedAnalysis=check_extend=29905<>WrongTypeAddedAnalysis=check_add=29905<>WrongTypeAddedAnalysis=check_add_assign=594<>UnsafeListIterator=createList=1541<>UnsafeDictIterator=createDict=355<>UnsafeDictIterator=updateDict=2007<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
dotzen,20260629_215209,38e5f966f8a5ad77f0374dc9a1319e7ddf551fd2,1765720841,Initialized project structure,True,dylin,0,0,0,0,0,0,0.013,100.0,dylin,7.489105463027954,0.0,0.3118026256561279,0.4690728187561035,8.269980907440186,0.0,,0.0,,,,,,,,
dotzen,20260629_215209,c47ad0dd65f2c7bd2011e31e4a591b6763aa8495,1765722426,DotZen - Find your configuration zen.,True,original,0,0,0,0,0,0,0.108,0.0,original,0.0,0.0,0.59212327003479,0.0,0.59212327003479,,,,,,,,,,,
dotzen,20260629_215209,c47ad0dd65f2c7bd2011e31e4a591b6763aa8495,1765722426,DotZen - Find your configuration zen.,True,pymop,0,0,0,0,0,0,1.168,0.0,pymop,2.0031609535217285,0.706106424331665,3.4103007316589355,0.0,6.119568109512329,0.0,,0.0,,,,173.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=160,242.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=81<>FileClosedAnalysis=close=80<>FileClosedAnalysis=end=79,
dotzen,20260629_215209,c47ad0dd65f2c7bd2011e31e4a591b6763aa8495,1765722426,DotZen - Find your configuration zen.,True,pymop_libs,0,0,0,0,0,0,2.821,0.0,pymop_libs,8.746947050094604,0.5938577651977539,10.006128787994385,0.0,19.346933603286743,0.0,,0.0,,,,2095.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1393<>UnsafeDictIterator=531<>ArgParse_Parent=1<>FileClosedAnalysis=132<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,376646.0,BuiltinAllAnalysis=violation=58970<>ComparisonBehaviorAnalysis=ne_end=813<>ComparisonBehaviorAnalysis=eq_end=3189<>InPlaceSortAnalysis=list_used=4556<>InPlaceSortAnalysis=list_sorted=162<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3992<>NonFinitesAnalysis=non_finite_op=58871<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1853<>StringStripAnalysis=strip=216<>WrongTypeAddedAnalysis=check_append=59139<>WrongTypeAddedAnalysis=check_insert=59139<>WrongTypeAddedAnalysis=check_extend=59139<>WrongTypeAddedAnalysis=check_add=59139<>WrongTypeAddedAnalysis=check_add_assign=1853<>UnsafeListIterator=createList=2516<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=552<>UnsafeDictIterator=updateDict=2314<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=67<>FileClosedAnalysis=close=66<>FileClosedAnalysis=end=65<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
dotzen,20260629_215209,c47ad0dd65f2c7bd2011e31e4a591b6763aa8495,1765722426,DotZen - Find your configuration zen.,True,dylin,0,0,0,0,0,0,0.083,0.0,dylin,8.184303760528564,0.0,0.4904019832611084,0.4948883056640625,9.169594049453735,0.0,,0.0,,,,,,,,
dotzen,20260629_215209,bc2b52ab96a7a4a670a869b36bac78bc3b9ce5c0,1765724431,Update __init__.py,True,original,0,0,0,0,0,0,0.075,0.0,original,0.0,0.0,0.4386796951293945,0.0,0.4386796951293945,,,,,,,,,,,
dotzen,20260629_215209,bc2b52ab96a7a4a670a869b36bac78bc3b9ce5c0,1765724431,Update __init__.py,True,pymop,0,0,0,0,0,0,1.172,0.0,pymop,1.926790714263916,0.8515667915344238,3.646688461303711,0.0,6.425045967102051,0.0,,0.0,,,,173.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=160,242.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=81<>FileClosedAnalysis=close=80<>FileClosedAnalysis=end=79,
