project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
eTIOBench,20260629_215333,f810ab4ffd3f6937ecd81ae1002df3c323ffe8df,1751271239,Added __init__.py,True,original,0,0,0,0,0,0,0.024,0.0,original,0.0,0.0,0.3452215194702148,0.0,0.3452215194702148,,,,,,,,,,,
eTIOBench,20260629_215333,f810ab4ffd3f6937ecd81ae1002df3c323ffe8df,1751271239,Added __init__.py,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.205141305923462,0.6646311283111572,1.74029278755188,0.0,4.610065221786499,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
eTIOBench,20260629_215333,f810ab4ffd3f6937ecd81ae1002df3c323ffe8df,1751271239,Added __init__.py,True,pymop_libs,0,0,0,0,0,0,0.299,0.0,pymop_libs,7.828698635101318,0.4552335739135742,4.491791486740112,0.0,12.775723695755005,0.0,,0.0,,,,1079.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=690<>UnsafeDictIterator=342<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,176610.0,BuiltinAllAnalysis=violation=28125<>ComparisonBehaviorAnalysis=ne_end=145<>ComparisonBehaviorAnalysis=eq_end=823<>InPlaceSortAnalysis=list_used=1992<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=958<>NonFinitesAnalysis=non_finite_op=28026<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=27888<>WrongTypeAddedAnalysis=check_insert=27888<>WrongTypeAddedAnalysis=check_extend=27888<>WrongTypeAddedAnalysis=check_add=27888<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
eTIOBench,20260629_215333,f810ab4ffd3f6937ecd81ae1002df3c323ffe8df,1751271239,Added __init__.py,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,4.917420387268066,0.0,0.2168765068054199,0.2893438339233398,5.423640727996826,0.0,,0.0,,,,,,,,
eTIOBench,20260629_215333,1223f933509c50cd88a1a4f81f8ffdcae63b4abf,1751271440,Added documentation.py,True,original,0,0,0,0,0,0,0.023,0.0,original,0.0,0.0,0.3872184753417969,0.0,0.3872184753417969,,,,,,,,,,,
eTIOBench,20260629_215333,1223f933509c50cd88a1a4f81f8ffdcae63b4abf,1751271440,Added documentation.py,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.068449020385742,0.6617321968078613,1.6856653690338137,0.0,4.415846586227417,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
eTIOBench,20260629_215333,1223f933509c50cd88a1a4f81f8ffdcae63b4abf,1751271440,Added documentation.py,True,pymop_libs,0,0,0,0,0,0,0.329,0.0,pymop_libs,7.78091549873352,0.5315055847167969,4.54502010345459,0.0,12.857441186904907,0.0,,0.0,,,,1089.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=701<>UnsafeDictIterator=341<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,178559.0,BuiltinAllAnalysis=violation=28430<>ComparisonBehaviorAnalysis=ne_end=147<>ComparisonBehaviorAnalysis=eq_end=832<>InPlaceSortAnalysis=list_used=2040<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=969<>NonFinitesAnalysis=non_finite_op=28331<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28199<>WrongTypeAddedAnalysis=check_insert=28199<>WrongTypeAddedAnalysis=check_extend=28199<>WrongTypeAddedAnalysis=check_add=28199<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1449<>UnsafeDictIterator=createDict=347<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
eTIOBench,20260629_215333,1223f933509c50cd88a1a4f81f8ffdcae63b4abf,1751271440,Added documentation.py,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,6.213396072387695,0.0,0.2377209663391113,0.2882285118103027,6.739345550537109,0.0,,0.0,,,,,,,,
eTIOBench,20260629_215333,506755986a42e40b952e23a51d3a5d5880210d33,1751272003,Added benchmark_config.py,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3552947044372558,0.0,0.3552947044372558,,,,,,,,,,,
eTIOBench,20260629_215333,506755986a42e40b952e23a51d3a5d5880210d33,1751272003,Added benchmark_config.py,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,2.2332050800323486,0.5817930698394775,1.700005292892456,0.0,4.515003442764282,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
