project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
fasttext-community,20260629_215357,836e53629585221e1d357fd357b000b316fb691c,1469117189,initial commit,True,original,0,0,0,0,0,0,0.023,0.0,original,0.0,0.0,0.3401474952697754,0.0,0.3401474952697754,,,,,,,,,,,
fasttext-community,20260629_215357,836e53629585221e1d357fd357b000b316fb691c,1469117189,initial commit,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.215895652770996,0.5685927867889404,1.7288367748260498,0.0,4.513325214385986,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
fasttext-community,20260629_215357,836e53629585221e1d357fd357b000b316fb691c,1469117189,initial commit,True,pymop_libs,0,0,0,0,0,0,0.341,0.0,pymop_libs,8.003608703613281,0.4518563747406006,4.53361439704895,0.0,12.989079475402832,0.0,,0.0,,,,1098.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=715<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,184278.0,BuiltinAllAnalysis=violation=29323<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=883<>InPlaceSortAnalysis=list_used=2221<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1016<>NonFinitesAnalysis=non_finite_op=29224<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=29126<>WrongTypeAddedAnalysis=check_insert=29126<>WrongTypeAddedAnalysis=check_extend=29126<>WrongTypeAddedAnalysis=check_add=29126<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
fasttext-community,20260629_215357,836e53629585221e1d357fd357b000b316fb691c,1469117189,initial commit,True,dylin,0,0,0,0,0,0,0.008,0.0,dylin,4.965270280838013,0.0,0.2162375450134277,0.2884204387664795,5.46992826461792,0.0,,0.0,,,,,,,,
fasttext-community,20260629_215357,b44e9a3a520d42658f636fd14067f393911fad24,1469458413,added headers to py and sh files,True,original,0,0,0,0,0,0,0.024,0.0,original,0.0,0.0,0.3363862037658691,0.0,0.3363862037658691,,,,,,,,,,,
fasttext-community,20260629_215357,b44e9a3a520d42658f636fd14067f393911fad24,1469458413,added headers to py and sh files,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.170895576477051,0.5479395389556885,1.6311042308807373,0.0,4.349939346313477,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
fasttext-community,20260629_215357,b44e9a3a520d42658f636fd14067f393911fad24,1469458413,added headers to py and sh files,True,pymop_libs,0,0,0,0,0,0,0.35,0.0,pymop_libs,7.820893287658691,0.4996774196624756,4.6850762367248535,0.0,13.00564694404602,0.0,,0.0,,,,1080.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=698<>UnsafeDictIterator=335<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,184694.0,BuiltinAllAnalysis=violation=29388<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=886<>InPlaceSortAnalysis=list_used=2233<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1019<>NonFinitesAnalysis=non_finite_op=29289<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=29193<>WrongTypeAddedAnalysis=check_insert=29193<>WrongTypeAddedAnalysis=check_extend=29193<>WrongTypeAddedAnalysis=check_add=29193<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
fasttext-community,20260629_215357,b44e9a3a520d42658f636fd14067f393911fad24,1469458413,added headers to py and sh files,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,5.180419683456421,0.0,0.249161958694458,0.2994740009307861,5.729055643081665,0.0,,0.0,,,,,,,,
fasttext-community,20260629_215357,2e93166069b349a35db6ccb35b36fff807490a61,1470247080,Cleanup of eval.py,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3508713245391845,0.0,0.3508713245391845,,,,,,,,,,,
fasttext-community,20260629_215357,2e93166069b349a35db6ccb35b36fff807490a61,1470247080,Cleanup of eval.py,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,2.083502769470215,0.6411483287811279,1.6330678462982178,0.0,4.3577189445495605,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
