project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
flask-reuploaded,20260629_215120,2c4a2871050e53f572abefc2e13521c2d3eeb033,1278976042,initial upload,True,original,0,0,0,0,0,0,0.046,0.0,original,0.0,0.0,0.3431882858276367,0.0,0.3431882858276367,,,,,,,,,,,
flask-reuploaded,20260629_215120,2c4a2871050e53f572abefc2e13521c2d3eeb033,1278976042,initial upload,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,2.559075355529785,0.6573011875152588,1.8342370986938477,0.0,5.050613641738892,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
flask-reuploaded,20260629_215120,2c4a2871050e53f572abefc2e13521c2d3eeb033,1278976042,initial upload,True,pymop_libs,0,0,0,0,0,0,0.463,0.0,pymop_libs,9.438490390777588,0.6844496726989746,4.701734304428101,0.0,14.824674367904665,0.0,,0.0,,,,1136.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=735<>UnsafeDictIterator=354<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,198471.0,BuiltinAllAnalysis=violation=31578<>ComparisonBehaviorAnalysis=ne_end=159<>ComparisonBehaviorAnalysis=eq_end=941<>InPlaceSortAnalysis=list_used=2551<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1084<>NonFinitesAnalysis=non_finite_op=31425<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=595<>WrongTypeAddedAnalysis=check_append=31387<>WrongTypeAddedAnalysis=check_insert=31387<>WrongTypeAddedAnalysis=check_extend=31387<>WrongTypeAddedAnalysis=check_add=31387<>WrongTypeAddedAnalysis=check_add_assign=595<>UnsafeListIterator=createList=1572<>UnsafeDictIterator=createDict=360<>UnsafeDictIterator=updateDict=2016<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
flask-reuploaded,20260629_215120,2c4a2871050e53f572abefc2e13521c2d3eeb033,1278976042,initial upload,True,dylin,0,0,0,0,0,0,0.019,0.0,dylin,6.513238191604614,0.0,0.2495434284210205,0.3516983985900879,7.114480018615723,0.0,,0.0,,,,,,,,
flask-reuploaded,20260629_215120,7510771c1d92b196a0ef9d3912b80b8af04de269,1278978752,target directory will be created if it doesn't exist,True,original,0,0,0,0,0,0,0.055,0.0,original,0.0,0.0,0.3764047622680664,0.0,0.3764047622680664,,,,,,,,,,,
flask-reuploaded,20260629_215120,7510771c1d92b196a0ef9d3912b80b8af04de269,1278978752,target directory will be created if it doesn't exist,True,pymop,0,0,0,0,0,0,0.017,0.0,pymop,2.451474905014038,0.6588742733001709,1.66900634765625,0.0,4.779355525970459,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
flask-reuploaded,20260629_215120,7510771c1d92b196a0ef9d3912b80b8af04de269,1278978752,target directory will be created if it doesn't exist,True,pymop_libs,0,0,0,0,0,0,0.467,0.0,pymop_libs,9.540650606155396,0.7222609519958496,4.6195080280303955,0.0,14.88241958618164,0.0,,0.0,,,,1149.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=748<>UnsafeDictIterator=354<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,198471.0,BuiltinAllAnalysis=violation=31578<>ComparisonBehaviorAnalysis=ne_end=159<>ComparisonBehaviorAnalysis=eq_end=941<>InPlaceSortAnalysis=list_used=2551<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1084<>NonFinitesAnalysis=non_finite_op=31425<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=595<>WrongTypeAddedAnalysis=check_append=31387<>WrongTypeAddedAnalysis=check_insert=31387<>WrongTypeAddedAnalysis=check_extend=31387<>WrongTypeAddedAnalysis=check_add=31387<>WrongTypeAddedAnalysis=check_add_assign=595<>UnsafeListIterator=createList=1572<>UnsafeDictIterator=createDict=360<>UnsafeDictIterator=updateDict=2016<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
flask-reuploaded,20260629_215120,7510771c1d92b196a0ef9d3912b80b8af04de269,1278978752,target directory will be created if it doesn't exist,True,dylin,0,0,0,0,0,0,0.014,0.0,dylin,6.561089515686035,0.0,0.2341480255126953,0.312136173248291,7.1073737144470215,0.0,,0.0,,,,,,,,
flask-reuploaded,20260629_215120,1247633075a2c59c9cf8c775d74a7cbe52e0db67,1279050960,fixed bug that prevented files from actually being served,True,original,0,0,0,0,0,0,0.047,0.0,original,0.0,0.0,0.354832649230957,0.0,0.354832649230957,,,,,,,,,,,
flask-reuploaded,20260629_215120,1247633075a2c59c9cf8c775d74a7cbe52e0db67,1279050960,fixed bug that prevented files from actually being served,True,pymop,0,0,0,0,0,0,0.023,0.0,pymop,2.4453232288360596,0.5301995277404785,1.7459430694580078,0.0,4.721465826034546,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
flask-reuploaded,20260629_215120,1247633075a2c59c9cf8c775d74a7cbe52e0db67,1279050960,fixed bug that prevented files from actually being served,True,pymop_libs,0,0,0,0,0,0,0.466,0.0,pymop_libs,9.487305402755736,0.4994645118713379,4.680572748184204,0.0,14.66734266281128,0.0,,0.0,,,,1155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=753<>UnsafeDictIterator=355<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,198471.0,BuiltinAllAnalysis=violation=31578<>ComparisonBehaviorAnalysis=ne_end=159<>ComparisonBehaviorAnalysis=eq_end=941<>InPlaceSortAnalysis=list_used=2551<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1084<>NonFinitesAnalysis=non_finite_op=31425<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=595<>WrongTypeAddedAnalysis=check_append=31387<>WrongTypeAddedAnalysis=check_insert=31387<>WrongTypeAddedAnalysis=check_extend=31387<>WrongTypeAddedAnalysis=check_add=31387<>WrongTypeAddedAnalysis=check_add_assign=595<>UnsafeListIterator=createList=1572<>UnsafeDictIterator=createDict=360<>UnsafeDictIterator=updateDict=2016<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
flask-reuploaded,20260629_215120,1247633075a2c59c9cf8c775d74a7cbe52e0db67,1279050960,fixed bug that prevented files from actually being served,True,dylin,0,0,0,0,0,0,0.009,0.0,dylin,6.476912498474121,0.0,0.2206089496612548,0.2903447151184082,6.987866163253784,0.0,,0.0,,,,,,,,
flask-reuploaded,20260629_215120,a29acdd9e375c235129827bf4712d18bf417bc13,1279051758,now lowercases all extensions by default,True,original,0,0,0,0,0,0,0.046,0.0,original,0.0,0.0,0.3934583663940429,0.0,0.3934583663940429,,,,,,,,,,,
flask-reuploaded,20260629_215120,a29acdd9e375c235129827bf4712d18bf417bc13,1279051758,now lowercases all extensions by default,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,2.7124338150024414,0.5224618911743164,1.6525452136993408,0.0,4.887440919876099,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
