project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
flaskcode,20260629_215308,3ea0f7d11dfdb19e23b9c043857757bd2674758f,1557503302,Initial commit,True,original,0,0,0,0,0,0,0.368,0.0,original,0.0,0.0,0.538949728012085,0.0,0.538949728012085,,,,,,,,,,,
flaskcode,20260629_215308,3ea0f7d11dfdb19e23b9c043857757bd2674758f,1557503302,Initial commit,True,pymop,0,0,0,0,0,0,0.247,0.0,pymop,0.7220907211303711,0.3312461376190185,1.176332712173462,0.0,2.2296695709228516,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
flaskcode,20260629_215308,3ea0f7d11dfdb19e23b9c043857757bd2674758f,1557503302,Initial commit,True,pymop_libs,0,0,0,0,0,0,6.121,0.0,pymop_libs,5.324281215667725,0.2687516212463379,9.439568996429443,0.0,15.032601833343506,0.0,,0.0,,,,4845.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3626<>UnsafeDictIterator=1172<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,1243967.0,BuiltinAllAnalysis=violation=195309<>ComparisonBehaviorAnalysis=ne_end=564<>ComparisonBehaviorAnalysis=eq_end=6283<>InPlaceSortAnalysis=list_used=29225<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6837<>NonFinitesAnalysis=non_finite_op=195210<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1002<>WrongTypeAddedAnalysis=check_append=198712<>WrongTypeAddedAnalysis=check_insert=198712<>WrongTypeAddedAnalysis=check_extend=198712<>WrongTypeAddedAnalysis=check_add=198712<>WrongTypeAddedAnalysis=check_add_assign=1002<>UnsafeListIterator=createList=9228<>UnsafeDictIterator=createDict=1175<>UnsafeDictIterator=updateDict=3237<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
flaskcode,20260629_215308,3ea0f7d11dfdb19e23b9c043857757bd2674758f,1557503302,Initial commit,True,dylin,0,0,0,0,0,0,0.177,0.0,dylin,4.365952253341675,0.0,0.2982842922210693,0.1785459518432617,4.842782497406006,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,b4f84a232e4c39b2a7c6b12ef7ee7aa1c51fe497,1557754538,added cli script,True,original,0,0,0,0,0,0,0.374,0.0,original,0.0,0.0,0.5514757633209229,0.0,0.5514757633209229,,,,,,,,,,,
flaskcode,20260629_215308,b4f84a232e4c39b2a7c6b12ef7ee7aa1c51fe497,1557754538,added cli script,True,pymop,0,0,0,0,0,0,0.251,0.0,pymop,0.7416973114013672,0.2904706001281738,1.2060182094573977,0.0,2.2381861209869385,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
flaskcode,20260629_215308,b4f84a232e4c39b2a7c6b12ef7ee7aa1c51fe497,1557754538,added cli script,True,pymop_libs,0,0,0,0,0,0,6.131,0.0,pymop_libs,5.234457492828369,0.2722947597503662,9.40926432609558,0.0,14.916016578674316,0.0,,0.0,,,,4710.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3494<>UnsafeDictIterator=1169<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,1244414.0,BuiltinAllAnalysis=violation=195379<>ComparisonBehaviorAnalysis=ne_end=565<>ComparisonBehaviorAnalysis=eq_end=6286<>InPlaceSortAnalysis=list_used=29236<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6841<>NonFinitesAnalysis=non_finite_op=195280<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1002<>WrongTypeAddedAnalysis=check_append=198784<>WrongTypeAddedAnalysis=check_insert=198784<>WrongTypeAddedAnalysis=check_extend=198784<>WrongTypeAddedAnalysis=check_add=198784<>WrongTypeAddedAnalysis=check_add_assign=1002<>UnsafeListIterator=createList=9228<>UnsafeDictIterator=createDict=1175<>UnsafeDictIterator=updateDict=3237<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
flaskcode,20260629_215308,b4f84a232e4c39b2a7c6b12ef7ee7aa1c51fe497,1557754538,added cli script,True,dylin,0,0,0,0,0,0,0.173,0.0,dylin,4.279104471206665,0.0,0.2932021617889404,0.1768872737884521,4.749193906784058,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,76473ae222ab71f2ee7eda308d5619841311b00b,1557841869,worked on cli,True,original,0,0,0,0,0,0,0.375,0.0,original,0.0,0.0,0.5563716888427734,0.0,0.5563716888427734,,,,,,,,,,,
flaskcode,20260629_215308,76473ae222ab71f2ee7eda308d5619841311b00b,1557841869,worked on cli,True,pymop,0,0,0,0,0,0,0.252,0.0,pymop,0.0,0.0,1.1908817291259766,0.0,1.1908817291259766,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,76473ae222ab71f2ee7eda308d5619841311b00b,1557841869,worked on cli,True,pymop_libs,0,0,0,0,0,0,0.428,0.0,pymop_libs,0.0,0.0,3.219712257385254,0.0,3.219712257385254,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,76473ae222ab71f2ee7eda308d5619841311b00b,1557841869,worked on cli,True,dylin,0,0,0,0,0,0,0.176,0.0,dylin,4.2619948387146,0.0,0.2996435165405273,0.179581880569458,4.741220235824585,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,acaea1ef132398efcce9c68e75ac7a5d4931f52e,1557905770,updated scripts,True,original,0,0,0,0,0,0,0.376,0.0,original,0.0,0.0,0.5542876720428467,0.0,0.5542876720428467,,,,,,,,,,,
flaskcode,20260629_215308,acaea1ef132398efcce9c68e75ac7a5d4931f52e,1557905770,updated scripts,True,pymop,0,0,0,0,0,0,0.24,0.0,pymop,0.0,0.0,1.138460636138916,0.0,1.138460636138916,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,acaea1ef132398efcce9c68e75ac7a5d4931f52e,1557905770,updated scripts,True,pymop_libs,0,0,0,0,0,0,0.428,0.0,pymop_libs,0.0,0.0,3.2914175987243652,0.0,3.2914175987243652,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,acaea1ef132398efcce9c68e75ac7a5d4931f52e,1557905770,updated scripts,True,dylin,0,0,0,0,0,0,0.174,0.0,dylin,4.161184787750244,0.0,0.2945709228515625,0.1747503280639648,4.6305060386657715,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,c267cb0a721fbe9a6134ed611d92d432e6e6324d,1557921782,updated cli script,True,original,0,0,0,0,0,0,0.363,0.0,original,0.0,0.0,0.536177396774292,0.0,0.536177396774292,,,,,,,,,,,
flaskcode,20260629_215308,c267cb0a721fbe9a6134ed611d92d432e6e6324d,1557921782,updated cli script,True,pymop,0,0,0,0,0,0,0.246,0.0,pymop,0.0,0.0,1.1780848503112793,0.0,1.1780848503112793,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,c267cb0a721fbe9a6134ed611d92d432e6e6324d,1557921782,updated cli script,True,pymop_libs,0,0,0,0,0,0,0.425,0.0,pymop_libs,0.0,0.0,3.2595324516296387,0.0,3.2595324516296387,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,c267cb0a721fbe9a6134ed611d92d432e6e6324d,1557921782,updated cli script,True,dylin,0,0,0,0,0,0,0.171,0.0,dylin,4.409346580505371,0.0,0.2918112277984619,0.1808178424835205,4.8819756507873535,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,82a4b2d698a5e4a6975cf423c6a7a59c0ea45020,1557931808,added setup scripts,True,original,0,0,0,0,0,0,0.382,0.0,original,0.0,0.0,0.5620932579040527,0.0,0.5620932579040527,,,,,,,,,,,
flaskcode,20260629_215308,82a4b2d698a5e4a6975cf423c6a7a59c0ea45020,1557931808,added setup scripts,True,pymop,0,0,0,0,0,0,0.252,0.0,pymop,0.0,0.0,1.1651310920715332,0.0,1.1651310920715332,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,82a4b2d698a5e4a6975cf423c6a7a59c0ea45020,1557931808,added setup scripts,True,pymop_libs,0,0,0,0,0,0,0.429,0.0,pymop_libs,0.0,0.0,3.2561233043670654,0.0,3.2561233043670654,0.0,,0.0,,,,0.0,,0.0,,
flaskcode,20260629_215308,82a4b2d698a5e4a6975cf423c6a7a59c0ea45020,1557931808,added setup scripts,True,dylin,0,0,0,0,0,0,0.176,0.0,dylin,4.7640297412872314,0.0,0.2956945896148681,0.1816725730895996,5.241396903991699,0.0,,0.0,,,,,,,,
flaskcode,20260629_215308,3aafbb2ed8dd483426ceb17895f94ffb12975844,1557989108,updated js scripts,True,original,0,0,0,0,0,0,0.365,0.0,original,0.0,0.0,0.5401926040649414,0.0,0.5401926040649414,,,,,,,,,,,
