project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
git-flask,20260629_215831,35ec9f01fdca2cb4120c8670911db8feea47673d,1760009635,"initial commit, implemented Gemini Pro startup plan",False,original,2,0,0,0,0,0,0.175,74.56,original,0.0,0.0,0.9150276184082032,0.0,0.9150276184082032,,,,,,,,,,,129
git-flask,20260629_215831,35ec9f01fdca2cb4120c8670911db8feea47673d,1760009635,"initial commit, implemented Gemini Pro startup plan",False,pymop,2,0,0,0,0,0,0.44,74.56,pymop,2.942542314529419,0.6717655658721924,2.3067569732666016,0.0,5.921064853668213,0.0,,0.0,,,,107.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=74<>UnsafeListIterator=8<>UnsafeDictIterator=10<>Flask_NoModifyAfterServe=2,538.0,BuiltinAllAnalysis=violation=66<>ComparisonBehaviorAnalysis=eq_end=3<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3<>NonFinitesAnalysis=non_finite_op=66<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=66<>WrongTypeAddedAnalysis=check_insert=66<>WrongTypeAddedAnalysis=check_extend=66<>WrongTypeAddedAnalysis=check_add=66<>FileClosedAnalysis=open=38<>FileClosedAnalysis=close=37<>FileClosedAnalysis=end=36<>UnsafeListIterator=createList=8<>UnsafeDictIterator=createDict=10<>Flask_NoModifyAfterServe=create_app=2,129
git-flask,20260629_215831,35ec9f01fdca2cb4120c8670911db8feea47673d,1760009635,"initial commit, implemented Gemini Pro startup plan",False,pymop_libs,2,0,0,0,0,0,2.136,74.56,pymop_libs,10.20829701423645,0.6865711212158203,8.919257879257202,0.0,19.814126014709473,1.0,Flask_NoModifyAfterServe=1,1.0,Flask_NoModifyAfterServe=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'tests/test_repos.py::test_repo_log'},2111.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1414<>UnsafeDictIterator=562<>ArgParse_Parent=1<>FileClosedAnalysis=74<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=17<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=2<>Pydocs_MustFlushMmap=2,301907.0,BuiltinAllAnalysis=violation=48109<>ComparisonBehaviorAnalysis=ne_end=321<>ComparisonBehaviorAnalysis=eq_end=11018<>InPlaceSortAnalysis=list_used=3712<>InPlaceSortAnalysis=list_sorted=12<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11323<>NonFinitesAnalysis=non_finite_op=47956<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=979<>StringStripAnalysis=strip=157<>WrongTypeAddedAnalysis=check_append=42915<>WrongTypeAddedAnalysis=check_insert=42915<>WrongTypeAddedAnalysis=check_extend=42915<>WrongTypeAddedAnalysis=check_add=42915<>WrongTypeAddedAnalysis=check_add_assign=979<>UnsafeListIterator=createList=2607<>UnsafeListIterator=createIter=20<>UnsafeListIterator=next=27<>UnsafeDictIterator=createDict=579<>UnsafeDictIterator=updateDict=2266<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=38<>FileClosedAnalysis=close=37<>FileClosedAnalysis=end=36<>Pydocs_NoReadAfterAccess=access=12<>PyDocs_MustWaitForPopenToFinish=new_popen=9<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=1<>PyDocs_MustWaitForPopenToFinish=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=2<>Flask_NoModifyAfterServe=modified_app=3<>Flask_NoModifyAfterServe=got_request=3<>Flask_UnsafeFilePath=got_request=3<>Pydocs_MustFlushMmap=init=1<>Pydocs_MustFlushMmap=end=1,129
git-flask,20260629_215831,35ec9f01fdca2cb4120c8670911db8feea47673d,1760009635,"initial commit, implemented Gemini Pro startup plan",False,dylin,2,0,0,0,0,0,0.098,74.56,dylin,11.358464002609251,0.0,6.57908821105957,0.3329057693481445,18.270457983016968,0.0,,0.0,,,,,,,,129
git-flask,20260629_215831,63ff5b4a31da11aaf01e479a8e59fee195500816,1760009878,fixed file formats,False,original,2,0,0,0,0,0,0.186,74.56,original,0.0,0.0,1.0114500522613523,0.0,1.0114500522613523,,,,,,,,,,,127
git-flask,20260629_215831,63ff5b4a31da11aaf01e479a8e59fee195500816,1760009878,fixed file formats,False,pymop,2,0,0,0,0,0,0.527,74.56,pymop,3.0327401161193848,0.6934661865234375,2.381481647491455,0.0,6.107687950134277,0.0,,0.0,,,,107.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=74<>UnsafeListIterator=8<>UnsafeDictIterator=10<>Flask_NoModifyAfterServe=2,538.0,BuiltinAllAnalysis=violation=66<>ComparisonBehaviorAnalysis=eq_end=3<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3<>NonFinitesAnalysis=non_finite_op=66<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=66<>WrongTypeAddedAnalysis=check_insert=66<>WrongTypeAddedAnalysis=check_extend=66<>WrongTypeAddedAnalysis=check_add=66<>FileClosedAnalysis=open=38<>FileClosedAnalysis=close=37<>FileClosedAnalysis=end=36<>UnsafeListIterator=createList=8<>UnsafeDictIterator=createDict=10<>Flask_NoModifyAfterServe=create_app=2,127
git-flask,20260629_215831,63ff5b4a31da11aaf01e479a8e59fee195500816,1760009878,fixed file formats,False,pymop_libs,2,0,0,0,0,0,2.043,74.56,pymop_libs,10.84104347229004,0.6000349521636963,8.146534204483032,0.0,19.587612628936768,1.0,Flask_NoModifyAfterServe=1,1.0,Flask_NoModifyAfterServe=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911=1,Flask_NoModifyAfterServe:/lib/python3.12/site-packages/flask/app.py:911={'tests/test_repos.py::test_repo_log'},2034.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1342<>UnsafeDictIterator=557<>ArgParse_Parent=1<>FileClosedAnalysis=74<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=17<>faulthandler_disableBeforeClose=1<>Flask_NoModifyAfterServe=2<>Flask_UnsafeFilePath=2<>Pydocs_MustFlushMmap=2,302221.0,BuiltinAllAnalysis=violation=48186<>ComparisonBehaviorAnalysis=ne_end=321<>ComparisonBehaviorAnalysis=eq_end=11084<>InPlaceSortAnalysis=list_used=3712<>InPlaceSortAnalysis=list_sorted=12<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11389<>NonFinitesAnalysis=non_finite_op=48033<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=979<>StringStripAnalysis=strip=157<>WrongTypeAddedAnalysis=check_append=42922<>WrongTypeAddedAnalysis=check_insert=42922<>WrongTypeAddedAnalysis=check_extend=42922<>WrongTypeAddedAnalysis=check_add=42922<>WrongTypeAddedAnalysis=check_add_assign=979<>UnsafeListIterator=createList=2607<>UnsafeListIterator=createIter=20<>UnsafeListIterator=next=27<>UnsafeDictIterator=createDict=579<>UnsafeDictIterator=updateDict=2266<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=38<>FileClosedAnalysis=close=37<>FileClosedAnalysis=end=36<>Pydocs_NoReadAfterAccess=access=12<>PyDocs_MustWaitForPopenToFinish=new_popen=9<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=1<>PyDocs_MustWaitForPopenToFinish=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Flask_NoModifyAfterServe=create_app=2<>Flask_NoModifyAfterServe=modified_app=3<>Flask_NoModifyAfterServe=got_request=3<>Flask_UnsafeFilePath=got_request=3<>Pydocs_MustFlushMmap=init=1<>Pydocs_MustFlushMmap=end=1,127
git-flask,20260629_215831,63ff5b4a31da11aaf01e479a8e59fee195500816,1760009878,fixed file formats,False,dylin,2,0,0,0,0,0,0.115,74.56,dylin,11.834148406982422,0.0,6.573675632476807,0.3939406871795654,18.80176472663879,0.0,,0.0,,,,,,,,127
git-flask,20260629_215831,4e4edd260a6b2a66e6930e7a631d42f2e9aee437,1760100525,reworled repo api,False,original,19,0,0,0,0,0,0.388,93.76,original,0.0,0.0,1.1778056621551514,0.0,1.1778056621551514,,,,,,,,,,,582
git-flask,20260629_215831,4e4edd260a6b2a66e6930e7a631d42f2e9aee437,1760100525,reworled repo api,False,pymop,19,0,0,0,0,0,2.06,93.76,pymop,2.847861051559448,0.6344034671783447,3.9905080795288086,0.0,7.472772598266602,0.0,,0.0,,,,534.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=328<>UnsafeListIterator=112<>UnsafeDictIterator=61<>Flask_NoModifyAfterServe=18<>PyDocs_UnsafeIterUseAfterTee=2,7349.0,BuiltinAllAnalysis=violation=1063<>ComparisonBehaviorAnalysis=eq_end=56<>ComparisonBehaviorAnalysis=ne_end=34<>InPlaceSortAnalysis=list_used=10<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=90<>NonFinitesAnalysis=non_finite_op=1063<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=6<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=1073<>WrongTypeAddedAnalysis=check_insert=1073<>WrongTypeAddedAnalysis=check_extend=1073<>WrongTypeAddedAnalysis=check_add=1073<>WrongTypeAddedAnalysis=check_add_assign=6<>FileClosedAnalysis=open=165<>FileClosedAnalysis=close=164<>FileClosedAnalysis=end=163<>UnsafeListIterator=createList=116<>UnsafeListIterator=updateList=20<>UnsafeDictIterator=createDict=61<>UnsafeDictIterator=updateDict=7<>Flask_NoModifyAfterServe=create_app=13<>Flask_NoModifyAfterServe=modified_app=15<>PyDocs_UnsafeIterUseAfterTee=createIter=2,582
