project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
git-rest,20260629_215940,eaa5784ffd7fd998d8b67a2cfbdf93b0a3d160bd,1760192675,"initial setup, completed spec-kit steps up to implementation phase",True,original,0,0,0,0,0,0,0.023,0.0,original,0.0,0.0,0.1985089778900146,0.0,0.1985089778900146,,,,,,,,,,,
git-rest,20260629_215940,eaa5784ffd7fd998d8b67a2cfbdf93b0a3d160bd,1760192675,"initial setup, completed spec-kit steps up to implementation phase",True,pymop,0,0,0,0,0,0,0.133,0.0,pymop,1.0845699310302734,0.3233466148376465,1.231825828552246,0.0,2.639742374420166,0.0,,0.0,,,,65.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=52,80.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=27<>FileClosedAnalysis=close=26<>FileClosedAnalysis=end=25,
git-rest,20260629_215940,eaa5784ffd7fd998d8b67a2cfbdf93b0a3d160bd,1760192675,"initial setup, completed spec-kit steps up to implementation phase",True,pymop_libs,0,0,0,0,0,0,0.966,0.0,pymop_libs,7.132947683334351,0.2908451557159424,4.997724294662476,0.0,12.421517133712769,0.0,,0.0,,,,1661.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1137<>UnsafeDictIterator=435<>ArgParse_Parent=1<>FileClosedAnalysis=50<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,322237.0,BuiltinAllAnalysis=violation=50878<>ComparisonBehaviorAnalysis=ne_end=725<>ComparisonBehaviorAnalysis=eq_end=2035<>InPlaceSortAnalysis=list_used=3860<>InPlaceSortAnalysis=list_sorted=25<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2742<>NonFinitesAnalysis=non_finite_op=50714<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1069<>StringStripAnalysis=strip=175<>WrongTypeAddedAnalysis=check_append=51011<>WrongTypeAddedAnalysis=check_insert=51011<>WrongTypeAddedAnalysis=check_extend=51011<>WrongTypeAddedAnalysis=check_add=51011<>WrongTypeAddedAnalysis=check_add_assign=1069<>UnsafeListIterator=createList=2087<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=447<>UnsafeDictIterator=updateDict=2257<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=26<>FileClosedAnalysis=close=25<>FileClosedAnalysis=end=24<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
git-rest,20260629_215940,eaa5784ffd7fd998d8b67a2cfbdf93b0a3d160bd,1760192675,"initial setup, completed spec-kit steps up to implementation phase",True,dylin,0,0,0,0,0,0,0.019,0.0,dylin,4.157629728317261,0.0,0.1834924221038818,0.1774549484252929,4.5185770988464355,0.0,,0.0,,,,,,,,
git-rest,20260629_215940,e23a6887c959aeab3bd13f0843376b96723c6bfb,1760195041,completed spec-kit implementation of foundational tasks phase,True,original,0,0,0,0,0,0,0.049,0.0,original,0.0,0.0,0.226992130279541,0.0,0.226992130279541,,,,,,,,,,,
git-rest,20260629_215940,e23a6887c959aeab3bd13f0843376b96723c6bfb,1760195041,completed spec-kit implementation of foundational tasks phase,True,pymop,0,0,0,0,0,0,0.332,0.0,pymop,1.0517334938049316,0.3518679141998291,1.4460878372192385,0.0,2.849689245223999,0.0,,0.0,,,,119.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=106,161.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=54<>FileClosedAnalysis=close=53<>FileClosedAnalysis=end=52,
git-rest,20260629_215940,e23a6887c959aeab3bd13f0843376b96723c6bfb,1760195041,completed spec-kit implementation of foundational tasks phase,True,pymop_libs,0,0,0,0,0,0,1.532,0.0,pymop_libs,7.4308507442474365,0.2884032726287842,5.612678527832031,0.0,13.331932544708252,0.0,,0.0,,,,1890.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1279<>UnsafeDictIterator=490<>ArgParse_Parent=1<>FileClosedAnalysis=82<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,439247.0,BuiltinAllAnalysis=violation=64555<>ComparisonBehaviorAnalysis=ne_end=3467<>ComparisonBehaviorAnalysis=eq_end=13475<>InPlaceSortAnalysis=list_used=4691<>InPlaceSortAnalysis=list_sorted=126<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=16924<>NonFinitesAnalysis=non_finite_op=64391<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2286<>StringStripAnalysis=strip=2956<>WrongTypeAddedAnalysis=check_append=64684<>WrongTypeAddedAnalysis=check_insert=64684<>WrongTypeAddedAnalysis=check_extend=64684<>WrongTypeAddedAnalysis=check_add=64684<>WrongTypeAddedAnalysis=check_add_assign=2286<>UnsafeListIterator=createList=2360<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=519<>UnsafeDictIterator=updateDict=2317<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=42<>FileClosedAnalysis=close=41<>FileClosedAnalysis=end=40<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
git-rest,20260629_215940,e23a6887c959aeab3bd13f0843376b96723c6bfb,1760195041,completed spec-kit implementation of foundational tasks phase,True,dylin,0,0,0,0,0,0,0.075,0.0,dylin,4.213766574859619,0.0,0.2534506320953369,0.1796987056732177,4.646915912628174,0.0,,0.0,,,,,,,,
git-rest,20260629_215940,6993b9449a5802ba490e97c90b444d7395f971eb,1760195769,spec-kit implementation completed user story 1,True,original,0,0,0,0,0,1,0.093,1.718,original,0.0,0.0,0.2809045314788818,0.0,0.2809045314788818,,,,,,,,,,,
git-rest,20260629_215940,6993b9449a5802ba490e97c90b444d7395f971eb,1760195769,spec-kit implementation completed user story 1,True,pymop,0,0,0,0,0,1,0.822,1.718,pymop,1.09266996383667,0.3479347229003906,1.9329712390899656,0.0,3.3735759258270264,0.0,,0.0,,,,191.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=178,269.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=90<>FileClosedAnalysis=close=89<>FileClosedAnalysis=end=88,
