project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
grass-addons,20260629_215210,89048ba3a1b62ad2a66d8a5a1deadc76cf2a741f,1614258899,r.learn.train: fix for scikit-learn==0.24.0 (#448),False,original,3,0,0,0,0,35,1.228,5.865,original,0.0,0.0,1.4633448123931885,0.0,1.4633448123931885,,,,,,,,,,,101373
grass-addons,20260629_215210,89048ba3a1b62ad2a66d8a5a1deadc76cf2a741f,1614258899,r.learn.train: fix for scikit-learn==0.24.0 (#448),False,pymop,3,0,0,0,0,35,2.236,5.865,pymop,0.7050535678863525,0.4652750492095947,3.4577605724334717,0.0,4.628089189529419,0.0,,0.0,,,,133.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80<>UnsafeListIterator=37<>UnsafeDictIterator=3,1135.0,BuiltinAllAnalysis=violation=102<>ComparisonBehaviorAnalysis=eq_end=110<>ComparisonBehaviorAnalysis=ne_end=27<>InPlaceSortAnalysis=list_used=63<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=137<>NonFinitesAnalysis=non_finite_op=102<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=102<>WrongTypeAddedAnalysis=check_insert=102<>WrongTypeAddedAnalysis=check_extend=102<>WrongTypeAddedAnalysis=check_add=102<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>UnsafeListIterator=createList=52<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=3,101373
grass-addons,20260629_215210,89048ba3a1b62ad2a66d8a5a1deadc76cf2a741f,1614258899,r.learn.train: fix for scikit-learn==0.24.0 (#448),False,pymop_libs,3,0,0,0,0,35,42.861,5.865,pymop_libs,4.535444498062134,0.3376646041870117,46.59954261779785,0.0,51.472651720047,0.0,,0.0,,,,11165.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=8620<>UnsafeDictIterator=2428<>ArgParse_Parent=1<>FileClosedAnalysis=80<>faulthandler_disableBeforeClose=1,10815747.0,BuiltinAllAnalysis=violation=1761520<>ComparisonBehaviorAnalysis=ne_end=1878<>ComparisonBehaviorAnalysis=eq_end=23150<>InPlaceSortAnalysis=list_used=99542<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=25018<>NonFinitesAnalysis=non_finite_op=1761421<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6448<>StringStripAnalysis=strip=515<>WrongTypeAddedAnalysis=check_append=1774858<>WrongTypeAddedAnalysis=check_insert=1774858<>WrongTypeAddedAnalysis=check_extend=1774858<>WrongTypeAddedAnalysis=check_add=1774858<>WrongTypeAddedAnalysis=check_add_assign=6448<>UnsafeListIterator=createList=22621<>UnsafeListIterator=updateList=12<>UnsafeDictIterator=createDict=2474<>UnsafeDictIterator=updateDict=5113<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,101373
grass-addons,20260629_215210,89048ba3a1b62ad2a66d8a5a1deadc76cf2a741f,1614258899,r.learn.train: fix for scikit-learn==0.24.0 (#448),False,dylin,3,0,0,0,0,35,3.75,5.865,dylin,36.245168685913086,0.0,4.9029457569122314,0.17521047592163086,41.32332491874695,0.0,,0.0,,,,,,,,101373
grass-addons,20260629_215210,ab735f92f52e458a65bbe3907d5ddb3564bc0839,1614340831,"Revert ""r.learn.train: fix for scikit-learn==0.24.0 (#448)"" (#452)",False,original,3,0,0,0,0,35,1.246,5.865,original,0.0,0.0,1.5434951782226562,0.0,1.5434951782226562,,,,,,,,,,,101373
grass-addons,20260629_215210,ab735f92f52e458a65bbe3907d5ddb3564bc0839,1614340831,"Revert ""r.learn.train: fix for scikit-learn==0.24.0 (#448)"" (#452)",False,pymop,3,0,0,0,0,35,2.244,5.865,pymop,0.7137291431427002,0.413590669631958,3.7165188789367676,0.0,4.843838691711426,0.0,,0.0,,,,133.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80<>UnsafeListIterator=37<>UnsafeDictIterator=3,1133.0,BuiltinAllAnalysis=violation=102<>ComparisonBehaviorAnalysis=eq_end=110<>ComparisonBehaviorAnalysis=ne_end=27<>InPlaceSortAnalysis=list_used=63<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=137<>NonFinitesAnalysis=non_finite_op=102<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=102<>WrongTypeAddedAnalysis=check_insert=102<>WrongTypeAddedAnalysis=check_extend=102<>WrongTypeAddedAnalysis=check_add=102<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>UnsafeListIterator=createList=52<>UnsafeListIterator=updateList=7<>UnsafeDictIterator=createDict=3,101373
grass-addons,20260629_215210,ab735f92f52e458a65bbe3907d5ddb3564bc0839,1614340831,"Revert ""r.learn.train: fix for scikit-learn==0.24.0 (#448)"" (#452)",False,pymop_libs,3,0,0,0,0,35,43.877,5.865,pymop_libs,4.5463502407073975,0.3126039505004883,47.66858458518982,0.0,52.527538776397705,0.0,,0.0,,,,11199.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=8652<>UnsafeDictIterator=2430<>ArgParse_Parent=1<>FileClosedAnalysis=80<>faulthandler_disableBeforeClose=1,10815746.0,BuiltinAllAnalysis=violation=1761520<>ComparisonBehaviorAnalysis=ne_end=1878<>ComparisonBehaviorAnalysis=eq_end=23150<>InPlaceSortAnalysis=list_used=99542<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=25018<>NonFinitesAnalysis=non_finite_op=1761421<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6448<>StringStripAnalysis=strip=515<>WrongTypeAddedAnalysis=check_append=1774858<>WrongTypeAddedAnalysis=check_insert=1774858<>WrongTypeAddedAnalysis=check_extend=1774858<>WrongTypeAddedAnalysis=check_add=1774858<>WrongTypeAddedAnalysis=check_add_assign=6448<>UnsafeListIterator=createList=22621<>UnsafeListIterator=updateList=11<>UnsafeDictIterator=createDict=2474<>UnsafeDictIterator=updateDict=5113<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,101373
grass-addons,20260629_215210,ab735f92f52e458a65bbe3907d5ddb3564bc0839,1614340831,"Revert ""r.learn.train: fix for scikit-learn==0.24.0 (#448)"" (#452)",False,dylin,3,0,0,0,0,35,3.776,5.865,dylin,35.60517930984497,0.0,4.908904552459717,0.26923084259033203,40.78331470489502,0.0,,0.0,,,,,,,,101373
grass-addons,20260629_215210,07e69bf1dc8500fa6d32cfed1b8f8885587abf1f,1614358159,Bug fixes to r.learn.ml2,False,original,3,0,0,0,0,35,1.256,5.865,original,0.0,0.0,1.4975590705871582,0.0,1.4975590705871582,,,,,,,,,,,101324
grass-addons,20260629_215210,07e69bf1dc8500fa6d32cfed1b8f8885587abf1f,1614358159,Bug fixes to r.learn.ml2,False,pymop,3,0,0,0,0,35,2.241,5.865,pymop,0.8191704750061035,0.41845273971557617,3.437001943588257,0.0,4.6746251583099365,0.0,,0.0,,,,130.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=80<>UnsafeListIterator=34<>UnsafeDictIterator=3,1132.0,BuiltinAllAnalysis=violation=102<>ComparisonBehaviorAnalysis=eq_end=110<>ComparisonBehaviorAnalysis=ne_end=27<>InPlaceSortAnalysis=list_used=63<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=137<>NonFinitesAnalysis=non_finite_op=102<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=102<>WrongTypeAddedAnalysis=check_insert=102<>WrongTypeAddedAnalysis=check_extend=102<>WrongTypeAddedAnalysis=check_add=102<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>UnsafeListIterator=createList=52<>UnsafeListIterator=updateList=6<>UnsafeDictIterator=createDict=3,101324
grass-addons,20260629_215210,07e69bf1dc8500fa6d32cfed1b8f8885587abf1f,1614358159,Bug fixes to r.learn.ml2,False,pymop_libs,3,0,0,0,0,35,43.036,5.865,pymop_libs,4.513434648513794,0.3486316204071045,46.76048016548157,0.0,51.622546434402466,0.0,,0.0,,,,11230.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=8680<>UnsafeDictIterator=2433<>ArgParse_Parent=1<>FileClosedAnalysis=80<>faulthandler_disableBeforeClose=1,10815916.0,BuiltinAllAnalysis=violation=1761548<>ComparisonBehaviorAnalysis=ne_end=1878<>ComparisonBehaviorAnalysis=eq_end=23150<>InPlaceSortAnalysis=list_used=99542<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=25018<>NonFinitesAnalysis=non_finite_op=1761449<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6448<>StringStripAnalysis=strip=515<>WrongTypeAddedAnalysis=check_append=1774886<>WrongTypeAddedAnalysis=check_insert=1774886<>WrongTypeAddedAnalysis=check_extend=1774886<>WrongTypeAddedAnalysis=check_add=1774886<>WrongTypeAddedAnalysis=check_add_assign=6448<>UnsafeListIterator=createList=22621<>UnsafeListIterator=updateList=13<>UnsafeDictIterator=createDict=2474<>UnsafeDictIterator=updateDict=5113<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=41<>FileClosedAnalysis=close=40<>FileClosedAnalysis=end=39<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,101324
grass-addons,20260629_215210,07e69bf1dc8500fa6d32cfed1b8f8885587abf1f,1614358159,Bug fixes to r.learn.ml2,False,dylin,3,0,0,0,0,35,3.802,5.865,dylin,36.08294105529785,0.0,5.035403728485107,0.22050118446350098,41.33884596824646,0.0,,0.0,,,,,,,,101324
