project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
guarddog,20260629_220417,d319b09a1b3d9d28e72cf31143dde7c8ef6845f8,1656019230,feat: Simple semgrep rules and cli command for scanning version and package,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3131747245788574,0.0,0.3131747245788574,,,,,,,,,,,
guarddog,20260629_220417,d319b09a1b3d9d28e72cf31143dde7c8ef6845f8,1656019230,feat: Simple semgrep rules and cli command for scanning version and package,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,2.126149892807007,0.5528473854064941,1.524653673171997,0.0,4.203650951385498,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
guarddog,20260629_220417,d319b09a1b3d9d28e72cf31143dde7c8ef6845f8,1656019230,feat: Simple semgrep rules and cli command for scanning version and package,True,pymop_libs,0,0,0,0,0,0,0.334,0.0,pymop_libs,8.002730131149292,0.5214471817016602,4.671845197677612,0.0,13.196022510528564,0.0,,0.0,,,,1069.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=683<>UnsafeDictIterator=339<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181060.0,BuiltinAllAnalysis=violation=28821<>ComparisonBehaviorAnalysis=ne_end=145<>ComparisonBehaviorAnalysis=eq_end=850<>InPlaceSortAnalysis=list_used=2115<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=985<>NonFinitesAnalysis=non_finite_op=28722<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28602<>WrongTypeAddedAnalysis=check_insert=28602<>WrongTypeAddedAnalysis=check_extend=28602<>WrongTypeAddedAnalysis=check_add=28602<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1449<>UnsafeDictIterator=createDict=347<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
guarddog,20260629_220417,d319b09a1b3d9d28e72cf31143dde7c8ef6845f8,1656019230,feat: Simple semgrep rules and cli command for scanning version and package,True,dylin,0,0,0,0,0,0,0.006,0.0,dylin,5.635110378265381,0.0,0.2355356216430664,0.339108943939209,6.209754943847656,0.0,,0.0,,,,,,,,
guarddog,20260629_220417,89aaf6415daee0e0f0d6eea9cc320f5631726c4a,1656079978,fix: base64-strings more robust and docs: scan.py,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3004641532897949,0.0,0.3004641532897949,,,,,,,,,,,
guarddog,20260629_220417,89aaf6415daee0e0f0d6eea9cc320f5631726c4a,1656079978,fix: base64-strings more robust and docs: scan.py,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,2.2106082439422607,0.5920870304107666,1.5843160152435305,0.0,4.387011289596558,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
guarddog,20260629_220417,89aaf6415daee0e0f0d6eea9cc320f5631726c4a,1656079978,fix: base64-strings more robust and docs: scan.py,True,pymop_libs,0,0,0,0,0,0,0.33,0.0,pymop_libs,7.8075549602508545,0.5219874382019043,4.538875102996826,0.0,12.868417501449583,0.0,,0.0,,,,1066.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=681<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181060.0,BuiltinAllAnalysis=violation=28821<>ComparisonBehaviorAnalysis=ne_end=145<>ComparisonBehaviorAnalysis=eq_end=850<>InPlaceSortAnalysis=list_used=2115<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=985<>NonFinitesAnalysis=non_finite_op=28722<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28602<>WrongTypeAddedAnalysis=check_insert=28602<>WrongTypeAddedAnalysis=check_extend=28602<>WrongTypeAddedAnalysis=check_add=28602<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1449<>UnsafeDictIterator=createDict=347<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
guarddog,20260629_220417,89aaf6415daee0e0f0d6eea9cc320f5631726c4a,1656079978,fix: base64-strings more robust and docs: scan.py,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,4.782085180282593,0.0,0.1911685466766357,0.2823967933654785,5.255650520324707,0.0,,0.0,,,,,,,,
guarddog,20260629_220417,52803f1dd4e8b18685337332c4255b8d03e39b1e,1656430200,docs: more conventional file structure,True,original,0,0,0,0,0,0,0.045,0.0,original,0.0,0.0,0.319969892501831,0.0,0.319969892501831,,,,,,,,,,,
guarddog,20260629_220417,52803f1dd4e8b18685337332c4255b8d03e39b1e,1656430200,docs: more conventional file structure,True,pymop,0,0,0,0,0,0,0.016,0.0,pymop,2.313689708709717,0.5712978839874268,1.737246036529541,0.0,4.622233629226685,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
