project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
hcloud-python,20260629_215806,45189454da6485a39e9431e3591bda125d116047,1540212432,Initial commit,False,original,1,0,0,0,0,0,0.052,29.409999999999997,original,0.0,0.0,0.397381067276001,0.0,0.397381067276001,,,,,,,,,,,87
hcloud-python,20260629_215806,45189454da6485a39e9431e3591bda125d116047,1540212432,Initial commit,False,pymop,1,0,0,0,0,0,0.044,29.409999999999997,pymop,2.2350382804870605,0.613046407699585,1.8832645416259768,0.0,4.731349229812622,0.0,,0.0,,,,29.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=16,26.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7,87
hcloud-python,20260629_215806,45189454da6485a39e9431e3591bda125d116047,1540212432,Initial commit,False,pymop_libs,1,0,0,0,0,0,0.653,29.409999999999997,pymop_libs,8.367229700088501,0.5018038749694824,5.49446964263916,0.0,14.363503217697144,0.0,,0.0,,,,1238.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=803<>UnsafeDictIterator=382<>ArgParse_Parent=1<>FileClosedAnalysis=16<>faulthandler_disableBeforeClose=1,210337.0,BuiltinAllAnalysis=violation=33313<>ComparisonBehaviorAnalysis=ne_end=159<>ComparisonBehaviorAnalysis=eq_end=1104<>InPlaceSortAnalysis=list_used=2882<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1253<>NonFinitesAnalysis=non_finite_op=33214<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=659<>StringStripAnalysis=strip=49<>WrongTypeAddedAnalysis=check_append=33183<>WrongTypeAddedAnalysis=check_insert=33183<>WrongTypeAddedAnalysis=check_extend=33183<>WrongTypeAddedAnalysis=check_add=33183<>WrongTypeAddedAnalysis=check_add_assign=659<>UnsafeListIterator=createList=1730<>UnsafeDictIterator=createDict=396<>UnsafeDictIterator=updateDict=2129<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,87
hcloud-python,20260629_215806,45189454da6485a39e9431e3591bda125d116047,1540212432,Initial commit,False,dylin,1,0,0,0,0,0,3.791,29.409999999999997,dylin,6.294255018234253,0.0,5.08807110786438,0.3236289024353027,11.705955028533936,0.0,,0.0,,,,,,,,87
hcloud-python,20260629_215806,9167578e13b53c1f05605c3dfdff6f80f9f0b8a0,1540804969,Introduce library skeleton,True,original,0,0,0,0,0,2,0.26,0.8728,original,0.0,0.0,0.6128993034362793,0.0,0.6128993034362793,,,,,,,,,,,
hcloud-python,20260629_215806,9167578e13b53c1f05605c3dfdff6f80f9f0b8a0,1540804969,Introduce library skeleton,True,pymop,0,0,0,0,0,2,0.231,0.8728,pymop,0.0,0.0,2.070795774459839,0.0,2.070795774459839,0.0,,0.0,,,,0.0,,0.0,,
hcloud-python,20260629_215806,9167578e13b53c1f05605c3dfdff6f80f9f0b8a0,1540804969,Introduce library skeleton,True,pymop_libs,0,0,0,0,0,2,0.583,0.8728,pymop_libs,0.0,0.0,4.044872999191284,0.0,4.044872999191284,0.0,,0.0,,,,0.0,,0.0,,
hcloud-python,20260629_215806,9167578e13b53c1f05605c3dfdff6f80f9f0b8a0,1540804969,Introduce library skeleton,True,dylin,0,0,0,0,0,2,0.094,0.8728,dylin,3.1884942054748535,0.0,0.3212366104125976,0.3196816444396972,3.829412460327149,0.0,,0.0,,,,,,,,
hcloud-python,20260629_215806,69ba9de6870595988be7e111171ddbd9663de01c,1543566404,Implement server client,True,original,0,0,0,0,0,2,0.347,0.4818,original,0.0,0.0,0.8124074935913086,0.0,0.8124074935913086,,,,,,,,,,,
hcloud-python,20260629_215806,69ba9de6870595988be7e111171ddbd9663de01c,1543566404,Implement server client,True,pymop,0,0,0,0,0,2,0.242,0.4818,pymop,0.0,0.0,2.0889785289764404,0.0,2.0889785289764404,0.0,,0.0,,,,0.0,,0.0,,
