project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
hrv-meditation,20260629_220316,24c8c231e81c5ff2799570520c20b031c0cc244c,1768371771,working app,False,original,52,0,0,0,0,0,2.723,84.88,original,0.0,0.0,3.620196580886841,0.0,3.620196580886841,,,,,,,,,,,1279
hrv-meditation,20260629_220316,24c8c231e81c5ff2799570520c20b031c0cc244c,1768371771,working app,False,pymop,52,0,0,0,0,0,2.324,84.88,pymop,1.8356812000274656,0.8346633911132812,7.485579013824463,0.0,10.15592360496521,7.0,FileClosedAnalysis=7,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/src/hrv/session/manager.py:99=1,FileClosedAnalysis:/src/hrv/session/manager.py:99={'tests/test_session_manager.py::TestHRVStatistics::test_stats_with_single_rr'},361.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=148<>UnsafeListIterator=171<>UnsafeDictIterator=29,11491.0,BuiltinAllAnalysis=violation=1742<>ComparisonBehaviorAnalysis=eq_end=69<>InPlaceSortAnalysis=list_used=177<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=69<>NonFinitesAnalysis=non_finite_op=1742<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=81<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=1747<>WrongTypeAddedAnalysis=check_insert=1747<>WrongTypeAddedAnalysis=check_extend=1747<>WrongTypeAddedAnalysis=check_add=1747<>WrongTypeAddedAnalysis=check_add_assign=81<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=67<>FileClosedAnalysis=end=73<>UnsafeListIterator=createList=235<>UnsafeListIterator=updateList=56<>UnsafeDictIterator=createDict=31,1279
hrv-meditation,20260629_220316,24c8c231e81c5ff2799570520c20b031c0cc244c,1768371771,working app,False,pymop_libs,52,0,0,0,0,0,113.067,84.88,pymop_libs,9.283140659332275,0.5166139602661133,125.12795495986938,0.0,134.92770957946777,218.0,InvalidComparisonAnalysis=208;ComparisonBehaviorAnalysis=3;FileClosedAnalysis=7,8.0,InvalidComparisonAnalysis=4;ComparisonBehaviorAnalysis=3;FileClosedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;FileClosedAnalysis:/src/hrv/session/manager.py:99=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574={'tests/test_api.py::TestIndexEndpoint::test_index_returns_message_when_no_static', 'tests/test_api.py::TestStatusEndpoint::test_status_no_connection', 'tests/test_api.py::TestScanEndpoint::test_scan_returns_devices', 'tests/test_api.py::TestSessionEndpoints::test_start_session', 'tests/test_api.py::TestConnectionManager::test_connection_count', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_empty', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_after_create', 'tests/test_api.py::TestConnectEndpoint::test_connect_creates_client', 'tests/test_api.py::TestSessionEndpoints::test_get_session_not_found', 'tests/test_api.py::TestSessionEndpoints::test_start_session_twice_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session_without_active_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session', 'tests/test_api.py::TestSessionEndpoints::test_get_session'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39={'tests/test_api.py::TestStatusEndpoint::test_status_no_connection', 'tests/test_api.py::TestScanEndpoint::test_scan_returns_devices', 'tests/test_api.py::TestSessionEndpoints::test_start_session', 'tests/test_api.py::TestConnectionManager::test_connection_count', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_empty', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_after_create', 'tests/test_api.py::TestConnectEndpoint::test_connect_creates_client', 'tests/test_api.py::TestSessionEndpoints::test_get_session_not_found', 'tests/test_api.py::TestSessionEndpoints::test_start_session_twice_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session_without_active_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session', 'tests/test_api.py::TestSessionEndpoints::test_get_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755={'tests/test_api.py::TestSessionEndpoints::test_start_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427={'tests/test_api.py::TestSessionEndpoints::test_start_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257={'tests/test_api.py::TestSessionEndpoints::test_start_session'};FileClosedAnalysis:/src/hrv/session/manager.py:99={'tests/test_session_manager.py::TestHRVStatistics::test_stats_with_single_rr'}",28686.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=17299<>UnsafeDictIterator=11003<>ArgParse_Parent=1<>FileClosedAnalysis=148<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=186<>Thread_StartOnce=13,4505989.0,BuiltinAllAnalysis=violation=723684<>ComparisonBehaviorAnalysis=ne_end=5123<>ComparisonBehaviorAnalysis=eq_end=147482<>InPlaceSortAnalysis=list_used=80435<>InPlaceSortAnalysis=list_sorted=699<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=152595<>NonFinitesAnalysis=non_finite_op=723585<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=21438<>StringStripAnalysis=strip=3449<>WrongTypeAddedAnalysis=check_append=638080<>WrongTypeAddedAnalysis=check_insert=638080<>WrongTypeAddedAnalysis=check_extend=638080<>WrongTypeAddedAnalysis=check_add=638080<>WrongTypeAddedAnalysis=check_add_assign=21438<>UnsafeListIterator=createList=39421<>UnsafeListIterator=createIter=261<>UnsafeListIterator=next=861<>UnsafeListIterator=updateList=56<>UnsafeDictIterator=createDict=16152<>UnsafeDictIterator=updateDict=16027<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=67<>FileClosedAnalysis=end=73<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=307<>Pydocs_MustReleaseLock=release=307<>Pydocs_MustReleaseLock=end=93<>Thread_StartOnce=start=13,1279
hrv-meditation,20260629_220316,24c8c231e81c5ff2799570520c20b031c0cc244c,1768371771,working app,False,dylin,52,0,0,0,0,0,6.049,84.88,dylin,9.42705535888672,0.0,7.984360933303833,0.4026284217834472,17.814044713974,0.0,,0.0,,,,,,,,1279
hrv-meditation,20260629_220316,dbe646efc4f44976a2648bf0cd4271e73825e6d6,1768375420,delete and edit sessions,False,original,52,0,0,0,0,0,2.64,82.1,original,0.0,0.0,3.500185966491699,0.0,3.500185966491699,,,,,,,,,,,1335
hrv-meditation,20260629_220316,dbe646efc4f44976a2648bf0cd4271e73825e6d6,1768375420,delete and edit sessions,False,pymop,52,0,0,0,0,0,2.044,82.1,pymop,1.8705711364746096,0.9434370994567872,8.213216543197632,0.0,11.027224779129028,7.0,FileClosedAnalysis=7,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/src/hrv/session/manager.py:115=1,FileClosedAnalysis:/src/hrv/session/manager.py:115={'tests/test_session_manager.py::TestHRVStatistics::test_stats_with_single_rr'},396.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=148<>UnsafeListIterator=205<>UnsafeDictIterator=30,12347.0,BuiltinAllAnalysis=violation=1874<>ComparisonBehaviorAnalysis=eq_end=69<>InPlaceSortAnalysis=list_used=209<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=69<>NonFinitesAnalysis=non_finite_op=1874<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=81<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=1879<>WrongTypeAddedAnalysis=check_insert=1879<>WrongTypeAddedAnalysis=check_extend=1879<>WrongTypeAddedAnalysis=check_add=1879<>WrongTypeAddedAnalysis=check_add_assign=81<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=67<>FileClosedAnalysis=end=73<>UnsafeListIterator=createList=267<>UnsafeListIterator=updateList=56<>UnsafeDictIterator=createDict=31,1335
hrv-meditation,20260629_220316,dbe646efc4f44976a2648bf0cd4271e73825e6d6,1768375420,delete and edit sessions,False,pymop_libs,52,0,0,0,0,0,111.479,82.1,pymop_libs,7.972704887390137,0.6833860874176025,124.0900695323944,0.0,132.74616050720215,218.0,InvalidComparisonAnalysis=208;ComparisonBehaviorAnalysis=3;FileClosedAnalysis=7,8.0,InvalidComparisonAnalysis=4;ComparisonBehaviorAnalysis=3;FileClosedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427=1;ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257=1;FileClosedAnalysis:/src/hrv/session/manager.py:115=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574={'tests/test_api.py::TestIndexEndpoint::test_index_returns_message_when_no_static', 'tests/test_api.py::TestStatusEndpoint::test_status_no_connection', 'tests/test_api.py::TestScanEndpoint::test_scan_returns_devices', 'tests/test_api.py::TestSessionEndpoints::test_start_session', 'tests/test_api.py::TestConnectionManager::test_connection_count', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_empty', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_after_create', 'tests/test_api.py::TestConnectEndpoint::test_connect_creates_client', 'tests/test_api.py::TestSessionEndpoints::test_get_session_not_found', 'tests/test_api.py::TestSessionEndpoints::test_start_session_twice_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session_without_active_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session', 'tests/test_api.py::TestSessionEndpoints::test_get_session'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39={'tests/test_api.py::TestStatusEndpoint::test_status_no_connection', 'tests/test_api.py::TestScanEndpoint::test_scan_returns_devices', 'tests/test_api.py::TestSessionEndpoints::test_start_session', 'tests/test_api.py::TestConnectionManager::test_connection_count', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_empty', 'tests/test_api.py::TestSessionEndpoints::test_list_sessions_after_create', 'tests/test_api.py::TestConnectEndpoint::test_connect_creates_client', 'tests/test_api.py::TestSessionEndpoints::test_get_session_not_found', 'tests/test_api.py::TestSessionEndpoints::test_start_session_twice_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session_without_active_fails', 'tests/test_api.py::TestSessionEndpoints::test_stop_session', 'tests/test_api.py::TestSessionEndpoints::test_get_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:755={'tests/test_api.py::TestSessionEndpoints::test_start_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/persistence.py:1427={'tests/test_api.py::TestSessionEndpoints::test_start_session'};ComparisonBehaviorAnalysis:/lib/python3.12/site-packages/sqlalchemy/orm/mapper.py:3257={'tests/test_api.py::TestSessionEndpoints::test_start_session'};FileClosedAnalysis:/src/hrv/session/manager.py:115={'tests/test_session_manager.py::TestHRVStatistics::test_stats_with_single_rr'}",29460.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=17702<>UnsafeDictIterator=11374<>ArgParse_Parent=1<>FileClosedAnalysis=148<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=186<>Thread_StartOnce=13,4642635.0,BuiltinAllAnalysis=violation=746169<>ComparisonBehaviorAnalysis=ne_end=5227<>ComparisonBehaviorAnalysis=eq_end=151210<>InPlaceSortAnalysis=list_used=81671<>InPlaceSortAnalysis=list_sorted=699<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=156427<>NonFinitesAnalysis=non_finite_op=746070<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=22091<>StringStripAnalysis=strip=3451<>WrongTypeAddedAnalysis=check_append=657943<>WrongTypeAddedAnalysis=check_insert=657943<>WrongTypeAddedAnalysis=check_extend=657943<>WrongTypeAddedAnalysis=check_add=657943<>WrongTypeAddedAnalysis=check_add_assign=22091<>UnsafeListIterator=createList=40087<>UnsafeListIterator=createIter=267<>UnsafeListIterator=next=963<>UnsafeListIterator=updateList=60<>UnsafeDictIterator=createDict=16696<>UnsafeDictIterator=updateDict=16721<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=67<>FileClosedAnalysis=end=73<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=307<>Pydocs_MustReleaseLock=release=307<>Pydocs_MustReleaseLock=end=93<>Thread_StartOnce=start=13,1335
hrv-meditation,20260629_220316,dbe646efc4f44976a2648bf0cd4271e73825e6d6,1768375420,delete and edit sessions,False,dylin,52,0,0,0,0,0,6.366,82.1,dylin,9.241612672805786,0.0,8.403875827789307,0.4757728576660156,18.12126135826111,0.0,,0.0,,,,,,,,1335
hrv-meditation,20260629_220316,e4b3734645b3ced850e1e9d0193b514dafce35e9,1768378266,coherence,False,original,52,0,0,0,0,0,2.555,76.2,original,0.0,0.0,3.601562976837158,0.0,3.601562976837158,,,,,,,,,,,1530
hrv-meditation,20260629_220316,e4b3734645b3ced850e1e9d0193b514dafce35e9,1768378266,coherence,False,pymop,52,0,0,0,0,0,2.443,76.2,pymop,1.8587849140167236,0.7940189838409424,8.802574396133423,0.0,11.455378293991089,7.0,FileClosedAnalysis=7,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/src/hrv/session/manager.py:123=1,FileClosedAnalysis:/src/hrv/session/manager.py:123={'tests/test_session_manager.py::TestHRVStatistics::test_stats_with_single_rr'},413.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=148<>UnsafeListIterator=221<>UnsafeDictIterator=31,12896.0,BuiltinAllAnalysis=violation=1956<>ComparisonBehaviorAnalysis=eq_end=69<>InPlaceSortAnalysis=list_used=209<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=69<>NonFinitesAnalysis=non_finite_op=1956<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=81<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=1961<>WrongTypeAddedAnalysis=check_insert=1961<>WrongTypeAddedAnalysis=check_extend=1961<>WrongTypeAddedAnalysis=check_add=1961<>WrongTypeAddedAnalysis=check_add_assign=81<>FileClosedAnalysis=open=75<>FileClosedAnalysis=close=67<>FileClosedAnalysis=end=73<>UnsafeListIterator=createList=299<>UnsafeListIterator=updateList=81<>UnsafeDictIterator=createDict=31,1530
