project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
llm-interface,20260629_220250,bd7061d08749154642f828a01ace0d9d809ded26,1737917621,chore: initial checkin of refactored llm-interface,True,original,15,6,0,0,0,2,1.606,29.47,original,0.0,0.0,2.1978819370269775,0.0,2.1978819370269775,,,,,,,,,,,
llm-interface,20260629_220250,bd7061d08749154642f828a01ace0d9d809ded26,1737917621,chore: initial checkin of refactored llm-interface,True,pymop,15,6,0,0,0,2,2.852,29.47,pymop,2.151683568954468,0.5849101543426514,7.240014553070068,0.0,9.976608276367188,19.0,InvalidComparisonAnalysis=19,6.0,InvalidComparisonAnalysis=6,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,"InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_custom_name_and_description', 'tests/test_llm_tool.py::TestLLMTool::test_docstring_parsing', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'}",145.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=92<>UnsafeDictIterator=25<>UnsafeListIterator=15,3179.0,BuiltinAllAnalysis=violation=445<>ComparisonBehaviorAnalysis=eq_end=72<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72<>NonFinitesAnalysis=non_finite_op=445<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=5<>StringStripAnalysis=strip=24<>WrongTypeAddedAnalysis=check_append=462<>WrongTypeAddedAnalysis=check_insert=462<>WrongTypeAddedAnalysis=check_extend=462<>WrongTypeAddedAnalysis=check_add=462<>WrongTypeAddedAnalysis=check_add_assign=5<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>UnsafeDictIterator=createDict=39<>UnsafeDictIterator=updateDict=37<>UnsafeListIterator=createList=20<>UnsafeListIterator=updateList=20,
llm-interface,20260629_220250,bd7061d08749154642f828a01ace0d9d809ded26,1737917621,chore: initial checkin of refactored llm-interface,True,pymop_libs,15,6,0,0,0,2,115.877,29.47,pymop_libs,7.800605058670044,0.4883487224578857,127.90262508392334,0.0,136.19157886505127,177.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=175,11.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1;InvalidComparisonAnalysis=9,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,"RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_custom_name_and_description', 'tests/test_llm_tool.py::TestLLMTool::test_docstring_parsing', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'}",35643.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=18969<>UnsafeDictIterator=16544<>ArgParse_Parent=1<>FileClosedAnalysis=92<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=1,9389469.0,BuiltinAllAnalysis=violation=1524914<>ComparisonBehaviorAnalysis=ne_end=4020<>ComparisonBehaviorAnalysis=eq_end=42267<>InPlaceSortAnalysis=list_used=46542<>InPlaceSortAnalysis=list_sorted=27<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=46277<>NonFinitesAnalysis=non_finite_op=1524814<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=8572<>StringStripAnalysis=strip=472<>WrongTypeAddedAnalysis=check_append=1525339<>WrongTypeAddedAnalysis=check_insert=1525339<>WrongTypeAddedAnalysis=check_extend=1525339<>WrongTypeAddedAnalysis=check_add=1525339<>WrongTypeAddedAnalysis=check_add_assign=8572<>UnsafeListIterator=createList=32593<>UnsafeListIterator=updateList=20<>UnsafeDictIterator=createDict=26462<>UnsafeDictIterator=updateDict=22394<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=47<>FileClosedAnalysis=close=46<>FileClosedAnalysis=end=45<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=1,
llm-interface,20260629_220250,bd7061d08749154642f828a01ace0d9d809ded26,1737917621,chore: initial checkin of refactored llm-interface,True,dylin,43,0,0,0,0,0,1.3,29.47,dylin,10.600292682647703,0.0,7.223026752471924,0.3385202884674072,18.161839723587036,18.0,InvalidComparisonAnalysis=18,6.0,InvalidComparisonAnalysis=6,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={None};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'},,,,,
llm-interface,20260629_220250,e80d123cdb10c6290de6e0a0fb91521d4a842d4c,1737919968,feat: enhance pytest configuration and add regression tests for structured output generation,True,original,15,6,0,0,0,4,2.564,26.97,original,0.0,0.0,3.244433879852295,0.0,3.244433879852295,,,,,,,,,,,
llm-interface,20260629_220250,e80d123cdb10c6290de6e0a0fb91521d4a842d4c,1737919968,feat: enhance pytest configuration and add regression tests for structured output generation,True,pymop,15,6,0,0,0,4,4.285,26.97,pymop,2.173186779022217,0.5375220775604248,8.868990182876587,0.0,11.579699039459229,19.0,InvalidComparisonAnalysis=19,6.0,InvalidComparisonAnalysis=6,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,"InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_custom_name_and_description', 'tests/test_llm_tool.py::TestLLMTool::test_docstring_parsing', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'}",150.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=96<>UnsafeDictIterator=25<>UnsafeListIterator=16,3773.0,BuiltinAllAnalysis=violation=543<>ComparisonBehaviorAnalysis=eq_end=72<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72<>NonFinitesAnalysis=non_finite_op=543<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=5<>StringStripAnalysis=strip=24<>WrongTypeAddedAnalysis=check_append=560<>WrongTypeAddedAnalysis=check_insert=560<>WrongTypeAddedAnalysis=check_extend=560<>WrongTypeAddedAnalysis=check_add=560<>WrongTypeAddedAnalysis=check_add_assign=5<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>UnsafeDictIterator=createDict=39<>UnsafeDictIterator=updateDict=37<>UnsafeListIterator=createList=20<>UnsafeListIterator=updateList=20,
llm-interface,20260629_220250,e80d123cdb10c6290de6e0a0fb91521d4a842d4c,1737919968,feat: enhance pytest configuration and add regression tests for structured output generation,True,pymop_libs,15,6,0,0,0,4,789.924,26.97,pymop_libs,8.364336013793945,0.6735794544219971,810.0140490531921,0.0,819.0519645214081,309.0,InvalidComparisonAnalysis=309,7.0,InvalidComparisonAnalysis=7,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:349={None};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_custom_name_and_description', 'tests/test_llm_tool.py::TestLLMTool::test_docstring_parsing', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'}",100551.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=53172<>UnsafeDictIterator=47246<>ArgParse_Parent=1<>FileClosedAnalysis=96<>faulthandler_disableBeforeClose=1,14005470.0,BuiltinAllAnalysis=violation=2193889<>ComparisonBehaviorAnalysis=ne_end=6457<>ComparisonBehaviorAnalysis=eq_end=223652<>InPlaceSortAnalysis=list_used=137893<>InPlaceSortAnalysis=list_sorted=27<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=230099<>NonFinitesAnalysis=non_finite_op=2193790<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=15827<>StringStripAnalysis=strip=548<>WrongTypeAddedAnalysis=check_append=2191920<>WrongTypeAddedAnalysis=check_insert=2191920<>WrongTypeAddedAnalysis=check_extend=2191920<>WrongTypeAddedAnalysis=check_add=2191920<>WrongTypeAddedAnalysis=check_add_assign=15827<>UnsafeListIterator=createList=90224<>UnsafeListIterator=updateList=20<>UnsafeDictIterator=createDict=74241<>UnsafeDictIterator=updateDict=55124<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
llm-interface,20260629_220250,e80d123cdb10c6290de6e0a0fb91521d4a842d4c,1737919968,feat: enhance pytest configuration and add regression tests for structured output generation,True,dylin,43,0,15,0,0,0,1.797,26.97,dylin,10.790112018585203,0.0,7.437682151794434,0.3099493980407715,18.53774356842041,18.0,InvalidComparisonAnalysis=18,6.0,InvalidComparisonAnalysis=6,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={None};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_interface.py::TestLLMInterface::test_chat_with_tool_execution_error (call)'},,,,,
llm-interface,20260629_220250,127f19a19fb1715f355bf7e7bd7553d1da542364,1737920444,refactor: replace create_autospec with MagicMock for tracking tool executions in tests,True,original,15,6,0,0,0,4,2.566,26.950000000000003,original,0.0,0.0,3.2345495223999023,0.0,3.2345495223999023,,,,,,,,,,,
llm-interface,20260629_220250,127f19a19fb1715f355bf7e7bd7553d1da542364,1737920444,refactor: replace create_autospec with MagicMock for tracking tool executions in tests,True,pymop,15,6,0,0,0,4,4.195,26.950000000000003,pymop,2.3914780616760254,0.6754014492034912,9.353346824645996,0.0,12.420226335525513,19.0,InvalidComparisonAnalysis=19,6.0,InvalidComparisonAnalysis=6,InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41=1;InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46=1,"InvalidComparisonAnalysis:/llm_interface/llm_tool.py:33={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_custom_name_and_description', 'tests/test_llm_tool.py::TestLLMTool::test_docstring_parsing', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:35={'tests/test_llm_tool.py::TestLLMTool::test_tool_decorator', 'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:37={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:39={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:41={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'};InvalidComparisonAnalysis:/llm_interface/llm_tool.py:46={'tests/test_llm_tool.py::TestLLMTool::test_invalid_function'}",152.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=96<>UnsafeDictIterator=27<>UnsafeListIterator=16,3773.0,BuiltinAllAnalysis=violation=543<>ComparisonBehaviorAnalysis=eq_end=72<>InPlaceSortAnalysis=list_used=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72<>NonFinitesAnalysis=non_finite_op=543<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=5<>StringStripAnalysis=strip=24<>WrongTypeAddedAnalysis=check_append=560<>WrongTypeAddedAnalysis=check_insert=560<>WrongTypeAddedAnalysis=check_extend=560<>WrongTypeAddedAnalysis=check_add=560<>WrongTypeAddedAnalysis=check_add_assign=5<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>UnsafeDictIterator=createDict=39<>UnsafeDictIterator=updateDict=37<>UnsafeListIterator=createList=20<>UnsafeListIterator=updateList=20,
