project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
mailoney,20260629_220114,508044b11240a9dd9aa84c40d55cbd50adc1705c,1421299794,initial release,True,original,0,0,0,0,0,0,0.029,0.0,original,0.0,0.0,0.3505759239196777,0.0,0.3505759239196777,,,,,,,,,,,
mailoney,20260629_220114,508044b11240a9dd9aa84c40d55cbd50adc1705c,1421299794,initial release,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.376173734664917,0.5934417247772217,1.6157879829406738,0.0,4.5854034423828125,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
mailoney,20260629_220114,508044b11240a9dd9aa84c40d55cbd50adc1705c,1421299794,initial release,True,pymop_libs,0,0,0,0,0,0,0.325,0.0,pymop_libs,7.877105712890625,0.4477133750915527,4.603177309036255,0.0,12.927996397018433,0.0,,0.0,,,,1089.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=701<>UnsafeDictIterator=341<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,180080.0,BuiltinAllAnalysis=violation=28664<>ComparisonBehaviorAnalysis=ne_end=162<>ComparisonBehaviorAnalysis=eq_end=847<>InPlaceSortAnalysis=list_used=2082<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=999<>NonFinitesAnalysis=non_finite_op=28565<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28443<>WrongTypeAddedAnalysis=check_insert=28443<>WrongTypeAddedAnalysis=check_extend=28443<>WrongTypeAddedAnalysis=check_add=28443<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
mailoney,20260629_220114,508044b11240a9dd9aa84c40d55cbd50adc1705c,1421299794,initial release,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,6.343419551849365,0.0,0.2426910400390625,0.3490662574768066,6.935176849365234,0.0,,0.0,,,,,,,,
mailoney,20260629_220114,8dd73508a614d71bb0e08bccbf40002477828b16,1423007335,Fixed minor log directory issue,True,original,0,0,0,0,0,0,0.029,0.0,original,0.0,0.0,0.3632187843322754,0.0,0.3632187843322754,,,,,,,,,,,
mailoney,20260629_220114,8dd73508a614d71bb0e08bccbf40002477828b16,1423007335,Fixed minor log directory issue,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.27626633644104,0.5705909729003906,1.6621980667114258,0.0,4.509055376052856,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
mailoney,20260629_220114,8dd73508a614d71bb0e08bccbf40002477828b16,1423007335,Fixed minor log directory issue,True,pymop_libs,0,0,0,0,0,0,0.32,0.0,pymop_libs,8.168864011764526,0.5143368244171143,4.6345179080963135,0.0,13.317718744277954,0.0,,0.0,,,,1048.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=665<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,178408.0,BuiltinAllAnalysis=violation=28404<>ComparisonBehaviorAnalysis=ne_end=158<>ComparisonBehaviorAnalysis=eq_end=835<>InPlaceSortAnalysis=list_used=2034<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=983<>NonFinitesAnalysis=non_finite_op=28305<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28175<>WrongTypeAddedAnalysis=check_insert=28175<>WrongTypeAddedAnalysis=check_extend=28175<>WrongTypeAddedAnalysis=check_add=28175<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
mailoney,20260629_220114,8dd73508a614d71bb0e08bccbf40002477828b16,1423007335,Fixed minor log directory issue,True,dylin,0,0,0,0,0,0,0.007,0.0,dylin,6.71940803527832,0.0,0.2224824428558349,0.3289813995361328,7.270871877670288,0.0,,0.0,,,,,,,,
mailoney,20260629_220114,36b255f8f5d6a96e3fbee99a9cf191600f0fdd13,1444883875,Adding initial version of schizo_open_relay,True,original,0,0,0,0,0,0,0.033,0.0,original,0.0,0.0,0.380887508392334,0.0,0.380887508392334,,,,,,,,,,,
mailoney,20260629_220114,36b255f8f5d6a96e3fbee99a9cf191600f0fdd13,1444883875,Adding initial version of schizo_open_relay,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.1125450134277344,0.5483274459838867,1.7079784870147705,0.0,4.368850946426392,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
