project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
mapproxy,20260629_215311,48d2a731f81e7851efdd9ed8ceaced617cb80db3,1717589116,feat: add test for seeding sqlite cache,False,original,112,7,0,0,0,272,23.485,10.14,original,0.0,0.0,23.96827816963196,0.0,23.96827816963196,,,,,,,,,,,42455
mapproxy,20260629_215311,48d2a731f81e7851efdd9ed8ceaced617cb80db3,1717589116,feat: add test for seeding sqlite cache,False,pymop,109,10,0,0,0,272,147.096,10.14,pymop,3.2970943450927734,0.5999858379364014,149.99629473686218,0.0,153.89337491989136,35.0,Pydocs_MustShutdownBeforeCloseSocket=18;FileClosedAnalysis=17,3.0,Pydocs_MustShutdownBeforeCloseSocket=1;FileClosedAnalysis=2,Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109=1;FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120=1;FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40=1,"Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109={'mapproxy/test/test_http_helper.py::TestMockServ::test_multiple_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header_but_missing', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_auth', 'mapproxy/test/test_http_helper.py::TestMockServ::test_unexpected', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post_but_get', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header', 'mapproxy/test/test_http_helper.py::TestMockServ::test_reset_unordered', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_status', 'mapproxy/test/test_http_helper.py::TestMockServ::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_headers', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_get_no_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post', 'mapproxy/test/test_http_helper.py::TestMockServ::test_missing_requests', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_headers_status_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'}",4487.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=3912<>UnsafeListIterator=261<>UnsafeDictIterator=240<>UnsafeArrayIterator=1<>Thread_StartOnce=38<>Pydocs_MustShutdownBeforeCloseSocket=18<>PyDocs_MustSortBeforeGroupBy=2<>PyDocs_UnsafeIterUseAfterTee=2,273008.0,BuiltinAllAnalysis=violation=34390<>ComparisonBehaviorAnalysis=eq_end=550<>ComparisonBehaviorAnalysis=ne_end=123<>InPlaceSortAnalysis=list_used=792<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=673<>NonFinitesAnalysis=non_finite_op=34390<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=513<>StringStripAnalysis=strip=42<>WrongTypeAddedAnalysis=check_append=48477<>WrongTypeAddedAnalysis=check_insert=48477<>WrongTypeAddedAnalysis=check_extend=48477<>WrongTypeAddedAnalysis=check_add=48477<>WrongTypeAddedAnalysis=check_add_assign=513<>FileClosedAnalysis=open=1957<>FileClosedAnalysis=close=1939<>FileClosedAnalysis=end=1955<>UnsafeListIterator=createList=353<>UnsafeListIterator=updateList=397<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=106<>UnsafeArrayIterator=createArray=1<>Thread_StartOnce=start=38<>Pydocs_MustShutdownBeforeCloseSocket=close=18<>PyDocs_MustSortBeforeGroupBy=sort=2<>PyDocs_MustSortBeforeGroupBy=modify=8<>PyDocs_UnsafeIterUseAfterTee=createIter=2,42455
mapproxy,20260629_215311,48d2a731f81e7851efdd9ed8ceaced617cb80db3,1717589116,feat: add test for seeding sqlite cache,False,pymop_libs,109,10,0,0,0,272,2018.054,10.14,pymop_libs,8.886107206344604,0.5592889785766602,2043.0841598510744,0.0,2052.5295560359955,27.0,InvalidComparisonAnalysis=2;StringConcatAnalysis=2;Pydocs_MustShutdownBeforeCloseSocket=19;FileClosedAnalysis=4,7.0,InvalidComparisonAnalysis=1;StringConcatAnalysis=2;Pydocs_MustShutdownBeforeCloseSocket=2;FileClosedAnalysis=2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:194=1;Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:91=1;FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120=1;FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:194={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109={'mapproxy/test/test_http_helper.py::TestMockServ::test_multiple_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header_but_missing', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_auth', 'mapproxy/test/test_http_helper.py::TestMockServ::test_unexpected', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post_but_get', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header', 'mapproxy/test/test_http_helper.py::TestMockServ::test_reset_unordered', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_status', 'mapproxy/test/test_http_helper.py::TestMockServ::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_headers', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_get_no_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post', 'mapproxy/test/test_http_helper.py::TestMockServ::test_missing_requests', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_headers_status_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:91={'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'}",45908.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=37492<>UnsafeDictIterator=5152<>ArgParse_Parent=6<>FileClosedAnalysis=3022<>faulthandler_disableBeforeClose=1<>UnsafeArrayIterator=1<>Thread_StartOnce=38<>Pydocs_MustShutdownBeforeCloseSocket=19<>Requests_MustCloseSession=46<>Requests_PreparedRequestInit=23<>Pydocs_HTTPConnectionSendSequence=23<>Pydocs_MustCloseSocket=46<>PyDocs_MustSortBeforeGroupBy=2<>PyDocs_UnsafeIterUseAfterTee=2,335128527.0,BuiltinAllAnalysis=violation=55650110<>ComparisonBehaviorAnalysis=ne_end=32496<>ComparisonBehaviorAnalysis=eq_end=121459<>InPlaceSortAnalysis=list_used=318138<>InPlaceSortAnalysis=list_sorted=55<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=153943<>NonFinitesAnalysis=non_finite_op=55650000<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=166237<>StringStripAnalysis=strip=7766<>WrongTypeAddedAnalysis=check_append=55681043<>WrongTypeAddedAnalysis=check_insert=55681043<>WrongTypeAddedAnalysis=check_extend=55681043<>WrongTypeAddedAnalysis=check_add=55681043<>WrongTypeAddedAnalysis=check_add_assign=166237<>UnsafeListIterator=createList=116523<>UnsafeListIterator=updateList=386<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=6010<>UnsafeDictIterator=updateDict=9973<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=1512<>FileClosedAnalysis=close=1507<>FileClosedAnalysis=end=1510<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>UnsafeArrayIterator=createArray=1<>Thread_StartOnce=start=38<>Pydocs_MustShutdownBeforeCloseSocket=close=19<>Requests_MustCloseSession=init=23<>Requests_MustCloseSession=close=23<>Requests_MustCloseSession=end=23<>Requests_PreparedRequestInit=initialization=23<>Requests_PreparedRequestInit=preparation=23<>Requests_PreparedRequestInit=manual_prepare=184<>Pydocs_HTTPConnectionSendSequence=connect=23<>Pydocs_HTTPConnectionSendSequence=request=23<>Pydocs_MustCloseSocket=init=23<>Pydocs_MustCloseSocket=close=1<>Pydocs_MustCloseSocket=end=23<>PyDocs_MustSortBeforeGroupBy=sort=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,42455
mapproxy,20260629_215311,48d2a731f81e7851efdd9ed8ceaced617cb80db3,1717589116,feat: add test for seeding sqlite cache,False,dylin,112,7,0,0,0,272,73.021,10.14,dylin,48.52723646163941,0.0,74.2785153388977,0.291015625,123.09676742553712,0.0,,0.0,,,,,,,,42455
mapproxy,20260629_215311,8f654190fa108bfbc83e59e0a0636dabfca64a4a,1718110363,#935 add timeout to SQLite connect parms,False,original,112,7,0,0,0,272,23.209,10.15,original,0.0,0.0,23.7560977935791,0.0,23.7560977935791,,,,,,,,,,,42443
mapproxy,20260629_215311,8f654190fa108bfbc83e59e0a0636dabfca64a4a,1718110363,#935 add timeout to SQLite connect parms,False,pymop,109,10,0,0,0,272,145.845,10.15,pymop,2.83343768119812,0.5973494052886963,148.68653845787048,0.0,152.1173255443573,31.0,Pydocs_MustShutdownBeforeCloseSocket=18;FileClosedAnalysis=13,4.0,Pydocs_MustShutdownBeforeCloseSocket=1;FileClosedAnalysis=3,Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109=1;FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120=1;FileClosedAnalysis:/lib/python3.12/site-packages/_pytest/_py/error.py:85=1;FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40=1,"Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109={'mapproxy/test/test_http_helper.py::TestMockServ::test_multiple_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header_but_missing', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_auth', 'mapproxy/test/test_http_helper.py::TestMockServ::test_unexpected', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post_but_get', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header', 'mapproxy/test/test_http_helper.py::TestMockServ::test_reset_unordered', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_status', 'mapproxy/test/test_http_helper.py::TestMockServ::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_headers', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_get_no_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post', 'mapproxy/test/test_http_helper.py::TestMockServ::test_missing_requests', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_headers_status_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/lib/python3.12/site-packages/_pytest/_py/error.py:85={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'}",4571.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=3994<>UnsafeListIterator=266<>UnsafeDictIterator=237<>UnsafeArrayIterator=1<>Thread_StartOnce=38<>Pydocs_MustShutdownBeforeCloseSocket=18<>PyDocs_MustSortBeforeGroupBy=2<>PyDocs_UnsafeIterUseAfterTee=2,267905.0,BuiltinAllAnalysis=violation=33967<>ComparisonBehaviorAnalysis=eq_end=550<>ComparisonBehaviorAnalysis=ne_end=123<>InPlaceSortAnalysis=list_used=792<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=673<>NonFinitesAnalysis=non_finite_op=33967<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=513<>StringStripAnalysis=strip=42<>WrongTypeAddedAnalysis=check_append=47382<>WrongTypeAddedAnalysis=check_insert=47382<>WrongTypeAddedAnalysis=check_extend=47382<>WrongTypeAddedAnalysis=check_add=47382<>WrongTypeAddedAnalysis=check_add_assign=513<>FileClosedAnalysis=open=1998<>FileClosedAnalysis=close=1984<>FileClosedAnalysis=end=1996<>UnsafeListIterator=createList=353<>UnsafeListIterator=updateList=397<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=106<>UnsafeArrayIterator=createArray=1<>Thread_StartOnce=start=38<>Pydocs_MustShutdownBeforeCloseSocket=close=18<>PyDocs_MustSortBeforeGroupBy=sort=2<>PyDocs_MustSortBeforeGroupBy=modify=4<>PyDocs_UnsafeIterUseAfterTee=createIter=2,42443
mapproxy,20260629_215311,8f654190fa108bfbc83e59e0a0636dabfca64a4a,1718110363,#935 add timeout to SQLite connect parms,False,pymop_libs,109,10,0,0,0,272,2136.107,10.15,pymop_libs,9.540607929229736,0.5576140880584717,2163.450583457947,0.0,2173.548805475235,36.0,InvalidComparisonAnalysis=2;StringConcatAnalysis=2;Pydocs_MustShutdownBeforeCloseSocket=19;FileClosedAnalysis=13,8.0,InvalidComparisonAnalysis=1;StringConcatAnalysis=2;Pydocs_MustShutdownBeforeCloseSocket=2;FileClosedAnalysis=3,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:194=1;Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109=1;Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:91=1;FileClosedAnalysis:/lib/python3.12/site-packages/_pytest/_py/error.py:85=1;FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120=1;FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:194={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109={'mapproxy/test/test_http_helper.py::TestMockServ::test_multiple_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header_but_missing', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_auth', 'mapproxy/test/test_http_helper.py::TestMockServ::test_unexpected', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post_but_get', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header', 'mapproxy/test/test_http_helper.py::TestMockServ::test_reset_unordered', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_status', 'mapproxy/test/test_http_helper.py::TestMockServ::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_headers', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_get_no_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post', 'mapproxy/test/test_http_helper.py::TestMockServ::test_missing_requests', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_headers_status_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};Pydocs_MustShutdownBeforeCloseSocket:/lib/python3.12/site-packages/urllib3/util/connection.py:91={'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};FileClosedAnalysis:/lib/python3.12/site-packages/_pytest/_py/error.py:85={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'}",47160.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=37382<>UnsafeDictIterator=5146<>ArgParse_Parent=6<>FileClosedAnalysis=4390<>faulthandler_disableBeforeClose=1<>UnsafeArrayIterator=1<>Thread_StartOnce=38<>Pydocs_MustShutdownBeforeCloseSocket=19<>Requests_MustCloseSession=46<>Requests_PreparedRequestInit=23<>Pydocs_HTTPConnectionSendSequence=23<>Pydocs_MustCloseSocket=46<>PyDocs_MustSortBeforeGroupBy=2<>PyDocs_UnsafeIterUseAfterTee=2,335166628.0,BuiltinAllAnalysis=violation=55654886<>ComparisonBehaviorAnalysis=ne_end=32496<>ComparisonBehaviorAnalysis=eq_end=121459<>InPlaceSortAnalysis=list_used=318138<>InPlaceSortAnalysis=list_sorted=55<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=153943<>NonFinitesAnalysis=non_finite_op=55654776<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=166237<>StringStripAnalysis=strip=7766<>WrongTypeAddedAnalysis=check_append=55687675<>WrongTypeAddedAnalysis=check_insert=55687675<>WrongTypeAddedAnalysis=check_extend=55687675<>WrongTypeAddedAnalysis=check_add=55687675<>WrongTypeAddedAnalysis=check_add_assign=166237<>UnsafeListIterator=createList=116501<>UnsafeListIterator=updateList=386<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=6010<>UnsafeDictIterator=updateDict=9973<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=2196<>FileClosedAnalysis=close=2182<>FileClosedAnalysis=end=2194<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>UnsafeArrayIterator=createArray=1<>Thread_StartOnce=start=38<>Pydocs_MustShutdownBeforeCloseSocket=close=19<>Requests_MustCloseSession=init=23<>Requests_MustCloseSession=close=23<>Requests_MustCloseSession=end=23<>Requests_PreparedRequestInit=initialization=23<>Requests_PreparedRequestInit=preparation=23<>Requests_PreparedRequestInit=manual_prepare=184<>Pydocs_HTTPConnectionSendSequence=connect=23<>Pydocs_HTTPConnectionSendSequence=request=23<>Pydocs_MustCloseSocket=init=23<>Pydocs_MustCloseSocket=close=1<>Pydocs_MustCloseSocket=end=23<>PyDocs_MustSortBeforeGroupBy=sort=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,42443
mapproxy,20260629_215311,8f654190fa108bfbc83e59e0a0636dabfca64a4a,1718110363,#935 add timeout to SQLite connect parms,False,dylin,112,7,0,0,0,272,73.879,10.15,dylin,47.70451736450195,0.0,75.14711141586304,0.297959566116333,123.14958834648132,0.0,,0.0,,,,,,,,42443
mapproxy,20260629_215311,aba13df91ece2cacc18c5a0ea7ca1e36fe514dce,1719385816,fix: fix ubuntu dockerfile,False,original,112,7,0,0,0,272,23.511,10.17,original,0.0,0.0,24.04058599472046,0.0,24.04058599472046,,,,,,,,,,,42445
mapproxy,20260629_215311,aba13df91ece2cacc18c5a0ea7ca1e36fe514dce,1719385816,fix: fix ubuntu dockerfile,False,pymop,109,10,0,0,0,272,135.16,10.17,pymop,3.0392048358917236,0.5842480659484863,137.61574602127075,0.0,141.23919892311096,33.0,Pydocs_MustShutdownBeforeCloseSocket=18;FileClosedAnalysis=15,3.0,Pydocs_MustShutdownBeforeCloseSocket=1;FileClosedAnalysis=2,Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109=1;FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120=1;FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40=1,"Pydocs_MustShutdownBeforeCloseSocket:/mapproxy/test/http.py:109={'mapproxy/test/test_http_helper.py::TestMockServ::test_multiple_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header_but_missing', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_auth', 'mapproxy/test/test_http_helper.py::TestMockServ::test_unexpected', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post_but_get', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_w_header', 'mapproxy/test/test_http_helper.py::TestMockServ::test_reset_unordered', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_status', 'mapproxy/test/test_http_helper.py::TestMockServ::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_returns_headers', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_no_requests', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_get_no_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_expects_post', 'mapproxy/test/test_http_helper.py::TestMockServ::test_missing_requests', 'mapproxy/test/test_http_helper.py::TestMockHttpd::test_headers_status_body', 'mapproxy/test/test_http_helper.py::TestMockServ::test_too_many_requests'};FileClosedAnalysis:/mapproxy/util/ext/lockfile.py:120={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'};FileClosedAnalysis:/mapproxy/test/unit/test_yaml.py:40={'mapproxy/util/ext/tempita/__init__.py::mapproxy.util.ext.tempita.trim_lex'}",3584.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=3004<>UnsafeListIterator=257<>UnsafeDictIterator=249<>UnsafeArrayIterator=1<>Thread_StartOnce=38<>Pydocs_MustShutdownBeforeCloseSocket=18<>PyDocs_MustSortBeforeGroupBy=2<>PyDocs_UnsafeIterUseAfterTee=2,285181.0,BuiltinAllAnalysis=violation=35957<>ComparisonBehaviorAnalysis=eq_end=550<>ComparisonBehaviorAnalysis=ne_end=123<>InPlaceSortAnalysis=list_used=792<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=673<>NonFinitesAnalysis=non_finite_op=35957<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=513<>StringStripAnalysis=strip=42<>WrongTypeAddedAnalysis=check_append=51078<>WrongTypeAddedAnalysis=check_insert=51078<>WrongTypeAddedAnalysis=check_extend=51078<>WrongTypeAddedAnalysis=check_add=51078<>WrongTypeAddedAnalysis=check_add_assign=513<>FileClosedAnalysis=open=1503<>FileClosedAnalysis=close=1487<>FileClosedAnalysis=end=1501<>UnsafeListIterator=createList=355<>UnsafeListIterator=updateList=398<>UnsafeListIterator=createIter=1<>UnsafeDictIterator=createDict=328<>UnsafeDictIterator=updateDict=106<>UnsafeArrayIterator=createArray=1<>Thread_StartOnce=start=38<>Pydocs_MustShutdownBeforeCloseSocket=close=18<>PyDocs_MustSortBeforeGroupBy=sort=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,42445
