project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
meihua-yishu,20260629_215722,5219e90813c353f2045f8b1af6af72ccce2d6c8e,1742887180,init,True,original,0,3,0,0,0,2,0.125,8.197000000000001,original,0.0,0.0,0.4414412975311279,0.0,0.4414412975311279,,,,,,,,,,,
meihua-yishu,20260629_215722,5219e90813c353f2045f8b1af6af72ccce2d6c8e,1742887180,init,True,pymop,0,3,0,0,0,2,0.219,8.197000000000001,pymop,2.358774423599243,0.5976259708404541,1.931542158126831,0.0,4.887942552566528,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=16<>UnsafeDictIterator=2,54.0,BuiltinAllAnalysis=violation=4<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=4<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=4<>WrongTypeAddedAnalysis=check_insert=4<>WrongTypeAddedAnalysis=check_extend=4<>WrongTypeAddedAnalysis=check_add=4<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>UnsafeDictIterator=createDict=2,
meihua-yishu,20260629_215722,5219e90813c353f2045f8b1af6af72ccce2d6c8e,1742887180,init,True,pymop_libs,0,3,0,0,0,2,3.146,8.197000000000001,pymop_libs,8.171383380889893,0.4737260341644287,7.570951461791992,0.0,16.216060876846313,0.0,,0.0,,,,1577.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1043<>UnsafeDictIterator=481<>ArgParse_Parent=1<>FileClosedAnalysis=16<>faulthandler_disableBeforeClose=1,649401.0,BuiltinAllAnalysis=violation=105699<>ComparisonBehaviorAnalysis=ne_end=272<>ComparisonBehaviorAnalysis=eq_end=1500<>InPlaceSortAnalysis=list_used=4011<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1762<>NonFinitesAnalysis=non_finite_op=105600<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1449<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=105622<>WrongTypeAddedAnalysis=check_insert=105622<>WrongTypeAddedAnalysis=check_extend=105622<>WrongTypeAddedAnalysis=check_add=105622<>WrongTypeAddedAnalysis=check_add_assign=1449<>UnsafeListIterator=createList=2375<>UnsafeDictIterator=createDict=499<>UnsafeDictIterator=updateDict=2195<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
meihua-yishu,20260629_215722,5219e90813c353f2045f8b1af6af72ccce2d6c8e,1742887180,init,True,dylin,0,3,0,0,0,2,4.289,8.197000000000001,dylin,11.437366724014282,0.0,5.679233551025391,0.2957944869995117,17.412394762039185,0.0,,0.0,,,,,,,,
meihua-yishu,20260629_215723,2c9e5462fadcee6b1ae35b4869a000c19766d43d,1742896445,Four new methods have been added,True,original,0,3,0,0,0,2,0.128,6.515,original,0.0,0.0,0.4362733364105224,0.0,0.4362733364105224,,,,,,,,,,,
meihua-yishu,20260629_215723,2c9e5462fadcee6b1ae35b4869a000c19766d43d,1742896445,Four new methods have been added,True,pymop,0,3,0,0,0,2,0.22,6.515,pymop,2.418041229248047,0.6743292808532715,2.0172274112701416,0.0,5.10959792137146,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=16<>UnsafeDictIterator=2,54.0,BuiltinAllAnalysis=violation=4<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=4<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=4<>WrongTypeAddedAnalysis=check_insert=4<>WrongTypeAddedAnalysis=check_extend=4<>WrongTypeAddedAnalysis=check_add=4<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>UnsafeDictIterator=createDict=2,
meihua-yishu,20260629_215723,2c9e5462fadcee6b1ae35b4869a000c19766d43d,1742896445,Four new methods have been added,True,pymop_libs,0,3,0,0,0,2,3.39,6.515,pymop_libs,8.998698711395264,0.593203067779541,7.991523027420044,0.0,17.58342480659485,0.0,,0.0,,,,1621.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1086<>UnsafeDictIterator=482<>ArgParse_Parent=1<>FileClosedAnalysis=16<>faulthandler_disableBeforeClose=1,649817.0,BuiltinAllAnalysis=violation=105764<>ComparisonBehaviorAnalysis=ne_end=272<>ComparisonBehaviorAnalysis=eq_end=1503<>InPlaceSortAnalysis=list_used=4023<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1765<>NonFinitesAnalysis=non_finite_op=105665<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1449<>StringStripAnalysis=strip=43<>WrongTypeAddedAnalysis=check_append=105689<>WrongTypeAddedAnalysis=check_insert=105689<>WrongTypeAddedAnalysis=check_extend=105689<>WrongTypeAddedAnalysis=check_add=105689<>WrongTypeAddedAnalysis=check_add_assign=1449<>UnsafeListIterator=createList=2375<>UnsafeDictIterator=createDict=499<>UnsafeDictIterator=updateDict=2195<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=9<>FileClosedAnalysis=close=8<>FileClosedAnalysis=end=7<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
meihua-yishu,20260629_215723,2c9e5462fadcee6b1ae35b4869a000c19766d43d,1742896445,Four new methods have been added,True,dylin,0,3,0,0,0,2,4.6,6.515,dylin,11.404576778411863,0.0,6.139330863952637,0.3198552131652832,17.863762855529785,0.0,,0.0,,,,,,,,
meihua-yishu,20260629_215723,16d692f8d79cc3b4884fb311897144c5782dab12,1760430513,init version of fastapi meihua server,False,original,3,0,0,0,0,0,0.163,32.72,original,0.0,0.0,0.5042181015014648,0.0,0.5042181015014648,,,,,,,,,,,1678
meihua-yishu,20260629_215723,16d692f8d79cc3b4884fb311897144c5782dab12,1760430513,init version of fastapi meihua server,False,pymop,3,0,0,0,0,0,0.119,32.72,pymop,2.3212292194366455,0.5473935604095459,1.8695368766784668,0.0,4.738159656524658,18.0,RandomMustUseSeed=18,1.0,RandomMustUseSeed=1,RandomMustUseSeed:/src/meihua/yao.py:28=1,RandomMustUseSeed:/src/meihua/yao.py:28={'basic_test.py::test_basic_functionality'},128.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=21<>UnsafeDictIterator=79<>RandomMustUseSeed=1,965.0,BuiltinAllAnalysis=violation=109<>ComparisonBehaviorAnalysis=eq_end=66<>ComparisonBehaviorAnalysis=ne_end=2<>InPlaceSortAnalysis=list_used=18<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=68<>NonFinitesAnalysis=non_finite_op=109<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2<>WrongTypeAddedAnalysis=check_append=109<>WrongTypeAddedAnalysis=check_insert=109<>WrongTypeAddedAnalysis=check_extend=109<>WrongTypeAddedAnalysis=check_add=109<>WrongTypeAddedAnalysis=check_add_assign=2<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=26<>UnsafeListIterator=updateList=6<>UnsafeDictIterator=createDict=80<>RandomMustUseSeed=all=18,1678
