project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
minion,20260629_215832,81f10caf74090078349029946538444f930da35a,1741081134,ALFWorld,True,original,0,0,0,0,0,4,0.595,0.5025,original,0.0,0.0,1.6984913349151611,0.0,1.6984913349151611,,,,,,,,,,,
minion,20260629_215832,81f10caf74090078349029946538444f930da35a,1741081134,ALFWorld,True,pymop,0,0,0,0,0,4,0.72,0.5025,pymop,0.2616631984710693,0.7600998878479004,16.105312824249268,0.0,17.127075910568237,0.0,,0.0,,,,152.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=138<>UnsafeListIterator=1,216.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=70<>FileClosedAnalysis=close=69<>FileClosedAnalysis=end=68<>UnsafeListIterator=createList=1,
minion,20260629_215832,81f10caf74090078349029946538444f930da35a,1741081134,ALFWorld,True,pymop_libs,0,0,0,0,0,4,11.78,0.5025,pymop_libs,5.173203229904175,0.7686717510223389,64.5553023815155,0.0,70.49717736244202,3108.0,InvalidComparisonAnalysis=3107;WrongTypeAddedAnalysis=1,13.0,InvalidComparisonAnalysis=12;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:284=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:262=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1832=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1844=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:527=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:518=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/validators.py:707=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:542=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:545=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/main.py:138=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:284={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:262={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1832={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1844={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:527={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:518={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/validators.py:707={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:542={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:545={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/main.py:138={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},7397.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4596<>UnsafeDictIterator=2608<>ArgParse_Parent=1<>FileClosedAnalysis=138<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=4,2768140.0,BuiltinAllAnalysis=violation=448525<>ComparisonBehaviorAnalysis=ne_end=6015<>ComparisonBehaviorAnalysis=eq_end=10386<>InPlaceSortAnalysis=list_used=14113<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=16383<>NonFinitesAnalysis=non_finite_op=448361<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=6253<>StringStripAnalysis=strip=101<>WrongTypeAddedAnalysis=check_append=448636<>WrongTypeAddedAnalysis=check_insert=448636<>WrongTypeAddedAnalysis=check_extend=448636<>WrongTypeAddedAnalysis=check_add=448636<>WrongTypeAddedAnalysis=check_add_assign=6253<>UnsafeListIterator=createList=8213<>UnsafeDictIterator=createDict=3368<>UnsafeDictIterator=updateDict=5357<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=70<>FileClosedAnalysis=close=69<>FileClosedAnalysis=end=68<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=5<>Pydocs_MustReleaseLock=release=5<>Pydocs_MustReleaseLock=end=2,
minion,20260629_215832,81f10caf74090078349029946538444f930da35a,1741081134,ALFWorld,True,dylin,0,0,0,0,0,4,0.136,0.5025,dylin,1.9134347438812256,0.0,1.013190507888794,0.2992548942565918,3.2258801460266113,0.0,,0.0,,,,,,,,
minion,20260629_215832,5625d78e02dfa7aa01eecde771e3d71793f7ea80,1741083332,ALFWorld,True,original,0,0,0,0,0,4,0.517,0.5025,original,0.0,0.0,1.532409429550171,0.0,1.532409429550171,,,,,,,,,,,
minion,20260629_215832,5625d78e02dfa7aa01eecde771e3d71793f7ea80,1741083332,ALFWorld,True,pymop,0,0,0,0,0,4,0.572,0.5025,pymop,0.2567205429077148,0.7327144145965576,15.293684720993042,0.0,16.283119678497314,0.0,,0.0,,,,152.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=138<>UnsafeListIterator=1,216.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=70<>FileClosedAnalysis=close=69<>FileClosedAnalysis=end=68<>UnsafeListIterator=createList=1,
minion,20260629_215832,5625d78e02dfa7aa01eecde771e3d71793f7ea80,1741083332,ALFWorld,True,pymop_libs,0,0,0,0,0,4,11.481,0.5025,pymop_libs,3.5355513095855713,0.8760337829589844,63.62675333023071,0.0,68.03833842277527,3108.0,InvalidComparisonAnalysis=3107;WrongTypeAddedAnalysis=1,13.0,InvalidComparisonAnalysis=12;WrongTypeAddedAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:284=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:262=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1832=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1844=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:527=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:518=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/validators.py:707=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:542=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:545=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/main.py:138=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:284={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/trio/_sync.py:262={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1832={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/attr/_make.py:1844={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/config.py:172={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:508={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:527={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:518={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/validators.py:707={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:542={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/typing.py:545={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/v1/main.py:138={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None},7318.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=32<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4539<>UnsafeDictIterator=2586<>ArgParse_Parent=1<>FileClosedAnalysis=138<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=4,2767880.0,BuiltinAllAnalysis=violation=448499<>ComparisonBehaviorAnalysis=ne_end=6015<>ComparisonBehaviorAnalysis=eq_end=10360<>InPlaceSortAnalysis=list_used=14113<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=16357<>NonFinitesAnalysis=non_finite_op=448335<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=32<>StringConcatAnalysis=add=6227<>StringStripAnalysis=strip=101<>WrongTypeAddedAnalysis=check_append=448610<>WrongTypeAddedAnalysis=check_insert=448610<>WrongTypeAddedAnalysis=check_extend=448610<>WrongTypeAddedAnalysis=check_add=448610<>WrongTypeAddedAnalysis=check_add_assign=6227<>UnsafeListIterator=createList=8213<>UnsafeDictIterator=createDict=3368<>UnsafeDictIterator=updateDict=5357<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=70<>FileClosedAnalysis=close=69<>FileClosedAnalysis=end=68<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=5<>Pydocs_MustReleaseLock=release=5<>Pydocs_MustReleaseLock=end=2,
minion,20260629_215832,5625d78e02dfa7aa01eecde771e3d71793f7ea80,1741083332,ALFWorld,True,dylin,0,0,0,0,0,4,0.125,0.5025,dylin,1.919696807861328,0.0,1.0487051010131836,0.2950897216796875,3.263491630554199,0.0,,0.0,,,,,,,,
minion,20260629_215832,6a1f824f5230f84590c79dac2d409b123867c32d,1741321362,example,True,original,0,0,0,0,0,4,0.508,0.5025,original,0.0,0.0,1.680403709411621,0.0,1.680403709411621,,,,,,,,,,,
minion,20260629_215832,6a1f824f5230f84590c79dac2d409b123867c32d,1741321362,example,True,pymop,0,0,0,0,0,4,0.656,0.5025,pymop,0.2701091766357422,0.7025842666625977,14.886317491531372,0.0,15.859010934829712,0.0,,0.0,,,,152.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=138<>UnsafeListIterator=1,216.0,BuiltinAllAnalysis=violation=1<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>FileClosedAnalysis=open=70<>FileClosedAnalysis=close=69<>FileClosedAnalysis=end=68<>UnsafeListIterator=createList=1,
