project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
mockpipe,20260629_220411,197132fbfe9aa569b2a5b495d5182de21d1fcd17,1735625136,init commit,False,original,31,0,0,0,0,0,0.807,74.27,original,0.0,0.0,1.7044475078582764,0.0,1.7044475078582764,,,,,,,,,,,1744
mockpipe,20260629_220411,197132fbfe9aa569b2a5b495d5182de21d1fcd17,1735625136,init commit,False,pymop,31,0,0,0,0,0,4.785,74.27,pymop,1.338292121887207,0.7681529521942139,12.240610361099243,0.0,14.347055435180664,101.0,RandomMustUseSeed=1;ItemInList=100,2.0,RandomMustUseSeed=1;ItemInList=1,RandomMustUseSeed:/mockpipe/imposter.py:17=1;ItemInList:/mockpipe/imposter.py:242=1,"RandomMustUseSeed:/mockpipe/imposter.py:17={None};ItemInList:/mockpipe/imposter.py:242={'tests/test_table.py::test_evaluate_imposter', 'tests/test_action.py::test_pass_where_condition', 'tests/test_table.py::test_generate_insert', 'tests/test_config.py::test_basic_config', 'tests/test_table.py::test_generate_set', 'tests/test_table.py::test_generate_count_str', 'tests/test_table.py::test_generate_increment_str', 'tests/test_table.py::test_generate_random_lookup_str', 'tests/test_table.py::test_get_action_by_name', 'tests/test_field.py::test_field_evaluate', 'tests/test_action.py::test_set_is_valid', 'tests/test_field.py::test_field_init', 'tests/test_imposter.py::test_evaluate_table_random', 'tests/test_action.py::test_set_init', 'tests/test_imposter.py::test_evaluate_increment', 'tests/test_table.py::test_genereate_create_table_str', 'tests/test_table.py::test_generate_delete', 'tests/test_table.py::test_get_action_statement'}",466.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=166<>RandomMustUseSeed=2<>UnsafeListIterator=171<>UnsafeDictIterator=73<>ItemInList=41,181488.0,BuiltinAllAnalysis=violation=5790<>ComparisonBehaviorAnalysis=eq_end=545<>ComparisonBehaviorAnalysis=ne_end=72123<>InPlaceSortAnalysis=list_used=346<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72668<>NonFinitesAnalysis=non_finite_op=5790<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>StringStripAnalysis=strip=16<>WrongTypeAddedAnalysis=check_append=5822<>WrongTypeAddedAnalysis=check_insert=5822<>WrongTypeAddedAnalysis=check_extend=5822<>WrongTypeAddedAnalysis=check_add=5822<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=84<>FileClosedAnalysis=close=83<>FileClosedAnalysis=end=82<>RandomMustUseSeed=set_seed=1<>RandomMustUseSeed=all=1<>UnsafeListIterator=createList=390<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=107<>UnsafeDictIterator=updateDict=20<>ItemInList=list_contains=100,1744
mockpipe,20260629_220411,197132fbfe9aa569b2a5b495d5182de21d1fcd17,1735625136,init commit,False,pymop_libs,31,0,0,0,0,0,1703.185,74.27,pymop_libs,9.007548093795776,0.7621197700500488,1715.8355951309204,0.0,1725.6052629947662,101.0,InvalidComparisonAnalysis=2;RandomMustUseSeed=1;ItemInList=98,3.0,InvalidComparisonAnalysis=1;RandomMustUseSeed=1;ItemInList=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/mockpipe/imposter.py:17=1;ItemInList:/mockpipe/imposter.py:242=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};RandomMustUseSeed:/mockpipe/imposter.py:17={None};ItemInList:/mockpipe/imposter.py:242={'tests/test_table.py::test_evaluate_imposter', 'tests/test_action.py::test_pass_where_condition', 'tests/test_table.py::test_generate_insert', 'tests/test_config.py::test_basic_config', 'tests/test_table.py::test_generate_set', 'tests/test_table.py::test_generate_count_str', 'tests/test_table.py::test_generate_increment_str', 'tests/test_table.py::test_get_action_by_name', 'tests/test_field.py::test_field_evaluate', 'tests/test_action.py::test_set_is_valid', 'tests/test_field.py::test_field_init', 'tests/test_imposter.py::test_evaluate_table_random', 'tests/test_action.py::test_set_init', 'tests/test_table.py::test_generate_random_lookup_str', 'tests/test_table.py::test_genereate_create_table_str', 'tests/test_table.py::test_generate_delete', 'tests/test_table.py::test_get_action_statement'}",4397.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2885<>UnsafeDictIterator=1256<>ArgParse_Parent=6<>FileClosedAnalysis=160<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2<>ItemInList=52,4441505.0,BuiltinAllAnalysis=violation=1699378<>ComparisonBehaviorAnalysis=ne_end=73686<>ComparisonBehaviorAnalysis=eq_end=3327<>InPlaceSortAnalysis=list_used=25570<>InPlaceSortAnalysis=list_sorted=7041<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=77002<>NonFinitesAnalysis=non_finite_op=1699279<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=8283<>StringStripAnalysis=strip=109<>WrongTypeAddedAnalysis=check_append=204298<>WrongTypeAddedAnalysis=check_insert=204298<>WrongTypeAddedAnalysis=check_extend=204298<>WrongTypeAddedAnalysis=check_add=204298<>WrongTypeAddedAnalysis=check_add_assign=8283<>UnsafeListIterator=createList=15913<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=1521<>UnsafeDictIterator=updateDict=4511<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=81<>FileClosedAnalysis=close=80<>FileClosedAnalysis=end=79<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=set_seed=1<>RandomMustUseSeed=all=1<>ItemInList=list_contains=98,1744
mockpipe,20260629_220411,197132fbfe9aa569b2a5b495d5182de21d1fcd17,1735625136,init commit,False,dylin,27,4,0,0,0,0,14.808,74.27,dylin,10.119933605194092,0.0,16.314123392105103,0.4145534038543701,26.848610401153564,1.0,ItemInListAnalysis=1,1.0,ItemInListAnalysis=1,ItemInListAnalysis:/mockpipe/imposter.py:242=1,ItemInListAnalysis:/mockpipe/imposter.py:242={'tests/test_action.py::test_pass_where_condition (call)'},,,,,1744
mockpipe,20260629_220411,350a11e87484a62d6d6bb3ce3c38789f0154e054,1735625569,fix field assertion,False,original,31,0,0,0,0,0,0.905,74.42,original,0.0,0.0,1.7472469806671145,0.0,1.7472469806671145,,,,,,,,,,,1749
mockpipe,20260629_220411,350a11e87484a62d6d6bb3ce3c38789f0154e054,1735625569,fix field assertion,False,pymop,31,0,0,0,0,0,5.548,74.42,pymop,1.714386224746704,0.7240545749664307,14.453296184539797,0.0,16.89173698425293,91.0,RandomMustUseSeed=1;ItemInList=90,2.0,RandomMustUseSeed=1;ItemInList=1,RandomMustUseSeed:/mockpipe/imposter.py:17=1;ItemInList:/mockpipe/imposter.py:242=1,"RandomMustUseSeed:/mockpipe/imposter.py:17={None};ItemInList:/mockpipe/imposter.py:242={'tests/test_table.py::test_evaluate_imposter', 'tests/test_action.py::test_pass_where_condition', 'tests/test_table.py::test_generate_insert', 'tests/test_config.py::test_basic_config', 'tests/test_table.py::test_generate_set', 'tests/test_table.py::test_generate_count_str', 'tests/test_table.py::test_generate_increment_str', 'tests/test_table.py::test_generate_random_lookup_str', 'tests/test_table.py::test_get_action_by_name', 'tests/test_field.py::test_field_evaluate', 'tests/test_field.py::test_field_init', 'tests/test_imposter.py::test_evaluate_table_random', 'tests/test_action.py::test_set_init', 'tests/test_imposter.py::test_evaluate_increment', 'tests/test_table.py::test_genereate_create_table_str', 'tests/test_table.py::test_generate_delete', 'tests/test_imposter.py::test_eval_faker_quoted_string', 'tests/test_table.py::test_get_action_statement'}",514.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=166<>RandomMustUseSeed=2<>UnsafeListIterator=195<>UnsafeDictIterator=84<>ItemInList=54,181536.0,BuiltinAllAnalysis=violation=5798<>ComparisonBehaviorAnalysis=eq_end=545<>ComparisonBehaviorAnalysis=ne_end=72123<>InPlaceSortAnalysis=list_used=349<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72668<>NonFinitesAnalysis=non_finite_op=5798<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>StringStripAnalysis=strip=16<>WrongTypeAddedAnalysis=check_append=5831<>WrongTypeAddedAnalysis=check_insert=5831<>WrongTypeAddedAnalysis=check_extend=5831<>WrongTypeAddedAnalysis=check_add=5831<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=84<>FileClosedAnalysis=close=83<>FileClosedAnalysis=end=82<>RandomMustUseSeed=set_seed=1<>RandomMustUseSeed=all=1<>UnsafeListIterator=createList=392<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=108<>UnsafeDictIterator=updateDict=20<>ItemInList=list_contains=90,1749
mockpipe,20260629_220411,350a11e87484a62d6d6bb3ce3c38789f0154e054,1735625569,fix field assertion,False,pymop_libs,31,0,0,0,0,0,1688.038,74.42,pymop_libs,7.423810005187988,0.5533850193023682,1700.778609752655,0.0,1708.7558047771454,99.0,InvalidComparisonAnalysis=2;RandomMustUseSeed=1;ItemInList=96,3.0,InvalidComparisonAnalysis=1;RandomMustUseSeed=1;ItemInList=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;RandomMustUseSeed:/mockpipe/imposter.py:17=1;ItemInList:/mockpipe/imposter.py:242=1,"InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};RandomMustUseSeed:/mockpipe/imposter.py:17={None};ItemInList:/mockpipe/imposter.py:242={'tests/test_table.py::test_evaluate_imposter', 'tests/test_action.py::test_pass_where_condition', 'tests/test_table.py::test_generate_insert', 'tests/test_config.py::test_basic_config', 'tests/test_table.py::test_generate_set', 'tests/test_table.py::test_generate_count_str', 'tests/test_table.py::test_generate_increment_str', 'tests/test_table.py::test_get_action_by_name', 'tests/test_imposter.py::test_evaluate_table_random', 'tests/test_action.py::test_set_init', 'tests/test_table.py::test_generate_random_lookup_str', 'tests/test_table.py::test_genereate_create_table_str', 'tests/test_table.py::test_generate_delete', 'tests/test_table.py::test_get_action_statement'}",4364.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2886<>UnsafeDictIterator=1229<>ArgParse_Parent=6<>FileClosedAnalysis=160<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2<>ItemInList=45,4442231.0,BuiltinAllAnalysis=violation=1699458<>ComparisonBehaviorAnalysis=ne_end=73686<>ComparisonBehaviorAnalysis=eq_end=3372<>InPlaceSortAnalysis=list_used=25573<>InPlaceSortAnalysis=list_sorted=7041<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=77047<>NonFinitesAnalysis=non_finite_op=1699359<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=8347<>StringStripAnalysis=strip=109<>WrongTypeAddedAnalysis=check_append=204384<>WrongTypeAddedAnalysis=check_insert=204384<>WrongTypeAddedAnalysis=check_extend=204384<>WrongTypeAddedAnalysis=check_add=204384<>WrongTypeAddedAnalysis=check_add_assign=8347<>UnsafeListIterator=createList=15915<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=1522<>UnsafeDictIterator=updateDict=4511<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=81<>FileClosedAnalysis=close=80<>FileClosedAnalysis=end=79<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=set_seed=1<>RandomMustUseSeed=all=1<>ItemInList=list_contains=96,1749
mockpipe,20260629_220411,350a11e87484a62d6d6bb3ce3c38789f0154e054,1735625569,fix field assertion,False,dylin,27,4,0,0,0,0,14.479,74.42,dylin,10.247049570083618,0.0,16.111140727996826,0.4323368072509765,26.79052710533142,1.0,ItemInListAnalysis=1,1.0,ItemInListAnalysis=1,ItemInListAnalysis:/mockpipe/imposter.py:242=1,ItemInListAnalysis:/mockpipe/imposter.py:242={'tests/test_config.py::test_basic_config (call)'},,,,,1749
mockpipe,20260629_220411,3416cf4be554c443ea32ed7eb116d29f9bf2283e,1735626105,pre 3.10 support,False,original,31,0,0,0,0,0,0.61,74.42,original,0.0,0.0,1.3274750709533691,0.0,1.3274750709533691,,,,,,,,,,,1757
mockpipe,20260629_220411,3416cf4be554c443ea32ed7eb116d29f9bf2283e,1735626105,pre 3.10 support,False,pymop,31,0,0,0,0,0,4.92,74.42,pymop,2.0424067974090576,0.8707864284515381,13.774417161941528,0.0,16.687610387802124,102.0,RandomMustUseSeed=1;ItemInList=101,2.0,RandomMustUseSeed=1;ItemInList=1,RandomMustUseSeed:/mockpipe/imposter.py:17=1;ItemInList:/mockpipe/imposter.py:245=1,"RandomMustUseSeed:/mockpipe/imposter.py:17={None};ItemInList:/mockpipe/imposter.py:245={'tests/test_table.py::test_evaluate_imposter', 'tests/test_action.py::test_pass_where_condition', 'tests/test_table.py::test_generate_insert', 'tests/test_config.py::test_basic_config', 'tests/test_table.py::test_generate_set', 'tests/test_table.py::test_generate_count_str', 'tests/test_table.py::test_generate_increment_str', 'tests/test_table.py::test_get_action_by_name', 'tests/test_field.py::test_field_evaluate', 'tests/test_action.py::test_set_is_valid', 'tests/test_field.py::test_field_init', 'tests/test_imposter.py::test_evaluate_table_random', 'tests/test_action.py::test_set_init', 'tests/test_table.py::test_generate_random_lookup_str', 'tests/test_table.py::test_genereate_create_table_str', 'tests/test_table.py::test_generate_delete', 'tests/test_table.py::test_get_action_statement'}",473.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=166<>RandomMustUseSeed=2<>UnsafeListIterator=182<>UnsafeDictIterator=71<>ItemInList=39,181547.0,BuiltinAllAnalysis=violation=5798<>ComparisonBehaviorAnalysis=eq_end=545<>ComparisonBehaviorAnalysis=ne_end=72123<>InPlaceSortAnalysis=list_used=349<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=72668<>NonFinitesAnalysis=non_finite_op=5798<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>StringStripAnalysis=strip=16<>WrongTypeAddedAnalysis=check_append=5831<>WrongTypeAddedAnalysis=check_insert=5831<>WrongTypeAddedAnalysis=check_extend=5831<>WrongTypeAddedAnalysis=check_add=5831<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=84<>FileClosedAnalysis=close=83<>FileClosedAnalysis=end=82<>RandomMustUseSeed=set_seed=1<>RandomMustUseSeed=all=1<>UnsafeListIterator=createList=392<>UnsafeListIterator=updateList=32<>UnsafeDictIterator=createDict=108<>UnsafeDictIterator=updateDict=20<>ItemInList=list_contains=101,1757
