project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
mohflow,20260629_220327,f395b61093573d4bce3aa4a9dde56b71171b28d1,1734827003,first commit,True,original,0,0,0,0,0,0,0.045,100.0,original,0.0,0.0,0.5446388721466064,0.0,0.5446388721466064,,,,,,,,,,,
mohflow,20260629_220327,f395b61093573d4bce3aa4a9dde56b71171b28d1,1734827003,first commit,True,pymop,0,0,0,0,0,0,0.066,100.0,pymop,1.7894291877746582,0.8357057571411133,2.1049745082855225,0.0,4.730109453201294,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,20.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
mohflow,20260629_220327,f395b61093573d4bce3aa4a9dde56b71171b28d1,1734827003,first commit,True,pymop_libs,0,0,0,0,0,0,0.547,100.0,pymop_libs,10.517173528671265,0.8704469203948975,6.777878284454346,0.0,18.165498733520508,0.0,,0.0,,,,1126.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=727<>UnsafeDictIterator=350<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,191728.0,BuiltinAllAnalysis=violation=30497<>ComparisonBehaviorAnalysis=ne_end=208<>ComparisonBehaviorAnalysis=eq_end=949<>InPlaceSortAnalysis=list_used=2339<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1145<>NonFinitesAnalysis=non_finite_op=30387<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=596<>WrongTypeAddedAnalysis=check_append=30265<>WrongTypeAddedAnalysis=check_insert=30265<>WrongTypeAddedAnalysis=check_extend=30265<>WrongTypeAddedAnalysis=check_add=30265<>WrongTypeAddedAnalysis=check_add_assign=596<>UnsafeListIterator=createList=1535<>UnsafeDictIterator=createDict=357<>UnsafeDictIterator=updateDict=2009<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
mohflow,20260629_220327,f395b61093573d4bce3aa4a9dde56b71171b28d1,1734827003,first commit,True,dylin,0,0,0,0,0,0,0.014,100.0,dylin,8.162360191345215,0.0,0.3396322727203369,0.4679019451141357,8.969894409179688,0.0,,0.0,,,,,,,,
mohflow,20260629_220327,bcd095860bee7d35a071a47fb06a3ebc3fbfb106,1734831223,"Added test cases, makefile and updated logic",False,original,16,0,0,0,0,0,0.279,98.6,original,0.0,0.0,1.2668695449829102,0.0,1.2668695449829102,,,,,,,,,,,317
mohflow,20260629_220327,bcd095860bee7d35a071a47fb06a3ebc3fbfb106,1734831223,"Added test cases, makefile and updated logic",False,pymop,16,0,0,0,0,0,1.177,98.6,pymop,2.8651998043060303,0.936939001083374,4.403465032577515,0.0,8.205603837966919,1.0,FileClosedAnalysis=1,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_logger.py::test_exception_logging'},88.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=66<>UnsafeListIterator=5<>UnsafeDictIterator=2<>PyDocs_UnsafeIterUseAfterTee=2,762.0,BuiltinAllAnalysis=violation=97<>ComparisonBehaviorAnalysis=eq_end=27<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=27<>NonFinitesAnalysis=non_finite_op=97<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=99<>WrongTypeAddedAnalysis=check_insert=99<>WrongTypeAddedAnalysis=check_extend=99<>WrongTypeAddedAnalysis=check_add=99<>FileClosedAnalysis=open=34<>FileClosedAnalysis=close=32<>FileClosedAnalysis=end=32<>UnsafeListIterator=createList=5<>UnsafeDictIterator=createDict=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,317
mohflow,20260629_220327,bcd095860bee7d35a071a47fb06a3ebc3fbfb106,1734831223,"Added test cases, makefile and updated logic",False,pymop_libs,16,0,0,0,0,0,9.393,98.6,pymop_libs,10.335890531539917,0.6182518005371094,22.649349451065063,0.0,33.60349178314209,3.0,ItemInList=2;FileClosedAnalysis=1,2.0,ItemInList=1;FileClosedAnalysis=1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,"ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359={'tests/test_logger.py::test_log_levels[ERROR-error]', 'tests/test_logger.py::test_logger_info'};FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_logger.py::test_exception_logging'}",4382.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2913<>UnsafeDictIterator=1360<>ArgParse_Parent=1<>FileClosedAnalysis=66<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>ItemInList=2<>PyDocs_UnsafeIterUseAfterTee=2,880686.0,BuiltinAllAnalysis=violation=133769<>ComparisonBehaviorAnalysis=ne_end=3637<>ComparisonBehaviorAnalysis=eq_end=17380<>InPlaceSortAnalysis=list_used=12513<>InPlaceSortAnalysis=list_sorted=84<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=21005<>NonFinitesAnalysis=non_finite_op=133659<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=4235<>StringStripAnalysis=strip=2149<>WrongTypeAddedAnalysis=check_append=133715<>WrongTypeAddedAnalysis=check_insert=133715<>WrongTypeAddedAnalysis=check_extend=133715<>WrongTypeAddedAnalysis=check_add=133715<>WrongTypeAddedAnalysis=check_add_assign=4235<>UnsafeListIterator=createList=7008<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=1595<>UnsafeDictIterator=updateDict=4292<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=34<>FileClosedAnalysis=close=32<>FileClosedAnalysis=end=32<>Pydocs_MustReleaseLock=acquire=66<>Pydocs_MustReleaseLock=release=66<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>ItemInList=list_contains=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,317
mohflow,20260629_220327,bcd095860bee7d35a071a47fb06a3ebc3fbfb106,1734831223,"Added test cases, makefile and updated logic",False,dylin,16,0,0,0,0,0,0.323,98.6,dylin,8.369688510894775,0.0,10.996748924255371,0.4632625579833984,19.829699993133545,0.0,,0.0,,,,,,,,317
mohflow,20260629_220327,25d069320d4063f66cf390fb8869a66f0eb587fe,1734832402,Fixed formating errors (#4),False,original,16,0,0,0,0,0,0.354,98.59,original,0.0,0.0,1.640634298324585,0.0,1.640634298324585,,,,,,,,,,,294
mohflow,20260629_220327,25d069320d4063f66cf390fb8869a66f0eb587fe,1734832402,Fixed formating errors (#4),False,pymop,16,0,0,0,0,0,1.168,98.59,pymop,2.654817581176758,0.9224779605865479,4.3926169872283936,0.0,7.969912528991699,1.0,FileClosedAnalysis=1,1.0,FileClosedAnalysis=1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263=1,FileClosedAnalysis:/usr/lib/python3.12/logging/__init__.py:1263={'tests/test_logger.py::test_exception_logging'},88.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=66<>UnsafeListIterator=5<>UnsafeDictIterator=2<>PyDocs_UnsafeIterUseAfterTee=2,762.0,BuiltinAllAnalysis=violation=97<>ComparisonBehaviorAnalysis=eq_end=27<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=27<>NonFinitesAnalysis=non_finite_op=97<>PyDocs_UselessIterTee=end=1<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=99<>WrongTypeAddedAnalysis=check_insert=99<>WrongTypeAddedAnalysis=check_extend=99<>WrongTypeAddedAnalysis=check_add=99<>FileClosedAnalysis=open=34<>FileClosedAnalysis=close=32<>FileClosedAnalysis=end=32<>UnsafeListIterator=createList=5<>UnsafeDictIterator=createDict=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,294
