project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
neovortex,20260629_220232,20bdba0894b5eb085835b4e726784220f5cac4d5,1747586829,Initial commit,False,original,7,0,0,0,0,0,0.918,56.18,original,0.0,0.0,6.128076791763306,0.0,6.128076791763306,,,,,,,,,,,1392
neovortex,20260629_220232,20bdba0894b5eb085835b4e726784220f5cac4d5,1747586829,Initial commit,False,pymop,7,0,0,0,0,0,0.912,56.18,pymop,2.356940984725952,0.9409878253936768,8.968986511230469,0.0,12.266915321350098,0.0,,0.0,,,,180.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=104<>UnsafeListIterator=34<>UnsafeDictIterator=29,1881.0,BuiltinAllAnalysis=violation=260<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=list_used=22<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=260<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=6<>WrongTypeAddedAnalysis=check_append=266<>WrongTypeAddedAnalysis=check_insert=266<>WrongTypeAddedAnalysis=check_extend=266<>WrongTypeAddedAnalysis=check_add=266<>WrongTypeAddedAnalysis=check_add_assign=6<>FileClosedAnalysis=open=53<>FileClosedAnalysis=close=52<>FileClosedAnalysis=end=51<>UnsafeListIterator=createList=44<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=36<>UnsafeDictIterator=updateDict=10,1392
neovortex,20260629_220232,20bdba0894b5eb085835b4e726784220f5cac4d5,1747586829,Initial commit,False,pymop_libs,7,0,0,0,0,0,4.657,56.18,pymop_libs,10.566110610961914,0.8984601497650146,47.726417779922485,0.0,59.190988540649414,163.0,WrongTypeAddedAnalysis=29;InvalidComparisonAnalysis=134,4.0,WrongTypeAddedAnalysis=2;InvalidComparisonAnalysis=2,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/prometheus_client/metrics.py:644=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/prometheus_client/metrics.py:644={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574={'tests/test_async_client.py::test_async_client_get'},7564.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=5184<>UnsafeDictIterator=2203<>ArgParse_Parent=1<>FileClosedAnalysis=104<>Pydocs_MustReleaseLock=36<>faulthandler_disableBeforeClose=1,1203006.0,BuiltinAllAnalysis=violation=188173<>ComparisonBehaviorAnalysis=ne_end=4200<>ComparisonBehaviorAnalysis=eq_end=7434<>InPlaceSortAnalysis=list_used=15832<>InPlaceSortAnalysis=list_sorted=66<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=11622<>NonFinitesAnalysis=non_finite_op=188063<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=8191<>StringStripAnalysis=strip=90<>WrongTypeAddedAnalysis=check_append=188346<>WrongTypeAddedAnalysis=check_insert=188346<>WrongTypeAddedAnalysis=check_extend=188346<>WrongTypeAddedAnalysis=check_add=188346<>WrongTypeAddedAnalysis=check_add_assign=8191<>UnsafeListIterator=createList=8947<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=2479<>UnsafeDictIterator=updateDict=5993<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=53<>FileClosedAnalysis=close=52<>FileClosedAnalysis=end=51<>Pydocs_MustReleaseLock=acquire=69<>Pydocs_MustReleaseLock=release=69<>Pydocs_MustReleaseLock=end=18<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,1392
neovortex,20260629_220232,20bdba0894b5eb085835b4e726784220f5cac4d5,1747586829,Initial commit,False,dylin,7,0,0,0,0,0,0.642,56.18,dylin,10.36041522026062,0.0,7.822688817977905,0.4402596950531006,18.623363733291622,0.0,,0.0,,,,,,,,1392
neovortex,20260629_220232,1ff725942b79cb94e1bd1aa429064e37a913ad45,1748248902,Update exceptions.py,True,original,2,5,0,0,0,0,0.527,39.68,original,0.0,0.0,4.6970155239105225,0.0,4.6970155239105225,,,,,,,,,,,
neovortex,20260629_220232,1ff725942b79cb94e1bd1aa429064e37a913ad45,1748248902,Update exceptions.py,True,pymop,2,5,0,0,0,0,0.423,39.68,pymop,2.410998582839966,0.9067435264587402,8.665956497192383,0.0,11.983698606491089,0.0,,0.0,,,,139.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=104<>UnsafeListIterator=17<>UnsafeDictIterator=5,762.0,BuiltinAllAnalysis=violation=87<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=87<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2<>WrongTypeAddedAnalysis=check_append=98<>WrongTypeAddedAnalysis=check_insert=98<>WrongTypeAddedAnalysis=check_extend=98<>WrongTypeAddedAnalysis=check_add=98<>WrongTypeAddedAnalysis=check_add_assign=2<>FileClosedAnalysis=open=53<>FileClosedAnalysis=close=52<>FileClosedAnalysis=end=51<>UnsafeListIterator=createList=17<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=5<>UnsafeDictIterator=updateDict=1,
neovortex,20260629_220232,1ff725942b79cb94e1bd1aa429064e37a913ad45,1748248902,Update exceptions.py,True,pymop_libs,2,5,0,0,0,0,4.503,39.68,pymop_libs,11.469011545181274,0.7300443649291992,41.93410634994507,0.0,54.13316226005554,1.0,InvalidComparisonAnalysis=1,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/prometheus_client/metrics.py:644=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/prometheus_client/metrics.py:644={None},6207.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4479<>UnsafeDictIterator=1585<>ArgParse_Parent=1<>FileClosedAnalysis=104<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,1195745.0,BuiltinAllAnalysis=violation=188511<>ComparisonBehaviorAnalysis=ne_end=3726<>ComparisonBehaviorAnalysis=eq_end=5593<>InPlaceSortAnalysis=list_used=12910<>InPlaceSortAnalysis=list_sorted=31<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9307<>NonFinitesAnalysis=non_finite_op=188401<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=8944<>StringStripAnalysis=strip=60<>WrongTypeAddedAnalysis=check_append=188717<>WrongTypeAddedAnalysis=check_insert=188717<>WrongTypeAddedAnalysis=check_extend=188717<>WrongTypeAddedAnalysis=check_add=188717<>WrongTypeAddedAnalysis=check_add_assign=8944<>UnsafeListIterator=createList=7504<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=1707<>UnsafeDictIterator=updateDict=5023<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=53<>FileClosedAnalysis=close=52<>FileClosedAnalysis=end=51<>Pydocs_MustReleaseLock=acquire=15<>Pydocs_MustReleaseLock=release=15<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
neovortex,20260629_220232,1ff725942b79cb94e1bd1aa429064e37a913ad45,1748248902,Update exceptions.py,True,dylin,2,5,0,0,0,0,0.288,39.68,dylin,10.634593725204468,0.0,7.59803581237793,0.4515426158905029,18.6841721534729,0.0,,0.0,,,,,,,,
neovortex,20260629_220232,181be4b3d204c8b09a798dd0abc92c31149235b6,1748251991,Update exceptions.py,True,original,2,5,0,0,0,0,0.378,39.83,original,0.0,0.0,5.284804105758667,0.0,5.284804105758667,,,,,,,,,,,
neovortex,20260629_220232,181be4b3d204c8b09a798dd0abc92c31149235b6,1748251991,Update exceptions.py,True,pymop,2,5,0,0,0,0,0.418,39.83,pymop,1.8980770111083984,0.7068700790405273,7.259446620941162,0.0,9.864393711090088,0.0,,0.0,,,,138.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=104<>UnsafeListIterator=16<>UnsafeDictIterator=5,768.0,BuiltinAllAnalysis=violation=88<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=88<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2<>WrongTypeAddedAnalysis=check_append=99<>WrongTypeAddedAnalysis=check_insert=99<>WrongTypeAddedAnalysis=check_extend=99<>WrongTypeAddedAnalysis=check_add=99<>WrongTypeAddedAnalysis=check_add_assign=2<>FileClosedAnalysis=open=53<>FileClosedAnalysis=close=52<>FileClosedAnalysis=end=51<>UnsafeListIterator=createList=17<>UnsafeListIterator=updateList=1<>UnsafeDictIterator=createDict=5<>UnsafeDictIterator=updateDict=1,
