project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
olmo-cookbook,20260629_220203,e9fe461f72a620c05ec6ef3127ca10adaec6ac50,1738272573,First pass at launching 1b models (#1),True,original,0,0,0,0,0,0,0.028,x,original,0.0,0.0,0.3490476608276367,0.0,0.3490476608276367,,,,,,,,,,,
olmo-cookbook,20260629_220203,e9fe461f72a620c05ec6ef3127ca10adaec6ac50,1738272573,First pass at launching 1b models (#1),True,pymop,0,0,0,0,0,0,0.016,x,pymop,2.2483551502227783,0.6459269523620605,1.8744630813598633,0.0,4.768745183944702,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
olmo-cookbook,20260629_220203,e9fe461f72a620c05ec6ef3127ca10adaec6ac50,1738272573,First pass at launching 1b models (#1),True,pymop_libs,0,0,0,0,0,0,0.448,x,pymop_libs,7.882688760757446,0.4834241867065429,4.7519824504852295,0.0,13.11809539794922,0.0,,0.0,,,,1148.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=752<>UnsafeDictIterator=349<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,196863.0,BuiltinAllAnalysis=violation=31286<>ComparisonBehaviorAnalysis=ne_end=168<>ComparisonBehaviorAnalysis=eq_end=967<>InPlaceSortAnalysis=list_used=2462<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1125<>NonFinitesAnalysis=non_finite_op=31187<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=604<>StringStripAnalysis=strip=21<>WrongTypeAddedAnalysis=check_append=31117<>WrongTypeAddedAnalysis=check_insert=31117<>WrongTypeAddedAnalysis=check_extend=31117<>WrongTypeAddedAnalysis=check_add=31117<>WrongTypeAddedAnalysis=check_add_assign=604<>UnsafeListIterator=createList=1552<>UnsafeDictIterator=createDict=359<>UnsafeDictIterator=updateDict=2011<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
olmo-cookbook,20260629_220203,e9fe461f72a620c05ec6ef3127ca10adaec6ac50,1738272573,First pass at launching 1b models (#1),True,dylin,0,0,0,0,0,0,0.01,x,dylin,13.871728420257568,0.0,0.2291014194488525,0.3143038749694824,14.415133714675903,0.0,,0.0,,,,,,,,
olmo-cookbook,20260629_220203,e89b05873704f3fd65f87a32b158859b7555cb57,1738607110,Small launch fixes (#2),True,original,0,0,0,0,0,0,0.027,x,original,0.0,0.0,0.3109254837036133,0.0,0.3109254837036133,,,,,,,,,,,
olmo-cookbook,20260629_220203,e89b05873704f3fd65f87a32b158859b7555cb57,1738607110,Small launch fixes (#2),True,pymop,0,0,0,0,0,0,0.018,x,pymop,2.250946521759033,0.6870594024658203,1.8688273429870603,0.0,4.806833267211914,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
olmo-cookbook,20260629_220203,e89b05873704f3fd65f87a32b158859b7555cb57,1738607110,Small launch fixes (#2),True,pymop_libs,0,0,0,0,0,0,0.472,x,pymop_libs,8.701210260391235,0.6736621856689453,5.2972941398620605,0.0,14.67216658592224,0.0,,0.0,,,,1172.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=772<>UnsafeDictIterator=353<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,196863.0,BuiltinAllAnalysis=violation=31286<>ComparisonBehaviorAnalysis=ne_end=168<>ComparisonBehaviorAnalysis=eq_end=967<>InPlaceSortAnalysis=list_used=2462<>InPlaceSortAnalysis=list_sorted=6<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1125<>NonFinitesAnalysis=non_finite_op=31187<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=604<>StringStripAnalysis=strip=21<>WrongTypeAddedAnalysis=check_append=31117<>WrongTypeAddedAnalysis=check_insert=31117<>WrongTypeAddedAnalysis=check_extend=31117<>WrongTypeAddedAnalysis=check_add=31117<>WrongTypeAddedAnalysis=check_add_assign=604<>UnsafeListIterator=createList=1552<>UnsafeDictIterator=createDict=359<>UnsafeDictIterator=updateDict=2011<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
olmo-cookbook,20260629_220203,e89b05873704f3fd65f87a32b158859b7555cb57,1738607110,Small launch fixes (#2),True,dylin,0,0,0,0,0,0,0.009,x,dylin,10.239154577255247,0.0,0.2142128944396972,0.3278489112854004,10.781216382980348,0.0,,0.0,,,,,,,,
olmo-cookbook,20260629_220203,458b748a2f2f8cfb38d2096e1c823cfb4f66d317,1739470109,summarize data mix,True,original,0,0,0,0,0,0,0.028,x,original,0.0,0.0,0.3553752899169922,0.0,0.3553752899169922,,,,,,,,,,,
olmo-cookbook,20260629_220203,458b748a2f2f8cfb38d2096e1c823cfb4f66d317,1739470109,summarize data mix,True,pymop,0,0,0,0,0,0,0.017,x,pymop,2.3044121265411377,0.6413323879241943,1.8811347484588623,0.0,4.826879262924194,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
