project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
pganonymize,20260629_215146,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,1576235803,first commit,False,original,1,0,0,0,0,0,0.038,43.59,original,0.0,0.0,0.2096562385559082,0.0,0.2096562385559082,,,,,,,,,,,124
pganonymize,20260629_215146,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,1576235803,first commit,False,pymop,1,0,0,0,0,0,0.118,43.59,pymop,0.7165863513946533,0.31307029724121094,1.1970751285552979,0.0,2.226731777191162,0.0,,0.0,,,,55.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=42,75.0,BuiltinAllAnalysis=violation=1<>ComparisonBehaviorAnalysis=eq_end=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1<>NonFinitesAnalysis=non_finite_op=1<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=1<>WrongTypeAddedAnalysis=check_append=1<>WrongTypeAddedAnalysis=check_insert=1<>WrongTypeAddedAnalysis=check_extend=1<>WrongTypeAddedAnalysis=check_add=1<>WrongTypeAddedAnalysis=check_add_assign=1<>FileClosedAnalysis=open=22<>FileClosedAnalysis=close=21<>FileClosedAnalysis=end=20,124
pganonymize,20260629_215146,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,1576235803,first commit,False,pymop_libs,1,0,0,0,0,0,0.933,43.59,pymop_libs,5.150949716567993,0.24764394760131836,4.59790301322937,0.0,9.996496677398682,0.0,,0.0,,,,1714.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1184<>UnsafeDictIterator=449<>ArgParse_Parent=1<>FileClosedAnalysis=42<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,303009.0,BuiltinAllAnalysis=violation=47379<>ComparisonBehaviorAnalysis=ne_end=765<>ComparisonBehaviorAnalysis=eq_end=2416<>InPlaceSortAnalysis=list_used=4035<>InPlaceSortAnalysis=list_sorted=44<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3171<>NonFinitesAnalysis=non_finite_op=47280<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1331<>StringStripAnalysis=strip=172<>WrongTypeAddedAnalysis=check_append=47510<>WrongTypeAddedAnalysis=check_insert=47510<>WrongTypeAddedAnalysis=check_extend=47510<>WrongTypeAddedAnalysis=check_add=47510<>WrongTypeAddedAnalysis=check_add_assign=1331<>UnsafeListIterator=createList=2073<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=471<>UnsafeDictIterator=updateDict=2395<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=22<>FileClosedAnalysis=close=21<>FileClosedAnalysis=end=20<>Pydocs_MustReleaseLock=acquire=6<>Pydocs_MustReleaseLock=release=6<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,124
pganonymize,20260629_215146,0a07452fd2b83e18a20ff2ffdcbaa12df2839912,1576235803,first commit,False,dylin,1,0,0,0,0,0,4.173,43.59,dylin,3.7261109352111816,0.0,5.381109714508057,0.1695520877838134,9.276772737503052,0.0,,0.0,,,,,,,,124
pganonymize,20260629_215146,0abaade53e219c9f81bd7ca98ec83b1f2a079f37,1576237547,first commit,True,original,0,0,0,0,0,1,0.039,10.0,original,0.0,0.0,0.3851006031036377,0.0,0.3851006031036377,,,,,,,,,,,
pganonymize,20260629_215146,0abaade53e219c9f81bd7ca98ec83b1f2a079f37,1576237547,first commit,True,pymop,0,0,0,0,0,1,0.229,10.0,pymop,0.659311056137085,0.29924607276916504,4.550769805908203,0.0,5.509326934814453,0.0,,0.0,,,,155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=142,215.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=72<>FileClosedAnalysis=close=71<>FileClosedAnalysis=end=70,
pganonymize,20260629_215146,0abaade53e219c9f81bd7ca98ec83b1f2a079f37,1576237547,first commit,True,pymop_libs,0,0,0,0,0,1,2.195,10.0,pymop_libs,4.729377508163452,0.2530252933502197,10.010355710983276,0.0,14.992758512496948,0.0,,0.0,,,,2027.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1392<>UnsafeDictIterator=454<>ArgParse_Parent=1<>FileClosedAnalysis=142<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1,534111.0,BuiltinAllAnalysis=violation=84788<>ComparisonBehaviorAnalysis=ne_end=1020<>ComparisonBehaviorAnalysis=eq_end=4937<>InPlaceSortAnalysis=list_used=3978<>InPlaceSortAnalysis=list_sorted=45<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5947<>NonFinitesAnalysis=non_finite_op=84689<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1578<>StringStripAnalysis=strip=403<>WrongTypeAddedAnalysis=check_append=84953<>WrongTypeAddedAnalysis=check_insert=84953<>WrongTypeAddedAnalysis=check_extend=84953<>WrongTypeAddedAnalysis=check_add=84953<>WrongTypeAddedAnalysis=check_add_assign=1578<>UnsafeListIterator=createList=2225<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=467<>UnsafeDictIterator=updateDict=2392<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=72<>FileClosedAnalysis=close=71<>FileClosedAnalysis=end=70<>Pydocs_MustReleaseLock=acquire=4<>Pydocs_MustReleaseLock=release=4<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
pganonymize,20260629_215146,0abaade53e219c9f81bd7ca98ec83b1f2a079f37,1576237547,first commit,True,dylin,0,0,0,0,0,1,4.142,10.0,dylin,3.730048656463623,0.0,5.497952222824097,0.1647729873657226,9.392773866653442,0.0,,0.0,,,,,,,,
pganonymize,20260629_215146,5efadf3a20c629f95c3b80cf94f92b4b575a7827,1576238859,Some testing,True,original,0,0,0,0,0,1,0.041,8.475000000000001,original,0.0,0.0,0.3997354507446289,0.0,0.3997354507446289,,,,,,,,,,,
pganonymize,20260629_215146,5efadf3a20c629f95c3b80cf94f92b4b575a7827,1576238859,Some testing,True,pymop,0,0,0,0,0,1,0.28,8.475000000000001,pymop,0.7068090438842773,0.3258967399597168,4.648588180541992,0.0,5.681293964385986,0.0,,0.0,,,,159.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=146,221.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=74<>FileClosedAnalysis=close=73<>FileClosedAnalysis=end=72,
