project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
pycpfcnpj,20260629_220023,d9634bd0cab413df706468890910d227cd9708b0,1378624039,initial commit,True,original,0,0,0,0,0,0,0.035,0.0,original,0.0,0.0,0.3321437835693359,0.0,0.3321437835693359,,,,,,,,,,,
pycpfcnpj,20260629_220023,d9634bd0cab413df706468890910d227cd9708b0,1378624039,initial commit,True,pymop,0,0,0,0,0,0,0.019,0.0,pymop,1.8846826553344729,0.7839248180389404,2.0991735458374023,0.0,4.767781019210815,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
pycpfcnpj,20260629_220023,d9634bd0cab413df706468890910d227cd9708b0,1378624039,initial commit,True,pymop_libs,0,0,0,0,0,0,0.395,0.0,pymop_libs,7.816196918487549,0.8772575855255127,5.892337799072266,0.0,14.585792303085327,0.0,,0.0,,,,1067.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=682<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,180221.0,BuiltinAllAnalysis=violation=28689<>ComparisonBehaviorAnalysis=ne_end=158<>ComparisonBehaviorAnalysis=eq_end=847<>InPlaceSortAnalysis=list_used=2081<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=995<>NonFinitesAnalysis=non_finite_op=28590<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28468<>WrongTypeAddedAnalysis=check_insert=28468<>WrongTypeAddedAnalysis=check_extend=28468<>WrongTypeAddedAnalysis=check_add=28468<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
pycpfcnpj,20260629_220023,d9634bd0cab413df706468890910d227cd9708b0,1378624039,initial commit,True,dylin,0,0,0,0,0,0,0.007,0.0,dylin,8.085994243621826,0.0,0.2161440849304199,0.3184762001037597,8.620614528656006,0.0,,0.0,,,,,,,,
pycpfcnpj,20260629_220023,fd99cebf4f8da40b97a99ea7598565cfec9ffed6,1378627132,change in test files torun nosetests on travis,True,original,0,0,0,0,0,0,0.035,0.0,original,0.0,0.0,0.3578705787658691,0.0,0.3578705787658691,,,,,,,,,,,
pycpfcnpj,20260629_220023,fd99cebf4f8da40b97a99ea7598565cfec9ffed6,1378627132,change in test files torun nosetests on travis,True,pymop,0,0,0,0,0,0,0.014,0.0,pymop,1.290127515792847,0.6564021110534668,1.8098046779632568,0.0,3.7563343048095703,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
pycpfcnpj,20260629_220023,fd99cebf4f8da40b97a99ea7598565cfec9ffed6,1378627132,change in test files torun nosetests on travis,True,pymop_libs,0,0,0,0,0,0,0.422,0.0,pymop_libs,7.810507774353027,0.7935185432434082,6.7524566650390625,0.0,15.356482982635498,0.0,,0.0,,,,1074.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=686<>UnsafeDictIterator=341<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181893.0,BuiltinAllAnalysis=violation=28949<>ComparisonBehaviorAnalysis=ne_end=162<>ComparisonBehaviorAnalysis=eq_end=859<>InPlaceSortAnalysis=list_used=2129<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1011<>NonFinitesAnalysis=non_finite_op=28850<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28736<>WrongTypeAddedAnalysis=check_insert=28736<>WrongTypeAddedAnalysis=check_extend=28736<>WrongTypeAddedAnalysis=check_add=28736<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
pycpfcnpj,20260629_220023,fd99cebf4f8da40b97a99ea7598565cfec9ffed6,1378627132,change in test files torun nosetests on travis,True,dylin,0,0,0,0,0,0,0.01,0.0,dylin,8.451637029647827,0.0,0.296485424041748,0.4475603103637695,9.195682764053345,0.0,,0.0,,,,,,,,
pycpfcnpj,20260629_220023,aeace2b33d7abea91b997d65f9b198df3a2c6837,1378627889,cnpfj test file renamed,True,original,0,0,0,0,0,0,0.049,0.0,original,0.0,0.0,0.477827787399292,0.0,0.477827787399292,,,,,,,,,,,
pycpfcnpj,20260629_220023,aeace2b33d7abea91b997d65f9b198df3a2c6837,1378627889,cnpfj test file renamed,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,1.3154017925262451,0.8290650844573975,1.720136642456055,0.0,3.8646035194396977,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
