project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
pydantic-serdes,20260629_215624,b930228f6deeffc050ae13698190c68b812d361b,1710087901,basic implementation & tests,True,original,0,0,0,0,0,2,0.119,1.381,original,0.0,0.0,0.424562931060791,0.0,0.424562931060791,,,,,,,,,,,
pydantic-serdes,20260629_215624,b930228f6deeffc050ae13698190c68b812d361b,1710087901,basic implementation & tests,True,pymop,0,0,0,0,0,2,0.307,1.381,pymop,2.2413265705108643,0.5597696304321289,2.0009381771087646,0.0,4.802034378051758,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
pydantic-serdes,20260629_215624,b930228f6deeffc050ae13698190c68b812d361b,1710087901,basic implementation & tests,True,pymop_libs,0,0,0,0,0,2,6.501,1.381,pymop_libs,7.716787338256836,0.4386439323425293,10.793681383132936,0.0,18.9491126537323,0.0,,0.0,,,,1334.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=931<>UnsafeDictIterator=356<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,1356426.0,BuiltinAllAnalysis=violation=224161<>ComparisonBehaviorAnalysis=ne_end=236<>ComparisonBehaviorAnalysis=eq_end=1173<>InPlaceSortAnalysis=list_used=3165<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1399<>NonFinitesAnalysis=non_finite_op=224062<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=927<>StringStripAnalysis=strip=64<>WrongTypeAddedAnalysis=check_append=224008<>WrongTypeAddedAnalysis=check_insert=224008<>WrongTypeAddedAnalysis=check_extend=224008<>WrongTypeAddedAnalysis=check_add=224008<>WrongTypeAddedAnalysis=check_add_assign=927<>UnsafeListIterator=createList=1852<>UnsafeDictIterator=createDict=364<>UnsafeDictIterator=updateDict=2017<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
pydantic-serdes,20260629_215624,b930228f6deeffc050ae13698190c68b812d361b,1710087901,basic implementation & tests,True,dylin,0,0,0,0,0,2,3.933,1.381,dylin,7.137775182723999,0.0,5.149662017822266,0.2912182807922363,12.5786554813385,0.0,,0.0,,,,,,,,
pydantic-serdes,20260629_215624,886ce743669c21ff7175221678ea5848c2cecbe7,1710090113,Documentation fixes (#1),False,original,8,0,0,0,0,0,0.45,88.75999999999999,original,0.0,0.0,0.8086397647857666,0.0,0.8086397647857666,,,,,,,,,,,623
pydantic-serdes,20260629_215624,886ce743669c21ff7175221678ea5848c2cecbe7,1710090113,Documentation fixes (#1),False,pymop,8,0,0,0,0,0,0.474,88.75999999999999,pymop,2.125129222869873,0.5074503421783447,2.1715219020843506,0.0,4.804101467132568,13.0,InvalidComparisonAnalysis=13,2.0,InvalidComparisonAnalysis=2,InvalidComparisonAnalysis:/serial_weaver/models.py:74=1;InvalidComparisonAnalysis:/serial_weaver/models.py:272=1,InvalidComparisonAnalysis:/serial_weaver/models.py:74={'serial_weaver/tests/test_models.py::test_generate_models'};InvalidComparisonAnalysis:/serial_weaver/models.py:272={'serial_weaver/tests/test_models.py::test_generate_models'},132.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeDictIterator=18<>UnsafeListIterator=41<>UnsafeArrayIterator=1<>PyDocs_MustSortBeforeGroupBy=3,7995.0,BuiltinAllAnalysis=violation=1235<>ComparisonBehaviorAnalysis=ne_end=4<>ComparisonBehaviorAnalysis=eq_end=59<>InPlaceSortAnalysis=list_used=75<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=63<>NonFinitesAnalysis=non_finite_op=1235<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=72<>WrongTypeAddedAnalysis=check_append=1240<>WrongTypeAddedAnalysis=check_insert=1240<>WrongTypeAddedAnalysis=check_extend=1240<>WrongTypeAddedAnalysis=check_add=1240<>WrongTypeAddedAnalysis=check_add_assign=72<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeDictIterator=createDict=21<>UnsafeDictIterator=updateDict=42<>UnsafeListIterator=createList=61<>UnsafeListIterator=updateList=6<>UnsafeArrayIterator=createArray=1<>PyDocs_MustSortBeforeGroupBy=sort=3,623
pydantic-serdes,20260629_215624,886ce743669c21ff7175221678ea5848c2cecbe7,1710090113,Documentation fixes (#1),False,pymop_libs,8,0,0,0,0,0,9.168,88.75999999999999,pymop_libs,7.860154628753662,0.5783708095550537,13.660660028457642,0.0,22.099185466766357,53.0,InvalidComparisonAnalysis=15;ItemInList=38,4.0,InvalidComparisonAnalysis=3;ItemInList=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/serial_weaver/models.py:74=1;InvalidComparisonAnalysis:/serial_weaver/models.py:272=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={'serial_weaver/tests/test_data_conversion.py::test_format_conversion[dst_format_toml]'};InvalidComparisonAnalysis:/serial_weaver/models.py:74={'serial_weaver/tests/test_models.py::test_generate_models'};InvalidComparisonAnalysis:/serial_weaver/models.py:272={'serial_weaver/tests/test_models.py::test_generate_models'};ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359={'serial_weaver/tests/test_models.py::test_generate_models'},3278.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2290<>UnsafeDictIterator=874<>ArgParse_Parent=1<>FileClosedAnalysis=56<>faulthandler_disableBeforeClose=1<>ItemInList=9<>UnsafeArrayIterator=1<>PyDocs_MustSortBeforeGroupBy=3<>Pydocs_MustReleaseLock=8,694905.0,BuiltinAllAnalysis=violation=101285<>ComparisonBehaviorAnalysis=ne_end=1861<>ComparisonBehaviorAnalysis=eq_end=16454<>InPlaceSortAnalysis=list_used=14447<>InPlaceSortAnalysis=list_sorted=81<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=18305<>NonFinitesAnalysis=non_finite_op=101186<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=13606<>StringStripAnalysis=strip=29<>WrongTypeAddedAnalysis=check_append=100626<>WrongTypeAddedAnalysis=check_insert=100626<>WrongTypeAddedAnalysis=check_extend=100626<>WrongTypeAddedAnalysis=check_add=100626<>WrongTypeAddedAnalysis=check_add_assign=13606<>UnsafeListIterator=createList=6678<>UnsafeListIterator=updateList=6<>UnsafeListIterator=createIter=9<>UnsafeDictIterator=createDict=1021<>UnsafeDictIterator=updateDict=3649<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>ItemInList=list_contains=38<>UnsafeArrayIterator=createArray=1<>PyDocs_MustSortBeforeGroupBy=sort=3<>Pydocs_MustReleaseLock=acquire=10<>Pydocs_MustReleaseLock=release=10<>Pydocs_MustReleaseLock=end=4,623
pydantic-serdes,20260629_215624,886ce743669c21ff7175221678ea5848c2cecbe7,1710090113,Documentation fixes (#1),False,dylin,8,0,0,0,0,0,4.161,88.75999999999999,dylin,6.657938003540039,0.0,5.533522605895996,0.2803819179534912,12.471842527389526,6.0,InvalidComparisonAnalysis=6,2.0,InvalidComparisonAnalysis=2,InvalidComparisonAnalysis:/serial_weaver/models.py:74=1;InvalidComparisonAnalysis:/serial_weaver/models.py:272=1,InvalidComparisonAnalysis:/serial_weaver/models.py:74={'serial_weaver/tests/test_models.py::test_generate_models (call)'};InvalidComparisonAnalysis:/serial_weaver/models.py:272={'serial_weaver/tests/test_models.py::test_generate_models (call)'},,,,,623
pydantic-serdes,20260629_215624,fb8ad08ed1a520f2f0ba3fc750ed9727fca0d740,1710188804,Package Renamed; Docs improvements; Minor bug fixes (#4),False,original,8,0,0,0,0,0,0.458,88.78,original,0.0,0.0,0.7956998348236084,0.0,0.7956998348236084,,,,,,,,,,,625
pydantic-serdes,20260629_215624,fb8ad08ed1a520f2f0ba3fc750ed9727fca0d740,1710188804,Package Renamed; Docs improvements; Minor bug fixes (#4),False,pymop,8,0,0,0,0,0,0.482,88.78,pymop,2.1447532176971436,0.5311038494110107,2.2068028450012207,0.0,4.882659912109375,13.0,InvalidComparisonAnalysis=13,2.0,InvalidComparisonAnalysis=2,InvalidComparisonAnalysis:/serial_bus/models.py:74=1;InvalidComparisonAnalysis:/serial_bus/models.py:272=1,InvalidComparisonAnalysis:/serial_bus/models.py:74={'serial_bus/tests/test_models.py::test_generate_models'};InvalidComparisonAnalysis:/serial_bus/models.py:272={'serial_bus/tests/test_models.py::test_generate_models'},136.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=56<>UnsafeDictIterator=17<>UnsafeListIterator=46<>UnsafeArrayIterator=1<>PyDocs_MustSortBeforeGroupBy=3,7995.0,BuiltinAllAnalysis=violation=1235<>ComparisonBehaviorAnalysis=ne_end=4<>ComparisonBehaviorAnalysis=eq_end=59<>InPlaceSortAnalysis=list_used=75<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=63<>NonFinitesAnalysis=non_finite_op=1235<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=72<>WrongTypeAddedAnalysis=check_append=1240<>WrongTypeAddedAnalysis=check_insert=1240<>WrongTypeAddedAnalysis=check_extend=1240<>WrongTypeAddedAnalysis=check_add=1240<>WrongTypeAddedAnalysis=check_add_assign=72<>FileClosedAnalysis=open=29<>FileClosedAnalysis=close=28<>FileClosedAnalysis=end=27<>UnsafeDictIterator=createDict=21<>UnsafeDictIterator=updateDict=42<>UnsafeListIterator=createList=61<>UnsafeListIterator=updateList=6<>UnsafeArrayIterator=createArray=1<>PyDocs_MustSortBeforeGroupBy=sort=3,625
