project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
pydoover,20260629_215910,2ae0f95ad458c7607a07ee3a064e59d5884ddf6a,1752120484,improve default check to allow for empty strings and 0.0 values,False,original,29,0,0,0,0,0,0.852,7.629,original,0.0,0.0,1.221165895462036,0.0,1.221165895462036,,,,,,,,,,,9511
pydoover,20260629_215910,2ae0f95ad458c7607a07ee3a064e59d5884ddf6a,1752120484,improve default check to allow for empty strings and 0.0 values,False,pymop,29,0,0,0,0,0,0.46,7.629,pymop,2.95452618598938,0.6291244029998779,2.345592737197876,0.0,5.929243326187134,0.0,,0.0,,,,289.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=207<>UnsafeListIterator=47,9008.0,BuiltinAllAnalysis=violation=1326<>ComparisonBehaviorAnalysis=eq_end=17<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=35<>NonFinitesAnalysis=non_finite_op=1326<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>WrongTypeAddedAnalysis=check_append=1342<>WrongTypeAddedAnalysis=check_insert=1342<>WrongTypeAddedAnalysis=check_extend=1342<>WrongTypeAddedAnalysis=check_add=1342<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=490<>UnsafeListIterator=createList=50,9511
pydoover,20260629_215910,2ae0f95ad458c7607a07ee3a064e59d5884ddf6a,1752120484,improve default check to allow for empty strings and 0.0 values,False,pymop_libs,29,0,0,0,0,0,14.718,7.629,pymop_libs,9.184752702713013,0.7573413848876953,20.049169301986694,0.0,29.9912633895874,69.0,WrongTypeAddedAnalysis=69,3.0,WrongTypeAddedAnalysis=3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534={'tests/test_config.py::TestConfigSchemaA::test_invalid_type[e-not_a_boolean]', 'tests/test_config.py::TestConfigSchemaA::test_enum', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[a-1.5]', 'tests/test_config.py::TestConfigSchemaA::test_minimum', 'tests/test_config.py::TestConfigSchemaA::test_object', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-not-an-object]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-value8]', 'tests/test_config.py::TestConfigSchemaA::test_exclusive_min', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[f-value5]', 'tests/test_config.py::TestConfigSchemaA::test_array', 'tests/test_config.py::TestConfigSchemaA::test_ok_schema', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-value6]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[b-a string]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[c-True]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[d-0]'}",6704.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4875<>UnsafeDictIterator=1770<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1963773.0,BuiltinAllAnalysis=violation=314954<>ComparisonBehaviorAnalysis=ne_end=2948<>ComparisonBehaviorAnalysis=eq_end=5394<>InPlaceSortAnalysis=list_used=23576<>InPlaceSortAnalysis=list_sorted=92<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=8330<>NonFinitesAnalysis=non_finite_op=314844<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2789<>StringStripAnalysis=strip=117<>WrongTypeAddedAnalysis=check_append=315941<>WrongTypeAddedAnalysis=check_insert=315941<>WrongTypeAddedAnalysis=check_extend=315941<>WrongTypeAddedAnalysis=check_add=315941<>WrongTypeAddedAnalysis=check_add_assign=2789<>UnsafeListIterator=createList=15871<>UnsafeListIterator=createIter=380<>UnsafeListIterator=next=380<>UnsafeDictIterator=createDict=2126<>UnsafeDictIterator=updateDict=5358<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,9511
pydoover,20260629_215910,2ae0f95ad458c7607a07ee3a064e59d5884ddf6a,1752120484,improve default check to allow for empty strings and 0.0 values,False,dylin,29,0,0,0,0,0,4.157,7.629,dylin,14.129816770553589,0.0,5.646937131881714,0.3297100067138672,20.10646390914917,0.0,,0.0,,,,,,,,9511
pydoover,20260629_215910,7c60267bf29235a155bf7f3ae61a46a93a0a9557,1752189933,Support python Enum objects for choices field of `config.Enum`,False,original,29,0,0,0,0,0,0.847,7.718,original,0.0,0.0,1.236868381500244,0.0,1.236868381500244,,,,,,,,,,,9528
pydoover,20260629_215910,7c60267bf29235a155bf7f3ae61a46a93a0a9557,1752189933,Support python Enum objects for choices field of `config.Enum`,False,pymop,29,0,0,0,0,0,0.439,7.718,pymop,2.866574287414551,0.6861577033996582,2.353776454925537,0.0,5.906508445739746,0.0,,0.0,,,,266.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=182<>UnsafeListIterator=49,9017.0,BuiltinAllAnalysis=violation=1328<>ComparisonBehaviorAnalysis=eq_end=17<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=35<>NonFinitesAnalysis=non_finite_op=1328<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>WrongTypeAddedAnalysis=check_append=1344<>WrongTypeAddedAnalysis=check_insert=1344<>WrongTypeAddedAnalysis=check_extend=1344<>WrongTypeAddedAnalysis=check_add=1344<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=487<>UnsafeListIterator=createList=50,9528
pydoover,20260629_215910,7c60267bf29235a155bf7f3ae61a46a93a0a9557,1752189933,Support python Enum objects for choices field of `config.Enum`,False,pymop_libs,29,0,0,0,0,0,14.703,7.718,pymop_libs,9.420045137405396,0.7118489742279053,20.535851001739506,0.0,30.667745113372803,69.0,WrongTypeAddedAnalysis=69,3.0,WrongTypeAddedAnalysis=3,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534=1,"WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:534={'tests/test_config.py::TestConfigSchemaA::test_invalid_type[e-not_a_boolean]', 'tests/test_config.py::TestConfigSchemaA::test_enum', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[a-1.5]', 'tests/test_config.py::TestConfigSchemaA::test_minimum', 'tests/test_config.py::TestConfigSchemaA::test_object', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-not-an-object]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-value8]', 'tests/test_config.py::TestConfigSchemaA::test_exclusive_min', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[f-value5]', 'tests/test_config.py::TestConfigSchemaA::test_array', 'tests/test_config.py::TestConfigSchemaA::test_ok_schema', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[g-value6]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[b-a string]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[c-True]', 'tests/test_config.py::TestConfigSchemaA::test_invalid_type[d-0]'}",6574.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=4760<>UnsafeDictIterator=1755<>ArgParse_Parent=1<>FileClosedAnalysis=22<>faulthandler_disableBeforeClose=1,1963760.0,BuiltinAllAnalysis=violation=314956<>ComparisonBehaviorAnalysis=ne_end=2948<>ComparisonBehaviorAnalysis=eq_end=5394<>InPlaceSortAnalysis=list_used=23576<>InPlaceSortAnalysis=list_sorted=92<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=8330<>NonFinitesAnalysis=non_finite_op=314846<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2789<>StringStripAnalysis=strip=117<>WrongTypeAddedAnalysis=check_append=315943<>WrongTypeAddedAnalysis=check_insert=315943<>WrongTypeAddedAnalysis=check_extend=315943<>WrongTypeAddedAnalysis=check_add=315943<>WrongTypeAddedAnalysis=check_add_assign=2789<>UnsafeListIterator=createList=15815<>UnsafeListIterator=createIter=394<>UnsafeListIterator=next=394<>UnsafeDictIterator=createDict=2126<>UnsafeDictIterator=updateDict=5361<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,9528
pydoover,20260629_215910,7c60267bf29235a155bf7f3ae61a46a93a0a9557,1752189933,Support python Enum objects for choices field of `config.Enum`,False,dylin,29,0,0,0,0,0,4.171,7.718,dylin,13.930034160614014,0.0,5.651337623596191,0.2965340614318847,19.87790584564209,0.0,,0.0,,,,,,,,9528
pydoover,20260629_215910,08fe2ef7281bf2d4a1d2c829be5e4ddf42db4876,1752190027,Tidy up enum code a little,False,original,29,0,0,0,0,0,0.849,7.718999999999999,original,0.0,0.0,1.22650408744812,0.0,1.22650408744812,,,,,,,,,,,9527
pydoover,20260629_215910,08fe2ef7281bf2d4a1d2c829be5e4ddf42db4876,1752190027,Tidy up enum code a little,False,pymop,29,0,0,0,0,0,0.45,7.718999999999999,pymop,2.803943395614624,0.664747953414917,2.479698181152344,0.0,5.948389530181885,0.0,,0.0,,,,287.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=22<>UnsafeDictIterator=204<>UnsafeListIterator=48,9018.0,BuiltinAllAnalysis=violation=1328<>ComparisonBehaviorAnalysis=eq_end=17<>ComparisonBehaviorAnalysis=ne_end=18<>InPlaceSortAnalysis=list_used=1<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=35<>NonFinitesAnalysis=non_finite_op=1328<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=10<>WrongTypeAddedAnalysis=check_append=1344<>WrongTypeAddedAnalysis=check_insert=1344<>WrongTypeAddedAnalysis=check_extend=1344<>WrongTypeAddedAnalysis=check_add=1344<>WrongTypeAddedAnalysis=check_add_assign=10<>FileClosedAnalysis=open=12<>FileClosedAnalysis=close=11<>FileClosedAnalysis=end=10<>UnsafeDictIterator=createDict=322<>UnsafeDictIterator=updateDict=488<>UnsafeListIterator=createList=50,9527
