project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
release-tools,20260629_220649,406b322c6f449ae3f38e5a0d99432a355415686a,1204755191,"Benjamin Peterson's release script, contributed to the cause.",True,original,0,0,0,0,0,0,0.03,x,original,0.0,0.0,0.4989275932312011,0.0,0.4989275932312011,,,,,,,,,,,
release-tools,20260629_220649,406b322c6f449ae3f38e5a0d99432a355415686a,1204755191,"Benjamin Peterson's release script, contributed to the cause.",True,pymop,0,0,0,0,0,0,0.013,x,pymop,1.6174228191375732,0.822746992111206,2.2250473499298096,0.0,4.665217161178589,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
release-tools,20260629_220649,406b322c6f449ae3f38e5a0d99432a355415686a,1204755191,"Benjamin Peterson's release script, contributed to the cause.",True,pymop_libs,0,0,0,0,0,0,0.355,x,pymop_libs,10.729581832885742,0.9042479991912842,6.374859094619751,0.0,18.008688926696777,0.0,,0.0,,,,1062.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=677<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,174740.0,BuiltinAllAnalysis=violation=27833<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=814<>InPlaceSortAnalysis=list_used=1945<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=947<>NonFinitesAnalysis=non_finite_op=27734<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27590<>WrongTypeAddedAnalysis=check_insert=27590<>WrongTypeAddedAnalysis=check_extend=27590<>WrongTypeAddedAnalysis=check_add=27590<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
release-tools,20260629_220649,406b322c6f449ae3f38e5a0d99432a355415686a,1204755191,"Benjamin Peterson's release script, contributed to the cause.",True,dylin,0,0,0,0,0,0,0.005,x,dylin,7.376901149749756,0.0,0.2562029361724853,0.4647367000579834,8.097840785980225,0.0,,0.0,,,,,,,,
release-tools,20260629_220649,3c36aa8c636292121383aafc6db5e9f669891901,1206479035,Get the ordering of lines right on top,True,original,0,0,0,0,0,0,0.023,x,original,0.0,0.0,0.4271624088287353,0.0,0.4271624088287353,,,,,,,,,,,
release-tools,20260629_220649,3c36aa8c636292121383aafc6db5e9f669891901,1206479035,Get the ordering of lines right on top,True,pymop,0,0,0,0,0,0,0.018,x,pymop,1.966334104537964,0.8595972061157227,2.559448719024658,0.0,5.385380029678345,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
release-tools,20260629_220649,3c36aa8c636292121383aafc6db5e9f669891901,1206479035,Get the ordering of lines right on top,True,pymop_libs,0,0,0,0,0,0,0.351,x,pymop_libs,10.011531829833984,0.7637748718261719,7.03290581703186,0.0,17.808212518692017,0.0,,0.0,,,,1041.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=659<>UnsafeDictIterator=335<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,174740.0,BuiltinAllAnalysis=violation=27833<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=814<>InPlaceSortAnalysis=list_used=1945<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=947<>NonFinitesAnalysis=non_finite_op=27734<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27590<>WrongTypeAddedAnalysis=check_insert=27590<>WrongTypeAddedAnalysis=check_extend=27590<>WrongTypeAddedAnalysis=check_add=27590<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
release-tools,20260629_220649,3c36aa8c636292121383aafc6db5e9f669891901,1206479035,Get the ordering of lines right on top,True,dylin,0,0,0,0,0,0,0.007,x,dylin,7.702665090560913,0.0,0.3252551555633545,0.5007145404815674,8.528634786605835,0.0,,0.0,,,,,,,,
release-tools,20260629_220649,03e0cf3493952302f98a09d6962d6f3c6f7aa753,1207591822,Lots of changes based on first use for 3.0a4 and 2.6a2.,True,original,0,0,0,0,0,0,0.02,x,original,0.0,0.0,0.4049675464630127,0.0,0.4049675464630127,,,,,,,,,,,
release-tools,20260629_220649,03e0cf3493952302f98a09d6962d6f3c6f7aa753,1207591822,Lots of changes based on first use for 3.0a4 and 2.6a2.,True,pymop,0,0,0,0,0,0,0.02,x,pymop,1.5776033401489258,0.7832012176513672,2.3195877075195312,0.0,4.680392265319824,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
