project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
risk-game,20260629_215759,3479e9e8256cc584044fb292395e7d392e19070c,1722438863,created initial folder structure,True,original,0,0,0,0,0,0,0.077,0.0,original,0.0,0.0,0.5043530464172363,0.0,0.5043530464172363,,,,,,,,,,,
risk-game,20260629_215759,3479e9e8256cc584044fb292395e7d392e19070c,1722438863,created initial folder structure,True,pymop,0,0,0,0,0,0,0.166,0.0,pymop,1.9477932453155518,0.8817248344421387,2.2839608192443848,0.0,5.113478899002075,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8,
risk-game,20260629_215759,3479e9e8256cc584044fb292395e7d392e19070c,1722438863,created initial folder structure,True,pymop_libs,0,0,0,0,0,0,0.65,0.0,pymop_libs,8.698054552078247,0.6843183040618896,6.136841297149658,0.0,15.519214153289795,0.0,,0.0,,,,1165.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=755<>UnsafeDictIterator=355<>ArgParse_Parent=1<>FileClosedAnalysis=18<>faulthandler_disableBeforeClose=1,194813.0,BuiltinAllAnalysis=violation=30967<>ComparisonBehaviorAnalysis=ne_end=169<>ComparisonBehaviorAnalysis=eq_end=933<>InPlaceSortAnalysis=list_used=2421<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1092<>NonFinitesAnalysis=non_finite_op=30868<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=598<>WrongTypeAddedAnalysis=check_append=30780<>WrongTypeAddedAnalysis=check_insert=30780<>WrongTypeAddedAnalysis=check_extend=30780<>WrongTypeAddedAnalysis=check_add=30780<>WrongTypeAddedAnalysis=check_add_assign=598<>UnsafeListIterator=createList=1614<>UnsafeDictIterator=createDict=361<>UnsafeDictIterator=updateDict=2013<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
risk-game,20260629_215759,3479e9e8256cc584044fb292395e7d392e19070c,1722438863,created initial folder structure,True,dylin,0,0,0,0,0,0,0.016,0.0,dylin,7.777673959732056,0.0,0.32032084465026855,0.37216830253601074,8.470163106918335,0.0,,0.0,,,,,,,,
risk-game,20260629_215759,10aa05f16bed8651bc68827f56b63ccbe7d66c73,1722538955,changed folder structure into package setup format and fixed dev container setup,True,original,0,0,0,0,0,0,0.081,0.0,original,0.0,0.0,0.5337343215942383,0.0,0.5337343215942383,,,,,,,,,,,
risk-game,20260629_215759,10aa05f16bed8651bc68827f56b63ccbe7d66c73,1722538955,changed folder structure into package setup format and fixed dev container setup,True,pymop,0,0,0,0,0,0,0.166,0.0,pymop,1.873185634613037,0.9297442436218262,2.308161973953247,0.0,5.11109185218811,0.0,,0.0,,,,31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=18,29.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8,
risk-game,20260629_215759,10aa05f16bed8651bc68827f56b63ccbe7d66c73,1722538955,changed folder structure into package setup format and fixed dev container setup,True,pymop_libs,0,0,0,0,0,0,0.751,0.0,pymop_libs,9.45716667175293,0.5753374099731445,6.746056795120239,0.0,16.778560876846313,0.0,,0.0,,,,1194.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=783<>UnsafeDictIterator=356<>ArgParse_Parent=1<>FileClosedAnalysis=18<>faulthandler_disableBeforeClose=1,200910.0,BuiltinAllAnalysis=violation=31921<>ComparisonBehaviorAnalysis=ne_end=170<>ComparisonBehaviorAnalysis=eq_end=972<>InPlaceSortAnalysis=list_used=2584<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1132<>NonFinitesAnalysis=non_finite_op=31822<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=599<>WrongTypeAddedAnalysis=check_append=31762<>WrongTypeAddedAnalysis=check_insert=31762<>WrongTypeAddedAnalysis=check_extend=31762<>WrongTypeAddedAnalysis=check_add=31762<>WrongTypeAddedAnalysis=check_add_assign=599<>UnsafeListIterator=createList=1626<>UnsafeDictIterator=createDict=362<>UnsafeDictIterator=updateDict=2016<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=10<>FileClosedAnalysis=close=9<>FileClosedAnalysis=end=8<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
risk-game,20260629_215759,10aa05f16bed8651bc68827f56b63ccbe7d66c73,1722538955,changed folder structure into package setup format and fixed dev container setup,True,dylin,0,0,0,0,0,0,0.017,0.0,dylin,8.438822269439697,0.0,0.3343067169189453,0.4718661308288574,9.2449951171875,0.0,,0.0,,,,,,,,
risk-game,20260629_215759,1d90da179d6ce06cd5d0d69182347e1e6d67c3c5,1722543431,second test of pre-commit container hook,False,original,1,0,0,0,0,0,0.103,19.23,original,0.0,0.0,0.5648961067199707,0.0,0.5648961067199707,,,,,,,,,,,64
risk-game,20260629_215759,1d90da179d6ce06cd5d0d69182347e1e6d67c3c5,1722543431,second test of pre-commit container hook,False,pymop,1,0,0,0,0,0,0.149,19.23,pymop,1.9058384895324707,0.7404825687408447,2.29719877243042,0.0,4.943519830703735,0.0,,0.0,,,,33.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20,52.0,BuiltinAllAnalysis=violation=2<>ComparisonBehaviorAnalysis=eq_end=2<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=2<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=2<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>WrongTypeAddedAnalysis=check_add_assign=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9,64
