project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
s4-clarity-lib,20260629_215721,943f543ccd5fd13efdc5040609bac0f4d77399e1,1554744804,Initialization of the public repository.,True,original,0,0,0,0,0,10,1.14,3.83,original,0.0,0.0,1.5224416255950928,0.0,1.5224416255950928,,,,,,,,,,,
s4-clarity-lib,20260629_215721,943f543ccd5fd13efdc5040609bac0f4d77399e1,1554744804,Initialization of the public repository.,True,pymop,0,0,0,0,0,10,1.778,3.83,pymop,3.3480641841888428,0.6465373039245605,3.837610960006714,0.0,7.832212448120117,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=3,49.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=3,
s4-clarity-lib,20260629_215721,943f543ccd5fd13efdc5040609bac0f4d77399e1,1554744804,Initialization of the public repository.,True,pymop_libs,0,0,0,0,0,10,27.689,3.83,pymop_libs,9.453670740127563,0.5413129329681396,33.02373194694519,0.0,43.018715620040894,0.0,,0.0,,,,2512.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2019<>UnsafeDictIterator=436<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,4300074.0,BuiltinAllAnalysis=violation=708804<>ComparisonBehaviorAnalysis=ne_end=1817<>ComparisonBehaviorAnalysis=eq_end=5096<>InPlaceSortAnalysis=list_used=11575<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6901<>NonFinitesAnalysis=non_finite_op=708694<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6272<>StringStripAnalysis=strip=590<>WrongTypeAddedAnalysis=check_append=709079<>WrongTypeAddedAnalysis=check_insert=709079<>WrongTypeAddedAnalysis=check_extend=709079<>WrongTypeAddedAnalysis=check_add=709079<>WrongTypeAddedAnalysis=check_add_assign=6272<>UnsafeListIterator=createList=5090<>UnsafeDictIterator=createDict=448<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
s4-clarity-lib,20260629_215721,943f543ccd5fd13efdc5040609bac0f4d77399e1,1554744804,Initialization of the public repository.,True,dylin,0,0,0,0,0,10,5.781,3.83,dylin,9.407089710235596,0.0,7.0893754959106445,0.3799762725830078,16.876441478729248,0.0,,0.0,,,,,,,,
s4-clarity-lib,20260629_215721,6a0768929baf08df03a038e09140acbd281438dc,1554757158,Replaced outdated README,True,original,0,0,0,0,0,10,1.145,3.83,original,0.0,0.0,1.5246915817260742,0.0,1.5246915817260742,,,,,,,,,,,
s4-clarity-lib,20260629_215721,6a0768929baf08df03a038e09140acbd281438dc,1554757158,Replaced outdated README,True,pymop,0,0,0,0,0,10,1.796,3.83,pymop,2.804009437561035,0.6749856472015381,3.840590715408325,0.0,7.319585800170898,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=3,49.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=3,
s4-clarity-lib,20260629_215721,6a0768929baf08df03a038e09140acbd281438dc,1554757158,Replaced outdated README,True,pymop_libs,0,0,0,0,0,10,27.783,3.83,pymop_libs,9.59793758392334,0.5396585464477539,33.36589455604553,0.0,43.503490686416626,0.0,,0.0,,,,2596.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2103<>UnsafeDictIterator=436<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,4300502.0,BuiltinAllAnalysis=violation=708871<>ComparisonBehaviorAnalysis=ne_end=1817<>ComparisonBehaviorAnalysis=eq_end=5099<>InPlaceSortAnalysis=list_used=11587<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6904<>NonFinitesAnalysis=non_finite_op=708761<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6272<>StringStripAnalysis=strip=590<>WrongTypeAddedAnalysis=check_append=709148<>WrongTypeAddedAnalysis=check_insert=709148<>WrongTypeAddedAnalysis=check_extend=709148<>WrongTypeAddedAnalysis=check_add=709148<>WrongTypeAddedAnalysis=check_add_assign=6272<>UnsafeListIterator=createList=5090<>UnsafeDictIterator=createDict=448<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
s4-clarity-lib,20260629_215721,6a0768929baf08df03a038e09140acbd281438dc,1554757158,Replaced outdated README,True,dylin,0,0,0,0,0,10,5.702,3.83,dylin,8.887533903121948,0.0,6.92435884475708,0.3694777488708496,16.181370496749878,0.0,,0.0,,,,,,,,
s4-clarity-lib,20260629_215721,c1181295eb5bcf0cdbd57bc11522fb1e87419d69,1554762302,Add Travis CI integration,True,original,0,0,0,0,0,10,1.156,3.836,original,0.0,0.0,1.541745901107788,0.0,1.541745901107788,,,,,,,,,,,
s4-clarity-lib,20260629_215721,c1181295eb5bcf0cdbd57bc11522fb1e87419d69,1554762302,Add Travis CI integration,True,pymop,0,0,0,0,0,10,1.737,3.836,pymop,2.8481521606445312,0.6437869071960449,3.6255874633789062,0.0,7.117526531219482,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=3,49.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=3,
s4-clarity-lib,20260629_215721,c1181295eb5bcf0cdbd57bc11522fb1e87419d69,1554762302,Add Travis CI integration,True,pymop_libs,0,0,0,0,0,10,27.622,3.836,pymop_libs,9.210133790969849,0.5706272125244141,33.13329553604126,0.0,42.91405653953552,0.0,,0.0,,,,2574.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2079<>UnsafeDictIterator=438<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,4300918.0,BuiltinAllAnalysis=violation=708936<>ComparisonBehaviorAnalysis=ne_end=1817<>ComparisonBehaviorAnalysis=eq_end=5102<>InPlaceSortAnalysis=list_used=11599<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6907<>NonFinitesAnalysis=non_finite_op=708826<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6272<>StringStripAnalysis=strip=590<>WrongTypeAddedAnalysis=check_append=709215<>WrongTypeAddedAnalysis=check_insert=709215<>WrongTypeAddedAnalysis=check_extend=709215<>WrongTypeAddedAnalysis=check_add=709215<>WrongTypeAddedAnalysis=check_add_assign=6272<>UnsafeListIterator=createList=5090<>UnsafeDictIterator=createDict=448<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
s4-clarity-lib,20260629_215721,c1181295eb5bcf0cdbd57bc11522fb1e87419d69,1554762302,Add Travis CI integration,True,dylin,0,0,0,0,0,10,5.576,3.836,dylin,8.90695309638977,0.0,6.776763439178467,0.3586950302124023,16.04241156578064,0.0,,0.0,,,,,,,,
s4-clarity-lib,20260629_215721,811635bd3b058ebcf03e312e50fcc67b928ea596,1554765723,Tweak of the normilization example,True,original,0,0,0,0,0,10,1.129,3.836,original,0.0,0.0,1.5304017066955566,0.0,1.5304017066955566,,,,,,,,,,,
s4-clarity-lib,20260629_215721,811635bd3b058ebcf03e312e50fcc67b928ea596,1554765723,Tweak of the normilization example,True,pymop,0,0,0,0,0,10,1.741,3.836,pymop,2.8167150020599365,0.643416166305542,3.7480051517486577,0.0,7.208136320114136,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=3,49.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=3,
s4-clarity-lib,20260629_215721,811635bd3b058ebcf03e312e50fcc67b928ea596,1554765723,Tweak of the normilization example,True,pymop_libs,0,0,0,0,0,10,27.835,3.836,pymop_libs,9.240500450134276,0.6669206619262695,33.33190679550171,0.0,43.239327907562256,0.0,,0.0,,,,2579.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=2083<>UnsafeDictIterator=439<>ArgParse_Parent=1<>FileClosedAnalysis=20<>faulthandler_disableBeforeClose=1,4300490.0,BuiltinAllAnalysis=violation=708869<>ComparisonBehaviorAnalysis=ne_end=1817<>ComparisonBehaviorAnalysis=eq_end=5099<>InPlaceSortAnalysis=list_used=11587<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=6904<>NonFinitesAnalysis=non_finite_op=708759<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=6272<>StringStripAnalysis=strip=590<>WrongTypeAddedAnalysis=check_append=709146<>WrongTypeAddedAnalysis=check_insert=709146<>WrongTypeAddedAnalysis=check_extend=709146<>WrongTypeAddedAnalysis=check_add=709146<>WrongTypeAddedAnalysis=check_add_assign=6272<>UnsafeListIterator=createList=5090<>UnsafeDictIterator=createDict=448<>UnsafeDictIterator=updateDict=2137<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
s4-clarity-lib,20260629_215721,811635bd3b058ebcf03e312e50fcc67b928ea596,1554765723,Tweak of the normilization example,True,dylin,0,0,0,0,0,10,5.455,3.836,dylin,9.475515127182009,0.0,6.669766902923584,0.3185522556304931,16.463834285736084,0.0,,0.0,,,,,,,,
s4-clarity-lib,20260629_215721,a209b4d487721bc148a04dda552f2a8057be76f9,1554839362,Updating change log,True,original,0,0,0,0,0,10,1.183,3.836,original,0.0,0.0,1.5707294940948486,0.0,1.5707294940948486,,,,,,,,,,,
s4-clarity-lib,20260629_215721,a209b4d487721bc148a04dda552f2a8057be76f9,1554839362,Updating change log,True,pymop,0,0,0,0,0,10,1.797,3.836,pymop,2.7903573513031006,0.6647858619689941,3.804500818252563,0.0,7.259644031524658,0.0,,0.0,,,,36.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=20<>UnsafeListIterator=3,49.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=list_used=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=11<>FileClosedAnalysis=close=10<>FileClosedAnalysis=end=9<>UnsafeListIterator=createList=3,
