project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
sdk-python,20260629_215113,b5fc83e75316b5d5f6a3d4f02a35658e20d98a33,1742925541,Start adding sdk,True,original,0,0,0,0,0,0,0.22,x,original,0.0,0.0,2.524409055709839,0.0,2.524409055709839,,,,,,,,,,,
sdk-python,20260629_215113,b5fc83e75316b5d5f6a3d4f02a35658e20d98a33,1742925541,Start adding sdk,True,pymop,0,0,0,0,0,0,0.088,x,pymop,2.610811948776245,1.1489458084106443,29.64721179008484,0.0,33.40696954727173,0.0,,0.0,,,,353.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=340,512.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=171<>FileClosedAnalysis=close=170<>FileClosedAnalysis=end=169,
sdk-python,20260629_215113,b5fc83e75316b5d5f6a3d4f02a35658e20d98a33,1742925541,Start adding sdk,True,pymop_libs,0,0,0,0,0,0,5.003,x,pymop_libs,11.644808292388916,0.8350207805633545,85.84010934829712,0.0,98.3199384212494,26.0,InvalidComparisonAnalysis=26,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344={None},13665.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7680<>UnsafeDictIterator=5604<>ArgParse_Parent=1<>FileClosedAnalysis=340<>Pydocs_MustShutdownThreadPoolExecutor=2<>Pydocs_UselessThreadPoolExecutor=2<>faulthandler_disableBeforeClose=1,3494752.0,BuiltinAllAnalysis=violation=558454<>ComparisonBehaviorAnalysis=ne_end=4074<>ComparisonBehaviorAnalysis=eq_end=23686<>InPlaceSortAnalysis=list_used=38443<>InPlaceSortAnalysis=list_sorted=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=27748<>NonFinitesAnalysis=non_finite_op=558344<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=4147<>StringStripAnalysis=strip=1<>WrongTypeAddedAnalysis=check_append=558094<>WrongTypeAddedAnalysis=check_insert=558094<>WrongTypeAddedAnalysis=check_extend=558094<>WrongTypeAddedAnalysis=check_add=558094<>WrongTypeAddedAnalysis=check_add_assign=4147<>UnsafeListIterator=createList=18097<>UnsafeDictIterator=createDict=11322<>UnsafeDictIterator=updateDict=13366<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=171<>FileClosedAnalysis=close=170<>FileClosedAnalysis=end=169<>Pydocs_MustShutdownThreadPoolExecutor=new_pool=1<>Pydocs_MustShutdownThreadPoolExecutor=end=1<>Pydocs_UselessThreadPoolExecutor=new_pool=1<>Pydocs_UselessThreadPoolExecutor=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
sdk-python,20260629_215113,b5fc83e75316b5d5f6a3d4f02a35658e20d98a33,1742925541,Start adding sdk,True,dylin,0,0,0,0,0,0,0.085,x,dylin,18.799379348754883,0.0,1.7980151176452637,0.4067292213439941,21.00412368774414,0.0,,0.0,,,,,,,,
sdk-python,20260629_215113,d21112ecc9ea4528a306e92366126cf5391e65e5,1743077912,Add configuration and integration tests for Blaxel SDK,True,original,0,0,0,0,0,0,0.12,x,original,0.0,0.0,0.5559964179992676,0.0,0.5559964179992676,,,,,,,,,,,
sdk-python,20260629_215113,d21112ecc9ea4528a306e92366126cf5391e65e5,1743077912,Add configuration and integration tests for Blaxel SDK,True,pymop,0,0,0,0,0,0,0.086,x,pymop,2.4191441535949707,1.0423192977905271,2.829127550125122,0.0,6.29059100151062,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
sdk-python,20260629_215113,d21112ecc9ea4528a306e92366126cf5391e65e5,1743077912,Add configuration and integration tests for Blaxel SDK,True,pymop_libs,0,0,0,0,0,0,3.172,x,pymop_libs,10.994704961776732,0.8180205821990967,10.499354600906372,0.0,22.3120801448822,0.0,,0.0,,,,1577.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1081<>UnsafeDictIterator=449<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,479549.0,BuiltinAllAnalysis=violation=75517<>ComparisonBehaviorAnalysis=ne_end=444<>ComparisonBehaviorAnalysis=eq_end=2692<>InPlaceSortAnalysis=list_used=9873<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3126<>NonFinitesAnalysis=non_finite_op=75418<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=644<>WrongTypeAddedAnalysis=check_append=76524<>WrongTypeAddedAnalysis=check_insert=76524<>WrongTypeAddedAnalysis=check_extend=76524<>WrongTypeAddedAnalysis=check_add=76524<>WrongTypeAddedAnalysis=check_add_assign=644<>UnsafeListIterator=createList=2440<>UnsafeDictIterator=createDict=454<>UnsafeDictIterator=updateDict=2154<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
sdk-python,20260629_215113,d21112ecc9ea4528a306e92366126cf5391e65e5,1743077912,Add configuration and integration tests for Blaxel SDK,True,dylin,0,0,0,0,0,0,0.084,x,dylin,22.438382387161255,0.0,0.3840928077697754,0.4588806629180908,23.28135585784912,0.0,,0.0,,,,,,,,
sdk-python,20260629_215113,9d9c133ff6a98ddf1048874af4597ffb57078952,1743083384,Add MistralAI support and integration tests,True,original,0,0,0,0,0,0,0.121,x,original,0.0,0.0,0.4655542373657226,0.0,0.4655542373657226,,,,,,,,,,,
sdk-python,20260629_215113,9d9c133ff6a98ddf1048874af4597ffb57078952,1743083384,Add MistralAI support and integration tests,True,pymop,0,0,0,0,0,0,0.117,x,pymop,1.7639014720916748,0.7325506210327148,2.5205860137939453,0.0,5.017038106918335,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
