project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
sentinel-cert-api,20260629_220329,6664bc5265efbea62909a2baae9e313326c5f2b8,1521726083,Rename Cert-API module,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3447051048278808,0.0,0.3447051048278808,,,,,,,,,,,
sentinel-cert-api,20260629_220329,6664bc5265efbea62909a2baae9e313326c5f2b8,1521726083,Rename Cert-API module,True,pymop,0,0,0,0,0,0,0.011,0.0,pymop,2.4373714923858643,0.5006530284881592,1.7206029891967771,0.0,4.658627510070801,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
sentinel-cert-api,20260629_220329,6664bc5265efbea62909a2baae9e313326c5f2b8,1521726083,Rename Cert-API module,True,pymop_libs,0,0,0,0,0,0,0.296,0.0,pymop_libs,8.4903404712677,0.5134866237640381,4.654087781906128,0.0,13.657914876937866,0.0,,0.0,,,,1068.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=683<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,175156.0,BuiltinAllAnalysis=violation=27898<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=817<>InPlaceSortAnalysis=list_used=1957<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=950<>NonFinitesAnalysis=non_finite_op=27799<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27657<>WrongTypeAddedAnalysis=check_insert=27657<>WrongTypeAddedAnalysis=check_extend=27657<>WrongTypeAddedAnalysis=check_add=27657<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
sentinel-cert-api,20260629_220329,6664bc5265efbea62909a2baae9e313326c5f2b8,1521726083,Rename Cert-API module,True,dylin,0,0,0,0,0,0,0.004,0.0,dylin,5.178491115570068,0.0,0.2301664352416992,0.3229348659515381,5.731592416763306,0.0,,0.0,,,,,,,,
sentinel-cert-api,20260629_220329,11b3190727f842e76163f025344cdf6dd6abd93d,1521726384,DIsable https,True,original,0,0,0,0,0,0,0.023,0.0,original,0.0,0.0,0.3537373542785644,0.0,0.3537373542785644,,,,,,,,,,,
sentinel-cert-api,20260629_220329,11b3190727f842e76163f025344cdf6dd6abd93d,1521726384,DIsable https,True,pymop,0,0,0,0,0,0,0.011,0.0,pymop,2.3855977058410645,0.5683112144470215,1.599198818206787,0.0,4.553107738494873,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
sentinel-cert-api,20260629_220329,11b3190727f842e76163f025344cdf6dd6abd93d,1521726384,DIsable https,True,pymop_libs,0,0,0,0,0,0,0.297,0.0,pymop_libs,8.45902395248413,0.5038273334503174,4.665116548538208,0.0,13.627967834472656,0.0,,0.0,,,,1064.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=683<>UnsafeDictIterator=334<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,175156.0,BuiltinAllAnalysis=violation=27898<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=817<>InPlaceSortAnalysis=list_used=1957<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=950<>NonFinitesAnalysis=non_finite_op=27799<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=586<>WrongTypeAddedAnalysis=check_append=27657<>WrongTypeAddedAnalysis=check_insert=27657<>WrongTypeAddedAnalysis=check_extend=27657<>WrongTypeAddedAnalysis=check_add=27657<>WrongTypeAddedAnalysis=check_add_assign=586<>UnsafeListIterator=createList=1413<>UnsafeDictIterator=createDict=343<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
sentinel-cert-api,20260629_220329,11b3190727f842e76163f025344cdf6dd6abd93d,1521726384,DIsable https,True,dylin,0,0,0,0,0,0,0.009,0.0,dylin,5.100583076477051,0.0,0.2549192905426025,0.3336083889007568,5.68911075592041,0.0,,0.0,,,,,,,,
sentinel-cert-api,20260629_220329,711a09c98a368905aefc092ef102ed630645c01a,1521727583,Replace own logging with flask-specific logging,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3849174976348877,0.0,0.3849174976348877,,,,,,,,,,,
sentinel-cert-api,20260629_220329,711a09c98a368905aefc092ef102ed630645c01a,1521727583,Replace own logging with flask-specific logging,True,pymop,0,0,0,0,0,0,0.011,0.0,pymop,2.3960540294647217,0.6264791488647461,1.6627583503723145,0.0,4.685291528701782,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
