project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
slurmpilot,20260629_215200,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,False,original,3,0,0,0,0,0,0.15,11.81,original,0.0,0.0,0.5082266330718994,0.0,0.5082266330718994,,,,,,,,,,,603
slurmpilot,20260629_215200,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,False,pymop,3,0,0,0,0,0,0.17,11.81,pymop,2.2999274730682373,0.5448553562164307,1.9123709201812744,0.0,4.757153749465942,0.0,,0.0,,,,40.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=26<>UnsafeListIterator=1,278.0,BuiltinAllAnalysis=violation=37<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=37<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=37<>WrongTypeAddedAnalysis=check_insert=37<>WrongTypeAddedAnalysis=check_extend=37<>WrongTypeAddedAnalysis=check_add=37<>FileClosedAnalysis=open=14<>FileClosedAnalysis=close=13<>FileClosedAnalysis=end=12<>UnsafeListIterator=createList=1,603
slurmpilot,20260629_215200,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,False,pymop_libs,3,0,0,0,0,0,1.521,11.81,pymop_libs,9.596110343933104,0.5565636157989502,6.435544490814209,0.0,16.588218450546265,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},1444.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=944<>UnsafeDictIterator=437<>ArgParse_Parent=1<>FileClosedAnalysis=26<>faulthandler_disableBeforeClose=1,236340.0,BuiltinAllAnalysis=violation=37224<>ComparisonBehaviorAnalysis=ne_end=221<>ComparisonBehaviorAnalysis=eq_end=1295<>InPlaceSortAnalysis=list_used=3664<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1506<>NonFinitesAnalysis=non_finite_op=37125<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=842<>StringStripAnalysis=strip=9<>WrongTypeAddedAnalysis=check_append=37144<>WrongTypeAddedAnalysis=check_insert=37144<>WrongTypeAddedAnalysis=check_extend=37144<>WrongTypeAddedAnalysis=check_add=37144<>WrongTypeAddedAnalysis=check_add_assign=842<>UnsafeListIterator=createList=2251<>UnsafeDictIterator=createDict=460<>UnsafeDictIterator=updateDict=2251<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=14<>FileClosedAnalysis=close=13<>FileClosedAnalysis=end=12<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,603
slurmpilot,20260629_215200,af2ccf3b73f64a8403e6c8bec4a7231aa914fda5,1713950959,add initial files,False,dylin,3,0,0,0,0,0,3.873,11.81,dylin,9.891820669174194,0.0,5.289960861206055,0.3266527652740478,15.508434295654297,0.0,,0.0,,,,,,,,603
slurmpilot,20260629_215200,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,False,original,3,0,0,0,0,0,0.148,11.53,original,0.0,0.0,0.4957506656646728,0.0,0.4957506656646728,,,,,,,,,,,615
slurmpilot,20260629_215200,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,False,pymop,3,0,0,0,0,0,0.166,11.53,pymop,2.206282615661621,0.5421595573425293,1.8252458572387695,0.0,4.57368803024292,0.0,,0.0,,,,40.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=26<>UnsafeListIterator=1,278.0,BuiltinAllAnalysis=violation=37<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=37<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=37<>WrongTypeAddedAnalysis=check_insert=37<>WrongTypeAddedAnalysis=check_extend=37<>WrongTypeAddedAnalysis=check_add=37<>FileClosedAnalysis=open=14<>FileClosedAnalysis=close=13<>FileClosedAnalysis=end=12<>UnsafeListIterator=createList=1,615
slurmpilot,20260629_215200,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,False,pymop_libs,3,0,0,0,0,0,1.399,11.53,pymop_libs,8.167217493057251,0.4028456211090088,5.806624174118042,0.0,14.376687288284302,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},1467.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=960<>UnsafeDictIterator=444<>ArgParse_Parent=1<>FileClosedAnalysis=26<>faulthandler_disableBeforeClose=1,236346.0,BuiltinAllAnalysis=violation=37225<>ComparisonBehaviorAnalysis=ne_end=221<>ComparisonBehaviorAnalysis=eq_end=1295<>InPlaceSortAnalysis=list_used=3664<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1506<>NonFinitesAnalysis=non_finite_op=37126<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=842<>StringStripAnalysis=strip=9<>WrongTypeAddedAnalysis=check_append=37145<>WrongTypeAddedAnalysis=check_insert=37145<>WrongTypeAddedAnalysis=check_extend=37145<>WrongTypeAddedAnalysis=check_add=37145<>WrongTypeAddedAnalysis=check_add_assign=842<>UnsafeListIterator=createList=2251<>UnsafeDictIterator=createDict=460<>UnsafeDictIterator=updateDict=2251<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=14<>FileClosedAnalysis=close=13<>FileClosedAnalysis=end=12<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,615
slurmpilot,20260629_215200,8ab26255e8f6c26fd5fdecbdb7a6197fe7b40a5e,1713951861,small improvements,False,dylin,3,0,0,0,0,0,3.879,11.53,dylin,10.712266683578491,0.0,5.351392507553101,0.3392865657806396,16.40294575691223,0.0,,0.0,,,,,,,,615
slurmpilot,20260629_215200,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713969620,support specifying user and environment variables,False,original,3,0,0,0,0,0,0.298,11.19,original,0.0,0.0,0.6757397651672363,0.0,0.6757397651672363,,,,,,,,,,,634
slurmpilot,20260629_215200,1bc0729fbc76d6ff383d3723f6102d5d3f061458,1713969620,support specifying user and environment variables,False,pymop,3,0,0,0,0,0,0.252,11.19,pymop,2.181093692779541,0.5860788822174072,1.8247296810150144,0.0,4.591902256011963,0.0,,0.0,,,,40.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=26<>UnsafeListIterator=1,278.0,BuiltinAllAnalysis=violation=37<>ComparisonBehaviorAnalysis=eq_end=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=7<>NonFinitesAnalysis=non_finite_op=37<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=37<>WrongTypeAddedAnalysis=check_insert=37<>WrongTypeAddedAnalysis=check_extend=37<>WrongTypeAddedAnalysis=check_add=37<>FileClosedAnalysis=open=14<>FileClosedAnalysis=close=13<>FileClosedAnalysis=end=12<>UnsafeListIterator=createList=1,634
