project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
smartyaml,20260629_215822,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,1754820858,initial commit,False,original,33,0,0,0,0,0,0.771,64.67,original,0.0,0.0,1.1636037826538086,0.0,1.1636037826538086,,,,,,,,,,,2454
smartyaml,20260629_215822,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,1754820858,initial commit,False,pymop,33,0,0,0,0,0,1.146,64.67,pymop,2.3919708728790283,0.5410687923431396,3.0367536544799805,0.0,5.969793319702148,0.0,,0.0,,,,298.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=100<>UnsafeListIterator=100<>UnsafeDictIterator=83<>PyDocs_UnsafeIterUseAfterTee=2,19650.0,BuiltinAllAnalysis=violation=3038<>ComparisonBehaviorAnalysis=eq_end=120<>ComparisonBehaviorAnalysis=ne_end=11<>InPlaceSortAnalysis=list_used=180<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=131<>NonFinitesAnalysis=non_finite_op=3038<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=127<>StringStripAnalysis=strip=157<>WrongTypeAddedAnalysis=check_append=3064<>WrongTypeAddedAnalysis=check_insert=3064<>WrongTypeAddedAnalysis=check_extend=3064<>WrongTypeAddedAnalysis=check_add=3064<>WrongTypeAddedAnalysis=check_add_assign=127<>FileClosedAnalysis=open=51<>FileClosedAnalysis=close=50<>FileClosedAnalysis=end=49<>UnsafeListIterator=createList=121<>UnsafeListIterator=updateList=44<>UnsafeDictIterator=createDict=85<>UnsafeDictIterator=updateDict=61<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2454
smartyaml,20260629_215822,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,1754820858,initial commit,False,pymop_libs,33,0,0,0,0,0,9.204,64.67,pymop_libs,8.119569301605225,0.5019881725311279,14.205942153930664,0.0,22.827499628067017,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},4564.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3004<>UnsafeDictIterator=1421<>ArgParse_Parent=1<>FileClosedAnalysis=100<>faulthandler_disableBeforeClose=1<>PyDocs_UnsafeIterUseAfterTee=2,841193.0,BuiltinAllAnalysis=violation=118289<>ComparisonBehaviorAnalysis=ne_end=3530<>ComparisonBehaviorAnalysis=eq_end=17477<>InPlaceSortAnalysis=list_used=23010<>InPlaceSortAnalysis=list_sorted=39<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=20997<>NonFinitesAnalysis=non_finite_op=118190<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=22637<>StringStripAnalysis=strip=271<>WrongTypeAddedAnalysis=check_append=119063<>WrongTypeAddedAnalysis=check_insert=119063<>WrongTypeAddedAnalysis=check_extend=119063<>WrongTypeAddedAnalysis=check_add=119063<>WrongTypeAddedAnalysis=check_add_assign=22637<>UnsafeListIterator=createList=10997<>UnsafeListIterator=updateList=44<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=1777<>UnsafeDictIterator=updateDict=4864<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=51<>FileClosedAnalysis=close=50<>FileClosedAnalysis=end=49<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2454
smartyaml,20260629_215822,2f9e63d08fe771cec6fd3dcb77c35f1797b6a221,1754820858,initial commit,False,dylin,33,0,0,0,0,0,4.635,64.67,dylin,10.790514945983888,0.0,5.9458887577056885,0.3175652027130127,17.053968906402588,0.0,,0.0,,,,,,,,2454
smartyaml,20260629_215822,075b3b72c016b210af43dc836acdc1c5a389b58a,1754824034,feat(metadata): implement automatic removal of __ prefixed fields,False,original,47,0,0,0,0,0,0.796,65.61,original,0.0,0.0,1.2119688987731934,0.0,1.2119688987731934,,,,,,,,,,,2747
smartyaml,20260629_215822,075b3b72c016b210af43dc836acdc1c5a389b58a,1754824034,feat(metadata): implement automatic removal of __ prefixed fields,False,pymop,47,0,0,0,0,0,1.274,65.61,pymop,2.4560952186584473,0.4537203311920166,3.2207813262939453,0.0,6.130596876144409,0.0,,0.0,,,,332.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=106<>UnsafeListIterator=105<>UnsafeDictIterator=106<>PyDocs_UnsafeIterUseAfterTee=2,24488.0,BuiltinAllAnalysis=violation=3822<>ComparisonBehaviorAnalysis=eq_end=139<>ComparisonBehaviorAnalysis=ne_end=12<>InPlaceSortAnalysis=list_used=191<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=151<>NonFinitesAnalysis=non_finite_op=3822<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=135<>StringStripAnalysis=strip=168<>WrongTypeAddedAnalysis=check_append=3848<>WrongTypeAddedAnalysis=check_insert=3848<>WrongTypeAddedAnalysis=check_extend=3848<>WrongTypeAddedAnalysis=check_add=3848<>WrongTypeAddedAnalysis=check_add_assign=135<>FileClosedAnalysis=open=54<>FileClosedAnalysis=close=53<>FileClosedAnalysis=end=52<>UnsafeListIterator=createList=133<>UnsafeListIterator=updateList=44<>UnsafeDictIterator=createDict=118<>UnsafeDictIterator=updateDict=63<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2747
smartyaml,20260629_215822,075b3b72c016b210af43dc836acdc1c5a389b58a,1754824034,feat(metadata): implement automatic removal of __ prefixed fields,False,pymop_libs,47,0,0,0,0,0,13.348,65.61,pymop_libs,8.025829553604126,0.4035141468048095,18.483882427215576,0.0,26.91322612762451,2.0,InvalidComparisonAnalysis=2,1.0,InvalidComparisonAnalysis=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None},5686.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=3801<>UnsafeDictIterator=1740<>ArgParse_Parent=1<>FileClosedAnalysis=106<>faulthandler_disableBeforeClose=1<>PyDocs_UnsafeIterUseAfterTee=2,1155706.0,BuiltinAllAnalysis=violation=160081<>ComparisonBehaviorAnalysis=ne_end=5095<>ComparisonBehaviorAnalysis=eq_end=26868<>InPlaceSortAnalysis=list_used=34482<>InPlaceSortAnalysis=list_sorted=53<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=31953<>NonFinitesAnalysis=non_finite_op=159982<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=33848<>StringStripAnalysis=strip=324<>WrongTypeAddedAnalysis=check_append=161206<>WrongTypeAddedAnalysis=check_insert=161206<>WrongTypeAddedAnalysis=check_extend=161206<>WrongTypeAddedAnalysis=check_add=161206<>WrongTypeAddedAnalysis=check_add_assign=33848<>UnsafeListIterator=createList=15681<>UnsafeListIterator=updateList=44<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=2292<>UnsafeDictIterator=updateDict=6140<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=54<>FileClosedAnalysis=close=53<>FileClosedAnalysis=end=52<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_UnsafeIterUseAfterTee=createIter=2,2747
smartyaml,20260629_215822,075b3b72c016b210af43dc836acdc1c5a389b58a,1754824034,feat(metadata): implement automatic removal of __ prefixed fields,False,dylin,47,0,0,0,0,0,4.597,65.61,dylin,11.033745050430298,0.0,5.899141788482666,0.3328821659088135,17.265769004821777,0.0,,0.0,,,,,,,,2747
smartyaml,20260629_215822,87b3403afafc4b3274ef716c0cb99576c50d8e2c,1754827336,feat(expand): add variable substitution with !expand directive,False,original,69,0,0,0,0,0,0.895,67.36999999999999,original,0.0,0.0,1.277796745300293,0.0,1.277796745300293,,,,,,,,,,,3263
smartyaml,20260629_215822,87b3403afafc4b3274ef716c0cb99576c50d8e2c,1754827336,feat(expand): add variable substitution with !expand directive,False,pymop,69,0,0,0,0,0,1.462,67.36999999999999,pymop,2.475757122039795,0.5476295948028564,3.422597169876098,0.0,6.44598388671875,0.0,,0.0,,,,570.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=110<>UnsafeListIterator=165<>UnsafeDictIterator=280<>PyDocs_UnsafeIterUseAfterTee=2,38051.0,BuiltinAllAnalysis=violation=5947<>ComparisonBehaviorAnalysis=eq_end=203<>ComparisonBehaviorAnalysis=ne_end=33<>InPlaceSortAnalysis=list_used=325<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=236<>NonFinitesAnalysis=non_finite_op=5947<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=137<>StringStripAnalysis=strip=199<>WrongTypeAddedAnalysis=check_append=5976<>WrongTypeAddedAnalysis=check_insert=5976<>WrongTypeAddedAnalysis=check_extend=5976<>WrongTypeAddedAnalysis=check_add=5976<>WrongTypeAddedAnalysis=check_add_assign=137<>FileClosedAnalysis=open=56<>FileClosedAnalysis=close=55<>FileClosedAnalysis=end=54<>UnsafeListIterator=createList=210<>UnsafeListIterator=updateList=87<>UnsafeDictIterator=createDict=414<>UnsafeDictIterator=updateDict=103<>PyDocs_UnsafeIterUseAfterTee=createIter=2,3263
