project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
stac-fastapi-html-middleware,20260629_215238,f9ba98c68c316a52f585259f662e96a2f52b65c9,1742835232,init,True,original,0,0,0,0,0,0,0.034,0.0,original,0.0,0.0,0.5855836868286133,0.0,0.5855836868286133,,,,,,,,,,,
stac-fastapi-html-middleware,20260629_215238,f9ba98c68c316a52f585259f662e96a2f52b65c9,1742835232,init,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,2.4224698543548584,0.6509826183319092,4.568247079849243,0.0,7.641699552536011,0.0,,0.0,,,,101.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=88,134.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43,
stac-fastapi-html-middleware,20260629_215238,f9ba98c68c316a52f585259f662e96a2f52b65c9,1742835232,init,True,pymop_libs,0,0,0,0,0,0,0.506,0.0,pymop_libs,9.219250440597534,0.5203254222869873,8.990772008895874,0.0,18.730347871780396,0.0,,0.0,,,,1347.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=843<>UnsafeDictIterator=379<>ArgParse_Parent=1<>FileClosedAnalysis=88<>faulthandler_disableBeforeClose=1,237204.0,BuiltinAllAnalysis=violation=37622<>ComparisonBehaviorAnalysis=ne_end=309<>ComparisonBehaviorAnalysis=eq_end=1300<>InPlaceSortAnalysis=list_used=2970<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1599<>NonFinitesAnalysis=non_finite_op=37523<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=764<>StringStripAnalysis=strip=2<>WrongTypeAddedAnalysis=check_append=37475<>WrongTypeAddedAnalysis=check_insert=37475<>WrongTypeAddedAnalysis=check_extend=37475<>WrongTypeAddedAnalysis=check_add=37475<>WrongTypeAddedAnalysis=check_add_assign=764<>UnsafeListIterator=createList=1713<>UnsafeDictIterator=createDict=384<>UnsafeDictIterator=updateDict=2190<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
stac-fastapi-html-middleware,20260629_215238,f9ba98c68c316a52f585259f662e96a2f52b65c9,1742835232,init,True,dylin,0,0,0,0,0,0,0.019,0.0,dylin,9.845508337020874,0.0,0.4125266075134277,0.3166592121124267,10.574694156646729,0.0,,0.0,,,,,,,,
stac-fastapi-html-middleware,20260629_215238,0e77ebbde7b4e181031ed371c4298b0ae1edbd24,1742847969,refactor,True,original,0,0,0,0,0,0,0.036,0.0,original,0.0,0.0,0.5935873985290527,0.0,0.5935873985290527,,,,,,,,,,,
stac-fastapi-html-middleware,20260629_215238,0e77ebbde7b4e181031ed371c4298b0ae1edbd24,1742847969,refactor,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,2.425678253173828,0.6269505023956299,4.577924489974976,0.0,7.630553245544434,0.0,,0.0,,,,101.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=88,134.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43,
stac-fastapi-html-middleware,20260629_215238,0e77ebbde7b4e181031ed371c4298b0ae1edbd24,1742847969,refactor,True,pymop_libs,0,0,0,0,0,0,0.522,0.0,pymop_libs,9.026246309280396,0.5352761745452881,8.875244855880737,0.0,18.43676733970642,0.0,,0.0,,,,1356.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=853<>UnsafeDictIterator=378<>ArgParse_Parent=1<>FileClosedAnalysis=88<>faulthandler_disableBeforeClose=1,236874.0,BuiltinAllAnalysis=violation=37589<>ComparisonBehaviorAnalysis=ne_end=309<>ComparisonBehaviorAnalysis=eq_end=1267<>InPlaceSortAnalysis=list_used=2970<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1566<>NonFinitesAnalysis=non_finite_op=37490<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=731<>StringStripAnalysis=strip=2<>WrongTypeAddedAnalysis=check_append=37442<>WrongTypeAddedAnalysis=check_insert=37442<>WrongTypeAddedAnalysis=check_extend=37442<>WrongTypeAddedAnalysis=check_add=37442<>WrongTypeAddedAnalysis=check_add_assign=731<>UnsafeListIterator=createList=1713<>UnsafeDictIterator=createDict=384<>UnsafeDictIterator=updateDict=2190<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
stac-fastapi-html-middleware,20260629_215238,0e77ebbde7b4e181031ed371c4298b0ae1edbd24,1742847969,refactor,True,dylin,0,0,0,0,0,0,0.015,0.0,dylin,10.400710582733154,0.0,0.43280029296875,0.314591646194458,11.148102521896362,0.0,,0.0,,,,,,,,
stac-fastapi-html-middleware,20260629_215238,8080e1d1fa556da689df628d21cc20e2f2101eb5,1742905309,add test and ci,True,original,0,0,0,0,0,1,0.08,5.882,original,0.0,0.0,0.598628044128418,0.0,0.598628044128418,,,,,,,,,,,
stac-fastapi-html-middleware,20260629_215238,8080e1d1fa556da689df628d21cc20e2f2101eb5,1742905309,add test and ci,True,pymop,0,0,0,0,0,1,0.114,5.882,pymop,2.434757709503174,0.6724128723144531,4.624011039733887,0.0,7.731181621551514,0.0,,0.0,,,,101.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=88,134.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=45<>FileClosedAnalysis=close=44<>FileClosedAnalysis=end=43,
