project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
stocktrim-openapi-client,20260629_220028,b9b582cbad0e22b39628e9b869016322ebf3a0aa,1752801918,chore: initial project setup,False,original,5,0,0,0,0,0,0.07,0.0,original,0.0,0.0,0.7585787773132324,0.0,0.7585787773132324,,,,,,,,,,,347
stocktrim-openapi-client,20260629_220028,b9b582cbad0e22b39628e9b869016322ebf3a0aa,1752801918,chore: initial project setup,False,pymop,5,0,0,0,0,0,0.115,0.0,pymop,3.081249952316284,0.5101151466369629,5.379427909851074,0.0,8.970793008804321,0.0,,0.0,,,,122.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=96<>UnsafeDictIterator=8<>UnsafeListIterator=5,373.0,BuiltinAllAnalysis=violation=30<>ComparisonBehaviorAnalysis=eq_end=5<>InPlaceSortAnalysis=list_used=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5<>NonFinitesAnalysis=non_finite_op=30<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=31<>WrongTypeAddedAnalysis=check_insert=31<>WrongTypeAddedAnalysis=check_extend=31<>WrongTypeAddedAnalysis=check_add=31<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>UnsafeDictIterator=createDict=8<>UnsafeDictIterator=updateDict=15<>UnsafeListIterator=createList=5,347
stocktrim-openapi-client,20260629_220028,b9b582cbad0e22b39628e9b869016322ebf3a0aa,1752801918,chore: initial project setup,False,pymop_libs,5,0,0,0,0,0,1.162,0.0,pymop_libs,9.510657787322998,0.5719902515411377,12.1037015914917,0.0,22.186349630355835,2.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,2.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:312=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:312={None},2450.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1694<>UnsafeDictIterator=622<>ArgParse_Parent=1<>FileClosedAnalysis=96<>RandomMustUseSeed=1<>faulthandler_disableBeforeClose=1,387207.0,BuiltinAllAnalysis=violation=60202<>ComparisonBehaviorAnalysis=ne_end=1115<>ComparisonBehaviorAnalysis=eq_end=2622<>InPlaceSortAnalysis=list_used=6322<>InPlaceSortAnalysis=list_sorted=12<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3725<>NonFinitesAnalysis=non_finite_op=60092<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2373<>StringStripAnalysis=strip=50<>WrongTypeAddedAnalysis=check_append=60252<>WrongTypeAddedAnalysis=check_insert=60252<>WrongTypeAddedAnalysis=check_extend=60252<>WrongTypeAddedAnalysis=check_add=60252<>WrongTypeAddedAnalysis=check_add_assign=2373<>UnsafeListIterator=createList=3528<>UnsafeDictIterator=createDict=657<>UnsafeDictIterator=updateDict=2955<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>RandomMustUseSeed=all=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,347
stocktrim-openapi-client,20260629_220028,b9b582cbad0e22b39628e9b869016322ebf3a0aa,1752801918,chore: initial project setup,False,dylin,5,0,0,0,0,0,0.034,0.0,dylin,11.336073398590088,0.0,6.279704809188843,0.2988195419311523,17.914597749710083,0.0,,0.0,,,,,,,,347
stocktrim-openapi-client,20260629_220028,f40a767e965ac7d61c785dd4da86aeff887b42b9,1752807840,feat: complete CI/CD infrastructure setup for StockTrim OpenAPI client,False,original,5,0,0,0,0,0,0.791,0.0,original,0.0,0.0,1.6133999824523926,0.0,1.6133999824523926,,,,,,,,,,,11391
stocktrim-openapi-client,20260629_220028,f40a767e965ac7d61c785dd4da86aeff887b42b9,1752807840,feat: complete CI/CD infrastructure setup for StockTrim OpenAPI client,False,pymop,5,0,0,0,0,0,0.118,0.0,pymop,3.401930570602417,0.6003322601318359,5.418410539627075,0.0,9.420673370361328,0.0,,0.0,,,,122.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=96<>UnsafeDictIterator=9<>UnsafeListIterator=4,387.0,BuiltinAllAnalysis=violation=32<>ComparisonBehaviorAnalysis=eq_end=5<>InPlaceSortAnalysis=list_used=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=5<>NonFinitesAnalysis=non_finite_op=32<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=33<>WrongTypeAddedAnalysis=check_insert=33<>WrongTypeAddedAnalysis=check_extend=33<>WrongTypeAddedAnalysis=check_add=33<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>UnsafeDictIterator=createDict=10<>UnsafeDictIterator=updateDict=15<>UnsafeListIterator=createList=5,11391
stocktrim-openapi-client,20260629_220028,f40a767e965ac7d61c785dd4da86aeff887b42b9,1752807840,feat: complete CI/CD infrastructure setup for StockTrim OpenAPI client,False,pymop_libs,5,0,0,0,0,0,1.154,0.0,pymop_libs,9.850961685180664,0.5563933849334717,13.30334758758545,0.0,23.710702657699585,2.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,2.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:312=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:312={None},2988.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1977<>UnsafeDictIterator=877<>ArgParse_Parent=1<>FileClosedAnalysis=96<>RandomMustUseSeed=1<>faulthandler_disableBeforeClose=1,442356.0,BuiltinAllAnalysis=violation=68733<>ComparisonBehaviorAnalysis=ne_end=1353<>ComparisonBehaviorAnalysis=eq_end=2860<>InPlaceSortAnalysis=list_used=7150<>InPlaceSortAnalysis=list_sorted=27<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=4201<>NonFinitesAnalysis=non_finite_op=68623<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=2823<>StringStripAnalysis=strip=50<>WrongTypeAddedAnalysis=check_append=68797<>WrongTypeAddedAnalysis=check_insert=68797<>WrongTypeAddedAnalysis=check_extend=68797<>WrongTypeAddedAnalysis=check_add=68797<>WrongTypeAddedAnalysis=check_add_assign=2823<>UnsafeListIterator=createList=3920<>UnsafeDictIterator=createDict=948<>UnsafeDictIterator=updateDict=3484<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=49<>FileClosedAnalysis=close=48<>FileClosedAnalysis=end=47<>RandomMustUseSeed=all=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,11391
stocktrim-openapi-client,20260629_220028,f40a767e965ac7d61c785dd4da86aeff887b42b9,1752807840,feat: complete CI/CD infrastructure setup for StockTrim OpenAPI client,False,dylin,5,0,0,0,0,0,0.037,0.0,dylin,17.75602436065674,0.0,6.555964946746826,0.3043122291564941,24.61630153656006,0.0,,0.0,,,,,,,,11391
stocktrim-openapi-client,20260629_220028,d97e8b5f37264a2497f1785a1f11b6274945acf3,1753378357,feat: optimize documentation testing and include generated API documentation,False,original,5,0,3,0,0,0,0.81,0.0,original,0.0,0.0,1.5970475673675537,0.0,1.5970475673675537,,,,,,,,,,,11488
stocktrim-openapi-client,20260629_220028,d97e8b5f37264a2497f1785a1f11b6274945acf3,1753378357,feat: optimize documentation testing and include generated API documentation,False,pymop,5,0,3,0,0,0,0.153,0.0,pymop,3.005696058273315,0.6710987091064453,5.516645193099976,0.0,9.193439960479736,0.0,,0.0,,,,129.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=98<>UnsafeDictIterator=11<>UnsafeListIterator=7,536.0,BuiltinAllAnalysis=violation=50<>ComparisonBehaviorAnalysis=eq_end=6<>ComparisonBehaviorAnalysis=ne_end=3<>InPlaceSortAnalysis=list_used=8<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=9<>NonFinitesAnalysis=non_finite_op=50<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=54<>WrongTypeAddedAnalysis=check_insert=54<>WrongTypeAddedAnalysis=check_extend=54<>WrongTypeAddedAnalysis=check_add=54<>FileClosedAnalysis=open=50<>FileClosedAnalysis=close=49<>FileClosedAnalysis=end=48<>UnsafeDictIterator=createDict=13<>UnsafeDictIterator=updateDict=24<>UnsafeListIterator=createList=8,11488
