project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
telepic,20260629_220527,6a823eadbd388d1d0fd237f9be1e7a40827c1a81,1742590928,Initial commit: Add project files,True,original,0,0,0,0,0,0,0.033,0.0,original,0.0,0.0,0.3903651237487793,0.0,0.3903651237487793,,,,,,,,,,,
telepic,20260629_220527,6a823eadbd388d1d0fd237f9be1e7a40827c1a81,1742590928,Initial commit: Add project files,True,pymop,0,0,0,0,0,0,0.013,0.0,pymop,2.207665205001831,0.7027647495269775,2.0470633506774902,0.0,4.957493305206299,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
telepic,20260629_220527,6a823eadbd388d1d0fd237f9be1e7a40827c1a81,1742590928,Initial commit: Add project files,True,pymop_libs,0,0,0,0,0,0,0.366,0.0,pymop_libs,8.36974287033081,0.4427616596221924,4.961398363113403,0.0,13.773902893066406,0.0,,0.0,,,,1071.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=685<>UnsafeDictIterator=339<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,177103.0,BuiltinAllAnalysis=violation=28200<>ComparisonBehaviorAnalysis=ne_end=154<>ComparisonBehaviorAnalysis=eq_end=826<>InPlaceSortAnalysis=list_used=2003<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=970<>NonFinitesAnalysis=non_finite_op=28101<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=27965<>WrongTypeAddedAnalysis=check_insert=27965<>WrongTypeAddedAnalysis=check_extend=27965<>WrongTypeAddedAnalysis=check_add=27965<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1431<>UnsafeDictIterator=createDict=345<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
telepic,20260629_220527,6a823eadbd388d1d0fd237f9be1e7a40827c1a81,1742590928,Initial commit: Add project files,True,dylin,0,0,0,0,0,0,0.006,0.0,dylin,5.711354494094849,0.0,0.2382240295410156,0.3380994796752929,6.287678003311157,0.0,,0.0,,,,,,,,
telepic,20260629_220527,5f11954aa178d8505517c3c58562c32682810128,1742591210,"adding requirements, tests",True,original,0,0,0,0,0,1,0.073,5.0,original,0.0,0.0,0.4292707443237304,0.0,0.4292707443237304,,,,,,,,,,,
telepic,20260629_220527,5f11954aa178d8505517c3c58562c32682810128,1742591210,"adding requirements, tests",True,pymop,0,0,0,0,0,1,0.114,5.0,pymop,2.360441207885742,0.6721312999725342,2.157959461212158,0.0,5.190531969070435,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,20.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
telepic,20260629_220527,5f11954aa178d8505517c3c58562c32682810128,1742591210,"adding requirements, tests",True,pymop_libs,0,0,0,0,0,1,1.82,5.0,pymop_libs,8.164353609085083,0.5005381107330322,6.3533453941345215,0.0,15.018237113952637,0.0,,0.0,,,,1155.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=759<>UnsafeDictIterator=347<>ArgParse_Parent=1<>FileClosedAnalysis=12<>faulthandler_disableBeforeClose=1,386417.0,BuiltinAllAnalysis=violation=62894<>ComparisonBehaviorAnalysis=ne_end=180<>ComparisonBehaviorAnalysis=eq_end=929<>InPlaceSortAnalysis=list_used=2369<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1099<>NonFinitesAnalysis=non_finite_op=62795<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=694<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=62696<>WrongTypeAddedAnalysis=check_insert=62696<>WrongTypeAddedAnalysis=check_extend=62696<>WrongTypeAddedAnalysis=check_add=62696<>WrongTypeAddedAnalysis=check_add_assign=694<>UnsafeListIterator=createList=1557<>UnsafeDictIterator=createDict=354<>UnsafeDictIterator=updateDict=2005<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
telepic,20260629_220527,5f11954aa178d8505517c3c58562c32682810128,1742591210,"adding requirements, tests",True,dylin,0,0,0,0,0,1,4.175,5.0,dylin,5.65183424949646,0.0,5.441993474960327,0.3240807056427002,11.417908430099487,0.0,,0.0,,,,,,,,
telepic,20260629_220527,0778609b7a9cf0e5e34d48e4055b3ec4a027cee3,1742591437,renaming main.py,True,original,0,0,0,0,0,1,0.073,5.0,original,0.0,0.0,0.4248578548431396,0.0,0.4248578548431396,,,,,,,,,,,
telepic,20260629_220527,0778609b7a9cf0e5e34d48e4055b3ec4a027cee3,1742591437,renaming main.py,True,pymop,0,0,0,0,0,1,0.112,5.0,pymop,2.444772481918335,0.5953559875488281,1.803539037704468,0.0,4.843667507171631,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,20.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
