project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
tg-note,20260629_215842,a9e4d7f882ba655a0fcbf68e072bb22cb9215c55,1761021382,Fix: Synchronize SSE reader readiness before initialization,True,original,318,0,6,0,0,0,17.245,35.13,original,0.0,0.0,19.388563632965088,0.0,19.388563632965088,,,,,,,,,,,
tg-note,20260629_215842,a9e4d7f882ba655a0fcbf68e072bb22cb9215c55,1761021382,Fix: Synchronize SSE reader readiness before initialization,True,pymop,294,0,6,0,0,4,1084.614,35.13,pymop,4.015898704528809,0.5570509433746338,1102.6786193847656,0.0,1107.251569032669,4.0,PyDocs_MustSortBeforeGroupBy=4,1.0,PyDocs_MustSortBeforeGroupBy=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158={'tests/test_mem_agent.py::test_mem_agent_utils'},6214.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=4740<>UnsafeListIterator=678<>UnsafeDictIterator=757<>PyDocs_MustSortBeforeGroupBy=21<>UnsafeArrayIterator=3<>PyDocs_UnsafeIterUseAfterTee=2,160717.0,BuiltinAllAnalysis=violation=24049<>ComparisonBehaviorAnalysis=eq_end=515<>ComparisonBehaviorAnalysis=ne_end=28<>InPlaceSortAnalysis=list_used=1172<>InPlaceSortAnalysis=list_sorted=1432<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=543<>NonFinitesAnalysis=non_finite_op=24049<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=312<>StringStripAnalysis=strip=542<>WrongTypeAddedAnalysis=check_append=24094<>WrongTypeAddedAnalysis=check_insert=24094<>WrongTypeAddedAnalysis=check_extend=24094<>WrongTypeAddedAnalysis=check_add=24094<>WrongTypeAddedAnalysis=check_add_assign=312<>FileClosedAnalysis=open=2371<>FileClosedAnalysis=close=2370<>FileClosedAnalysis=end=2369<>UnsafeListIterator=createList=870<>UnsafeListIterator=updateList=330<>UnsafeDictIterator=createDict=987<>UnsafeDictIterator=updateDict=2052<>PyDocs_MustSortBeforeGroupBy=sort=8<>PyDocs_MustSortBeforeGroupBy=modify=9<>PyDocs_MustSortBeforeGroupBy=groupby=14<>UnsafeArrayIterator=createArray=3<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
tg-note,20260629_215842,a9e4d7f882ba655a0fcbf68e072bb22cb9215c55,1761021382,Fix: Synchronize SSE reader readiness before initialization,True,pymop_libs,294,0,6,0,0,4,4942.187,35.13,pymop_libs,13.013991117477417,0.6538965702056885,5002.893134832382,0.0,5016.561022520065,288.0,WrongTypeAddedAnalysis=30;RandomMustUseSeed=1;ItemInList=116;InvalidComparisonAnalysis=137;StringConcatAnalysis=2;PyDocs_MustSortBeforeGroupBy=2,14.0,WrongTypeAddedAnalysis=3;RandomMustUseSeed=1;ItemInList=2;InvalidComparisonAnalysis=5;StringConcatAnalysis=2;PyDocs_MustSortBeforeGroupBy=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;ItemInList:/lib/python3.12/site-packages/torch/_refs/__init__.py:614=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:425=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/sympy/core/basic.py:526=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1,WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503={None};RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378={None};ItemInList:/lib/python3.12/site-packages/torch/_refs/__init__.py:614={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:425={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:426={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/sympy/core/basic.py:526={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150={None};PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158={'tests/test_mem_agent.py::test_mem_agent_utils'},118076.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=69700<>UnsafeDictIterator=46108<>ArgParse_Parent=6<>FileClosedAnalysis=1908<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=16<>PyDocs_MustSortBeforeGroupBy=24<>RandomMustUseSeed=1<>ItemInList=17<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=194<>UnsafeArrayIterator=3<>Pydocs_MustFlushMmap=60<>PyDocs_UnsafeIterUseAfterTee=2,356279931.0,BuiltinAllAnalysis=violation=59052877<>ComparisonBehaviorAnalysis=ne_end=47546<>ComparisonBehaviorAnalysis=eq_end=487832<>InPlaceSortAnalysis=list_used=428973<>InPlaceSortAnalysis=list_sorted=6944<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=535365<>NonFinitesAnalysis=non_finite_op=59052767<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=151775<>StringStripAnalysis=strip=16323<>WrongTypeAddedAnalysis=check_append=58992892<>WrongTypeAddedAnalysis=check_insert=58992892<>WrongTypeAddedAnalysis=check_extend=58992892<>WrongTypeAddedAnalysis=check_add=58992892<>WrongTypeAddedAnalysis=check_add_assign=151775<>UnsafeListIterator=createList=191237<>UnsafeListIterator=updateList=330<>UnsafeDictIterator=createDict=70575<>UnsafeDictIterator=updateDict=98556<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=955<>FileClosedAnalysis=close=954<>FileClosedAnalysis=end=953<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=3541<>Pydocs_MustReleaseLock=release=3541<>Pydocs_MustReleaseLock=end=8<>PyDocs_MustSortBeforeGroupBy=sort=8<>PyDocs_MustSortBeforeGroupBy=groupby=16<>RandomMustUseSeed=all=1<>ItemInList=list_contains=116<>Pydocs_NoReadAfterAccess=access=5094<>PyDocs_MustWaitForPopenToFinish=new_popen=99<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=4<>PyDocs_MustWaitForPopenToFinish=end=95<>UnsafeArrayIterator=createArray=3<>Pydocs_MustFlushMmap=init=30<>Pydocs_MustFlushMmap=end=30<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
tg-note,20260629_215842,a9e4d7f882ba655a0fcbf68e072bb22cb9215c55,1761021382,Fix: Synchronize SSE reader readiness before initialization,True,dylin,317,0,7,0,0,0,15.026,35.13,dylin,17.794588327407837,0.0,17.328303337097168,0.3133854866027832,35.43627715110779,0.0,,0.0,,,,,,,,
tg-note,20260629_215843,5957cbb8023823e0373efeefc19eeac5d559f61f,1761023517,Refactor vector search indexing to HTTP API,True,original,318,0,6,0,0,0,17.519,35.08,original,0.0,0.0,19.589543342590332,0.0,19.589543342590332,,,,,,,,,,,
tg-note,20260629_215843,5957cbb8023823e0373efeefc19eeac5d559f61f,1761023517,Refactor vector search indexing to HTTP API,True,pymop,294,0,6,0,0,4,1134.955,35.08,pymop,3.8867743015289307,0.6049971580505371,1153.406212091446,0.0,1157.8979835510254,4.0,PyDocs_MustSortBeforeGroupBy=4,1.0,PyDocs_MustSortBeforeGroupBy=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158={'tests/test_mem_agent.py::test_mem_agent_utils'},6275.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=4740<>UnsafeListIterator=692<>UnsafeDictIterator=804<>PyDocs_MustSortBeforeGroupBy=21<>UnsafeArrayIterator=3<>PyDocs_UnsafeIterUseAfterTee=2,160720.0,BuiltinAllAnalysis=violation=24049<>ComparisonBehaviorAnalysis=eq_end=515<>ComparisonBehaviorAnalysis=ne_end=28<>InPlaceSortAnalysis=list_used=1172<>InPlaceSortAnalysis=list_sorted=1432<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=543<>NonFinitesAnalysis=non_finite_op=24049<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=312<>StringStripAnalysis=strip=542<>WrongTypeAddedAnalysis=check_append=24094<>WrongTypeAddedAnalysis=check_insert=24094<>WrongTypeAddedAnalysis=check_extend=24094<>WrongTypeAddedAnalysis=check_add=24094<>WrongTypeAddedAnalysis=check_add_assign=312<>FileClosedAnalysis=open=2371<>FileClosedAnalysis=close=2370<>FileClosedAnalysis=end=2369<>UnsafeListIterator=createList=870<>UnsafeListIterator=updateList=330<>UnsafeDictIterator=createDict=987<>UnsafeDictIterator=updateDict=2052<>PyDocs_MustSortBeforeGroupBy=sort=8<>PyDocs_MustSortBeforeGroupBy=modify=12<>PyDocs_MustSortBeforeGroupBy=groupby=14<>UnsafeArrayIterator=createArray=3<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
tg-note,20260629_215843,5957cbb8023823e0373efeefc19eeac5d559f61f,1761023517,Refactor vector search indexing to HTTP API,True,pymop_libs,294,0,6,0,0,4,4739.31,35.08,pymop_libs,9.854892015457153,0.47960925102233887,4792.061061143875,0.0,4802.395562410355,303.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=30;ItemInList=127;InvalidComparisonAnalysis=137;StringConcatAnalysis=2;PyDocs_MustSortBeforeGroupBy=6,14.0,RandomMustUseSeed=1;WrongTypeAddedAnalysis=3;ItemInList=2;InvalidComparisonAnalysis=5;StringConcatAnalysis=2;PyDocs_MustSortBeforeGroupBy=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394=1;WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503=1;ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378=1;ItemInList:/lib/python3.12/site-packages/torch/_refs/__init__.py:614=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:425=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:426=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/sympy/core/basic.py:526=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253=1;StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150=1;PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1,RandomMustUseSeed:/lib/python3.12/site-packages/rich/style.py:22={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/click/decorators.py:321={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:394={None};WrongTypeAddedAnalysis:/lib/python3.12/site-packages/referencing/_core.py:503={None};ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:378={None};ItemInList:/lib/python3.12/site-packages/torch/_refs/__init__.py:614={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/pydantic/_internal/_decorators.py:344={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/yaml/constructor.py:266={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:425={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/mpmath/libmp/libmpf.py:426={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/sympy/core/basic.py:526={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/assertion/rewrite.py:253={None};StringConcatAnalysis:/lib/python3.12/site-packages/_pytest/_io/terminalwriter.py:150={None};PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158={'tests/test_mem_agent.py::test_mem_agent_utils'},117065.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=69140<>UnsafeDictIterator=45653<>ArgParse_Parent=6<>FileClosedAnalysis=1908<>faulthandler_disableBeforeClose=1<>Pydocs_MustReleaseLock=16<>PyDocs_MustSortBeforeGroupBy=24<>RandomMustUseSeed=1<>ItemInList=21<>Pydocs_NoReadAfterAccess=1<>PyDocs_MustWaitForPopenToFinish=194<>UnsafeArrayIterator=3<>Pydocs_MustFlushMmap=60<>PyDocs_UnsafeIterUseAfterTee=2,356281425.0,BuiltinAllAnalysis=violation=59053113<>ComparisonBehaviorAnalysis=ne_end=47546<>ComparisonBehaviorAnalysis=eq_end=487780<>InPlaceSortAnalysis=list_used=428956<>InPlaceSortAnalysis=list_sorted=6944<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=535313<>NonFinitesAnalysis=non_finite_op=59053003<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=151843<>StringStripAnalysis=strip=16323<>WrongTypeAddedAnalysis=check_append=58993139<>WrongTypeAddedAnalysis=check_insert=58993139<>WrongTypeAddedAnalysis=check_extend=58993139<>WrongTypeAddedAnalysis=check_add=58993139<>WrongTypeAddedAnalysis=check_add_assign=151843<>UnsafeListIterator=createList=191239<>UnsafeListIterator=updateList=330<>UnsafeDictIterator=createDict=70575<>UnsafeDictIterator=updateDict=98556<>ArgParse_Parent=created=6<>ArgParse_Parent=argument_added=6<>FileClosedAnalysis=open=955<>FileClosedAnalysis=close=954<>FileClosedAnalysis=end=953<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Pydocs_MustReleaseLock=acquire=3541<>Pydocs_MustReleaseLock=release=3541<>Pydocs_MustReleaseLock=end=8<>PyDocs_MustSortBeforeGroupBy=sort=8<>PyDocs_MustSortBeforeGroupBy=modify=6<>PyDocs_MustSortBeforeGroupBy=groupby=16<>RandomMustUseSeed=all=1<>ItemInList=list_contains=127<>Pydocs_NoReadAfterAccess=access=5094<>PyDocs_MustWaitForPopenToFinish=new_popen=99<>PyDocs_MustWaitForPopenToFinish=wait_for_popen=4<>PyDocs_MustWaitForPopenToFinish=end=95<>UnsafeArrayIterator=createArray=3<>Pydocs_MustFlushMmap=init=30<>Pydocs_MustFlushMmap=end=30<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
tg-note,20260629_215843,5957cbb8023823e0373efeefc19eeac5d559f61f,1761023517,Refactor vector search indexing to HTTP API,True,dylin,317,0,7,0,0,0,15.837,35.08,dylin,21.210025310516357,0.0,18.135770320892334,0.3964850902557373,39.74228072166443,0.0,,0.0,,,,,,,,
tg-note,20260629_215843,7ec1ab4d3549e3c56327fbd8e381d08597aa3abd,1761023984,Refactor: Use HTTP API for MCP vector operations,True,original,318,0,6,0,0,0,16.898,35.05,original,0.0,0.0,18.98881721496582,0.0,18.98881721496582,,,,,,,,,,,
tg-note,20260629_215843,7ec1ab4d3549e3c56327fbd8e381d08597aa3abd,1761023984,Refactor: Use HTTP API for MCP vector operations,True,pymop,294,0,6,0,0,4,1120.4,35.05,pymop,4.016416072845459,0.5689549446105957,1138.7156736850739,0.0,1143.30104470253,4.0,PyDocs_MustSortBeforeGroupBy=4,1.0,PyDocs_MustSortBeforeGroupBy=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158=1,PyDocs_MustSortBeforeGroupBy:/src/mcp/memory/mem_agent_impl/utils.py:158={'tests/test_mem_agent.py::test_mem_agent_utils'},6221.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=4740<>UnsafeListIterator=677<>UnsafeDictIterator=765<>PyDocs_MustSortBeforeGroupBy=21<>UnsafeArrayIterator=3<>PyDocs_UnsafeIterUseAfterTee=2,160717.0,BuiltinAllAnalysis=violation=24049<>ComparisonBehaviorAnalysis=eq_end=515<>ComparisonBehaviorAnalysis=ne_end=28<>InPlaceSortAnalysis=list_used=1172<>InPlaceSortAnalysis=list_sorted=1432<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=543<>NonFinitesAnalysis=non_finite_op=24049<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=312<>StringStripAnalysis=strip=542<>WrongTypeAddedAnalysis=check_append=24094<>WrongTypeAddedAnalysis=check_insert=24094<>WrongTypeAddedAnalysis=check_extend=24094<>WrongTypeAddedAnalysis=check_add=24094<>WrongTypeAddedAnalysis=check_add_assign=312<>FileClosedAnalysis=open=2371<>FileClosedAnalysis=close=2370<>FileClosedAnalysis=end=2369<>UnsafeListIterator=createList=870<>UnsafeListIterator=updateList=330<>UnsafeDictIterator=createDict=987<>UnsafeDictIterator=updateDict=2052<>PyDocs_MustSortBeforeGroupBy=sort=8<>PyDocs_MustSortBeforeGroupBy=modify=9<>PyDocs_MustSortBeforeGroupBy=groupby=14<>UnsafeArrayIterator=createArray=3<>PyDocs_UnsafeIterUseAfterTee=createIter=2,
