project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
two-fast-auth,20260629_220252,beb1dadf878a98947a5267861d889acf88e8f267,1738441001,Initial release,False,original,9,0,0,0,0,0,0.202,62.64999999999999,original,0.0,0.0,1.7520091533660889,0.0,1.7520091533660889,,,,,,,,,,,565
two-fast-auth,20260629_220252,beb1dadf878a98947a5267861d889acf88e8f267,1738441001,Initial release,False,pymop,9,0,0,0,0,0,0.559,62.64999999999999,pymop,2.8158621788024902,0.7363684177398682,7.762864351272583,0.0,11.31509494781494,0.0,,0.0,,,,142.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=112<>UnsafeDictIterator=11<>UnsafeListIterator=6,605.0,BuiltinAllAnalysis=violation=63<>ComparisonBehaviorAnalysis=eq_end=20<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=20<>NonFinitesAnalysis=non_finite_op=63<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=63<>WrongTypeAddedAnalysis=check_insert=63<>WrongTypeAddedAnalysis=check_extend=63<>WrongTypeAddedAnalysis=check_add=63<>FileClosedAnalysis=open=57<>FileClosedAnalysis=close=56<>FileClosedAnalysis=end=55<>UnsafeDictIterator=createDict=11<>UnsafeListIterator=createList=6,565
two-fast-auth,20260629_220252,beb1dadf878a98947a5267861d889acf88e8f267,1738441001,Initial release,False,pymop_libs,9,0,0,0,0,0,20.719,62.64999999999999,pymop_libs,10.328872442245483,0.6657183170318604,88.89193964004517,0.0,99.88653039932252,23.0,ItemInList=1;InvalidComparisonAnalysis=22,3.0,ItemInList=1;InvalidComparisonAnalysis=2,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39=1,ItemInList:/lib/python3.12/site-packages/pydantic/_internal/_model_construction.py:359={None};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574={'tests/test_middleware.py::test_middleware_excluded_paths'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39={'tests/test_middleware.py::test_middleware_excluded_paths'},11714.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7297<>UnsafeDictIterator=4263<>ArgParse_Parent=1<>FileClosedAnalysis=112<>Pydocs_MustReleaseLock=2<>ItemInList=1<>faulthandler_disableBeforeClose=1<>Thread_StartOnce=2,3227476.0,BuiltinAllAnalysis=violation=396249<>ComparisonBehaviorAnalysis=ne_end=20432<>ComparisonBehaviorAnalysis=eq_end=197838<>InPlaceSortAnalysis=list_used=153340<>InPlaceSortAnalysis=list_sorted=51<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=218260<>NonFinitesAnalysis=non_finite_op=396150<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=114584<>StringStripAnalysis=strip=1526<>WrongTypeAddedAnalysis=check_append=396061<>WrongTypeAddedAnalysis=check_insert=396061<>WrongTypeAddedAnalysis=check_extend=396061<>WrongTypeAddedAnalysis=check_add=396061<>WrongTypeAddedAnalysis=check_add_assign=114584<>UnsafeListIterator=createList=16847<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=6129<>UnsafeDictIterator=updateDict=7036<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=57<>FileClosedAnalysis=close=56<>FileClosedAnalysis=end=55<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>ItemInList=list_contains=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Thread_StartOnce=start=2,565
two-fast-auth,20260629_220252,beb1dadf878a98947a5267861d889acf88e8f267,1738441001,Initial release,False,dylin,9,0,0,0,0,0,0.248,62.64999999999999,dylin,9.962493658065796,0.0,12.073487758636476,0.3781847953796386,22.41416621208191,0.0,,0.0,,,,,,,,565
two-fast-auth,20260629_220252,d2de931acab9459fc6ce8346cd85cd4e7c2f431c,1738442197,comply flake8,False,original,9,0,0,0,0,0,0.199,62.28,original,0.0,0.0,1.747347116470337,0.0,1.747347116470337,,,,,,,,,,,566
two-fast-auth,20260629_220252,d2de931acab9459fc6ce8346cd85cd4e7c2f431c,1738442197,comply flake8,False,pymop,9,0,0,0,0,0,0.562,62.28,pymop,2.9291858673095703,0.7609224319458008,7.9787516593933105,0.0,11.668859958648682,0.0,,0.0,,,,142.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=112<>UnsafeDictIterator=11<>UnsafeListIterator=6,605.0,BuiltinAllAnalysis=violation=63<>ComparisonBehaviorAnalysis=eq_end=20<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=20<>NonFinitesAnalysis=non_finite_op=63<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=63<>WrongTypeAddedAnalysis=check_insert=63<>WrongTypeAddedAnalysis=check_extend=63<>WrongTypeAddedAnalysis=check_add=63<>FileClosedAnalysis=open=57<>FileClosedAnalysis=close=56<>FileClosedAnalysis=end=55<>UnsafeDictIterator=createDict=11<>UnsafeListIterator=createList=6,566
two-fast-auth,20260629_220252,d2de931acab9459fc6ce8346cd85cd4e7c2f431c,1738442197,comply flake8,False,pymop_libs,9,0,0,0,0,0,20.697,62.28,pymop_libs,9.972881555557253,0.7425351142883301,88.09743309020996,0.0,98.81284976005554,22.0,InvalidComparisonAnalysis=22,2.0,InvalidComparisonAnalysis=2,InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574=1;InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39=1,InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_backends/_asyncio.py:574={'tests/test_middleware.py::test_middleware_excluded_paths'};InvalidComparisonAnalysis:/lib/python3.12/site-packages/anyio/_core/_streams.py:39={'tests/test_middleware.py::test_middleware_excluded_paths'},11524.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=7169<>UnsafeDictIterator=4202<>ArgParse_Parent=1<>FileClosedAnalysis=112<>Pydocs_MustReleaseLock=2<>faulthandler_disableBeforeClose=1<>Thread_StartOnce=2,3228293.0,BuiltinAllAnalysis=violation=396350<>ComparisonBehaviorAnalysis=ne_end=20614<>ComparisonBehaviorAnalysis=eq_end=197902<>InPlaceSortAnalysis=list_used=153038<>InPlaceSortAnalysis=list_sorted=51<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=218506<>NonFinitesAnalysis=non_finite_op=396251<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=114524<>StringStripAnalysis=strip=1534<>WrongTypeAddedAnalysis=check_append=396196<>WrongTypeAddedAnalysis=check_insert=396196<>WrongTypeAddedAnalysis=check_extend=396196<>WrongTypeAddedAnalysis=check_add=396196<>WrongTypeAddedAnalysis=check_add_assign=114524<>UnsafeListIterator=createList=16845<>UnsafeListIterator=createIter=1<>UnsafeListIterator=next=1<>UnsafeDictIterator=createDict=6129<>UnsafeDictIterator=updateDict=7036<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=57<>FileClosedAnalysis=close=56<>FileClosedAnalysis=end=55<>Pydocs_MustReleaseLock=acquire=2<>Pydocs_MustReleaseLock=release=2<>Pydocs_MustReleaseLock=end=1<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>Thread_StartOnce=start=2,566
two-fast-auth,20260629_220252,d2de931acab9459fc6ce8346cd85cd4e7c2f431c,1738442197,comply flake8,False,dylin,9,0,0,0,0,0,0.249,62.28,dylin,9.761120080947876,0.0,12.117767095565796,0.3826019763946533,22.261489152908325,0.0,,0.0,,,,,,,,566
two-fast-auth,20260629_220252,668c453976e961361d3783144c3930d9949c1ce0,1738445973,bump version - pypi issue,False,original,9,0,0,0,0,0,0.195,62.28,original,0.0,0.0,1.742487907409668,0.0,1.742487907409668,,,,,,,,,,,566
two-fast-auth,20260629_220252,668c453976e961361d3783144c3930d9949c1ce0,1738445973,bump version - pypi issue,False,pymop,9,0,0,0,0,0,0.531,62.28,pymop,2.3440260887145996,0.6579630374908447,7.294455051422119,0.0,10.296444177627563,0.0,,0.0,,,,141.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=112<>UnsafeDictIterator=11<>UnsafeListIterator=5,605.0,BuiltinAllAnalysis=violation=63<>ComparisonBehaviorAnalysis=eq_end=20<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=20<>NonFinitesAnalysis=non_finite_op=63<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=63<>WrongTypeAddedAnalysis=check_insert=63<>WrongTypeAddedAnalysis=check_extend=63<>WrongTypeAddedAnalysis=check_add=63<>FileClosedAnalysis=open=57<>FileClosedAnalysis=close=56<>FileClosedAnalysis=end=55<>UnsafeDictIterator=createDict=11<>UnsafeListIterator=createList=6,566
