project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
unet-prod,20260629_220212,f21c30e92e9c74bd58dfb8071b5d512a41b52b9c,1749121574,Initial commit: setup project structure with Poetry,True,original,0,0,0,0,0,0,0.025,100.0,original,0.0,0.0,0.3154466152191162,0.0,0.3154466152191162,,,,,,,,,,,
unet-prod,20260629_220212,f21c30e92e9c74bd58dfb8071b5d512a41b52b9c,1749121574,Initial commit: setup project structure with Poetry,True,pymop,0,0,0,0,0,0,0.013,100.0,pymop,0.4884614944458008,0.4991490840911865,1.7653546333312988,0.0,2.752965211868286,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
unet-prod,20260629_220212,f21c30e92e9c74bd58dfb8071b5d512a41b52b9c,1749121574,Initial commit: setup project structure with Poetry,True,pymop_libs,0,0,0,0,0,0,0.324,100.0,pymop_libs,6.638931512832642,0.4764604568481445,4.615169525146484,0.0,11.73056149482727,0.0,,0.0,,,,1071.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=689<>UnsafeDictIterator=335<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,179189.0,BuiltinAllAnalysis=violation=28527<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=841<>InPlaceSortAnalysis=list_used=2054<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=977<>NonFinitesAnalysis=non_finite_op=28428<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=591<>WrongTypeAddedAnalysis=check_append=28300<>WrongTypeAddedAnalysis=check_insert=28300<>WrongTypeAddedAnalysis=check_extend=28300<>WrongTypeAddedAnalysis=check_add=28300<>WrongTypeAddedAnalysis=check_add_assign=591<>UnsafeListIterator=createList=1444<>UnsafeDictIterator=createDict=348<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
unet-prod,20260629_220212,f21c30e92e9c74bd58dfb8071b5d512a41b52b9c,1749121574,Initial commit: setup project structure with Poetry,True,dylin,0,0,0,0,0,0,0.006,100.0,dylin,8.042512655258179,0.0,0.2155890464782714,0.3089818954467773,8.567083597183228,0.0,,0.0,,,,,,,,
unet-prod,20260629_220212,c81d9a2288e8429048fc27b82e362f58bcd3e5d4,1749234898,new update,False,original,21,0,0,0,0,0,0.121,99.09,original,0.0,0.0,0.4092845916748047,0.0,0.4092845916748047,,,,,,,,,,,142
unet-prod,20260629_220212,c81d9a2288e8429048fc27b82e362f58bcd3e5d4,1749234898,new update,False,pymop,21,0,0,0,0,0,0.19,99.09,pymop,0.5209448337554932,0.603074312210083,1.885533332824707,0.0,3.009552478790283,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/src/train.py:36=1;RandomMustUseSeed:/src/train.py:37=1,RandomMustUseSeed:/src/train.py:36={'tests/test_train.py::test_train_model_valid'};RandomMustUseSeed:/src/train.py:37={'tests/test_train.py::test_train_model_valid'},75.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=30<>UnsafeListIterator=16<>UnsafeDictIterator=9<>PyDocs_MustOnlyUseDictReader=3<>RandomMustUseSeed=2<>PyDocs_UnsafeIterUseAfterTee=2,846.0,BuiltinAllAnalysis=violation=99<>ComparisonBehaviorAnalysis=eq_end=51<>InPlaceSortAnalysis=list_used=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=51<>NonFinitesAnalysis=non_finite_op=99<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=4<>WrongTypeAddedAnalysis=check_append=103<>WrongTypeAddedAnalysis=check_insert=103<>WrongTypeAddedAnalysis=check_extend=103<>WrongTypeAddedAnalysis=check_add=103<>WrongTypeAddedAnalysis=check_add_assign=4<>FileClosedAnalysis=open=16<>FileClosedAnalysis=close=15<>FileClosedAnalysis=end=14<>UnsafeListIterator=createList=16<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=9<>PyDocs_MustOnlyUseDictReader=dict_reader_init=3<>PyDocs_MustOnlyUseDictReader=dict_reader_next_start=12<>PyDocs_MustOnlyUseDictReader=dict_reader_next_end=12<>RandomMustUseSeed=all=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,142
unet-prod,20260629_220212,c81d9a2288e8429048fc27b82e362f58bcd3e5d4,1749234898,new update,False,pymop_libs,21,0,0,0,0,0,2.373,99.09,pymop_libs,7.0058653354644775,0.4808430671691894,6.785037517547607,0.0,14.271745920181274,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/src/train.py:36=1;RandomMustUseSeed:/src/train.py:37=1,RandomMustUseSeed:/src/train.py:36={'tests/test_train.py::test_train_model_valid'};RandomMustUseSeed:/src/train.py:37={'tests/test_train.py::test_train_model_valid'},2244.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=1459<>UnsafeDictIterator=711<>ArgParse_Parent=1<>FileClosedAnalysis=30<>faulthandler_disableBeforeClose=1<>PyDocs_MustOnlyUseDictReader=3<>RandomMustUseSeed=2<>PyDocs_UnsafeIterUseAfterTee=2,407096.0,BuiltinAllAnalysis=violation=62729<>ComparisonBehaviorAnalysis=ne_end=534<>ComparisonBehaviorAnalysis=eq_end=3083<>InPlaceSortAnalysis=list_used=9124<>InPlaceSortAnalysis=list_sorted=17<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=3607<>NonFinitesAnalysis=non_finite_op=62630<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=1677<>StringStripAnalysis=strip=152<>WrongTypeAddedAnalysis=check_append=63085<>WrongTypeAddedAnalysis=check_insert=63085<>WrongTypeAddedAnalysis=check_extend=63085<>WrongTypeAddedAnalysis=check_add=63085<>WrongTypeAddedAnalysis=check_add_assign=1677<>UnsafeListIterator=createList=5353<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=847<>UnsafeDictIterator=updateDict=3213<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=16<>FileClosedAnalysis=close=15<>FileClosedAnalysis=end=14<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>PyDocs_MustOnlyUseDictReader=dict_reader_init=3<>PyDocs_MustOnlyUseDictReader=dict_reader_next_start=12<>PyDocs_MustOnlyUseDictReader=dict_reader_next_end=12<>RandomMustUseSeed=all=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,142
unet-prod,20260629_220212,c81d9a2288e8429048fc27b82e362f58bcd3e5d4,1749234898,new update,False,dylin,21,0,0,0,0,0,4.481,99.09,dylin,9.3967764377594,0.0,6.3771162033081055,0.3533139228820801,16.127206563949585,0.0,,0.0,,,,,,,,142
unet-prod,20260629_220212,8b7822fa46ec6c51a5c33e79675b11ecd0cd9081,1749248520,fix all and unet model update,False,original,21,0,0,0,0,0,0.101,99.09,original,0.0,0.0,0.4091455936431885,0.0,0.4091455936431885,,,,,,,,,,,641
unet-prod,20260629_220212,8b7822fa46ec6c51a5c33e79675b11ecd0cd9081,1749248520,fix all and unet model update,False,pymop,21,0,0,0,0,0,0.19,99.09,pymop,0.5291664600372314,0.6117310523986816,1.9078035354614256,0.0,3.048701047897339,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/src/train.py:36=1;RandomMustUseSeed:/src/train.py:37=1,RandomMustUseSeed:/src/train.py:36={'tests/test_train.py::test_train_model_valid'};RandomMustUseSeed:/src/train.py:37={'tests/test_train.py::test_train_model_valid'},75.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=30<>UnsafeListIterator=16<>UnsafeDictIterator=9<>PyDocs_MustOnlyUseDictReader=3<>RandomMustUseSeed=2<>PyDocs_UnsafeIterUseAfterTee=2,846.0,BuiltinAllAnalysis=violation=99<>ComparisonBehaviorAnalysis=eq_end=51<>InPlaceSortAnalysis=list_used=14<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=51<>NonFinitesAnalysis=non_finite_op=99<>PyDocs_UselessIterTee=end=1<>StringConcatAnalysis=add=4<>WrongTypeAddedAnalysis=check_append=103<>WrongTypeAddedAnalysis=check_insert=103<>WrongTypeAddedAnalysis=check_extend=103<>WrongTypeAddedAnalysis=check_add=103<>WrongTypeAddedAnalysis=check_add_assign=4<>FileClosedAnalysis=open=16<>FileClosedAnalysis=close=15<>FileClosedAnalysis=end=14<>UnsafeListIterator=createList=16<>UnsafeListIterator=updateList=9<>UnsafeDictIterator=createDict=9<>PyDocs_MustOnlyUseDictReader=dict_reader_init=3<>PyDocs_MustOnlyUseDictReader=dict_reader_next_start=12<>PyDocs_MustOnlyUseDictReader=dict_reader_next_end=12<>RandomMustUseSeed=all=2<>PyDocs_UnsafeIterUseAfterTee=createIter=2,641
