project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
warlock,20260629_215420,cd6467fe76502732dbd98232b138af6ce036652e,1338583886,Project bootstrapping,True,original,0,0,0,0,0,0,0.039,0.0,original,0.0,0.0,0.4307341575622558,0.0,0.4307341575622558,,,,,,,,,,,
warlock,20260629_215420,cd6467fe76502732dbd98232b138af6ce036652e,1338583886,Project bootstrapping,True,pymop,0,0,0,0,0,0,0.02,0.0,pymop,2.787536382675171,0.8674342632293701,2.1996235847473145,0.0,5.8545942306518555,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
warlock,20260629_215420,cd6467fe76502732dbd98232b138af6ce036652e,1338583886,Project bootstrapping,True,pymop_libs,0,0,0,0,0,0,0.513,0.0,pymop_libs,11.66737937927246,0.8059976100921631,6.960792303085327,0.0,19.43416929244995,0.0,,0.0,,,,1058.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=675<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,180681.0,BuiltinAllAnalysis=violation=28763<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=847<>InPlaceSortAnalysis=list_used=2095<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=983<>NonFinitesAnalysis=non_finite_op=28664<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28544<>WrongTypeAddedAnalysis=check_insert=28544<>WrongTypeAddedAnalysis=check_extend=28544<>WrongTypeAddedAnalysis=check_add=28544<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1443<>UnsafeDictIterator=createDict=346<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
warlock,20260629_215420,cd6467fe76502732dbd98232b138af6ce036652e,1338583886,Project bootstrapping,True,dylin,0,0,0,0,0,0,0.01,0.0,dylin,10.945097208023071,0.0,0.278111457824707,0.3967034816741943,11.619912147521973,0.0,,0.0,,,,,,,,
warlock,20260629_215420,8b9d789ccc5ed1840e8a7173c304c86f954a5447,1338584240,Set reasonable version and add description,True,original,0,0,0,0,0,0,0.04,0.0,original,0.0,0.0,0.4481899738311767,0.0,0.4481899738311767,,,,,,,,,,,
warlock,20260629_215420,8b9d789ccc5ed1840e8a7173c304c86f954a5447,1338584240,Set reasonable version and add description,True,pymop,0,0,0,0,0,0,0.019,0.0,pymop,2.830761432647705,0.7631773948669434,2.082396984100342,0.0,5.67633581161499,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
warlock,20260629_215420,8b9d789ccc5ed1840e8a7173c304c86f954a5447,1338584240,Set reasonable version and add description,True,pymop_libs,0,0,0,0,0,0,0.52,0.0,pymop_libs,11.632289409637451,0.7943193912506104,6.5978758335113525,0.0,19.024484634399418,0.0,,0.0,,,,1058.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=675<>UnsafeDictIterator=336<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,180681.0,BuiltinAllAnalysis=violation=28763<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=847<>InPlaceSortAnalysis=list_used=2095<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=983<>NonFinitesAnalysis=non_finite_op=28664<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28544<>WrongTypeAddedAnalysis=check_insert=28544<>WrongTypeAddedAnalysis=check_extend=28544<>WrongTypeAddedAnalysis=check_add=28544<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1443<>UnsafeDictIterator=createDict=346<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
warlock,20260629_215420,8b9d789ccc5ed1840e8a7173c304c86f954a5447,1338584240,Set reasonable version and add description,True,dylin,0,0,0,0,0,0,0.009,0.0,dylin,11.53774118423462,0.0,0.279228925704956,0.4191498756408691,12.236119985580444,0.0,,0.0,,,,,,,,
warlock,20260629_215420,bfcb925643a8362dc057c01313d2bb1f63ef778f,1338584430,Break out requirements into separate file,True,original,0,0,0,0,0,0,0.041,0.0,original,0.0,0.0,0.4299089908599853,0.0,0.4299089908599853,,,,,,,,,,,
warlock,20260629_215420,bfcb925643a8362dc057c01313d2bb1f63ef778f,1338584430,Break out requirements into separate file,True,pymop,0,0,0,0,0,0,0.018,0.0,pymop,2.891228675842285,0.8929321765899658,2.472640037536621,0.0,6.256800889968872,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
warlock,20260629_215420,bfcb925643a8362dc057c01313d2bb1f63ef778f,1338584430,Break out requirements into separate file,True,pymop_libs,0,0,0,0,0,0,0.495,0.0,pymop_libs,11.692683696746826,0.7384772300720215,6.43328332901001,0.0,18.864444255828857,0.0,,0.0,,,,1069.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=682<>UnsafeDictIterator=340<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,181109.0,BuiltinAllAnalysis=violation=28830<>ComparisonBehaviorAnalysis=ne_end=146<>ComparisonBehaviorAnalysis=eq_end=850<>InPlaceSortAnalysis=list_used=2107<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=986<>NonFinitesAnalysis=non_finite_op=28731<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=588<>WrongTypeAddedAnalysis=check_append=28613<>WrongTypeAddedAnalysis=check_insert=28613<>WrongTypeAddedAnalysis=check_extend=28613<>WrongTypeAddedAnalysis=check_add=28613<>WrongTypeAddedAnalysis=check_add_assign=588<>UnsafeListIterator=createList=1443<>UnsafeDictIterator=createDict=346<>UnsafeDictIterator=updateDict=1995<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
warlock,20260629_215420,bfcb925643a8362dc057c01313d2bb1f63ef778f,1338584430,Break out requirements into separate file,True,dylin,0,0,0,0,0,0,0.009,0.0,dylin,11.298131942749023,0.0,0.2785804271697998,0.4154055118560791,11.992117881774902,0.0,,0.0,,,,,,,,
warlock,20260629_215420,96ef8b7a5faa6b8c744e658f33923cb571f50564,1338588038,Add basic test and implement minimal logic,True,original,0,0,0,0,0,1,0.077,6.666999999999999,original,0.0,0.0,0.4796712398529053,0.0,0.4796712398529053,,,,,,,,,,,
warlock,20260629_215420,96ef8b7a5faa6b8c744e658f33923cb571f50564,1338588038,Add basic test and implement minimal logic,True,pymop,0,0,0,0,0,1,0.145,6.666999999999999,pymop,2.9659178256988525,0.8092372417449951,2.409999132156372,0.0,6.18515419960022,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,23.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
