project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
weather-mcp-server,20260629_214942,ae3b2ef78fc3a4baf9939a830fcdd5c75cbd1323,1767096276,Initial import: migrate to Open-Meteo via openmeteo-requests,True,original,0,0,0,0,0,0,0.036,0.0,original,0.0,0.0,0.4029622077941894,0.0,0.4029622077941894,,,,,,,,,,,
weather-mcp-server,20260629_214942,ae3b2ef78fc3a4baf9939a830fcdd5c75cbd1323,1767096276,Initial import: migrate to Open-Meteo via openmeteo-requests,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.56351375579834,0.6172418594360352,1.7356202602386477,0.0,4.9163758754730225,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
weather-mcp-server,20260629_214942,ae3b2ef78fc3a4baf9939a830fcdd5c75cbd1323,1767096276,Initial import: migrate to Open-Meteo via openmeteo-requests,True,pymop_libs,0,0,0,0,0,0,0.341,0.0,pymop_libs,9.031644344329834,0.4961903095245361,4.878069162368774,0.0,14.405903816223145,0.0,,0.0,,,,1073.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=692<>UnsafeDictIterator=334<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,177368.0,BuiltinAllAnalysis=violation=28243<>ComparisonBehaviorAnalysis=ne_end=142<>ComparisonBehaviorAnalysis=eq_end=836<>InPlaceSortAnalysis=list_used=2014<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=968<>NonFinitesAnalysis=non_finite_op=28144<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=589<>WrongTypeAddedAnalysis=check_append=28014<>WrongTypeAddedAnalysis=check_insert=28014<>WrongTypeAddedAnalysis=check_extend=28014<>WrongTypeAddedAnalysis=check_add=28014<>WrongTypeAddedAnalysis=check_add_assign=589<>UnsafeListIterator=createList=1407<>UnsafeDictIterator=createDict=344<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
weather-mcp-server,20260629_214942,ae3b2ef78fc3a4baf9939a830fcdd5c75cbd1323,1767096276,Initial import: migrate to Open-Meteo via openmeteo-requests,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,9.73197627067566,0.0,0.2435274124145507,0.3351562023162842,10.310659885406494,0.0,,0.0,,,,,,,,
weather-mcp-server,20260629_214942,618f788cbed7d3e048ca826d90a4fbfa4f02bb76,1767096541,Add hourly forecast (next 24h) support to get_forecast and update README,True,original,0,0,0,0,0,0,0.033,0.0,original,0.0,0.0,0.3776028156280517,0.0,0.3776028156280517,,,,,,,,,,,
weather-mcp-server,20260629_214942,618f788cbed7d3e048ca826d90a4fbfa4f02bb76,1767096541,Add hourly forecast (next 24h) support to get_forecast and update README,True,pymop,0,0,0,0,0,0,0.011,0.0,pymop,2.407542943954468,0.649468183517456,1.6982390880584717,0.0,4.7552502155303955,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
weather-mcp-server,20260629_214942,618f788cbed7d3e048ca826d90a4fbfa4f02bb76,1767096541,Add hourly forecast (next 24h) support to get_forecast and update README,True,pymop_libs,0,0,0,0,0,0,0.339,0.0,pymop_libs,8.78627896308899,0.5416553020477295,5.068820476531982,0.0,14.3967547416687,0.0,,0.0,,,,1045.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=660<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,177368.0,BuiltinAllAnalysis=violation=28243<>ComparisonBehaviorAnalysis=ne_end=142<>ComparisonBehaviorAnalysis=eq_end=836<>InPlaceSortAnalysis=list_used=2014<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=968<>NonFinitesAnalysis=non_finite_op=28144<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=589<>WrongTypeAddedAnalysis=check_append=28014<>WrongTypeAddedAnalysis=check_insert=28014<>WrongTypeAddedAnalysis=check_extend=28014<>WrongTypeAddedAnalysis=check_add=28014<>WrongTypeAddedAnalysis=check_add_assign=589<>UnsafeListIterator=createList=1407<>UnsafeDictIterator=createDict=344<>UnsafeDictIterator=updateDict=1989<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
weather-mcp-server,20260629_214942,618f788cbed7d3e048ca826d90a4fbfa4f02bb76,1767096541,Add hourly forecast (next 24h) support to get_forecast and update README,True,dylin,0,0,0,0,0,0,0.005,0.0,dylin,11.466297149658203,0.0,0.2347686290740966,0.3761472702026367,12.077213048934937,0.0,,0.0,,,,,,,,
weather-mcp-server,20260629_214942,31719ca4c8740c81c9ca7b8436c01bbef946ea48,1767096954,Add data/ ignore and save_raw_forecast tool; add tests and hourly support,True,original,0,0,0,0,0,1,0.09,2.23,original,0.0,0.0,0.4683353900909424,0.0,0.4683353900909424,,,,,,,,,,,
weather-mcp-server,20260629_214942,31719ca4c8740c81c9ca7b8436c01bbef946ea48,1767096954,Add data/ ignore and save_raw_forecast tool; add tests and hourly support,True,pymop,0,0,0,0,0,1,0.18,2.23,pymop,2.8295130729675293,0.6400372982025146,2.0735230445861816,0.0,5.543073415756226,0.0,,0.0,,,,25.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=12,44.0,BuiltinAllAnalysis=violation=4<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=4<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=4<>WrongTypeAddedAnalysis=check_insert=4<>WrongTypeAddedAnalysis=check_extend=4<>WrongTypeAddedAnalysis=check_add=4<>FileClosedAnalysis=open=7<>FileClosedAnalysis=close=6<>FileClosedAnalysis=end=5,
