project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
windows-ec2-cdk,20260629_215720,e05f96d910c9380a6eed615a49749231241bbbae,1715810517,Init,False,original,2,0,0,0,0,0,0.096,8.108,original,0.0,0.0,0.3972141742706299,0.0,0.3972141742706299,,,,,,,,,,,89
windows-ec2-cdk,20260629_215720,e05f96d910c9380a6eed615a49749231241bbbae,1715810517,Init,False,pymop,2,0,0,0,0,0,0.084,8.108,pymop,2.140004396438598,0.7020835876464844,1.7840077877044678,0.0,4.626095771789551,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/integration/test_dummy.py:5=1;RandomMustUseSeed:/tests/unit/test_dummy.py:5=1,RandomMustUseSeed:/tests/integration/test_dummy.py:5={'tests/integration/test_dummy.py::test_dummy'};RandomMustUseSeed:/tests/unit/test_dummy.py:5={'tests/unit/test_dummy.py::test_dummy'},31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=2<>RandomMustUseSeed=2,39.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=2<>RandomMustUseSeed=all=2,89
windows-ec2-cdk,20260629_215720,e05f96d910c9380a6eed615a49749231241bbbae,1715810517,Init,False,pymop_libs,2,0,0,0,0,0,1.029,8.108,pymop_libs,7.894502639770508,0.4779911041259765,5.341021299362183,0.0,13.713515043258669,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/integration/test_dummy.py:5=1;RandomMustUseSeed:/tests/unit/test_dummy.py:5=1,RandomMustUseSeed:/tests/integration/test_dummy.py:5={'tests/integration/test_dummy.py::test_dummy'};RandomMustUseSeed:/tests/unit/test_dummy.py:5={'tests/unit/test_dummy.py::test_dummy'},1483.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=990<>UnsafeDictIterator=440<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2,258748.0,BuiltinAllAnalysis=violation=40792<>ComparisonBehaviorAnalysis=ne_end=239<>ComparisonBehaviorAnalysis=eq_end=1338<>InPlaceSortAnalysis=list_used=4361<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1567<>NonFinitesAnalysis=non_finite_op=40693<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=679<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=40834<>WrongTypeAddedAnalysis=check_insert=40834<>WrongTypeAddedAnalysis=check_extend=40834<>WrongTypeAddedAnalysis=check_add=40834<>WrongTypeAddedAnalysis=check_add_assign=679<>UnsafeListIterator=createList=2347<>UnsafeDictIterator=createDict=456<>UnsafeDictIterator=updateDict=2190<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=2,89
windows-ec2-cdk,20260629_215720,e05f96d910c9380a6eed615a49749231241bbbae,1715810517,Init,False,dylin,2,0,0,0,0,0,3.783,8.108,dylin,7.660442590713501,0.0,5.049778699874878,0.3003356456756592,13.010556936264038,0.0,,0.0,,,,,,,,89
windows-ec2-cdk,20260629_215720,0e9df4c6c90ae7f8ec3ccf1ce6b80b92e1cc7c4a,1715810653,Init,False,original,2,0,0,0,0,0,0.095,8.108,original,0.0,0.0,0.4087316989898681,0.0,0.4087316989898681,,,,,,,,,,,89
windows-ec2-cdk,20260629_215720,0e9df4c6c90ae7f8ec3ccf1ce6b80b92e1cc7c4a,1715810653,Init,False,pymop,2,0,0,0,0,0,0.086,8.108,pymop,2.147888660430908,0.6227586269378662,1.6754205226898191,0.0,4.446067810058594,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/integration/test_dummy.py:5=1;RandomMustUseSeed:/tests/unit/test_dummy.py:5=1,RandomMustUseSeed:/tests/integration/test_dummy.py:5={'tests/integration/test_dummy.py::test_dummy'};RandomMustUseSeed:/tests/unit/test_dummy.py:5={'tests/unit/test_dummy.py::test_dummy'},31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=2<>RandomMustUseSeed=2,39.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=2<>RandomMustUseSeed=all=2,89
windows-ec2-cdk,20260629_215720,0e9df4c6c90ae7f8ec3ccf1ce6b80b92e1cc7c4a,1715810653,Init,False,pymop_libs,2,0,0,0,0,0,1.126,8.108,pymop_libs,7.934201002120972,0.5214595794677734,5.7112226486206055,0.0,14.16688323020935,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/integration/test_dummy.py:5=1;RandomMustUseSeed:/tests/unit/test_dummy.py:5=1,RandomMustUseSeed:/tests/integration/test_dummy.py:5={'tests/integration/test_dummy.py::test_dummy'};RandomMustUseSeed:/tests/unit/test_dummy.py:5={'tests/unit/test_dummy.py::test_dummy'},1454.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=960<>UnsafeDictIterator=441<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1<>RandomMustUseSeed=2,258748.0,BuiltinAllAnalysis=violation=40792<>ComparisonBehaviorAnalysis=ne_end=239<>ComparisonBehaviorAnalysis=eq_end=1338<>InPlaceSortAnalysis=list_used=4361<>InPlaceSortAnalysis=list_sorted=7<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1567<>NonFinitesAnalysis=non_finite_op=40693<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=679<>StringStripAnalysis=strip=13<>WrongTypeAddedAnalysis=check_append=40834<>WrongTypeAddedAnalysis=check_insert=40834<>WrongTypeAddedAnalysis=check_extend=40834<>WrongTypeAddedAnalysis=check_add=40834<>WrongTypeAddedAnalysis=check_add_assign=679<>UnsafeListIterator=createList=2347<>UnsafeDictIterator=createDict=456<>UnsafeDictIterator=updateDict=2190<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1<>RandomMustUseSeed=all=2,89
windows-ec2-cdk,20260629_215720,0e9df4c6c90ae7f8ec3ccf1ce6b80b92e1cc7c4a,1715810653,Init,False,dylin,2,0,0,0,0,0,3.997,8.108,dylin,7.819944858551025,0.0,5.543721914291382,0.3363211154937744,13.699987888336182,0.0,,0.0,,,,,,,,89
windows-ec2-cdk,20260629_215720,cefe16911f04efd9af86ebbadb495af4065264f2,1715810840,Update windows_ec2_construct.py,False,original,2,0,0,0,0,0,0.097,6.8180000000000005,original,0.0,0.0,0.4045643806457519,0.0,0.4045643806457519,,,,,,,,,,,112
windows-ec2-cdk,20260629_215720,cefe16911f04efd9af86ebbadb495af4065264f2,1715810840,Update windows_ec2_construct.py,False,pymop,2,0,0,0,0,0,0.086,6.8180000000000005,pymop,2.3585784435272217,0.529371976852417,1.8980655670166016,0.0,4.78601598739624,2.0,RandomMustUseSeed=2,2.0,RandomMustUseSeed=2,RandomMustUseSeed:/tests/integration/test_dummy.py:5=1;RandomMustUseSeed:/tests/unit/test_dummy.py:5=1,RandomMustUseSeed:/tests/integration/test_dummy.py:5={'tests/integration/test_dummy.py::test_dummy'};RandomMustUseSeed:/tests/unit/test_dummy.py:5={'tests/unit/test_dummy.py::test_dummy'},31.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14<>UnsafeListIterator=2<>RandomMustUseSeed=2,39.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=2<>WrongTypeAddedAnalysis=check_insert=2<>WrongTypeAddedAnalysis=check_extend=2<>WrongTypeAddedAnalysis=check_add=2<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>UnsafeListIterator=createList=2<>RandomMustUseSeed=all=2,112
