project,timestamp,commit_sha,commit_timestamp,commit_message,is_test_failure_related,algorithm,passed,failed,skipped,xfailed,xpassed,errors,time,coverage,type_project,time_instrumentation,time_create_monitor,test_duration,post_run_time,end_to_end_time,total_violations_count,total_violations,unique_violations_count,unique_violations,violations_by_location,violations_by_test,total_monitors,monitors,total_events,events,python_sloc
wos-explorer,20260629_215254,e4c5bccfde16bf196e039bcc8e804cab40e5907d,1539718867,Adding project files,True,original,0,0,0,0,0,0,0.025,0.0,original,0.0,0.0,0.3287925720214844,0.0,0.3287925720214844,,,,,,,,,,,
wos-explorer,20260629_215254,e4c5bccfde16bf196e039bcc8e804cab40e5907d,1539718867,Adding project files,True,pymop,0,0,0,0,0,0,0.012,0.0,pymop,2.1454336643218994,0.4903178215026855,1.7632572650909424,0.0,4.399008750915527,0.0,,0.0,,,,23.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=10,17.0,InPlaceSortAnalysis=end_execution=1<>PyDocs_UselessIterTee=end=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4,
wos-explorer,20260629_215254,e4c5bccfde16bf196e039bcc8e804cab40e5907d,1539718867,Adding project files,True,pymop_libs,0,0,0,0,0,0,0.323,0.0,pymop_libs,7.911691904067993,0.490877628326416,4.613348484039307,0.0,13.015918016433716,0.0,,0.0,,,,1054.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=669<>UnsafeDictIterator=338<>ArgParse_Parent=1<>FileClosedAnalysis=10<>faulthandler_disableBeforeClose=1,179968.0,BuiltinAllAnalysis=violation=28650<>ComparisonBehaviorAnalysis=ne_end=143<>ComparisonBehaviorAnalysis=eq_end=848<>InPlaceSortAnalysis=list_used=2090<>InPlaceSortAnalysis=list_sorted=4<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=981<>NonFinitesAnalysis=non_finite_op=28551<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=587<>WrongTypeAddedAnalysis=check_append=28431<>WrongTypeAddedAnalysis=check_insert=28431<>WrongTypeAddedAnalysis=check_extend=28431<>WrongTypeAddedAnalysis=check_add=28431<>WrongTypeAddedAnalysis=check_add_assign=587<>UnsafeListIterator=createList=1424<>UnsafeDictIterator=createDict=344<>UnsafeDictIterator=updateDict=1992<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=6<>FileClosedAnalysis=close=5<>FileClosedAnalysis=end=4<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
wos-explorer,20260629_215254,e4c5bccfde16bf196e039bcc8e804cab40e5907d,1539718867,Adding project files,True,dylin,0,0,0,0,0,0,0.004,0.0,dylin,5.08610987663269,0.0,0.2135119438171386,0.3220481872558594,5.6216700077056885,0.0,,0.0,,,,,,,,
wos-explorer,20260629_215254,d00f1638353ed1bb73dbf5289b69589fa9250166,1539720100,Match article values by phrase,True,original,0,0,0,0,0,1,0.062,39.02,original,0.0,0.0,0.3961515426635742,0.0,0.3961515426635742,,,,,,,,,,,
wos-explorer,20260629_215254,d00f1638353ed1bb73dbf5289b69589fa9250166,1539720100,Match article values by phrase,True,pymop,0,0,0,0,0,1,0.077,39.02,pymop,2.2184174060821533,0.6003022193908691,1.920260667800903,0.0,4.738980293273926,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,39.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=3<>WrongTypeAddedAnalysis=check_insert=3<>WrongTypeAddedAnalysis=check_extend=3<>WrongTypeAddedAnalysis=check_add=3<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
wos-explorer,20260629_215254,d00f1638353ed1bb73dbf5289b69589fa9250166,1539720100,Match article values by phrase,True,pymop_libs,0,0,0,0,0,1,0.581,39.02,pymop_libs,7.975804567337036,0.4838941097259521,4.891736268997192,0.0,13.35143494606018,0.0,,0.0,,,,1183.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>NLTK_NonterminalSymbolMutability=22<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>UnsafeListIterator=763<>UnsafeDictIterator=369<>ArgParse_Parent=1<>FileClosedAnalysis=14<>faulthandler_disableBeforeClose=1,209349.0,BuiltinAllAnalysis=violation=33168<>ComparisonBehaviorAnalysis=ne_end=226<>ComparisonBehaviorAnalysis=eq_end=1011<>InPlaceSortAnalysis=list_used=2645<>InPlaceSortAnalysis=list_sorted=5<>InPlaceSortAnalysis=end_execution=1<>InvalidComparisonAnalysis=after_comparison=1227<>NonFinitesAnalysis=non_finite_op=33069<>PyDocs_UselessIterTee=end=1<>NLTK_NonterminalSymbolMutability=nonterminal_created=22<>StringConcatAnalysis=add=862<>StringStripAnalysis=strip=3<>WrongTypeAddedAnalysis=check_append=33023<>WrongTypeAddedAnalysis=check_insert=33023<>WrongTypeAddedAnalysis=check_extend=33023<>WrongTypeAddedAnalysis=check_add=33023<>WrongTypeAddedAnalysis=check_add_assign=862<>UnsafeListIterator=createList=1688<>UnsafeDictIterator=createDict=379<>UnsafeDictIterator=updateDict=2063<>ArgParse_Parent=created=1<>ArgParse_Parent=argument_added=1<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6<>faulthandler_disableBeforeClose=register=1<>faulthandler_disableBeforeClose=unregister=1,
wos-explorer,20260629_215254,d00f1638353ed1bb73dbf5289b69589fa9250166,1539720100,Match article values by phrase,True,dylin,0,0,0,0,0,1,4.103,39.02,dylin,8.32231879234314,0.0,5.49565315246582,0.326930284500122,14.144902229309082,0.0,,0.0,,,,,,,,
wos-explorer,20260629_215254,0b9eb7a4b265977852c5ceb65351847c26a8af20,1539722988,Add matching by ID and phrase match refactor,True,original,0,0,0,0,0,2,0.07,33.96,original,0.0,0.0,0.4168033599853515,0.0,0.4168033599853515,,,,,,,,,,,
wos-explorer,20260629_215254,0b9eb7a4b265977852c5ceb65351847c26a8af20,1539722988,Add matching by ID and phrase match refactor,True,pymop,0,0,0,0,0,2,0.079,33.96,pymop,2.602478504180908,0.6186051368713379,1.660736083984375,0.0,4.881819725036621,0.0,,0.0,,,,27.0,BuiltinAllAnalysis=1<>ComparisonBehaviorAnalysis=1<>InPlaceSortAnalysis=1<>InvalidComparisonAnalysis=1<>NLTK_RegexpTokenizerCapturingParentheses=1<>NLTK_regexp_span_tokenize=1<>NonFinitesAnalysis=1<>PriorityQueue_NonComparable=1<>PyDocs_MustLockOnce=1<>PyDocs_UselessIterTee=1<>StringConcatAnalysis=1<>StringStripAnalysis=1<>WrongTypeAddedAnalysis=1<>FileClosedAnalysis=14,43.0,BuiltinAllAnalysis=violation=2<>InPlaceSortAnalysis=end_execution=1<>NonFinitesAnalysis=non_finite_op=2<>PyDocs_UselessIterTee=end=1<>WrongTypeAddedAnalysis=check_append=4<>WrongTypeAddedAnalysis=check_insert=4<>WrongTypeAddedAnalysis=check_extend=4<>WrongTypeAddedAnalysis=check_add=4<>FileClosedAnalysis=open=8<>FileClosedAnalysis=close=7<>FileClosedAnalysis=end=6,
